_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,note-1:note_type,note-1:note_value,note-2:note_type,note-2:note_value,title-1:title_non_sort_portion,title-1:title_sort_portion,omeka_identifier-1:omeka_identifier_value,location-1:location_term.value,location-1:location_term.uri,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,location-1:location_shelf_location-1:location_shelf_location_free_text,clio_identifier-1:clio_identifier_value,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_key_date,date_created-1:date_created_type,language-1:language_term.value,language-1:language_term.uri,language-1:language_term.authority,language-2:language_term.value,language-2:language_term.uri,language-2:language_term.authority,place_of_origin-1:place_of_origin_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,internal_note-1:internal_note_value,genre-1:genre_term.value,genre-1:genre_term.uri,genre-1:genre_term.authority,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.uri,name-1:name_term.authority,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.authority,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.uri,name-2:name_term.authority,name-2:name_role-2.name_role_term.value,name-2:name_role-2.name_role_term.uri,name-2:name_role-2.name_role_term.authority,object_in_context_url-1:object_in_context_url_value,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.uri,subject_name-2:subject_name.authority,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.uri,subject_title-1:subject_title_term.authority,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.authority,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,digital_origin-1:digital_origin_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,restriction_on_access-1:restriction_on_access_value,_project.string_key
rbml_global_1968_236,,item,date note,Date based on collection date range,,,,Central Park Be-In,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,,,,,between 1960 and 2011,1960,2011,TRUE,inferred,,,,,,,,Bob Fass Recordings and Papers,http://id.library.columbia.edu/term/e494214a-15a7-4cfa-b3c9-962056aa4c6a,"Series VI: Papers, Photographs, and Slides, circa, 1960-2007",series,1,,,,,,,,still image,,photographs,http://vocab.getty.edu/aat/300046300,aat,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hippies,http://id.worldcat.org/fast/957243,fast,,,,"Central Park (New York, N.Y.)",http://id.loc.gov/authorities/subjects/sh85021920,lcsh,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_236_01,rbml_global_1968_236,asset,original filename,1968_236_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_236_01.jpg,,Central Park Be-In,11910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_235,,item,date note,Date based on collection date range,,,,Photograph of a woman in a flowered dress dancing,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,,,,,between 1960 and 2007,1960,2007,TRUE,inferred,,,,,,,,Bob Fass Recordings and Papers,http://id.library.columbia.edu/term/e494214a-15a7-4cfa-b3c9-962056aa4c6a,"Series VI: Papers, Photographs, and Slides, circa, 1960-2007",series,1,,,,,,,,still image,,photographs,http://vocab.getty.edu/aat/300046300,aat,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dance,http://id.worldcat.org/fast/887402,fast,,,,,,,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_235_01,rbml_global_1968_235,asset,original filename,1968_235_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_235_01.jpg,,Photograph of a woman in a flowered dress dancing,11909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_234,,item,,,,,,Letter to Howard Whitmore,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,24,30,,,"March 20, 1967",1967-03-20,,TRUE,,English,http://id.loc.gov/vocabulary/iso639-2/eng,iso639-2b,,,,,Marshall Berman Papers,http://id.library.columbia.edu/term/502f6ae8-3ae3-450e-ac5b-8414a29740e3,,,,,,,,,,,text,,correspondence,http://vocab.getty.edu/aat/300026877,aat,"Berman, Marshall, 1940-2013",personal,http://id.loc.gov/authorities/names/n81104675,naf,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,"Whitmore, Howard, 1905-1998",personal,http://id.loc.gov/authorities/names/n2003074769,naf,Addressee,http://id.loc.gov/vocabulary/relators/rcp,marcrelator,,,,,,,,,,,,,Public lands--Recreational use,http://id.worldcat.org/fast/1082602,fast,,,,Cambridge (Mass.),http://id.loc.gov/authorities/names/n79061258,naf,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_234_01,rbml_global_1968_234,asset,original filename,1968_234_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_234_01.jpg,,Letter to Howard Whitmore,11908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_233,,item,,,,,,Things for Be-In (Mayday),,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,24,30,,,"May 01, 1967",1967-05-01,,TRUE,,English,http://id.loc.gov/vocabulary/iso639-2/eng,iso639-2b,,,,,Marshall Berman Papers,http://id.library.columbia.edu/term/502f6ae8-3ae3-450e-ac5b-8414a29740e3,,,,,,,,Checklists,http://id.loc.gov/authorities/genreForms/gf2018026147,lcgft,text,,correspondence,http://vocab.getty.edu/aat/300026877,aat,"Berman, Marshall, 1940-2013",personal,http://id.loc.gov/authorities/names/n81104675,naf,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,,,,,,,,,,Special events--Planning,http://id.worldcat.org/fast/1128927,fast,,,,Cambridge (Mass.),http://id.loc.gov/authorities/names/n79061258,naf,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_233_01,rbml_global_1968_233,asset,original filename,1968_233_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_233_01.jpg,,Things for Be-In (Mayday),11907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
rbml_global_1968_232,,item,,,,,,Be-In and Nothingness,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,24,30,,,"May 01, 1967",1967-05-01,,TRUE,,English,http://id.loc.gov/vocabulary/iso639-2/eng,iso639-2b,,,,,Marshall Berman Papers,http://id.library.columbia.edu/term/502f6ae8-3ae3-450e-ac5b-8414a29740e3,,,,,,,,,,,text,,clippings,http://id.loc.gov/vocabulary/graphicMaterials/tgm002169,gmgpc,"Lerner, Stephen D.",personal,,,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,,,,,,,,,Harvard University,corporate,http://id.loc.gov/authorities/names/n78096930,naf,,,,,,,,Hippies,http://id.worldcat.org/fast/957243,fast,,,,Cambridge (Mass.),http://id.loc.gov/authorities/names/n79061258,naf,reformatted digital,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,,
rbml_global_1968_232_01,rbml_global_1968_232,asset,original filename,1968_232_01.tif,filename,https://exhibitions-dev.library.columbia.edu/1968_232_01.jpg,,Be-In and Nothingness,11906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,On-site Access,
