_pid,partName,projectURL,_identifiers-1,_project.string_key,relatedItem_project,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,note-2:note_type,note-2:note_value,note-3:note_type,note-1:note_type,note-1:note_value,form-2:form_term.uri,genre-1:genre_term.uri,form-2:form_term.value,genre-1:genre_term.value,location-1:location_term.uri,genre-1:genre_term.authority,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,date_created_textual-1:date_created_textual_value,use_and_reproduction-1:use_and_reproduction_value,date_created-1:date_created_end_value,date_created-1:date_created_start_value,collection-1:collection_term.uri,collection-1:collection_term.value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,object_in_context_url-1:object_in_context_url_value,place_of_origin-1:place_of_origin_value,subject_name-1:subject_name_term.uri,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,date_created-1:date_created_type,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority
 , , , , ,1968: The Global Revolutions,Central Park Be-In, , , ,11910,filename,https://exhibitions-dev.library.columbia.edu/1968_236_01.jpg,original_format, ,Original filename: 1968_236_01.tif, , ,photographs,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,undated,In Copyright,,, ,Bob Fass Recordings and Papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Woman Dancing, , , ,11909,filename,https://exhibitions-dev.library.columbia.edu/1968_235_01.jpg,original_format, ,Original filename: 1968_235_01.tif, , ,photographs,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,undated,In Copyright,,, ,Bob Fass Recordings and Papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Letter to Howard Whitmore, , , ,11908,filename,https://exhibitions-dev.library.columbia.edu/1968_234_01.jpg,original_format, ,Original filename: 1968_234_01.tif, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"March 20, 1967",In Copyright, , , ,Marshall Berman Papers, ,"Berman, Marshall, 1940-2013", , , , , ,holdings, ,"Box 24, Folder 30", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Things for Be-In (Mayday), , , ,11907,filename,https://exhibitions-dev.library.columbia.edu/1968_233_01.jpg,original_format, ,Original filename: 1968_233_01.tif, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"May 01, 1967",In Copyright, , , ,Marshall Berman Papers, ,"Berman, Marshall, 1940-2013", , , , , ,holdings, ,"Box 24, Folder 30", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Be-In and Nothingness, , , ,11906,filename,https://exhibitions-dev.library.columbia.edu/1968_232_01.jpg,original_format, ,"Original filename: 1968_232_01.tif|Cambridge, MA", , ,clippings,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"May 01, 1967",In Copyright, , , ,Marshall Berman Papers, ,"Lerner, Stephen D.", , , , , ,holdings, ,"Box 24, Folder 30", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Letter to Marshall Berman, , , ,11905,filename,https://exhibitions-dev.library.columbia.edu/1968_231_01.jpg,original_format, ,"Original filename: 1968_231_01.tif|Boston, MA", , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"March 27, 1967",In Copyright, , , ,Marshall Berman Papers, ,"Whitmore, Howard, 1905-1998|Berman, Marshall, 1940-2013", , , , , ,holdings, ,"Box 24, Folder 30", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Speech to the Emergency Civil Liberties Committee, p. 3", , , ,11904,filename,https://exhibitions-dev.library.columbia.edu/1968_230_03.jpg,original_format, ,Original filename: 1968_230_03.tif|Aeon Slip No.: 146481, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Speech to the Emergency Civil Liberties Committee, p. 2", , , ,11903,filename,https://exhibitions-dev.library.columbia.edu/1968_230_02.jpg,original_format, ,Original filename: 1968_230_02.tif|Aeon Slip No.: 146481, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Speech to the Emergency Civil Liberties Committee, p. 1", , , ,11902,filename,https://exhibitions-dev.library.columbia.edu/1968_230_01.jpg,original_format, ,Original filename: 1968_230_01.tif|Aeon Slip No.: 146481, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Letter to the Emergency Civil Liberties Committee, p. 6", , , ,11901,filename,https://exhibitions-dev.library.columbia.edu/1968_229_06.jpg,original_format, ,Original filename: 1968_229_06.tif|Aeon Slip No.: 146474, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
