identifier_omeka,identifier_title,title,partName,abstract,location_url_ObjectInContext,note_filename,keyDate_start,keyDate_end,dateCreated,dateQualifier,physicalLocation,physicalLocation_code,physicalLocation_authority,physicalLocation_authority_identifier,typeOfResource,form,form_authority,form_authority_identifier,digitalOrigin,languageOfCataloging,shelfLocator,sublocation_1,sublocation_2,subject_topic 1,subject_topic_1_authority,subject_topic_1_authority_identifier,subject_topic 2,subject_topic_2_authority,subject_topic_2_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,language,language_authority,language_authority_identifier,name_primary,name_primary_authority,name_primary_authority_identifier,relatedItem_Project,extent,note_ownership,accessCondition
omeka_9568,1968ColumbiaCrisis_ksz_000,Story of WKCR: 1968,,"16 minute audio tape, created by WKCR personnel and narrated by Robert Siegel, '69C, was presented at an event in the fall of 1968 called ""KCA Night"". This event was an opportunity for campus groups to present a short skit or presentation to the incoming freshmen in order to convince the new students to join their activities.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/wkcr,TheStoryofWKCR.mp3,1968,,Fall 1968,,,,,,sound recording,sound recordings,aat,http://vocab.getty.edu/aat/300028633,,eng,,,,College radio stations ,fast,http://id.worldcat.org/fast/867912,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,,,,"WKCR (Radio station : New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n87845396,1968: Columbia in Crisis ,,"Bob Papper '69C, '70J",This audio may not be reproduced without the permission of Bob Papper. Please contact the University Archives for further information.
omeka_9567,1968ColumbiaCrisis_fjv_000,"Sound recording of 214th Columbia University Commencement Address, June 4th 1968",,Sound recording of 4 June 1968 Commencement speech given by Professor Richard Hofstadter at a ceremony held in The Cathedral of St. John The Divine.,https://exhibitions.cul.columbia.edu/exhibits/show/1968/commencement/commencement1,hofstadter commencement speech.mp3,1968-06-04,,"June 4, 1968",,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,sound recording,sound recordings,aat,http://vocab.getty.edu/aat/300028633,,eng,,,,Baccalaureate addresses,fast,http://id.worldcat.org/fast/825018,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Hofstadter, Richard, 1916-1970",naf,http://id.loc.gov/authorities/names/n79006384,1968: Columbia in Crisis ,Duration: 22:28 minutes,,
omeka_9566,1968ColumbiaCrisis_ahh_000,"Transcript of 214th Columbia University Commencement Address, June 4th 1968",,"Transcript of 4 June 1968 Commencement speech given by Professor Richard Hofstadter at a ceremony held in The Cathedral of St. John The Divine.
",https://exhibitions.cul.columbia.edu/exhibits/show/1968/commencement/commencement1,214th Columbia University Commencement Address.pdf,1968-06-04,,"June 4, 1968",,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,transcripts,aat,http://vocab.getty.edu/aat/300027388,,eng,,,,Baccalaureate addresses,fast,http://id.worldcat.org/fast/825018,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Hofstadter, Richard, 1916-1970",naf,http://id.loc.gov/authorities/names/n79006384,1968: Columbia in Crisis ,,,
omeka_6091,1968ColumbiaCrisis_nhb_000,"Crowds leaving Martin Luther King, Jr. memorial service",,"Crowds leaving Martin Luther King, Jr. memorial service held in St. Paul's Chapel on April 9, 1968.
",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/mlk,1922_mlkmemorialservice4.jpg,1968-04-09,,9 April 1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital,eng,"Box 59, Frame 9a",Office of Public Affairs Negatives,Collection number: UA#0519,Memorial service,fast,http://id.worldcat.org/fast/1015902,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,"King, Martin Luther, Jr., 1929-1968",fast,http://id.worldcat.org/fast/40023,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,Original Format: 35 mm negative,,
omeka_5676,1968ColumbiaCrisis_anu_000,"Police at 1968 commencement
",,"color snapshot showing police presence around campus on Commencement Day, June 4, 1968
",https://exhibitions.cul.columbia.edu/exhibits/show/1968/commencement/commencement1,commencement_1968.jpg,1968-06-04,,4 June 1968,,Private Collection,PVT-COLL,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital,eng,,Private Collection,,Commencement ceremonies,fast,http://id.worldcat.org/fast/869276,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Epstein, Steven",naf,http://id.loc.gov/authorities/names/n82150765,1968: Columbia in Crisis ,,"Steven Epstein, '68L","These images may not be reproduced without the permission of Steven Epstein. Please contact the University Archives for further information.
"
omeka_5675,1968ColumbiaCrisis_vqb_000,"1968 counter commencement with people on steps
",,"color snapshot showing counter commencement crowds on steps in front of Low Library on Commecnement day, June 4, 1968 
",https://exhibitions.cul.columbia.edu/exhibits/show/1968/commencement/counter,countercommencement_3.jpg,1968-06-04,,4 June 1968,,Private Collection,PVT-COLL,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital,eng,,Private Collection,,Commencement ceremonies,fast,http://id.worldcat.org/fast/869276,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Epstein, Steven",naf,http://id.loc.gov/authorities/names/n82150765,1968: Columbia in Crisis ,,"Steven Epstein, '68L","These images may not be reproduced without the permission of Steven Epstein. Please contact the University Archives for further information.
"
omeka_5674,1968ColumbiaCrisis_aav_000,"1968 counter commencement with woman in yellow dress
",,"color snapshot showing counter commencement crowds on Low Library plaza on Commencement day, June 4, 1968 
",https://exhibitions.cul.columbia.edu/exhibits/show/1968/commencement/counter,1968_countercommencement_2.jpg,1968-06-04,,4 June 1968,,Private Collection,PVT-COLL,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital,eng,,Private Collection,,Commencement ceremonies,fast,http://id.worldcat.org/fast/869276,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Epstein, Steven",naf,http://id.loc.gov/authorities/names/n82150765,1968: Columbia in Crisis ,,,"These images may not be reproduced without the permission of Steven Epstein. Please contact the University Archives for further information.
"
omeka_5673,1968ColumbiaCrisis_wjr_000,"1968 counter commencement with orange banner
",,"color snapshot showing an orange banner on display amidst counter commencement crowds on Commencement Day, June 4, 1968
",https://exhibitions.cul.columbia.edu/exhibits/show/1968/commencement/counter,countercommencement_1968.jpg,1968-06-04,,4 June 1968,,Private Collection,PVT-COLL,,,still image,photograph,aat,http://vocab.getty.edu/aat/300046300,reformatted digital,eng,,Private Collection,,Commencement ceremonies,fast,http://id.worldcat.org/fast/869276,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Epstein, Steven",naf,http://id.loc.gov/authorities/names/n82150765,1968: Columbia in Crisis ,,,"These images may not be reproduced without the permission of Steven Epstein. Please contact the University Archives for further information.

"
omeka_5672,1968ColumbiaCrisis_zjq_000,"1968 commencement snapshots
",,"""(4) color snapshots arranged on a board, showing counter commencement crowds and police presence around campus
on Commencement Day, June 4, 1968
""
",,1968_commencement_1.jpg,1968-06-04,,"4 June 1968
",,Private Collection,PVT-COLL,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital,eng,,Private Collection,,Commencement ceremonies,fast,http://id.worldcat.org/fast/869276,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Epstein, Steven",naf,http://id.loc.gov/authorities/names/n82150765,1968: Columbia in Crisis ,,"Steven Epstein, '68L","These images may not be reproduced without the permission of Steven Epstein. Please contact the University Archives for further information.

"
omeka_5666,1968ColumbiaCrisis_mpr_001,"""1968: Crisis at Columbia"" exhibition posters",Front page,,,1968-frontpage.jpg,2010-01-01,2010-05-18,2008,,"Rare Book and Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,still image,,,,reformatted digital,eng,,,,,,,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Baer, Greg",,,1968: Columbia in Crisis ,,"Columbia University Archives, Rare Book and Manuscript Library.",
