omeka_identifier-1:omeka_identifier_value,_identifiers-1,_digital_object_type.string_key,title-1:title_sort_portion,abstract-1:abstract_value,object_in_context_url-1:object_in_context_url_value,note-1:note_value,note-1:note_type,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created_textual-1:date_created_textual_value,date_created-1:date_created_type,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,digital_origin-1:digital_origin_value,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,location-2:location_shelf_location-2:location_shelf_location_free_text,location-3:location_shelf_location-3:location_shelf_location_free_text,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.uri,extent-1:extent_value,note-2:note_value,note-:note_type,use_and_reproduction-1:use_and_reproduction_value
omeka_5674,1968ColumbiaCrisis_aav,item,"1968 counter commencement with woman in yellow dress
","Color snapshot showing counter commencement crowds on Low Library plaza on Commencement day, June 4, 1968 
",,,,1968-06-04,,4 June 1968,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital,,,,Private Collection,,Commencement ceremonies,fast,http://id.worldcat.org/fast/869276,,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Epstein, Steven",naf,http://id.loc.gov/authorities/names/n82150765,,"Steven Epstein, '68L",ownership,"These images may not be reproduced without the permission of Steven Epstein. Please contact the University Archives for further information.
"
omeka_5674,1968ColumbiaCrisis_aav_000,asset,"1968 counter commencement with woman in yellow dress
","color snapshot showing counter commencement crowds on Low Library plaza on Commencement day, June 4, 1968 
",https://exhibitions.cul.columbia.edu/exhibits/show/1968/commencement/counter,1968_countercommencement_2.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5643,1968ColumbiaCrisis_acr,item,Police and crowds,View of police and crowds around Low Memorial Library,,,,1968-04,,Apr-68,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,,,,Private Collection,,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Epstein, Alan R.",naf,http://id.loc.gov/authorities/names/n80163168,,Columbia College Today,ownership,Permission to reproduce this image must be obtained from Columbia College Today. Please contact the University Archives for contact information.
omeka_5643,1968ColumbiaCrisis_acr_000,asset,Police and crowds,View of police and crowds around Low Memorial Library,https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/outside,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_cct_1,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5618,1968ColumbiaCrisis_aek,item,"""Senate Overwhelmingly Approved""","The Columbia Daily Spectator. 8 April 1969, page 3",,,,1969-04-08,,8-Apr-69,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,1968-1969,,,Columbia Daily Spectator,,College student newspapers and periodicals,fast,http://id.worldcat.org/fast/867966,,,,,,,,,,,,,,,,
omeka_5618,1968ColumbiaCrisis_aek_000,asset,Page 3,"The Columbia Daily Spectator. 8 April 1969, page 3",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044103,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_9566,1968ColumbiaCrisis_ahh,item,"Transcript of 214th Columbia University Commencement Address, June 4th 1968","Transcript of 4 June 1968 Commencement speech given by Professor Richard Hofstadter at a ceremony held in The Cathedral of St. John The Divine.
",,,,1968-06-04,,"June 4, 1968",,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,transcripts,aat,http://vocab.getty.edu/aat/300027388,,,,,,,Baccalaureate addresses,fast,http://id.worldcat.org/fast/825018,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Hofstadter, Richard, 1916-1970",naf,http://id.loc.gov/authorities/names/n79006384,,,,
omeka_9566,1968ColumbiaCrisis_ahh_000,asset,"Transcript of 214th Columbia University Commencement Address, June 4th 1968","Transcript of 4 June 1968 Commencement speech given by Professor Richard Hofstadter at a ceremony held in The Cathedral of St. John The Divine.
",https://exhibitions.cul.columbia.edu/exhibits/show/1968/commencement/commencement1,214th Columbia University Commencement Address.pdf,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5538,1968ColumbiaCrisis_ahu,item,At Issue,"May 13, 1968 edition of At Issue",,,,1968-05-13,,13-May-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,"Box 10, Folder 1",Box 10,Folder 1,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Physical Dimensions: 11.25""x16""",,,
omeka_5538,1968ColumbiaCrisis_ahu_001,asset,Page 1,"May 13, 1968 edition of At Issue",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/women,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044023,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5538,1968ColumbiaCrisis_ahu_002,asset,Page 2,"May 13, 1968 edition of At Issue",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/women,At Issue2.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5538,1968ColumbiaCrisis_ahu_003,asset,Page 3,"May 13, 1968 edition of At Issue",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/women,At Issue3.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5538,1968ColumbiaCrisis_ahu_004,asset,Page 4,"May 13, 1968 edition of At Issue",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/women,At Issue 4.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5676,1968ColumbiaCrisis_anu,item,"Police at 1968 commencement
","Color snapshot showing police presence around campus on Commencement Day, June 4, 1968
",,,,1968-06-04,,4 June 1968,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital,,,,Private Collection,,Commencement ceremonies,fast,http://id.worldcat.org/fast/869276,,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Epstein, Steven",naf,http://id.loc.gov/authorities/names/n82150765,,"Steven Epstein, '68L",ownership,"These images may not be reproduced without the permission of Steven Epstein. Please contact the University Archives for further information.
"
omeka_5676,1968ColumbiaCrisis_anu_000,asset,"Police at 1968 commencement
","color snapshot showing police presence around campus on Commencement Day, June 4, 1968
",https://exhibitions.cul.columbia.edu/exhibits/show/1968/commencement/commencement1,commencement_1968.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5554,1968ColumbiaCrisis_asi,item,Letter from Andrew Cordier to President Grayson Kirk,"Letter in support of Kirk's actions from the man who would eventually
replace him as president of Columbia University, page 2",,,,1968-04-29,,29-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 42, Folder 2",Box 42,Folder 2,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 8.5""x11""",,,
omeka_5554,1968ColumbiaCrisis_asi_000,asset,Page 2,"Letter in support of Kirk's actions from the man who would eventually
replace him as president of Columbia University, page 2",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044039,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5640,1968ColumbiaCrisis_atz,item,Aftermath of bust,"Interior of one of the occupied buildings, perhaps Mathematics, after the police bust
",,,,1968-04,,Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,"Binder 1, Roll 26 or 27",,,Office of Public Affairs Protest & Activism Photograph Collection,Collection number: UA#0109,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,,,,
omeka_5640,1968ColumbiaCrisis_atz_000,asset,Aftermath of bust,"Interior of one of the occupied buildings, perhaps Mathematics, after the police bust
",https://exhibitions.cul.columbia.edu/exhibits/show/1968/bust/bust2,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_capa_764,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
