item - itemId,item - public,item - featured,item - MODS - FormGenre,item - MODS - FormGenre - Authority,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - PublicationDate,item - DublinCore - Date,item - MODS - TypeofDate,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - RepositoryName - code - Authority,item - MODS - Subrepository,item - MODS - ShelfLocation,item - DublinCore - Description 1,item - DublinCore - Description 2,item - DublinCore - Title - Display,item - DublinCore - Title - Work,item - DublinCore - Title - Work - Identifier,item - DublinCore - Title - Part,item - DublinCore - Identifier,item - DublinCore - Creator 1,item - DublinCore - Creator 1 - Authority,item - DublinCore - Creator 1 - Authority - Identifier,item - DublinCore - Creator 2,item - DublinCore - Creator 2 - Authority,item - DublinCore - Creator 2 - Authority - Identifier,item - DublinCore - Publisher 1,item - DublinCore - Publisher 2,item - MODS - PublicationPlace 1,item - MODS - PublicationPlace 2,item - MODS - PlaceofOrigin,item - MODS - PlaceofOrigin - Authority - Identifier,Subject - Name,Subject - Name - Authority,Subject - Name - Authority - Identifier,Subject 1 - Topic,Subject 1 - Topic - Authority,Subject 1 - Topic - Authority - Identifier,Subject 2 - Topic,Subject 2 - Topic - Authority,Subject 2 - Topic - Authority - Identifier,Subject - Geographic,Subject - Geographic - Authority,Subject - Geographic - Authority - Identifier,item - DublinCore - Language,item - MODS - LanguageofCataloging,item - MODS - Notes 1,item - MODS - Notes 2,item - OriginalFileLoadedIntoOmeka,item - MODS - DigitalOrigin,item - itemType,item - ItemType - text,item - MODS - PhysicalDescription,item - OmekaCollection,item in context,project URL
006677,1,0,objects,aat,1953,,1953?,1953?,approximate,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,Avery Classics Collection,,,,Stalinallee. View of Sidewalk Café,Stalinallee,sta_011,View of Sidewalk Café,,Row-Optik Rathenow,,,,,,,,Rathenow,,Rathenow (Germany),http://id.loc.gov/authorities/names/n88165110,,,,"Karl-Marx-Allee (Berlin, Germany)",lcsh,http://id.loc.gov/authorities/subjects/sh97002779,,,,Berlin (Germany),naf,http://id.loc.gov/authorities/names/n79034972,ger,eng,,,original filename: AA9200B4Stl63_09.jpg,reformatted digital,still image,,,Avery’s Architectural Novelties,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee,http://www.columbia.edu/cgi-bin/cul/resolve?clio9427856
006676,1,0,objects,aat,1953,,1953?,1953?,approximate,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,Avery Classics Collection,,,,Stalinallee. View of Man Sitting in a Garden,Stalinallee,sta_010,View of Man Sitting in a Garden,,Row-Optik Rathenow,,,,,,,,Rathenow,,Rathenow (Germany),http://id.loc.gov/authorities/names/n88165110,,,,"Karl-Marx-Allee (Berlin, Germany)",lcsh,http://id.loc.gov/authorities/subjects/sh97002779,,,,Berlin (Germany),naf,http://id.loc.gov/authorities/names/n79034972,ger,eng,,,original filename: AA9200B4Stl63_08.jpg,reformatted digital,still image,,,Avery’s Architectural Novelties,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee,http://www.columbia.edu/cgi-bin/cul/resolve?clio9427856
006675,1,0,objects,aat,1953,,1953?,1953?,approximate,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,Avery Classics Collection,,,,Stalinallee. View of Flowers and Building,Stalinallee,sta_009,View of Flowers and Building,,Row-Optik Rathenow,,,,,,,,Rathenow,,Rathenow (Germany),http://id.loc.gov/authorities/names/n88165110,,,,"Karl-Marx-Allee (Berlin, Germany)",lcsh,http://id.loc.gov/authorities/subjects/sh97002779,,,,Berlin (Germany),naf,http://id.loc.gov/authorities/names/n79034972,ger,eng,,,original filename: AA9200B4Stl63_07.jpg,reformatted digital,still image,,,Avery’s Architectural Novelties,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee,http://www.columbia.edu/cgi-bin/cul/resolve?clio9427856
006674,1,0,objects,aat,1953,,1953?,1953?,approximate,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,Avery Classics Collection,,,,Stalinallee. View of Outdoor Café,Stalinallee,sta_008,View of Outdoor Café,,Row-Optik Rathenow,,,,,,,,Rathenow,,Rathenow (Germany),http://id.loc.gov/authorities/names/n88165110,,,,"Karl-Marx-Allee (Berlin, Germany)",lcsh,http://id.loc.gov/authorities/subjects/sh97002779,,,,Berlin (Germany),naf,http://id.loc.gov/authorities/names/n79034972,ger,eng,,,original filename: AA9200B4Stl63_06.jpg,reformatted digital,still image,,,Avery’s Architectural Novelties,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee,http://www.columbia.edu/cgi-bin/cul/resolve?clio9427856
006673,1,0,objects,aat,1953,,1953?,1953?,approximate,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,Avery Classics Collection,,,,Stalinallee. View of Flowers and Outdoor Café,Stalinallee,sta_007,View of Flowers and Outdoor Café,,Row-Optik Rathenow,,,,,,,,Rathenow,,Rathenow (Germany),http://id.loc.gov/authorities/names/n88165110,,,,"Karl-Marx-Allee (Berlin, Germany)",lcsh,http://id.loc.gov/authorities/subjects/sh97002779,,,,Berlin (Germany),naf,http://id.loc.gov/authorities/names/n79034972,ger,eng,,,original filename: AA9200B4Stl63_05.jpg,reformatted digital,still image,,,Avery’s Architectural Novelties,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee,http://www.columbia.edu/cgi-bin/cul/resolve?clio9427856
006672,1,0,objects,aat,1953,,1953?,1953?,approximate,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,Avery Classics Collection,,,,"Stalinallee. View of Street, Garden and Building",Stalinallee,sta_006,"View of Street, Garden and Building",,Row-Optik Rathenow,,,,,,,,Rathenow,,Rathenow (Germany),http://id.loc.gov/authorities/names/n88165110,,,,"Karl-Marx-Allee (Berlin, Germany)",lcsh,http://id.loc.gov/authorities/subjects/sh97002779,,,,Berlin (Germany),naf,http://id.loc.gov/authorities/names/n79034972,ger,eng,,,original filename: AA9200B4Stl63_04.jpg,reformatted digital,still image,,,Avery’s Architectural Novelties,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee,http://www.columbia.edu/cgi-bin/cul/resolve?clio9427856
006671,1,0,objects,aat,1953,,1953?,1953?,approximate,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,Avery Classics Collection,,,,Stalinallee. View of Building,Stalinallee,sta_005,View of Building,,Row-Optik Rathenow,,,,,,,,Rathenow,,Rathenow (Germany),http://id.loc.gov/authorities/names/n88165110,,,,"Karl-Marx-Allee (Berlin, Germany)",lcsh,http://id.loc.gov/authorities/subjects/sh97002779,,,,Berlin (Germany),naf,http://id.loc.gov/authorities/names/n79034972,ger,eng,,,original filename: AA9200B4Stl63_03.jpg,reformatted digital,still image,,,Avery’s Architectural Novelties,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee,http://www.columbia.edu/cgi-bin/cul/resolve?clio9427856
006670,1,0,objects,aat,1953,,1953?,1953?,approximate,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,Avery Classics Collection,,,,"Stalinallee. View of Garden, Statue and Trees",Stalinallee,sta_004,"View of Garden, Statue and Trees",,Row-Optik Rathenow,,,,,,,,Rathenow,,Rathenow (Germany),http://id.loc.gov/authorities/names/n88165110,,,,"Karl-Marx-Allee (Berlin, Germany)",lcsh,http://id.loc.gov/authorities/subjects/sh97002779,,,,Berlin (Germany),naf,http://id.loc.gov/authorities/names/n79034972,ger,eng,,,original filename: AA9200B4Stl63_02.jpg,reformatted digital,still image,,,Avery’s Architectural Novelties,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee,http://www.columbia.edu/cgi-bin/cul/resolve?clio9427856
006669,1,0,objects,aat,1953,,1953?,1953?,approximate,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,Avery Classics Collection,,,,Stalinallee. View of Cars and Building,Stalinallee,sta_003,View of Cars and Building,,Row-Optik Rathenow,,,,,,,,Rathenow,,Rathenow (Germany),http://id.loc.gov/authorities/names/n88165110,,,,"Karl-Marx-Allee (Berlin, Germany)",lcsh,http://id.loc.gov/authorities/subjects/sh97002779,,,,Berlin (Germany),naf,http://id.loc.gov/authorities/names/n79034972,ger,eng,,,original filename: AA9200B4Stl63_01.jpg,reformatted digital,still image,,,Avery’s Architectural Novelties,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee,http://www.columbia.edu/cgi-bin/cul/resolve?clio9427856
006668,1,0,objects,aat,1953,,1953?,1953?,approximate,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,Avery Classics Collection,,,,Stalinallee. View of Traffic Roundabout,Stalinallee,sta_002,View of Traffic Roundabout,,Row-Optik Rathenow,,,,,,,,Rathenow,,Rathenow (Germany),http://id.loc.gov/authorities/names/n88165110,,,,"Karl-Marx-Allee (Berlin, Germany)",lcsh,http://id.loc.gov/authorities/subjects/sh97002779,,,,Berlin (Germany),naf,http://id.loc.gov/authorities/names/n79034972,ger,eng,,,original filename: AA9200B4Stl63_00.jpg,reformatted digital,still image,,,Avery’s Architectural Novelties,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee,http://www.columbia.edu/cgi-bin/cul/resolve?clio9427856
