omeka_identifier-1:omeka_identifier_value,_pid,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,_project.string_key,collection-1:collection_term.value,collection-1:collection_term.uri,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,location-1:location_sublocation,location-1:location_shelf_location-1:location_shelf_location_free_text,abstract-1:abstract_value,title-1:title_sort_portion,title-1:title_non_sort_portion,clio_identifier-1:clio_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-2:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-2:name_role_term.value,name-2:name_role-2:name_role_term.authority,name-2:name_role-2:name_role_term.uri,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_term.authority,name-3:name_term.uri,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,place_authority_identifier,place_of_origin-2:place_of_origin_value,place2_authority_identifier,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,language-3:language_term.value,language-3:language_term.authority,language-3:language_term.uri,language_of_cataloging-1:language_of_cataloging_term.value,note-1:note_value,note-1:note_type,note-2:note_value,note-2:note_type,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,note-7:note_value,note-7:note_type,extent-1:extent_value,relatedItem_project,project URL,object_in_context_url-1:object_in_context_url_value
omeka_6677,,asset,averynovelties_sta_011,averynovelties_sta,,,,,,,,,,,,,,,,,,,,,View of Sidewalk Café,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: AA9200B4Stl63_09.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee
omeka_6676,,asset,averynovelties_sta_010,averynovelties_sta,,,,,,,,,,,,,,,,,,,,,View of Man Sitting in a Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: AA9200B4Stl63_08.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee
omeka_6675,,asset,averynovelties_sta_009,averynovelties_sta,,,,,,,,,,,,,,,,,,,,,View of Flowers and Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: AA9200B4Stl63_07.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee
omeka_6674,,asset,averynovelties_sta_008,averynovelties_sta,,,,,,,,,,,,,,,,,,,,,View of Outdoor Café,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: AA9200B4Stl63_06.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee
omeka_6673,,asset,averynovelties_sta_007,averynovelties_sta,,,,,,,,,,,,,,,,,,,,,View of Flowers and Outdoor Café,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: AA9200B4Stl63_05.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee
omeka_6672,,asset,averynovelties_sta_006,averynovelties_sta,,,,,,,,,,,,,,,,,,,,,"View of Street, Garden and Building",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: AA9200B4Stl63_04.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee
omeka_6671,,asset,averynovelties_sta_005,averynovelties_sta,,,,,,,,,,,,,,,,,,,,,View of Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: AA9200B4Stl63_03.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee
omeka_6670,,asset,averynovelties_sta_004,averynovelties_sta,,,,,,,,,,,,,,,,,,,,,"View of Garden, Statue and Trees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: AA9200B4Stl63_02.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee
omeka_6669,,asset,averynovelties_sta_003,averynovelties_sta,,,,,,,,,,,,,,,,,,,,,View of Cars and Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: AA9200B4Stl63_01.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee
omeka_6668,,asset,averynovelties_sta_002,averynovelties_sta,,,,,,,,,,,,,,,,,,,,,View of Traffic Roundabout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: AA9200B4Stl63_00.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/stalinallee/stalinallee
