identifier_omeka,item - public,item - featured,note,keyDate_start,form,	relatedItem_collection,dateQualifier,shelfLocator,physicalLocation,place,digitalOrigin,languageOfCataloging,name_primary,title,dateCreated,abstract,language,note_filename,typeOfResource,relatedItem_Project
7673,1,0,Original filename: 130058182.tif,1945-03-01,correspondence,Barney Rosset papers,exact,"Box 20, Folder 13","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney","1 March 1945 letter to parents: page 1, verso",1 Mar. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058182.jpg,Still Image,"Barney Rosset and China
"
7672,1,0,Original filename: 130058181.tif,1944-12-22 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 12","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney","22 December 1944 letter to parents: page 2, verso",22 Dec. 44,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058181.jpg,Still Image,"Barney Rosset and China
"
7671,1,0,school papers-8th grade|Original filename: 130058180.tif,1935 1936,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney","Chinese History Test-Chou Dynasty: page 5, verso",School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058180.jpg,Still Image,"Barney Rosset and China
"
7670,1,0,school papers-8th grade|Original filename: 130058179.tif,1935 1936,maps,Barney Rosset papers,inferred,"Box 1, Folder 1","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",China and Japan Map: back,School year 1935-1936,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058179.jpg,Still Image,"Barney Rosset and China
"
7669,1,0,Original filename: 130058178.tif,1945-05-06 ,correspondence,Barney Rosset papers,ex,"Box 20, folder 14","Rare Book and Manuscript Library, Columbia University",,rd,eng,"Rosset, Barney
","6 May 1945 letter to parents

","6 May 45
",,eng,http://ldpd.cul.columbia.edu/rosset_china_130058/130058178.jpg,Still Image,"Barney Rosset and China
"
7668,1,0,Original filename: 130058177.tif,1945-11-19 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 15","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",19 November 1945 letter to parents: page 3,19 Nov. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058177.jpg,Still Image,"Barney Rosset and China
"
7667,1,0,Original filename: 130058176.tif,1945-11-19 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 15","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",19 November 1945 letter to parents: page 2,19 Nov. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058176.jpg,Still Image,"Barney Rosset and China
"
7666,1,0,Original filename: 130058175.tif,1945-11-19 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 15","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",19 November 1945 letter to parents: page 1,19 Nov. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058175.jpg,Still Image,"Barney Rosset and China
"
7665,1,0,Original filename: 130058174.tif,1945-09-12 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 15","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",12 September 1945 letter to parents: page 2,12 Sep. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058174.jpg,Still Image,"Barney Rosset and China
"
7664,1,0,Original filename: 130058173.tif,1945-09-12 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 15","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",12 September 1945 letter to parents: page 1,12 Sep. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058173.jpg,Still Image,"Barney Rosset and China
"
7663,1,0,Original filename: 130058172.tif,1945-08-17 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 15","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",17 August 1945 letter to parents: page 3,17 Aug. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058172.jpg,Still Image,"Barney Rosset and China
"
7662,1,0,Original filename: 130058171.tif,1945-08-17 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 15","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",17 August 1945 letter to parents: page 2,17 Aug. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058171.jpg,Still Image,"Barney Rosset and China
"
7661,1,0,Original filename: 130058170.tif,1945-08-17 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 15","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",17 August 1945 letter to parents: page 1,17 Aug. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058170.jpg,Still Image,"Barney Rosset and China
"
7660,1,0,Original filename: 130058169.tif,1945-08-03 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 15","Rare Book and Manuscript Library, Columbia University",,rd,eng,"Passantino, Joe",3 August 1945 Passantino letter to Barney Rosset's parents,3 Aug. 45,,eng,http://ldpd.cul.columbia.edu/rosset_china_130058/130058169.jpg,Still Image,"Barney Rosset and China
"
7659,1,0,Original filename: 130058168.tif,1945-04-08 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 14","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",8 June 1945 letter to parents: page 2,8 Jun. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058168.jpg,Still Image,"Barney Rosset and China
"
7658,1,0,Original filename: 130058167.tif,1945-04-08 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 14","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",8 June 1945 letter to parents: page 1,8 Jun. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058167.jpg,Still Image,"Barney Rosset and China
"
7657,1,0,Original filename: 130058166.tif,1945-04-08 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 14","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",14 April 1945 letter to parents,8 Apr. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058166.jpg,Still Image,"Barney Rosset and China
"
7656,1,0,Original filename: 130058165.tif,1945-04-05 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 14","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",5 April 1945 letter to parents: page 2,5 Apr. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058165.jpg,Still Image,"Barney Rosset and China
"
7655,1,0,Original filename: 130058164.tif,1945-04-05 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 14","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",5 April 1945 letter to parents: page 1,5 Apr. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058164.jpg,Still Image,"Barney Rosset and China
"
7654,1,0,Original filename: 130058163.tif,1945-03-01,correspondence,Barney Rosset papers,exact,"Box 20, Folder 13","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",1 March 1945 letter to parents: page 2,1 Mar. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058163.jpg,Still Image,"Barney Rosset and China
"
7653,1,0,Original filename: 130058162.tif,1945-03-01,correspondence,Barney Rosset papers,exact,"Box 20, Folder 13","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",1 March 1945 letter to parents: page 1,1 Mar. 45,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058162.jpg,Still Image,"Barney Rosset and China
"
7652,1,0,Original filename: 130058161.tif,1944-12-22 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 12","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",22 December 1944 letter to parents: page 2,22 Dec. 44,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058161.jpg,Still Image,"Barney Rosset and China
"
7651,1,0,Original filename: 130058160.tif,1944-12-22 ,correspondence,Barney Rosset papers,exact,"Box 20, Folder 12","Rare Book and Manuscript Library, Columbia University",,,,"Rosset, Barney",22 December 1944 letter to parents: page 1,22 Dec. 44,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058160.jpg,Still Image,"Barney Rosset and China
"
7650,1,0,school papers-10th grade|Original filename: 130058159.tif,1937 1938,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 37","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",China and Japan chart: page 3,School year 1937-1938,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058159.jpg,Still Image,"Barney Rosset and China
"
7649,1,0,school papers-10th grade|Original filename: 130058158.tif,1937 1938,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 37","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",China and Japan chart: page 2,School year 1937-1938,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058158.jpg,Still Image,"Barney Rosset and China
"
7648,1,0,school papers-10th grade|Original filename: 130058157.tif,1937 1938,manuscripts,Barney Rosset papers,inferred,"Box 1, Folder 37","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",China and Japan chart: page 1,School year 1937-1938,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058157.jpg,Still Image,"Barney Rosset and China
"
7647,1,0,school papers-10th grade|Original filename: 130058156.tif,1937-10-06 ,manuscripts,Barney Rosset papers,exact,"Box 1, Folder 37","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney","Ancient China-Social Studies: page 2, back",6 Oct. 37,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058156.jpg,Still Image,"Barney Rosset and China
"
7646,1,0,school papers-10th grade|Original filename: 130058155.tif,1937-10-06 ,manuscripts,Barney Rosset papers,exact,"Box 1, Folder 37","Rare Book and Manuscript Library, Columbia University","Chicago, Illinois",,,"Rosset, Barney",Ancient China-Social Studies: page 1,6 Oct. 37,,,http://ldpd.cul.columbia.edu/rosset_china_130058/130058155.jpg,Still Image,"Barney Rosset and China
"
