relatedItem_Collection,name_primary,name_primary_type,name_primaryRelator,name_primaryRelator_authority,name_primaryRelator_authority_identifier,name_primary_authority,name_primary_authority_identifier,name 2,name_type 2,nameRelator 2,nameRelator_authority 2,nameRelator_authority_identifier 2,name_authority 2,name_authority_identifier 2,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,item - public,identifier_clio,identifier_omeka,typeofResource,language,language_authority,language_authority_identifier,location_url_ObjectInContext,source,physicalLocation,physicalLocation_authority,physicalLocation_authority_identifier,shelfLocator,note,note 1,note_holdings,note_filename,note_filename2,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_name,subject_name_authority,subject_name_authority_identifier,subject_title,subject_title_authority,subject_title_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,accessCondition,title_nonsort,title,identifier_title,partName,title2_nonsort,title2,title2_type
Historical Photograph Collection,"Wurts Bros. (New York, N.Y.)",corporate,pht,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/no2010029790,,,,,,,,1934,,approximate,circa 1934,"View of South Hall (Butler Library) as seen from Low Memorial Library, ca. 1934.",0,1,,omeka_522,still image,,,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/art---architecture/architecture--page-2,"Historical Photograph Collection;Box 162;Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",,,,original filename: B75_1001,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,View from Low Memorial Library,butler75_agw,,,,
Historical Photograph Collection,"Wurts Bros. (New York, N.Y.)",corporate,pht,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/no2010029790,,,,,,,,1934,,approximate,circa 1934,"View of South Hall (Butler Library) as seen from Low Memorial Library, ca. 1934.",0,1,,omeka_522,still image,,,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/art---architecture/architecture--page-2,"Historical Photograph Collection;Box 162;Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",,,,original filename: B75_1001,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,View from Low Memorial Library,butler75_agw_000,,,,
Historical Photograph Collection,"Wurts Bros. (New York, N.Y.)",corporate,pht,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/no2010029790,,,,,,,,1934,,approximate,circa 1934,"View of South Hall (Butler Library) browsing room, ca. 1934.",0,1,,omeka_538,still image,,,,,"Historical Photograph Collection;Box 162;Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",,,,original filename: B75_1017,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,Reading rooms,fast,http://id.worldcat.org/fast/1090833,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Browsing Room,butler75_anb,,,,
Historical Photograph Collection,"Wurts Bros. (New York, N.Y.)",corporate,pht,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/no2010029790,,,,,,,,1934,,approximate,circa 1934,"View of South Hall (Butler Library) browsing room, ca. 1934.",0,1,,omeka_538,still image,,,,,"Historical Photograph Collection;Box 162;Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",,,,original filename: B75_1017,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,Reading rooms,fast,http://id.worldcat.org/fast/1090833,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Browsing Room,butler75_anb_000,,,,
Historical Photograph Collection,"Warman, Manny, -1983",personal,pht,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/no2015118397,,,,,,,,1934,2009,inferred,between 1934 and 2009,View of students in the Business Library reading room located in Butler Library.,0,1,,omeka_548,still image,,,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people--page-3,"Historical Photograph Collection;Box 162;Folder 10 (Buildings & Grounds - Morningside - Butler Library, School of Business)",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 10 (Buildings & Grounds - Morningside - Butler Library, School of Business)","Date range based on the date range of the Butler 75: Butler Library's 75th Anniversary, 1934-2009.",,,original filename: B75_1027,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,Reading rooms,fast,http://id.worldcat.org/fast/1090833,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Business Library Reading Room,butler75_anj,,,,
Historical Photograph Collection,"Warman, Manny, -1983",personal,pht,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/no2015118397,,,,,,,,1934,2009,inferred,between 1934 and 2009,View of students in the Business Library reading room located in Butler Library.,0,1,,omeka_548,still image,,,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people--page-3,"Historical Photograph Collection;Box 162;Folder 10 (Buildings & Grounds - Morningside - Butler Library, School of Business)",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 10 (Buildings & Grounds - Morningside - Butler Library, School of Business)","Date range based on the date range of the Butler 75: Butler Library's 75th Anniversary, 1934-2009.",,,original filename: B75_1027,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,Reading rooms,fast,http://id.worldcat.org/fast/1090833,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Business Library Reading Room,butler75_anj_000,,,,
Historical Photograph Collection,,,,,,,,,,,,,,,1934,2009,inferred,between 1934 and 2009,"View of Butler Library through foliage, looking west.",0,1,,omeka_582,still image,,,,,"Historical Photograph Collection;Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)","Date range based on the date range of the Butler 75: Butler Library's 75th Anniversary, 1934-2009.",,,original filename: B75_1061,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Butler Library - Looking West,butler75_anq,,,,
Historical Photograph Collection,,,,,,,,,,,,,,,1934,2009,inferred,between 1934 and 2009,"View of Butler Library through foliage, looking west.",0,1,,omeka_582,still image,,,,,"Historical Photograph Collection;Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)","Date range based on the date range of the Butler 75: Butler Library's 75th Anniversary, 1934-2009.",,,original filename: B75_1061,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Butler Library - Looking West,butler75_anq_000,,,,
Historical Photograph Collection,,,,,,,,,,,,,,,1934,2009,inferred,between 1934 and 2009,View from below of one of the exterior light fixtures on the front of Butler Library.,0,1,,omeka_591,still image,,,,,"Historical Photograph Collection;Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)","Date range based on the date range of the Butler 75: Butler Library's 75th Anniversary, 1934-2009.",,,original filename: B75_1070,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Butler Library Exterior Lamp,butler75_anv,,,,
Historical Photograph Collection,,,,,,,,,,,,,,,1934,2009,inferred,between 1934 and 2009,View from below of one of the exterior light fixtures on the front of Butler Library.,0,1,,omeka_591,still image,,,,,"Historical Photograph Collection;Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)","Date range based on the date range of the Butler 75: Butler Library's 75th Anniversary, 1934-2009.",,,original filename: B75_1070,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Butler Library Exterior Lamp,butler75_anv_000,,,,
