_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,note-2:note_type,note-2:note_value,note-3:note_type,note-3:note_value,title-1:title_non_sort_portion,title-1:title_sort_portion,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,omeka_identifier-1:omeka_identifier_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1.name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_usage_primary,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,object_in_context_url-1:object_in_context_url_value,location-1:location_term.value,location-1:location_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created-1:date_created_key_date,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,digital_origin-1:digital_origin_value,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.uri,subject_name-5:subject_name_term.value,subject_name-5:subject_name_term.name_type,subject_name-5:subject_name_term.authority,subject_name-5:subject_name_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,abstract-1:abstract_value,note-1:note_value,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_term.value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,_project.string_key
rbml_nyccc_100131070,,item,,,,,,"Letter, from Chamber of Commerce, New York, November 3, 1859",230,1,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VII: Correspondence, 1804-1979",2,subseries,"Subseries VII.3: Subject Files, 1804-1979",New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,,,,,,,,,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"November 3, 1859",1859-11-03,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Cotton trade,fast,http://id.worldcat.org/fast/00881080,,,,,,,United States,naf,http://id.loc.gov/authorities/names/n78095330,,,,Sandy cotton,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
rbml_nyccc_100131070_001,rbml_nyccc_100131070,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131070,filename,httpwwwcolumbia_14142fe02e.educgi-binculdevdlo2obj=rbml_nyccc_100131070,,Page 1,,,2770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/crisis/cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
rbml_nyccc_100131070_002,rbml_nyccc_100131070,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131070a,filename,httpwwwcolumbia_ed6cd05245.educgi-binculdevdlo2obj=rbml_nyccc_100131070a,,Page 2,,,2771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131069,,item,,,,,,Vocational Re-Habilitation of War and Industrial Cripples,258,12,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VI: Committees, 1822-1972",2,subseries,"Subseries VI.2: General Committees, 1822-1973",New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Addressee,marcrelator,http://id.loc.gov/vocabulary/relators/rcp,TRUE,,,,,,,,,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"June 7, 1918",1918-06-07,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,People with disabilities,fast,http://id.worldcat.org/fast/01057245,Disabled veterans,fast,http://id.worldcat.org/fast/00894659,,,,United States,naf,http://id.loc.gov/authorities/names/n78095330,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131069_001,RBML_NYCCC_100131069,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131069,filename,httpwwwcolumbia_7844ea4910.educgi-binculdevdlo2obj=rbml_nyccc_100131069,,Page 1,,,2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/workers/rehabiliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131069_002,RBML_NYCCC_100131069,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131069a,filename,httpwwwcolumbia_e58dd2d9bd.educgi-binculdevdlo2obj=rbml_nyccc_100131069a,,Page 2,,,2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131068,,item,,,,,,"Proposed New Building of Seamen's Church Institute, South St. and Coenties Slip",256,18,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VI: Committees, 1822-1972",2,subseries,"Subseries VI.2: General Committees, 1822-1973 ",New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Contributor,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,TRUE,,,,,,,,,still image,architectural drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm000455,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"January 11, 1911",1911-01-11,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,Seamen's Church Institute of New York,corporate,naf,http://id.loc.gov/authorities/names/no2010008147,,,,,,,,,,,,,,,,,Buildings,fast,http://id.worldcat.org/fast/00840962,Architecture,fast,http://id.worldcat.org/fast/00813346,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"South Street (New York, N.Y.)",lcsh,http://id.loc.gov/authorities/subjects/sh85125600,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131068_001,RBML_NYCCC_100131068,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131068,filename,httpwwwcolumbia_3383a84c8e.educgi-binculdevdlo2obj=rbml_nyccc_100131068,,"Proposed New Building of Seamen's Church Institute, South St. and Coenties Slip",,,2767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131067,,item,,,,,,Chamber Civil Defense Exhibit at Wanamaker's,175,1,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,still image,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,1950 May-1951 April,1950-05,1951-04,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Civil defense,fast,http://id.worldcat.org/fast/00862456,Department stores,fast,http://id.worldcat.org/fast/00890783,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,"""The John Wanamaker Department Store, Broadway on Eights to Tenth Streets, reproduced in one of its windows the Air Raid Shelter Equipment Display prepared by the Committee on National Security of the Chamber. The exhibit which was viewed by thousands of midtown shoppers and passerby was also shown later in a window of the Wanamaker downtown store at Broadway and Liberty Street.""","From Bulletin, Vol. 42, 1950 May-1951 April",New York Chamber of Commerce,New York,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131067_001,RBML_NYCCC_100131067,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131067,filename,httpwwwcolumbia_125468699b.educgi-binculdevdlo2obj=rbml_nyccc_100131067,,Chamber Civil Defense Exhibit at Wanamaker's,,,2766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/politics/protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,
