relatedItem_collection,name_primary,name_primary_type,name_primaryRelator,name_primaryRelator_authority,name_primaryRelator_authority_identifier,name_primary_authority,name_primary_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,note,name_primary_description,item - featured,item - public,identifier_clio,identifier_omeka,language,language_authority,language_authority_identifier,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,physicalLocation_authority_identifier,note 2,note 3,note_filename,note_filename 2,note_filename 3,digitalOrigin,form,form_authority,form_authority_identifer,form_originalFormat,place,place_authority_identifier,relatedItem_Project,projectURL,languageOfCataloging,subject_topic,subject_topic_authority,subject_topic_authority_identifier,genre,genre_authority,genre_authority_identifier 2,subject_topic 2,subject_topic _authority 2,subject_topic_authority_identifier 23,title,title_type,title_nonSort,title2,title2_nonSort,identifier_title,partName
Spanish Children's Drawings of the Civil War Collection,"Gómez, Luis",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Colony: Colonia Regimen Familiar, Alboraya, Spain",Age 12.,0,1,,omeka_8205,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 119,original filename: 119.tif,original filename: 119.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Alboraya (Spain),http://id.loc.gov/authorities/names/n98034090,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,"Air Battle, Tank And Cannon On Land",,,,,childrensdrawings_agf,
Spanish Children's Drawings of the Civil War Collection,"Gómez, Luis",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Colony: Colonia Regimen Familiar, Alboraya, Spain",Age 12.,0,1,,omeka_8205,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_2,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 119,original filename: 119.tif,original filename: 119.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Alboraya (Spain),http://id.loc.gov/authorities/names/n98034090,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,"Air Battle, Tank And Cannon On Land",,,,,childrensdrawings_agf_000,
Spanish Children's Drawings of the Civil War Collection,"Cid, Augustin",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Colony: Residencia Infantil #21, Sueca, Spain",Age 12.,0,1,,omeka_8130,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 44,original filename: 44.tif,original filename: 44.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Sueca (Spain),http://id.loc.gov/authorities/names/n83194816,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,"Three Buses In A Row, Each With A Sign Saying 'evacuacion'",,,,,childrensdrawings_anr,
Spanish Children's Drawings of the Civil War Collection,"Cid, Augustin",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Colony: Residencia Infantil #21, Sueca, Spain",Age 12.,0,1,,omeka_8130,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_1,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 44,original filename: 44.tif,original filename: 44.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,Sueca (Spain),http://id.loc.gov/authorities/names/n83194816,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,"Three Buses In A Row, Each With A Sign Saying 'evacuacion'",,,,,childrensdrawings_anr_000,
Spanish Children's Drawings of the Civil War Collection,"Roman, Arturo",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Colony: Albaida, Valencia",Age 11.,0,1,,omeka_8158,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 72,original filename: 72.tif,original filename: CannonRev.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,"Albaida (Valencia, Spain)",http://id.loc.gov/authorities/names/nr92037960,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Three Men And A Cannon,,,,,childrensdrawings_asv,
Spanish Children's Drawings of the Civil War Collection,"Roman, Arturo",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Colony: Albaida, Valencia",Age 11.,0,1,,omeka_8158,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_3,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 72,original filename: 72.tif,original filename: CannonRev.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,"Albaida (Valencia, Spain)",http://id.loc.gov/authorities/names/nr92037960,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Three Men And A Cannon,,,,,childrensdrawings_asv_000,
Spanish Children's Drawings of the Civil War Collection,"Aguilar, Rocio",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Colony:  Colonia Escolar #1, Torrente.  Depicts a girl outside a house, near a table, basket and chicken w. 2 big Panzers overhead and 5 moscas in the distance.. Stamp: ""Ministerio de Instrucción Pública"" ",,0,1,,omeka_8152,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 66,original filename: 66.tif,original filename: 66.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,"Torrente (Valencia, Spain)",http://id.loc.gov/authorities/names/n80040690,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Drawing Of A Girl Outside With Airplanes,,,,,childrensdrawings_awo,
Spanish Children's Drawings of the Civil War Collection,"Aguilar, Rocio",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Colony:  Colonia Escolar #1, Torrente.  Depicts a girl outside a house, near a table, basket and chicken w. 2 big Panzers overhead and 5 moscas in the distance.. Stamp: ""Ministerio de Instrucción Pública"" ",,0,1,,omeka_8152,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_1,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 66,original filename: 66.tif,original filename: 66.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,"Torrente (Valencia, Spain)",http://id.loc.gov/authorities/names/n80040690,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Drawing Of A Girl Outside With Airplanes,,,,,childrensdrawings_awo_000,
Spanish Children's Drawings of the Civil War Collection,"Amaoro, Francisco",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,,Age 12.,0,1,,omeka_8204,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 118,original filename: 118.tif,original filename: 118.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,,,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Bombardments,translated,,Bambroleos  ,,childrensdrawings_baa,
Spanish Children's Drawings of the Civil War Collection,"Amaoro, Francisco",personal,art,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,,Age 12.,0,1,,omeka_8204,spa,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,https://exhibitions.cul.columbia.edu/exhibits/show/children/country_unknown,NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Date range based on the dates of the Spanish Civil War.,Drawing no: 118,original filename: 118.tif,original filename: 118.jpg,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,still image,,,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,War in art,lcsh,http://id.loc.gov/authorities/subjects/sh85145181,Children's drawings,lcsh,http://id.loc.gov/authorities/subjects/sh88005179,"Spain--History--Civil War, 1936-1939",lcsh,http://id.loc.gov/authorities/subjects/sh85126106,Bombardments,translated,,Bambroleos  ,,childrensdrawings_baa_000,
