relatedItem_collection,name_primary,name_primary_type,name_primaryRelator,name_primaryRelator_authority,name_primaryRelator_authority_identifier,name_primary_authority,name_primary_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,item - public,identifier_clio,identifier_omeka,language,location_url_ObjectInContext,physicalLocation,note,note_filename 1,note_filename 2,digitalOrigin,form,form_originalFormat,place,relatedItem_Project,languageOfCataloging,subject_topic 1,subject_topic 2,subject_topic 3,title
"Spanish children's drawings of the Civil War collection
","Rodriguez, Julian
",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13


|Colony: Bayonne, France|Origin: Bilbao",0,1,"Drawing no: 148
",8240,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/p_r/rodriguez_j,nnc-a,"original filename: 148.tif
",148.jpg,,rd,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,"War in art
","Children's drawings--Spain
","Spain--History--Civil War, 1936-1939--Pictorial works
","I saw this theatrical performance given for Spanish children at the St. Esprit Cinema here in Bayonne: a girl is dancing and the man seated beside her is playing the guitar.|Esta escena de teatro a favor de los niños españoles, la ví yo aquí en Bayona en el Cinema St. Esprit: es una muchacha que está bailando, y el hombre que está sentado a su lado, está tocando la guitarra."
"Spanish children's drawings of the Civil War collection
","Garcia Montaño, Guillermo
",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13


|On the facade:  ""Cine Metropolitano""  (The Metropolitan Cinema).  On poster: ""El camino de la vida""
|Colony: Bellús|Origin: Madrid",0,1,"Drawing no: 143
",8239,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/e_g/garcia_montano,nnc-a,"original filename: 143.tif
",143.jpg,,rd,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,"Children's drawings--Spain
","War in art
","Spain--History--Civil War, 1936-1939--Pictorial works
","Life in Madrid before the war
|La vida en Madrid antes de la Revolución  
"
Spanish children's drawings of the Civil War collection,"Mas Monzon, Rafael",,,,,,,1936 1939,,inferred,between 1936 and 1939,Age 12,0,1,Drawing no: 154,8238,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/h_n/mas_monzon,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 154_800.jpg ,154_800.jpg,,rd,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Avión de Bombardeo
Spanish children's drawings of the Civil War collection,"Antolin, Maria",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Colony: Comunidades familiares de Educacion, El Perello, Spain",0,1,Drawing no: 153,8237,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/a_b/antolin,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 153.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/153.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Drawing of household objects with text
Spanish children's drawings of the Civil War collection,"Fernandez Maroto, Leoncio",,,,,,,1937-10-11,,,"October 11, 1937","Depicts 5 airplanes in formation.  |Colony: Instituto Lagasca, Madrid|Dated October 11, 1937| Stamp: Instituto Nacional de 2a enseñanza secretaria.
",0,1,Drawing no: 152,8236,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/madrid,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 152.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/152.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Dibujo de imaginacíon
Spanish children's drawings of the Civil War collection,"Iglesias, Julian",,,,,,,1936 1939,,,between 1936 and 1939,"Age 11|Depicts a town in flames, below a ship near a lighthouse, above two black planes dropping bombs|Colony: Bellús",0,1,Drawing no: 151,8235,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/h_n/iglesias,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 151.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/151.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,,,,Dibujo libre|Free drawing
Spanish children's drawings of the Civil War collection,"Aguirre, Enrique",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Colony: Escuela de niños de la Florida, Madrid|Vivid depiction of jug and wine bottle with label saying ""PERNAUD / JEREZ""",0,1,Drawing no: 150,8234,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/a_b/aguirre,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 150.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/150.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",No 17
Spanish children's drawings of the Civil War collection,"Muñecas, Marcelina",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 12

|The words in the speech balloons read: ""La sirena,"" ""que bienen los abiones,"" ""el refugio,"" ""hija mia"" (The siren;  the airplanes are coming;  to shelter;  ""oh, my daughter."")|Colony: Colonia de niños españoles, Bayonne, France|Origin: Bilbao",0,1,Drawing no: 149,8233,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/h_n/munecas,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 149.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/149.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This is when we were playing next to the shelter.|Esto es cuando estabamos jugando al lado de el refugio.  
Spanish children's drawings of the Civil War collection,"Vergara Garcia, Luis",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 11
|On facades: ""farmacia,"" ""hueveria,"" ""taberna,"" ""vinos,"" ""pescados"".  (A commercial street:  Pharmacy, Egg Store, Tavern, Wines, Fish.)  Stamp: Ministerio de Instrucción Pública.|Colony: Colonia Escolar #1, Torrente",0,1,Drawing no: 147,8232,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/vergara_garcia,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 147.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/147.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Drawing of a commercial street
Spanish children's drawings of the Civil War collection,"Coque, Francisco Carlos",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 12
|Colony: Colonia escolar Germán de Araujo, Alcañiz, Spain",0,1,Drawing no: 146,8231,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/teruel,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 146.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/146.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Reservoir and pump house at the colony.|El depósito y la caseta del motor de la colonia.
Spanish children's drawings of the Civil War collection,"Sanchez Bustos, Francisco",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 16
|Colony: Residencia Infantil #3, Villajoyosa, Spain",0,1,Drawing no: 145,8230,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/alicante,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 145.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/145.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Town Plaza|La Plaza de la Villa  
