	identifier_omeka,item - public,item - featured,dateQualifier,digitalOrigin,physicalLocation,languageOfCataloging,keyDate_start,form,relatedItem_collection,shelfLocator,place,place 2,note,dateCreated,title,name_primary,language,dateCreated 2,source,abstract,subject_topic,publisher,relatedItem_[host?]/[series?],	identifier_clio,note_filename,subject_temporal,typeOfResource,	relatedItem_Project
3927,1,0,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1983-06,periodicals,"Group Research, Inc. records","Box 413, Folder ""Florida-1971""",Fort Lauderdale (Fla.),Fort Lauderdale (Fla.),,,"Upright Ostrich, Vol. 2 Number 6, unnumbered page 1, page 16",Order of the Upright Ostrich|Goot,English,June-July 1983,,"Illustrations by ""Goot""",,Order of the Upright Ostrich,,,Upright Ostrich--Blurred Address.jpg,1983-06 1983-07,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
3926,1,0,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1975-10-11,correspondence,"Group Research, Inc. records","Box 410, Folder: ""Arizona""",Phoenix (Ariz.) ,Phoenix (Ariz.),,1975,"Freedom Today advertising mailing , front fold",Freedom Fellowship Church,English,11 October 1975,,From front fold of newsletter: 'Do you feel torn between what you'd like to do and what you feel you have to do?',,Freedom Fellowship Church,,,Do You Feel Torn--Blurred Address.jpg,1975 ,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
3024,0,0,,,,,,,,,,,,,"Human Events, Volume 23, Number 2 (rescaled)","Human Events, Inc.",,,"Columbia University, Rare Book and Manuscript Library|Group Research, Inc. Records, Box 485, Folder: ""Attacks--W.Mc. File""",,,,,,group_research_100028056a.jpg,1964-01-11 ,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
3023,0,0,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1971-10-26 1971-10-28,periodicals,"Group Research, Inc. records","Box 420, Folder ""North Carolina""",Charlotte (N.C.),Charlotte (N.C.),,1971,Unified Concerned Citizens of America Bulletin,Unified Concerned Citizens of America,English,"October 26, 27 and 28, 1971",,,,Unified Concerned Citizens of America,,,group_research_100028067a.jpg,1971 ,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2860,1,0,inferred,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1961,record covers,"Group Research, Inc. records, ",Box 508,Pheonix (Ariz.),,,,"Building Balanced Children, front cover","Skousen, W. Cleon (Willard Cleon), 1913-2006|Roberts, H. Armstrong",English,1961,,Cover photograph taken by H. Armstrong Roberts,,Key Records,,Key LP-770,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028066,1961 ,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2859,1,0,inferred,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1965,record covers,"Group Research, Inc. records",Box 508,,,,,"""Fortify Our Freedom"", front cover","Storer Broadcasting Company|Hoover, J. Edgar (John Edgar), 1895-1972",English,1965,,,,,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028065,1965 ,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2858,1,0,approximate,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1966,record covers,"Group Research, Inc. records",Box 507,,Tulsa (Okla.),,,"Disarmament and the Phoenix Papers, front cover","Hargis, Billy James, 1925- ",English,circa 1966,,Album cover lists label as 'Christian Crusade Recordings',,Christian Crusade,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028064,1966 ,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2857,1,0,approximate,reformatted digital,"Columbia University, Rare Book and Manuscript Library",English,1966,sound recordings,"Group Research, Inc. records",Box 507,,Tulsa (Okla.),,,"Disarmament and the Phoenix Papers, front cover and close up of image on front cover","Hargis, Billy James, 1925- ",English,circa 1966,,Close up of front cover focuses on the image of an American Bald Eagle symbol/illustration.|Album cover lists label as 'Christian Crusade Recordings',,Christian Crusade,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028063|group_research_100028064.jpg,,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2856,1,0,approximate,reformatted digital,"Columbia University, Rare Book and Manuscript Library",English,1968,record covers,"Group Research, Inc. records",Box 507,,Tulsa (Okla.),,,"""The Marxist Minstrels"", back cover","Noebel, David A. ",English,circa 1968,,"This LP consists of David A. Noebel’s spoken ruminations on the theme of his 1966 book, Rhythm, Riots and Revolution.|Recording label listed as 'Christian Crusade Recordings'",,Christian Crusade,"Rhythm, riots, and revolution / by David A. Noebel",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028062,,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2855,1,0,approximate,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1968,record covers,"Group Research, Inc. records ",Box 507,,Tulsa (Okla.),,,"""The Marxist Minstrels"", front cover and back cover","Noebel, David A. ",English,circa 1968,,"This LP consists of David A. Noebel’s spoken ruminations on the theme of his 1966 book, Rhythm, Riots and Revolution.|Recording label listed as 'Christian Crusade Recordings'",,Christian Crusade,"Rhythm, riots, and revolution / by David A. Noebel",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028061|group_research_100028062.jpg,1968 ,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
