_project.string_key,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,title-1:title_non_sort_portion,title-1:title_sort_portion,note-1:note_value,note-1:note_type,note-2:note_value,note-3:note_value,note-3:note_type,object_in_context_url-1--object_in_context_url_value,omeka_identifier-1--omeka_identifier_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,type_of_resource-1:type_of_resource_value,genre-1:genre_term.value,genre-1:genre_term.uri,genre-1:genre_term.authority,language-1:language_term.value,language-1:language_term.uri,language-1:language_term.authority,location-1:location_term.value,location-1:location_term.uri,location-1:location_sublocation,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,collection-1:collection_term.value,collection-1:collection_term.uri,digital_origin-1:digital_origin_value,abstract-1:abstract_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_uri,use_and_reproduction-1:use_and_reproduction_authority,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,date_created-1:date_created_type,subject_name-1:subject_name_term.name_value,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.authority,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.uri,subject_topic-3:subject_topic_term.authority,name-1:name_term.value,name-1:name_term.uri,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.authority,_publish_targets-1.string_key,_publish
,item,churchib_cib_000,,A,Church is Born: Church of South India Inauguration,,,,,,,,filmstrips,http://vocab.getty.edu/aat/300028048,aat,still image,documentary film,http://vocab.getty.edu/aat/300375156,aat,English,http://id.loc.gov/vocabulary/iso639-2/eng,iso639-2b,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Missionary Research Library Archives,1,2-5,A Church is Born Records,http://id.library.columbia.edu/term/1dc0ee18-c4a1-4ea1-ac90-48e98a5420e3,reformatted digital,Filmstrips and commentary on the Church of South India's inauguration.,,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,circa 1948,1948,TRUE,inferred,Church of South India,http://id.loc.gov/authorities/names/n82211742,naf,corporate,India,http://id.loc.gov/authorities/names/n80125948,naf,Protestantism,http://id.worldcat.org/fast/1079920,fast,Ecumenical movement,http://id.worldcat.org/fast/902390,fast,Protestant churches--Missions,http://id.worldcat.org/fast/1079897,fast,Foreign Missions Conference of North America. India Committee,http://id.loc.gov/authorites/names/no2013038494,naf,corporate,TRUE,Film producer,http://id.loc.gov/vocabulary/relators/fmp,marcrelator,,
,asset,churchib_cib_001,churchib_cib_000,,Scene 1: A Church is Born Presented by the India Committee Foreign Missions Conference of North America,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_001.jpg,filename,original filename: burke_church_001.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/miracle/scenesmiracle1,7770,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_002,churchib_cib_000,,Scene 2: The greatest miracle since Pentecost,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_002.jpg,filename,original filename: burke_church_002.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/miracle/scenesmiracle1,7771,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_003,churchib_cib_000,,Scene 3: interior of Medak Cathedral,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_003.jpg,filename,original filename: burke_church_003.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/miracle/scenesmiracle1,7772,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_004,churchib_cib_000,,Scene 4: bishop praying,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_004.jpg,filename,original filename: burke_church_004.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/miracle/scenesmiracle1,7773,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_005,churchib_cib_000,,Scene 5: women standing at door,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_005.jpg,filename,original filename: burke_church_005.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/miracle/scenesmiracle2,7774,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_006,churchib_cib_000,,Scene 6: clergyman,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_006.jpg,filename,original filename: burke_church_006.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/miracle/scenesmiracle2,7775,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_007,churchib_cib_000,,Scene 7: woman,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_007.jpg,filename,original filename: burke_church_007.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/miracle/scenesmiracle2,7776,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_008,churchib_cib_000,,Scene 8: woman and child,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_008.jpg,filename,original filename: burke_church_008.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/miracle/scenesmiracle2,7777,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asset,churchib_cib_009,churchib_cib_000,,Scene 9: man and child,http://ldpd.cul.columbia.edu/a_church_is_born/burke_church_009.jpg,filename,original filename: burke_church_009.tif,"Originally part of the independent Missionary Research Library, these records were accessioned to the Burke Library archives with the closure of the MRL in 1976. The records were processed and preserved as part of a Henry Luce Foundation grant in 2013.",ownership,https://exhibitions.library.columbia.edu/exhibits/show/church/miracle/scenesmiracle2,7778,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
