identifier_omeka,item - public,item - featured,keyDate_start,form,relatedItem_collection,sublocation,shelfLocator,digitalOrigin,physicalLocation,languageOfCataloging,note,dateQualifier,subject_topic,subject_topic 1,subject_topic 2,subject_topic 3,name,name 1,name 2,dateCreated,title,accessCondition,	identifier_clio,note_ownership,note_filename,	typeOfResource,	relatedItem_Project,	location_url_ObjectInContext
9651,1,0,1910-02-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 47",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Feb 1, 1910",Union Theological Seminary 122nd St and Clermont Ave. C-7522. Professors' suites,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880073.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/history
9650,1,0,1910-01-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 46",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Jan 1, 1910",Union Theological Seminary 122nd St and Clermont Ave. C-7492,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880072.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/professors
9649,1,0,1909-12-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 45",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Dec 1, 1909",Union Theological Seminary 122nd St and Clermont Ave. C-7438,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880071.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/professors
9648,1,0,1909-11-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 44",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Nov 1, 1909",Union Theological Seminary 122nd St and Clermont Ave. C-7384,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880070.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/professors
9647,1,0,1909,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 43",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957",1909,Union Theological Seminary C-7308. Professors' Suites,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880069.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/professors
9646,1,0,1909-05-03,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 42B",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","May 3, 1909","Union Theological Seminary C-7047. View from Claremont Ave,","Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880068.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/professors
9645,1,0,1909-05-03,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 42A",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","May 3, 1909","Union Theological Seminary C-7047. View from Claremont Ave,","Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880067.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,
9644,1,0,1909,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 41",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957",1909,Union Theological Seminary Library,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880066.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/history
9643,1,0,1909-07-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 40",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Jul 1, 1909",Union Theological Seminary C-7121. Library,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880065.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfront
9642,1,0,1909-06-01,photographs,"Union Theological Seminary Records, series 18: Photographs",Union Theological Seminary Archives,"Box 2, Folder 39B",reformatted digital,"Burke Library at Union Theological Seminary, Columbia University",eng,,,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)","Union Theological Seminary (New York, N.Y.)",Buildings,New York (N.Y.),"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957","Andrew J. Robinson Co. Builders, NY","Jallade, Louis E. (Louis Eugene), 1876-1957","Jun 1, 1909",Union Theological Seminary C-7075. Library,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.",CLIO_4492510,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880064.jpg,Still Image,Construction and Evolution of Union Theological Seminary Campus,
