_project.string_key,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,abstract-1:abstract_value,clio_identifier-1:clio_identifier_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-3:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-3:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-3:collection_archival_series_part_title,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created-1:date_created_key_date,internal_note-1:internal_note_value,restriction_on_access-1:restriction_on_access_value,restriction_on_access-2:restriction_on_access_value,restriction_on_access-2:restriction_on_access_affiliation-1:restriction_on_access_affiliation_value,edition-1:edition_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,genre-2:genre_term.value,genre-2:genre_term.authority,genre-2:genre_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,location-1:location_term.value,location-1:location_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.uri,name-1:name_term.name_identifier,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-2:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-2:name_term.value,name-2:name_term.authority,name-2:name_term.uri,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,note-1:note_type,note-1:note_value,note-2:note_type,note-2:note_value,object_in_context_url-1:object_in_context_url_value,omeka_identifier-1:omeka_identifier_value,place_of_origin-1:place_of_origin_value,publisher-1:publisher_value,related_item-1:related_item_title,series-1:series_title,series-1:series_number,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.name_type,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-2:subject_name_term.name_type,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_name-3:subject_name_term.name_type,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.uri,subject_name-4:subject_name_term.name_type,subject_name-5:subject_name_term.value,subject_name-5:subject_name_term.authority,subject_name-5:subject_name_term.uri,subject_name-5:subject_name_term.name_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_topic-4:subject_topic_term.value,subject_topic-4:subject_topic_term.authority,subject_topic-4:subject_topic_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion,alternative_title-1:alternative_title_value,type_of_resource-1:type_of_resource_value,use_and_reproduction-1:use_and_reproduction_term.value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,digital_origin-1:digital_origin_value
core_100_exhibit,item,insistent_change_0001,,,,Flat Files Collection,http://id.library.columbia.edu/term/5484c9e0-99f9-402b-98b1-1a6e7755cf67,series,1,Series VIII. Performing Arts,,,,,,,,13,,1914,1914,,,TRUE,,,,,,posters,aat,http://vocab.getty.edu/aat/300027221,,,,,,,,,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,corporate,TRUE,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,,rights holder,Columbia University copyright,,,,,New York (N.Y.),,,,,,,,,,,"Bacon, Francis, 1561-1626",naf,http://id.loc.gov/authorities/names/n79100235,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Medieval Pageant of 13th century culture,,still image,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,reformatted digital
core_100_exhibit,asset,insistent_change_0001_001,insistent_change_0001,,,,,,,,,,,,,,,,,,,,,,,Public Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename,RBML_Core_0001,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0001.jpg,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi,12087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recto,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,reformatted digital
core_100_exhibit,item,insistent_change_0002,,"A portrait of the ""Big Four"" at a Liberty Loan Mass Meeting held at Carnegie Hall on October 18, 1919. Left to right, standing: Nicholas Murray Butler, President of Columbia University and financier J.P. Morgan. Sitting, left to right: Rufus Isaacs, Lord Reading, the British ambassador to the United States, and Benjamin Strong, Jr., governor of the U.S. Federal Reserve Bank.",,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,series,1,Series X: Portraits,,,,,,,,17,,"October 18, 1919",1919-10-18,,,TRUE,,,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,,,Portraits,fast,http://id.worldcat.org/fast/1423831,,,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,"Thompson, Paul",,,,personal,TRUE,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,,,,,,,,,,,,,,,,,New York (N.Y.),,,,,,,,,,,"Butler, Nicholas Murray, 1862-1947",naf,http://id.loc.gov/authorities/names/n50032600,personal,"Morgan, J. P. (John Pierpont), 1867-1943",naf,http://id.loc.gov/authorities/names/n87870881,personal,"Reading, Rufus Daniel Isaacs, Marquess of, 1860-1935",naf,http://id.loc.gov/authorities/names/n83210532,personal,"Strong, Benjamin, 1872-1928",naf,http://id.loc.gov/authorities/names/n82162099,personal,,,,,,,,,,,,,,,,,The,"""Big Four""",,still image,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,reformatted digital
core_100_exhibit,asset,insistent_change_0002_001,insistent_change_0002,,,,,,,,,,,,,,,,,,,,,,,Public Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename,4649_ButlerWithJPMorganEtc,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4649_ButlerWithJPMorganEtc.jpg,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi,12088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recto,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,reformatted digital
core_100_exhibit,item,insistent_change_0003,,,,Columbia University in World War I Collection,http://id.library.columbia.edu/term/524e7eb1-56b8-490f-ac0c-3644996f9798,series,1,"Series I: Alumni Activities, 1917-1944",,,,,,,,1,6,"October 4, 1918",1918-10-04,,,TRUE,,,,,,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,magazines (periodicals),aat,http://vocab.getty.edu/aat/300215389,,,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,corporate,TRUE,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,,,,,,,rights holder,Columbia University copyright,,,,,New York (N.Y.),Columbia University,,,,,,,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,corporate,,,,,,,,,,,,,,,,,World War (1914-1918),fast,http://id.worldcat.org/fast/1180746,,,,,,,,,,,"Columbia Alumni News, volume 10. Columbia at war",,text,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,reformatted digital
core_100_exhibit,asset,insistent_change_0003_001,insistent_change_0003,,,,,,,,,,,,,,,,,,,,,,,Public Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename,RBML_Core_0002,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0002.jpg,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi,12089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cover,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,reformatted digital
core_100_exhibit,item,insistent_change_0004,,,,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,series,1,Series: XIII: World War I,subseries,2,Subseries XIII.4: Instruction,,,,,201,6,1918,1918,,,TRUE,,,,,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,pamphlets,aat,http://vocab.getty.edu/aat/300220572,,,,,,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,corporate,,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,,,,,,,,,,,,,,,,New York (N.Y.),Columbia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Military cinematography,fast,http://id.worldcat.org/fast/1021065,,,,,,,,,,,U.S. School of Military Cinematography,,text,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,reformatted digital
core_100_exhibit,asset,insistent_change_0004_001,insistent_change_0004,,,,,,,,,,,,,,,,,,,,,,,Public Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename,RBML_Core_0003,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0003.jpg,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi,12090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front cover,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,reformatted digital
core_100_exhibit,item,insistent_change_0005,,,,Flat Files Collection,http://id.library.columbia.edu/term/5484c9e0-99f9-402b-98b1-1a6e7755cf67,series,1,"Series IX. Politics & Protest, 1762-1972, bulk 1910s-1960s",,,,,,,,4,5,1918,1918,,,TRUE,,,,,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,administrative records,aat,http://vocab.getty.edu/aat/300027425,,,,,,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,"Woodbridge, Frederick James Eugene, 1867-1940",naf,http://id.loc.gov/authorities/names/n81144093,,personal,,Associated name,marcrelator,http://id.loc.gov/vocabulary/relators/asn,,,,,,,,,,,rights holder,Columbia University copyright,,,,,New York (N.Y.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,World War (1914-1918),fast,http://id.worldcat.org/fast/1180746,Universities and colleges,fast,http://id.worldcat.org/fast/1161597,Universities and colleges--Curricula,fast,http://id.worldcat.org/fast/1161669,,,,,"Students' Army Training Corps schedule of courses. Fall term, 1918",,text,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,reformatted digital
core_100_exhibit,asset,insistent_change_0005_001,insistent_change_0005,,,,,,,,,,,,,,,,,,,,,,,Public Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename,RBML_Core_0004,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0004.jpg,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/satc,12091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recto,,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,reformatted digital
