use_and_reproduction-1:use_and_reproduction_value,_pid,partName,projectURL,_identifiers-1,note-2:note_type,note-2:note_value,relatedItem_project,_project.string_key,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,genre-1:genre_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,date_created-1:date_created_end_value,date_created-1:date_created_start_value,date_created_textual-1:date_created_textual_value,form-2:form_term.uri,form-2:form_term.value,note-3:note_type,note-1:note_type,note-1:note_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,clio_identifier-1:clio_identifier_value,collection-1:collection_term.uri,collection-1:collection_term.value,collection-2:collection_term.uri,collection-2:collection_term.value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,date_created-1:date_created_type,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-7:note_type,note-7:note_value
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0001.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,A Medieval Pageant of 13th C. Culture, , , ,12087, ,still image,fast, , ,1914, ,posters,original_format, ,original filename: RBML_Core_0001, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi, , ,"University Archives, Columbia University",local,holdings, ,Box 13, , ,12905992, ,Flat Files Collection, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4649_ButlerWithJPMorganEtc.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"The ""Big Four""", , , ,12088, ,still image,fast, , ,1919, ,photographs,original_format, ,original filename: 4649_ButlerWithJPMorganEtc, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi, , ,"University Archives, Columbia University",local,holdings, ,Box 17, , ,4080179, ,Historical Photograph Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0002.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"""Columbia At War"" issue of Columbia Alumni News. cover", , , ,12089, ,still image,fast, , ,"October 4, 1918", ,periodicals,original_format, ,original filename: RBML_Core_0002, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi, , ,"University Archives, Columbia University",local,holdings, ,"Box 1, folder 6", , ,4223520, ,Columbia University in World War I Collection, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0003.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,US School of Military Cinematography booklet. cover, , , ,12090, ,still image,fast, , ,1918, ,printed ephemera,original_format, ,original filename: RBML_Core_0003, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi, , ,"University Archives, Columbia University",local,holdings, ,"Box 201, folder 6", , ,4080179, ,Historical Photograph Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0004.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,War Issues Schedule Table, , , ,12091, ,still image,fast, , ,1918, ,printed ephemera,original_format, ,original filename: RBML_Core_0004, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/satc, , ,"University Archives, Columbia University",local,holdings, ,"Box 4, folder 5", , ,12905992, ,Flat Files Collection, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0005.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Frederick J. E. Woodbridge, , , ,12092, ,still image,fast, , ,1902, ,photographs,original_format, ,original filename: RBML_Core_0005, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/satc, , ,"University Archives, Columbia University",local,holdings, ,Box 127, , ,4080179, ,Historical Photograph Collection,,,,,,,,,,, , , , ,"Woodbridge, Frederick James Eugene, 1867-1940", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0006.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"Outline of the Course on Issues of the War for the Student Army Training Corps, Part I: Historical and Economic Causes of War, First Installment. cover", , , ,12093, ,still image,fast, , ,1918, ,printed ephemera,original_format, ,original filename: RBML_Core_0006, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/satc, , ,"University Archives, Columbia University",local,holdings, ,"Box 7, folder 9", , ,4223520, ,Columbia University in World War I Collection, ,CU copyright,,,,,,,,, , , , ,"World War, 1914-1918--Causes", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0007.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"Outline of the Course on Issues of the War for Student Army Training Corps, Part I: Historical and Economic Causes of War, Second Installment. pages 14 and 15", , , ,12094, ,still image,fast, , ,1918, ,printed ephemera,original_format, ,original filename: RBML_Core_0007, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/satc, , ,"University Archives, Columbia University",local,holdings, ,"Box 7, folder 9", , ,4223520, ,Columbia University in World War I Collection, ,CU copyright,,,,,,,,, , , , ,"World War, 1914-1918--Causes", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4651_ServiceFlag.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Service Flag, , , ,12095, ,still image,fast, , ,circa 1918, ,photographs,original_format, ,original filename: 4651_ServiceFlag, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi, , ,"University Archives, Columbia University",local,holdings, ,"Box 202, folder 13", , ,4080179, ,Historical Photograph Collection, ,CU copyright,,,,,,,,inferred,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4650_SoldiersCalesthenics.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Soldiers Training on Columbia's Campus, , , ,12096, ,still image,fast, , ,circa 1918, ,photographs,original_format, ,original filename: 4650_SoldiersCalesthenics, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1910s/wwi, , ,"University Archives, Columbia University",local,holdings, ,"Box 201, folder 8", , ,4080179, ,Historical Photograph Collection, ,CU copyright,,,,,,,,inferred,,,,,,,,,,,,,,,,,,
