identifier_omeka,item - public,item - featured,dateQualifier,digitalOrigin,physicalLocation,languageofCataloging,shelfLocator,note_filename,form,keyDate_start,place,relatedItem_Collection,dateCreated,title,language,dateCreated 1,name_primary,publisher,identifier_clio,typeOfResource,abstract,note_filename 2,relatedItem_Project,typeOfResource 2,location_url_ObjectInContext,note_ownership,accessCondition
6504,1,0,ex,rd,nnc-rb,eng,Smith Oriental MS 263,,,1259 ,,,1259 C.E.,Koran,ara,1259 C.E.,,,"Smith Oriental MS 263
  
",,"Koran
3rd section (of thirty) in muhaqqaq script with Persian interlinear translation, on paper. Copied by the calligrapher Mes‘ud and illuminated by Mahfuz, two sons of ‘Abd al-Malek, scribe of Ghiyath, in 657 A. H. (1259 C E)
Smith Oriental MS 263

",278.jpg,Core Curriculum: Contemporary Civilization,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/quran/the-quran,David Eugene Smith ,RBML
6238,1,0,ex,rd,"Rare Book and Manuscript Library, Columbia University",eng,Goff A1235,"original filename: 110119047.tif
",books,1475 ,Venice,,,De civitate dei,eng,1475,"Augustine, Saint, Bishop of Hippo",Nicholas Jenson,CLIO id: 1079136,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119047.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/augustine/ms-print,,
6237,1,0,ex,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART Z232.R14 2006 B47 (vault),"original filename: 110119046.tif
",books,2006 ,Cambridge,,,"In the beginning, in the beginning, in the beginning. ",eng,2006,"Carter, Sebastian",Rampant Lions Press,CLIO id: 6890408,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119046.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6236,1,0,ex,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART Z232.R14 2006 B47 (vault),"original filename: 110119045.tif
",books,2006 ,Cambridge,,,"In the beginning, in the beginning, in the beginning",eng,2006,"Carter, Sebastian",Rampant Lions Press,CLIO id: 6890408,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119045.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/bibles/bibleasart,,
6235,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART Z232 G57 1931 B47,"original filename: 110119044.tif
",books,1931 ,[Waltham St. Lawrence],,,Four Gospels of the Lord Jesus Christ according to the Authorized version of King James I. With decorations by Eric Gill. Page 145,eng,1931,"Gill, Eric",Golden Cockerell Press,CLIO id: 6166705,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119044.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/bibles/bibleasart,,
6234,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART Z232 G57 1931 B47,"original filename: 110119043.tif
",books,1931 ,[Waltham St. Lawrence],,,Four Gospels of the Lord Jesus Christ according to the Authorized version of King James I. With decorations by Eric Gill.  Page: The Gospel according to Matthew.,eng,1931,"Gill, Eric",Golden Cockerell Press,CLIO id: 166705,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119043.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6233,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,STC 2148,"original filename: 110119042.tif
",books,1588 ,London,,,"Bible. Translated according to the Ebrew and Greeke, and conferred with the best translations in diuers languages. Page: Ecclesiastes",eng,1588,"Barker, Christopher",Christopher Barker,,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119042.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6232,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,STC 2148,"original filename: 110119041.tif
",books,1588 ,London,,,"Bible. Translated according to the Ebrew and Greeke, and conferred with the best translations in diuers languages. First page Genesis",eng,1588,"Barker, Christopher",Christopher Barker,,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119041.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6231,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,STC 2148,"original filename: 110119040.tif
",books,1588 ,London,,,"Bible. Translated according to the Ebrew and Greeke, and conferred with the best translations in diuers languages. 2v",eng,1588,"Barker, Christopher",Christopher Barker,,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119040.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6230,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,STC 2148,"original filename: 110119039.tif
",books,1588 ,London,,,"Bible. Translated according to the Ebrew and Greeke, and conferred with the best translations in diuers languages.Page: To the Christian reader",eng,1588,"Barker, Christopher",Christopher Barker,,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119039.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6229,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,STC 2148,"original filename: 110119038.tif
",books,1588 ,London,,,"Bible. Translated according to the Ebrew and Greeke, and conferred with the best translations in diuers languages. 1v",eng,1588,"Barker, Christopher",Christopher Barker,,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119038.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6228,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,STC 2148,"original filename: 110119037.tif
",books,1588 ,London,,,"Bible. Translated according to the Ebrew and Greeke, and conferred with the best translations in diuers languages. Title page",eng,1588,"Barker, Christopher",Christopher Barker,,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119037.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/reformation/bibles,,
6227,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Plimpton 220.52 1560 B47,"original filename: 110119036.tif
",books,1560 ,Geneva,,,Bible and Holy Scriptures conteyned in the Olde and Newe Testamen. First page Genesis,eng,1560,,Rouland Hald,CLIO id: 2451352,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119036.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/reformation/bibles,,
6226,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Plimpton 220.52 1560 B47,"original filename: 110119035.tif
",books,1560 ,Geneva,,,Bible and Holy Scriptures conteyned in the Olde and Newe Testament. Title page,eng,1560,,Rouland Hald,CLIO id: 2451352,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119035.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6225,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART Z232.B78 1514 B47 vol. 3 (vault),"original filename: 110119034.tif
",book,1514 1522,Alcala de Henares,,,Bible. Polyglot. Complutensian. Title page,eng,1517,"Jiménez de Cisneros, Francisco, 1436?-1517",Industria Arnaldi Guillermo de Brocario in Academia de Complutensi,CLIO id: 305731,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119034.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6224,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART Z232.B78 1514 B47 vol. 3 (vault),"original filename: 110119033.tif

",book,1514 1522,,,,Bible. Polyglot. Complutensian. Ecc.2,eng,1517,"Jimenes de Cisnero, Francisco",Industria Arnaldi Guillermo de Brocario in Academia de Complutensi,CLIO id: 305731,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119033.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6223,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART Z232.B78 1514 B47 vol. 3 (vault),"original filename: 110119032.tif
",book,1514 1522,,,,Bible. Polyglot. Complutensian. Ecc.1,eng,1517,"Jimenes de Cisnero, Francisco",Industria Arnaldi Guillermo de Brocario in Academia de Complutensi,CLIO id: 305731,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119032.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
