_identifiers-1,collection-1:collection_term.value,collection-1:collection_term.uri,_project.string_key,_parent_digital_objects-1.identifier,_digital_object_type.string_key,omeka_identifier-1:omeka_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-1:name_role-2:name_role_term.value,name-1:name_term.authority,name_primary_authority_identifier,name-2:name_term.value,name-2:name_type,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-2:name_role_term.authority,name-2:name_role-2:name_role_term.uri,name-2:name_role-2:name_role_term.value,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_type,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_term.authority,name-3:name_term.uri,name-4:name_term.value,name-4:name_type,name-4:name_role-1:name_role_term.authority,name-4:name_role-1:name_role_term.uri,name-4:name_role-1:name_role_term.value,name-4:name_term.authority,name-4:name_term.uri,name-5:name_term.value,name-5:name_type,name-5:name_role-1:name_role_term.authority,name-5:name_role-1:name_role_term.uri,name-5:name_role-1:name_role_term.value,name-5:name_term.authority,name-5:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,location-1:location_term.value,1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,digital_origin-1:digital_origin_value,clio_identifier-1:clio_identifier_value,object_in_context_url-1:object_in_context_url_value,note-3:note_value,note-3:note_type,note-2:note_value,note-2:note_type,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,language-3:language_term.value,language-3:language_term.authority,language-3:language_term.uri,note-1:note_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,note-4:note_value,note-4:note_type,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,type_of_resource-1:type_of_resource_value,Column,Column2,place_of_origin-1:place_of_origin_value,publisher-1:publisher_value,note-5:note_value,note-5:note_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion
corecurriculumcc_ape,Van Ess Collection,http://id.library.columbia.edu/term/b47b4ac1-707f-4021-a5d3-88ff4fc9bac3,core_curriculum_cc,,item,,"Luther, Martin, 1483-1546",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79089628,"Knobloch, Johann, -1528",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,,,,naf,http://id.loc.gov/authorities/names/n93056292,,,,,,,,,,,,,,,,,,,,,,1526,,,1526,"One of Luther’s flugschriften or “flying writings,” which were ephemeral pamphlets.",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,"Burke Library at Union Theological Seminary, Columbia University",,,reformatted digital,,,,,,,German,iso639-2,http://id.loc.gov/vocabulary/iso639-2/ger,,,,,,,,pamphlets,aat,http://vocab.getty.edu/aat/300220572,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Augsburg (Germany),Johannes Knobloch,,,Christianity,fast,http://id.worldcat.org/fast/859599,,,,Jonah (Biblical prophet),personal,naf,http://id.loc.gov/authorities/names/n79026841,,,,,,,Der,Prophet Jona
corecurriculumcc_ape_001,,,core_curriculum_cc,corecurriculumcc_ape,asset,omeka_6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/reformation/luther,luther_on_jonah.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Front Cover
corecurriculumcc_asz,Seligman Books,http://id.library.columbia.edu/term/3fb8085f-ec60-4b0c-aa24-421a6583d4a5,core_curriculum_cc,,item,,"Marx, Karl, 1818-1883",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79006935,"Duncker, Franz Gustav, 1822-1888",personal,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,,,,naf,http://id.loc.gov/authorities/names/n96085536,,,,,,,,,,,,,,,,,,,,,,1859 ,,,1859,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",Seligman 1859Ge M36,,reformatted digital,5492846,,,,,,German,iso639-2,http://id.loc.gov/vocabulary/iso639-2/ger,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Berlin (Germany),F. Duncker,,,Political science,fast,http://id.worldcat.org/fast/1069781,Economics,fast,http://id.worldcat.org/fast/902116,,,,,,,,,,,,Zur Kritik der politischen Oekonomie
corecurriculumcc_asz_088,,,core_curriculum_cc,corecurriculumcc_asz,asset,omeka_6212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110119021.tif,filename,110119021.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pages 88-89
corecurriculumcc_bsf,,,core_curriculum_cc,,item,,"Barker, Christopher, 1529-1599",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,,,,naf,http://id.loc.gov/authorities/names/nr93008842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588 ,,,1588,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",STC 2148,,reformatted digital,,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,London (England),Christopher Barker,,,,,,,,,,,,,,,,,,,The,"Bible. Translated according to the Ebrew and Greeke, and conferred with the best translations in diuers languages."
corecurriculumcc_bsf_001,,,core_curriculum_cc,corecurriculumcc_bsf,asset,omeka_6228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/reformation/bibles,110119037.tif,filename,110119037.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title Page
corecurriculumcc_bsf_003,,,core_curriculum_cc,corecurriculumcc_bsf,asset,omeka_6232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110119041.tif,filename,110119041.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folio 3r; First Page Of Genesis
corecurriculumcc_rqv,Book Arts Collection,http://id.library.columbia.edu/term/67352f9a-3ebe-40ff-a87c-717b2b82bd5d,core_curriculum_cc,,item,,"Gill, Eric, 1882-1940",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,marcrelator,http://id.loc.gov/vocabulary/relators/ill,Illustrator,naf,http://id.loc.gov/authorities/names/n50027765,"Giddings, Robert",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,marcrelator,http://id.loc.gov/vocabulary/relators/ill,Illustrator,,,Golden Cockerel Press,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/n50034576,,,,,,,,,,,,,,,1931 ,,,1931,"Created by Eric Gill and Robert Giddings, who did the typesetting, typography, woodcuts and illustrations, printing, etc., while working at the Golden Cockerel Press.",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",BOOKART Z232 G57 1931 B47,,reformatted digital,6166705,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,"Waltham Saint Lawrence, Berkshire",Golden Cockerell Press,,,,,,,,,,,,,,,,,,,The,Four Gospels of the Lord Jesus Christ according to the Authorized version of King James I. With decorations by Eric Gill.
corecurriculumcc_rqv_003,,,core_curriculum_cc,corecurriculumcc_rqv,asset,omeka_6234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110119043.tif,filename,110119043.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnumbered Page. The Gospel According To Matthew.
corecurriculumcc_lwm,,,core_curriculum_cc,,item,,"Hobbes, Thomas, 1588-1679",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79059190,"Crooke, Andrew, -1674",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,,,,naf,http://id.loc.gov/authorities/names/nr95014267,,,,,,,,,,,,,,,,,,,,,,1651 ,,,1651,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",Seligman 1651E H652,,reformatted digital,,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,London (England),Andrew Crooke,,,Social contract,fast,http://id.worldcat.org/fast/1122410,Political science,fast,http://id.worldcat.org/fast/1069781,,,,,,,,,,,,"Leviathan, or, The matter, forme, & power of a common-wealth ecclesiasticall and civill. [First edition]."
