identifier_omeka,item - public,item - featured,dateQualifier,physicalLocation,digitalOrigin,languageofCataloging,keyDate_start,form,place,note_filename,shelfLocator,place 2,dateCreated_(possibly delete column),name_primary,title,language,dateCreated,publisher,identifier_clio,subject_topic,form_originalFormat,Source -Do Not Use,note_filename 2,relatedItem_Project,form_originalFormat 2,location_url_ObjectInContext
6502,1,0,in,nnc-ut,rd,eng,1200 1299,,,,UTS MS 047,,,,"Bible, UTS MS 047, opening page",eng,,,,,,,uts047-opening.jpg,Core Curriculum: Literature Humanities,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/bibles/ms
6501,1,0,ap,nnc-ut,rd,eng,1200 1299,manuscripts,,,UTS MS 047,England?,,,"Bible, UTS MS 047. Folio 1",eng,,,,,,,uts47frater.jpg,Core Curriculum: Literature Humanities,Still Image,
6500,1,0,in,nnc-rb,rd,eng,1458 ,,Mainz,,GAX Z241.M23 M3,,1458,,"Canon Missae, Te igitur page",eng,1954,London:  Printed for the Bibliographical Society,,,,"Plate from Sir Irvine Masson, F.R.S., The Mainz Psalters and Canon Missae, 1457-1459 ",teIgiturPage.jpg,Core Curriculum: Literature Humanities,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/bibles/liturgy
6301,1,0,exact,"Rare Book and Manuscript Library, Columbia University",rd,eng,1517 ,books,Venice,original filename: ldpd_7821252_002_00000187.tif,Plimpton 880 1517,,,"Homer|Melanchton|Luther, Martin",Aldine Homer--Melancthon's annotations,eng,1517,Aldus Manutius,7820626,,,,http://ldpd.lampdev.columbia.edu/o/lit_hum/ldpd_7821252_002_00000187.jpg,Core Curriculum: Literature Humanities,Still Image,
6300,1,0,ex,"Rare Book and Manuscript Library, Columbia University",rd,eng,1517 ,books,Venice,"original filename: ldpd_7821252_002_00000009.tif
",Plimpton 880 1517,,,Homer,Aldine Homer--inscription to Luther,eng,1517,Aldus Manutius,7820626,,,,http://ldpd.lampdev.columbia.edu/o/lit_hum/ldpd_7821252_002_00000009.jpg,Core Curriculum: Literature Humanities,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/homer/1501-present
6299,1,0,exact,"Rare Book and Manuscript Library, Columbia University",rd,eng,1813 ,books,London,"original filename: 110119108.tif
",PR4034 .P7 Samuels collection,,,"Austen, Jane",Pride and Prejudice-end vol. 1,eng,1813,T. Edgerton,97259,,,,http://ldpd.lampdev.columbia.edu/o/lit_hum/110119108.jpg,Core Curriculum: Literature Humanities,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/austen/pandp
6298,1,0,exact,"Rare Book and Manuscript Library, Columbia University",rd,eng,1813 ,books,London,original filename: 110119107.tif,PR4034 .P7 Samuels collection,,,"Austen, Jane",Pride and Prejudice-titlepage,eng,1813,T. Egerton,97259,,,,http://ldpd.lampdev.columbia.edu/o/lit_hum/110119107.jpg|Jane2.jpg,Core Curriculum: Literature Humanities,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/austen/pandp
6297,1,0,exact,"Rare Book and Manuscript Library, Columbia University",rd,eng,1925 ,books,[London],"original filename: 110119106.tif
",B825Si893 U53 1925,,,"Sitwell, Edith, Dame|Woolf, Leonard|Woolf, Virginia",Poetry & Criticism,eng,1925,Hogarth Press,6050153,,,,http://ldpd.lampdev.columbia.edu/o/lit_hum/110119106.jpg,Core Curriculum: Literature Humanities,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/woolf/vwoolfpublisher
6296,1,0,exact,"Rare Book and Manuscript Library, Columbia University",rd,eng,1919 ,books,[London],"original filename: 110119105.tif
",B812EL46 L3 1919 (vault),,,"Eliot, T. S. (Thomas Stearns)|Woolf, Leonard|Woolf, Virginia",Poems,eng,1919,Hogarth Press,,,,,http://ldpd.lampdev.columbia.edu/o/lit_hum/110119105.jpg,Core Curriculum: Literature Humanities,Still Image,
6295,1,0,exact,"Rare Book and Manuscript Library, Columbia University",rd,eng,1919 ,books,[London],"original filename: 110119104.tif
",B812EL46 L3 1919 (vault),,,"Eliot, T. S. (Thomas Stearns)|Woolf, Leonard|Woolf, Virginia",Poems,eng,1919,Hogarth Press,5558715,,,,http://ldpd.lampdev.columbia.edu/o/lit_hum/110119104.jpg,Core Curriculum: Literature Humanities,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/woolf/vwoolfpublisher
