_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,_project.string_key,collection-1:collection_term.value,collection-1:collection_term.uri,omeka_identifier-1:omeka_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-1:name_role-2:name_role_term.value,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-2:name_role_term.authority,name-2:name_role-2:name_role_term.uri,name-2:name_role-2:name_role_term.value,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_role-2:name_role_term.authority,name-3:name_role-2:name_role_term.uri,name-3:name_role-2:name_role_term.value,name-3:name_term.authority,name-3:name_term.uri,name-4:name_term.value,name-4:name_term.name_type,name-4:name_role-1:name_role_term.authority,name-4:name_role-1:name_role_term.uri,name-4:name_role-1:name_role_term.value,name-4:name_term.authority,name-4:name_term.uri,name-5:name_term.value,name-5:name_term.name_type,name-5:name_role-1:name_role_term.authority,name-5:name_role-1:name_role_term.uri,name-5:name_role-1:name_role_term.value,name-5:name_term.authority,name-5:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,location-1:location_term.value,location-1:location_shelf_location-1:location_shelf_location_free_text,clio_identifier-1:clio_identifier_value,object_in_context_url-1:object_in_context_url_value,note-1:note_value,note-1:note_type,note-3:note_value,note-3:note_type,note-4:note_value,note-4:note_type,note-5:note_value,note-5:note_type,note-6:note_value,note-6:note_type,digital_origin-1:digital_origin_value,language-1:language_term.authority,language-1:language_term.uri,language-1:language_term.value,language-2:language_term.authority,language-2:language_term.uri,language-2:language_term.value,language-3:language_term.authority,language-3:language_term.uri,language-3:language_term.value,language-4:language_term.authority,language-4:language_term.uri,language-4:language_term.value,language-5:language_term.authority,language-5:language_term.uri,language-5:language_term.value,language-6:language_term.authority,language-6:language_term.uri,language-6:language_term.value,language_of_cataloging-1:language_of_cataloging_term.value,language_of_cataloging-1:language_of_cataloging_term.authority,language_of_cataloging-1:language_of_cataloging_term.uri,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,form-3:form_term.value,form-3:form_term.authority,form-3:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,relatedItem_Project,projectURL,place_of_origin-1:place_of_origin_value,place_authority_identifier,publisher-1:publisher_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion,title-2:title_non_sort_portion,title-2:title_sort_portion,title2_type
item,cclithumanities_aot,,cc_lit_humanities,Western Manuscripts,http://id.library.columbia.edu/term/edd43702-a7d5-4ab6-894c-b27497a6626f,,"Ovid, 43 B.C.-17 A.D. or 18 A.D.",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79041738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1499,approximate,circa 1450-1499,"Illuminated manuscript from Bohemia, dated about the second half of the fifteenth century.",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,Columbia University. Rare Book and Manuscript Library,Western MS 94,,,,,,,,,,,vellum and paper,original_format,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,Latin,,,,,,,,,,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,"Epic poetry, Latin",fast,http://id.worldcat.org/fast/1750168,text,,Core Curriculum: Literature Humanities,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Bohemia (Kingdom),http://id.loc.gov/authorities/names/n82063675,,"Mythology, Classical",fast,http://id.worldcat.org/fast/1031758,,,,,,,,,,,,,,,,Metamorphoses,,,
asset,cclithumanities_aot_001,cclithumanities_aot,cc_lit_humanities,,,omeka_6312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/ovid/manuscripts,,,Ovid Western MS 94.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unsigned Folio, Recto",,,
asset,cclithumanities_auc_001,cclithumanities_auc,cc_lit_humanities,,,omeka_6269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/montaigne/rlscopy,,,110119078.tif,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bookplate On Front Pastedown,,,
item,cclithumanities_auc,,cc_lit_humanities,,,,"Montaigne, Michel de, 1533-1592",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79068499,"Stevenson, Robert Louis, 1850-1894",personal,marcrelator,http://id.loc.gov/vocabulary/relators/fmo,Former owner,,,,naf,http://id.loc.gov/authorities/names/n78088964,"Cotton, Charles, 1630-1687",personal,marcrelator,http://id.loc.gov/vocabulary/relators/trl,Translator,,,,naf,http://id.loc.gov/authorities/names/n50018183,,,,,,,,,,,,,,,1869,,,1869,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,Columbia University. Rare Book and Manuscript Library,PR 5495 M6 VAULT,298023,,,,,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,,,,,,,,,,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,Essays,fast,http://id.worldcat.org/fast/1919922,text,,Core Curriculum: Literature Humanities,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,London (England),http://id.loc.gov/authorities/names/n79005665,Alex. Murray & Son,Philosophy,fast,http://id.worldcat.org/fast/1060777,Literature,fast,http://id.worldcat.org/fast/999953,,,,,,,,,,,,,Essais,,,
asset,cclithumanities_auc_002,cclithumanities_auc,cc_lit_humanities,,,omeka_6270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/montaigne/rlscopy,,,110119079.tif,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title Page,,,
asset,cclithumanities_auc_166,cclithumanities_auc,cc_lit_humanities,,,omeka_6271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/montaigne/rlscopy,,,110119080.tif,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Page 166, Of Cannibals",,,
item,cclithumanities_bhx,,cc_lit_humanities,,,,"Fust, Johannes, 1400-1466",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,,,,naf,http://id.loc.gov/authorities/names/n88297844,"Schöffer, Peter, approximately 1425-approximately 1502",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,,,,naf,http://id.loc.gov/authorities/names/n85235656,,,,,,,,,,,,,,,,,,,,,,,,,1458,,,1458,"Canon Missae consisting of 12 leaves, printed by Johannes Fust and Gutenberg's assistant, Peter Schöffer. Bound with a 1484 Missale Cracoviense.",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,Columbia University. Rare Book and Manuscript Library,Goff M736,1079744,,,,,,,,Gift from American Type Founders Company Library and Museum,ownership,parchment,original_format,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,Latin,,,,,,,,,,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,,text,,Core Curriculum: Literature Humanities,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,"Mainz (Rhineland-Palatinate, Germany)",http://id.loc.gov/authorities/names/n79091241,Johann Fust and Peter Schoeffer,God,fast,http://id.worldcat.org/fast/944037,Consecration,fast,http://id.worldcat.org/fast/875458,Liturgics,fast,http://id.worldcat.org/fast/1000579,,,,,,,,,,Canon Missae,,,
asset,cclithumanities_bhx_001,cclithumanities_bhx,cc_lit_humanities,,,omeka_6183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/bibles/liturgy,,,"

    canon_missae.jpeg",filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnumbered Page Spread,,,
asset,cclithumanities_bmk_001,cclithumanities_bmk,cc_lit_humanities,,,omeka_6502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/bibles/ms,,,uts047-opening.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folio 1r,,,
item,cclithumanities_bmk,,cc_lit_humanities,,,,"Jerome, Saint, -419 or 420",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79124709,"Paulinus, of Nola, Saint, approximately 353-431",personal,marcrelator,http://id.loc.gov/vocabulary/relators/rcp,Addressee,,,,naf,http://id.loc.gov/authorities/names/n50080430,,,,,,,,,,,,,,,,,,,,,,,,,1200,1299,approximate,1200-1299,"Approximately 13th century Bible, containing as a prologue the text of a letter from Saint Jerome to Saint Paulinus of Nola.",NyNyCBL,marcorg,http://id.loc.gov/authorities/names/n88074978,Burke Library (Union Theological Seminary),UTS MS 047,,,,,,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,Latin,,,,,,,,,,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,correspondence,aat,http://vocab.getty.edu/aat/300026877,,,,text,,Core Curriculum: Literature Humanities,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,England,http://id.loc.gov/authorities/names/n82068148,,God,fast,http://id.worldcat.org/fast/944037,,,,,,,,,,,,,,,,Bible,,,
