item - public,item - itemId,item - featured,item - MODS - RepositoryName - text,item - MODS - TypeofDate - text 1,item - MODS - TypeofDate - text 2,item - MODS - KeyDate - text 1,item - MODS - KeyDate - text 2,item - MODS - FormGenre - text 1,item - MODS - FormGenre - text 2,item - MODS - FormGenre - text 3,item - MODS - DigitalOrigin - text,item - MODS - LanguageofCataloging - text,item - MODS - Notes - text 1,item - MODS - Notes - text 2,item - MODS - Notes - text 3,item - MODS - Notes - text 4,item - MODS - ShelfLocation - text,item - MODS - Collection - text,item - MODS - PlaceofOrigin - text 1,item - MODS - PlaceofOrigin - text 2,item - MODS - PlaceofOrigin - text 3,item - MODS - PublicationPlace - text,item - MODS - Subrepository - text,item - MODS - PublicationDate - text,item - MODS - PhysicalDescription - text,item - MODS - PhysicalLocation - text,item - DublinCore - Title - text,item - DublinCore - Creator - text,item - DublinCore - Date - text,item - DublinCore - Description - text,item - DublinCore - Source - text,item - DublinCore - Subject - text 1,item - DublinCore - Subject - text 2,item - DublinCore - Subject - text 3,item - DublinCore - Subject - text 4,item - DublinCore - Subject - text 5,item - DublinCore - Subject - text 6,item - DublinCore - Subject - text 7,item - DublinCore - Subject - text 8,item - DublinCore - Subject - text 9,item - DublinCore - Identifier - text,item - DublinCore - Language - text,item - DublinCore - Publisher - text,item - DublinCore - Coverage - text,item - DublinCore - Relation - text,item - DublinCore - Rights - text,item - DublinCore - Format - text,item - DublinCore - Type - text,item - DublinCore - Contributor - text,item - OriginalFileLoadedIntoOmeka - text,item - AdditionalItemMetadata - Provenance - text,item - AdditionalItemMetadata - SpatialCoverage - text,item - AdditionalItemMetadata - TemporalCoverage - text,item - AdditionalItemMetadata - Citation - text,item - AdditionalItemMetadata - RightsHolder - text,item - OmekaCollection,item - ItemType,item - ItemType - text,item - tagContainer - tag - tagId,item - tagContainer - tag - name
1,1314,0,,,,,,,,,,,,,,,,,,,,,,,,,What the Biblio-centric Curriculum Really Means,,1912,"Address by Wilbert W. White to The Swedish Church, 52nd and Lexington given on November 26th, 1912",,,,,,,,,,,The Burke Archives (Columbia University Libraries): W. W. White Papers Series 4 box 10 f5,,,,,,,,,genwww_41005_02.jpg,W.W. White; New York Theological Seminary,,,,,Wilbert Webster White ,Still Image,Physical Dimensions: 8.5x11,,
1,1315,0,,,,,,,,,,,,,,,,,,,,,,,,,What the Biblio-centric Curriculum Really Means,,1912,"Address by Wilbert W. White to The Swedish Church, 52nd and Lexington given on November 26th, 1912",,,,,,,,,,,The Burke Archives (Columbia University Libraries): W. W. White Papers Series 4 box 10 f5,,,,,,,,,genwww_41005_03.jpg,W.W. White; New York Theological Seminary,,,,,Wilbert Webster White ,Still Image,Physical Dimensions: 8.5x11,,
1,1316,0,,,,,,,,,,,,,,,,,,,,,,,,,What the Biblio-centric Curriculum Really Means,,1912,"Address by Wilbert W. White to The Swedish Church, 52nd and Lexington given on November 26th, 1912",,,,,,,,,,,The Burke Archives (Columbia University Libraries): W. W. White Papers Series 4 box 10 f5,,,,,,,,,genwww_41005_04.jpg,W.W. White; New York Theological Seminary,,,,,Wilbert Webster White ,Still Image,Physical Dimensions: 8.5x11,,
1,1317,0,,,,,,,,,,,,,,,,,,,,,,,,,What the Biblio-centric Curriculum Really Means,,1912,"Address by Wilbert W. White to The Swedish Church, 52nd and Lexington given on November 26th, 1912",,,,,,,,,,,The Burke Archives (Columbia University Libraries): W. W. White Papers Series 4 box 10 f5,,,,,,,,,genwww_41005_05.jpg,W.W. White; New York Theological Seminary,,,,,Wilbert Webster White ,Still Image,Physical Dimensions: 8.5x11,,
1,1318,0,,,,,,,,,,,,,,,,,,,,,,,,,What the Biblio-centric Curriculum Really Means,,1912,"Address by Wilbert W. White to The Swedish Church, 52nd and Lexington given on November 26th, 1912",,,,,,,,,,,The Burke Archives (Columbia University Libraries): W. W. White Papers Series 4 box 10 f5,,,,,,,,,genwww_41005_06.jpg,W.W. White; New York Theological Seminary,,,,,Wilbert Webster White ,Still Image,Physical Dimensions: 8.5x11,,
1,1319,0,,,,,,,,,,,,,,,,,,,,,,,,,What the Biblio-centric Curriculum Really Means,,1912,"Address by Wilbert W. White to The Swedish Church, 52nd and Lexington given on November 26th, 1912",,,,,,,,,,,The Burke Archives (Columbia University Libraries): W. W. White Papers Series 4 box 10 f5,,,,,,,,,genwww_41005_07.jpg,W.W. White; New York Theological Seminary,,,,,Wilbert Webster White ,Still Image,Physical Dimensions: 8.5x11,,
1,1320,0,,,,,,,,,,,,,,,,,,,,,,,,,What the Biblio-centric Curriculum Really Means,,1912,"Address by Wilbert W. White to The Swedish Church, 52nd and Lexington given on November 26th, 1912",,,,,,,,,,,The Burke Archives (Columbia University Libraries): W. W. White Papers Series 4 box 10 f5,,,,,,,,,genwww_41005_08.jpg,W.W. White; New York Theological Seminary,,,,,Wilbert Webster White ,Still Image,Physical Dimensions: 8.5x11,,
1,1321,0,,,,,,,,,,,,,,,,,,,,,,,,,What the Biblio-centric Curriculum Really Means,,1912,"Address by Wilbert W. White to The Swedish Church, 52nd and Lexington given on November 26th, 1912",,,,,,,,,,,The Burke Archives (Columbia University Libraries): W. W. White Papers Series 4 box 10 f5,,,,,,,,,genwww_41005_09.jpg,W.W. White; New York Theological Seminary,,,,,Wilbert Webster White ,Still Image,Physical Dimensions: 8.5x11,,
1,1322,0,,,,,,,,,,,,,,,,,,,,,,,,,What the Biblio-centric Curriculum Really Means,,1912,"Address by Wilbert W. White to The Swedish Church, 52nd and Lexington given on November 26th, 1912",,,,,,,,,,,The Burke Archives (Columbia University Libraries): W. W. White Papers Series 4 box 10 f5,,,,,,,,,genwww_41005_10.jpg,W.W. White; New York Theological Seminary,,,,,Wilbert Webster White ,Still Image,Physical Dimensions: 8.5x11,,
1,1323,0,,,,,,,,,,,,,,,,,,,,,,,,,What the Biblio-centric Curriculum Really Means,,1912,"Address by Wilbert W. White to The Swedish Church, 52nd and Lexington given on November 26th, 1912",,,,,,,,,,,The Burke Archives (Columbia University Libraries): W. W. White Papers Series 4 box 10 f5,,,,,,,,,genwww_41005_11.jpg,W.W. White; New York Theological Seminary,,,,,Wilbert Webster White ,Still Image,Physical Dimensions: 8.5x11,,
