item - public,item - itemId,item - featured,item - MODS - FormGenre 1,item - MODS - FormGenre 2,item - MODS - FormGenre 3,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - PlaceofOrigin 1,item - MODS - PlaceofOrigin 2,item - MODS - Notes,item - MODS - PublicationPlace,item - MODS - PhysicalDescription,item - MODS - Collection,item - MODS - Subrepository,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Creator 3,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Title 2,item - DublinCore - Title 2 - Whole,item - DublinCore - Title 2 - Part,item - DublinCore - Title 2 - Attribute,item - DublinCore - Language 1,item - DublinCore - Language 2,item - DublinCore - Date,item - DublinCore - Description,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Subject 3,item - DublinCore - Subject 4,item - DublinCore - Subject 5,item - DublinCore - Subject 6,item - DublinCore - Publisher,item - DublinCore - Source,item - OriginalFileLoadedIntoOmeka,item - OmekaCollection,project URL,item - AdditionalItemMetadata - Provenance,item - ItemType,item in context 1,item in context 2
1,1858,0,periodicals,,,1949-04-19,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Russia,,,,,,,"Adamovich, Georgiĭ",,,Dvadt︠s︡atai︠a︡ godovshchina smerti S.P. Di︠a︡gileva,Dvadt︠s︡atai︠a︡ godovshchina smerti S.P. Di︠a︡gileva,,Twentieth anniversary of Sergei Diaghilev's death,Twentieth anniversary of Sergei Diaghilev's death,,translated,rus,,"April 19, 1949",,"Diaghilev, Serge, 1872-1929",,,,,,,Russkie Novosti: No. 220,original filename: ballet_russe_08-07-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/beyond,
1,1857,0,paintings,,,1915,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,,,"Urban, Josef, 1872-1933",,,Preliminary sketch for set of La Muette de Portici Act IV,Preliminary sketch for set of La Muette de Portici Act IV,,,,,,eng,,1915,watercolor.,,,,,,,,,original filename: ballet_russe_08-06-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/urban,
1,1856,0,photographs,,,1915,,questionable,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,"Date guessed from date of Joseph Urban's production set sketches for  La Muette de Portici, (Dumb Girl of Portici), created in 1915. The set sketches are in the Joseph Urban Papers at the Rare Books and Manuscripts Library, Columbia University.",,,,,"Urban, Josef, 1872-1933",,,Production of  La Muette de Portici,Production of  La Muette de Portici,,,,,,eng,,around 1915,Photograph of a production of  La Muette de Portici (Dumb Girl from Portici),,,,,,,,,original filename: ballet_russe_08-05-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/urban,
1,1855,0,paintings,,,1915,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,,,"Urban, Josef, 1872-1933",,,Preliminary sketch for set of La Muette de Portici Act II,Preliminary sketch for set of La Muette de Portici Act II,,,,,,eng,,1915,watercolor.,,,,,,,,,original filename: ballet_russe_08-04-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/urban,
1,1854,0,photographs,,,1915,,questionable,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,"Date guessed from date of Joseph Urban's production set sketches for  La Muette de Portici, (Dumb Girl of Portici), created in 1915. The set sketches are in the Joseph Urban Papers at the Rare Books and Manuscripts Library, Columbia University.",,,,,"Urban, Josef, 1872-1933",,,Production of  La Muette de Portici,Production of  La Muette de Portici,,,,,,eng,,around 1915,Photograph of a production of  La Muette de Portici (Dumb Girl from Portici),,,,,,,,,original filename: ballet_russe_08-03-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/urban,
1,1853,0,paintings,,,1915,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,,,"Urban, Josef, 1872-1933",,,Preliminary sketch for set of La Muette de Portici,Preliminary sketch for set of La Muette de Portici,,,,,,eng,,1915,watercolor.,,,,,,,,,original filename: ballet_russe_08-02-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/urban,
1,1852,0,prints,manuscripts,,1926,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,Simon Lissim Papers,Bakhmeteff Archive of Russian and East European History and Culture,"Benois, Alexandre, 1870-1960","Lissim, Simon, 1900-1981",,Print of drawing by Aleksandr Benois sent to Simon Lissim,Print of drawing by Aleksandr Benois sent to Simon Lissim,,,,,,rus,,1926,"Print of a stage drawing, created in 1914 by Aleksandr Benois, sent from the artist to Simon Lissim with an inscription at the bottom.",,,,,,,,,original filename: ballet_russe_07-10-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,"Gift of Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/beyond,
1,1851,0,printed ephemera,,,1935,1936,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,,,"Lissim, Simon, 1900-1981",Ballets russes du Col. W. de Basil,Ballets russes de Monte Carlo,Ballets Russes: Direction W. De Basil souvenir program. Front cover,Ballets Russes: Direction W. De Basil souvenir program,Front cover,,,,,eng,,1935 to 1936,Souvenir program for Tour of Colonel W. de Basil's Ballets Russes de Monte-Carlo in the U.S.A.,,,,,,,,,original filename: ballet_russe_07-09-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/beyond,
1,1850,0,prints,drawings,manuscripts,1922-10-17,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,Simon Lissim Papers,Bakhmeteff Archive of Russian and East European History and Culture,"Larionov, Mikhail Fedorovich, 1881-1964","Lissim, Simon, 1900-1981",,Costume drawing by Mikhail Larionov sent to Simon Lissim,Costume drawing by Mikhail Larionov sent to Simon Lissim,,,,,,rus,,"October 17, 1922","Print of a drawing by Mikhail Larionov of man in costume, sent to Simon Lissim. Writing in Russian at bottom of print gives date, message to Lissim.",,,,,,,,,original filename: ballet_russe_07-08-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,"Gift of Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/beyond,
1,1849,0,printed ephemera,,,1926-05,1926-06,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Paris (France),,,,,,,"Shervashidze, Aleksandr, 1867-1968","Théâtre Sarah Bernhardt (Paris, France)",,"Ballets Russes de Serge de Diaghilew XIXe Saison Carte de Circulation, délivrée à M. Prince Schervachidze","Ballets Russes de Serge de Diaghilew XIXe Saison Carte de Circulation, délivrée à M. Prince Schervachidze",,,,,,fre,,May and June of 1926,"Invitation, Ballets Russes de Monte Carlo.",Ballets russes,,,,,,,,original filename: ballet_russe_07-07-01.jpg,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,still image,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/beyond,
