_pid,_digital_object_type.string_key,_project.string_key,_parent_digital_objects-1.identifier,_identifiers-1,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,object_in_context_url-2:object_in_context_url_value,title-1:title_sort_portion,title-2:title_sort_portion,title2_type,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,form-3:form_term.value,form-3:form_term.authority,form-3:form_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,digital_origin-1:digital_origin_value,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,language_of_cataloging-1:language_of_cataloging_term.value,place_of_origin-1:place_of_origin_value,place_authority_identifier,place_of_origin-2:place_of_origin_value,place2_authority_identifier,note-1:note_value,note-1:note_type,extent-1:extent_value,collection-1:collection_term.value,collection-1:collection_term.uri,location-1:location_sublocation,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_term.authority,name-3:name_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,abstract-1:abstract_value,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.uri,subject_name-5:subject_name_term.value,subject_name-5:subject_name_term.name_type,subject_name-5:subject_name_term.authority,subject_name-5:subject_name_term.uri,subject_name-6:subject_name_term.value,subject_name-6:subject_name_term.name_type,subject_name-6:subject_name_term.authority,subject_name-6:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,publisher-1:publisher_value,note-3:note_value,note-3:note_type,note-2:note_value,note-2:note_type,relatedItem_Project,project URL,note-4:note_value,note-4:note_type,note-5:note_value,note-5:note_type
,item,,,diaghilev_acc,,,,Draft of a contract,,,manuscripts,,,,,,,,,1911-02-10,,,1911 February 10th,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Saint Petersburg (Russia),,,,,,,,,,"Diaghilev, Serge, 1872-1929",,,,,,,,,,,,,,,,,,,,,Russian,,,,,,Ballets russes dancers contract draft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,,still image,original_format
,asset,,diaghilev_acc,diaghilev_acc_001,omeka_1763,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case1/contracts,,Unnumbered page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_01-08-01.jpg,filename,,,,,,
,item,,,diaghilev_asi,,,,Serg De Diaghileff's Ballet Russe: Petrouchka,,,photographs,,,,,,,,,1916,,inferred,1916,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,New York (N.Y.),,,,,,,,,,"Strelecki, Jean de, count",,,,,,,,,,,,,,,,,,,,,English,,,,,,J. de Strelecki photograph of three dancers in a scene from Petrushka by Igor Stravinskii.,,,,,,,,,,,,,,,,,,,,,,,,,Petrouchka (Choreographic work),,,,,,,,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,,still image,original_format
,asset,,diaghilev_asi,diaghilev_asi_000,omeka_1823,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/strelecki,,Serg De Diaghileff's Ballet Russe: Petrouchka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_05-05-01.jpg,filename,,,,,,
,item,,,diaghilev_bfr,,,,Stage Sets and Costumes by Dobujinsky Program,,,printed ephemera,,,,,,,,,1941-04-21,1941-05-03,,"April 21st to May 3rd, 1941",reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,New York (N.Y.),,,,,,,,,,Marie Sterner Galleries,,,,,,,,,,,,,,,,,,,,,English,,,,,,Program for an exhibition of stage sets and costumes by Mstislav Dobujinsky,"Dobuzhinskiĭ, Mstislav Valerianovich, 1875-1957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,,still image,original_format
,asset,,diaghilev_bfr,diaghilev_bfr_001,omeka_1793,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case3/lettersprints,,Front cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_03-07-01.jpg,filename,,,,,,
,item,,,diaghilev_bfs,,,,Anna Pavlova in Costume Beside a Lake in England,,,photographs,,,,,,,,,1896,1931,inferred,between 1896 and 1931,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,England,,,,Date inferred from Anna Pavlova's life dates.,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,,,,,"Pavlova, Anna, 1881-1931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,,still image,original_format
,asset,,diaghilev_bfs,diaghilev_bfs_000,omeka_1808,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case4/costume,,Anna Pavlova in Costume Beside a Lake in England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_04-04-01.jpg,filename,,,,,,
,item,,,diaghilev_ceu,,,,Postcard from Bronislava Nijinska to M. Doboujinsky,,,correspondence,,,,,,,,,1944-11,,,November 1944,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,,,,,,,,,,,"Nijinska, Bronislava, 1891-1972",,,,,,,"Dobuzhinskiĭ, Mstislav Valerianovich, 1875-1957",,,,,,,,,,,,,,English,,,Russian,,,"Holograph postcard to ""M. Doboujinsky"" (Mstislav Dobuzhinskiĭ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,,still image,original_format
,asset,,diaghilev_ceu,diaghilev_ceu_002,omeka_1828,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/nijinska,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_05-11-01.jpg,filename,,,,,,
