relatedItem_collection,name,nameType,nameRelator,name_authority,name_authority_identifier,name 2,nameRelator 2,nameType 2,name_authority 2,name_authority_identifier 2,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,abstract 2,item - featured,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note,note 2,note 3,note_filename,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,form_originalFormat 1,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_topic 3,subject_topic_authority 3,subject_topic_authority_identifier 3,subject_topic 4,subject_topic_authority 4,subject_topic_authority_identifier 4,subject_name,subject_name_authority,subject_name_authority_identifier,subject_name 2,subject_name_authority 2,subject_name_authority_identifier 2,subject_title,subject_title_authority,subject_title_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,item - public,title_nonsort,title,partName,identifier_title,title2_nonsort,title2,title2_type
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Commedia dell'arte marionette,,0,,1567,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.15,  Box:  21",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p11.15,reformatted digital,"7""",objects,aat,,ceramic,Marionettes (stringed puppets),Italy,naf,http://id.loc.gov/authorities/names/n79021783,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,Women household employees,fast,http://id.worldcat.org/fast/1734125,,,,,,,,,,,,,,,,,,,,,,,1,,Marionette Of Maid In Black With White Apron,,dramaticmuseum_mmw_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Commedia dell'arte marionette,,0,,1566,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.14,  Box:  21",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p11.14,reformatted digital,"7""",objects,aat,,ceramic,Marionettes (stringed puppets),Italy,naf,http://id.loc.gov/authorities/names/n79021783,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Marionette Of Boy In Tricorne Hat,,dramaticmuseum_mbt_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Commedia dell'arte marionette,,0,,1565,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery2,NNC-RB,marcorg,"DM number: P11.13,  Box:  21",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p11.13,reformatted digital,"7""",objects,aat,,ceramic,Marionettes (stringed puppets),Italy,naf,http://id.loc.gov/authorities/names/n79021783,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,Queens,fast,http://id.worldcat.org/fast/1085637,,,,,,,,,,,,,,,,,,,,,,,1,,Marionette Of Queen In Red Dress,,dramaticmuseum_mob_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Commedia dell'arte marionette,,0,,1564,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.12,  Box:  21",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p11.12,reformatted digital,"7""",objects,aat,,ceramic,Marionettes (stringed puppets),Italy,naf,http://id.loc.gov/authorities/names/n79021783,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,Kings and rulers,fast,http://id.worldcat.org/fast/987694,,,,,,,,,,,,,,,,,,,,,,,1,,Marionette Of Red-headed King,,dramaticmuseum_mrk_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,"Commedia dell'arte marionette: string jigging puppet. Draped in white with skull, arms, and legs showing.",,0,,1563,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.11,  Box:  21",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p11.11,reformatted digital,"7""",objects,aat,,ceramic,Marionettes (stringed puppets),Italy,naf,http://id.loc.gov/authorities/names/n79021783,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,Skeleton,fast,http://id.worldcat.org/fast/1119932,,,,,,,,,,,,,,,,,,,,,,,1,,Skeleton Marionette,,dramaticmuseum_smj_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Commedia dell'arte marionette,,0,,1562,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery2,NNC-RB,marcorg,"DM number: P11.09,  Box:  21",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p11.09,reformatted digital,"7""",objects,aat,,ceramic,Marionettes (stringed puppets),Italy,naf,http://id.loc.gov/authorities/names/n79021783,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Marionette Of Female In White With Black Buttons,,dramaticmuseum_mfb_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Commedia dell'arte marionette,,0,,1561,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.08,  Box:  20",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p11.08,reformatted digital,"7""",objects,aat,,ceramic,Marionettes (stringed puppets),Italy,naf,http://id.loc.gov/authorities/names/n79021783,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Marionette Of Red-headed Male In White With Black Cap And Buttons,,dramaticmuseum_mrm_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Commedia dell'arte marionette,,0,,1560,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.07,  Box:  20",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p11.07,reformatted digital,"7""",objects,aat,,ceramic,Marionettes (stringed puppets),Italy,naf,http://id.loc.gov/authorities/names/n79021783,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Marionette Of, Figure In White With Black Mask",,dramaticmuseum_mfw_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Commedia dell'arte marionette,,0,,1559,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.06,  Box:  20",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p11.06,reformatted digital,"7""",objects,aat,,ceramic,Marionettes (stringed puppets),Italy,naf,http://id.loc.gov/authorities/names/n79021783,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Marionette Of Figure In White With Black Mask,,dramaticmuseum_mfx_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,"Commedia dell'arte marionette: string jigging puppet. Half mask; moustache; white collar; black cap,costume, belt, and shoes, gold spectacles. Black nose",,0,,1558,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,NNC-RB,marcorg,"DM number: P11.05,  Box:  20",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p11.05,reformatted digital,"7""",objects,aat,,ceramic,Marionettes (stringed puppets),Italy,naf,http://id.loc.gov/authorities/names/n79021783,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",,eng,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,Physicians,fast,http://id.worldcat.org/fast/1062841,,,,,,,,,,,,,,,,,,,,,,,1,Il,Dottore Marionette,,dramaticmuseum_idm_000,,,
