collection-1:collection_term.value,collection-1:collection_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,omeka_identifier-1:omeka_identifier_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,location-1:location_term.uri,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_sublocation,note-1:note_value,note-1:note_type,note-2:note_value,note-2:note_type,note-3:note_value,note-3:note_type,digital_origin-1:digital_origin_value,extent-1:extent_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,note-5:note_value,note-5:note_type,place_of_origin-1:place_of_origin_value,relatedItem_Project,projectURL,note-7:note_value,note-7:note_type,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,genre-2:genre_term.value,genre-2:genre_term.authority,genre-2:genre_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion,_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,_project.string_key
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P87,Box: 32,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"3.5"" x 9""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,cloth,original_format,unknown,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,Puppets,fast,http://id.worldcat.org/fast/1084235,,,,Aprons,fast,http://id.worldcat.org/fast/811849,,,,,,,,,,,,,,,,,,,Apron For A Puppet,dramaticmuseum_afp,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1749,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_unknown/gallery1,,,,,,,,rbml_realia_p87,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apron For A Puppet,dramaticmuseum_afp_000,dramaticmuseum_afp,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,"Horned mask, painted black. Tag says ""Modern Senufo""",,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: M22.01,Box: 124,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"12.5"" x 7.5""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,wood,original_format,Africa,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,"Masks, African",fast,http://id.worldcat.org/fast/1011099,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,African Mask,dramaticmuseum_ama,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_2444,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_africa/gallery,,,,,,,,rbml_realia_m22.01,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,African Mask,dramaticmuseum_ama_000,dramaticmuseum_ama,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,"Mask painted with white face, pink details, black hair. Tag says ""Dahomey.""",,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: M23.01,Box: 125,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"11"" x 7.25""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,wood,original_format,Africa,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,"Masks, African",fast,http://id.worldcat.org/fast/1011099,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,African Mask,dramaticmuseum_amb,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_2443,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_africa/gallery,,,,,,,,rbml_realia_m23.01,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,African Mask,dramaticmuseum_amb_000,dramaticmuseum_amb,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: M18.01,Box: 62,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"23"" x 5""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,wood,original_format,Africa,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,"Masks, African",fast,http://id.worldcat.org/fast/1011099,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,African Mask,dramaticmuseum_amc,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_2441,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_africa/gallery,,,,,,,,rbml_realia_m18.01,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,African Mask,dramaticmuseum_amc_000,dramaticmuseum_amc,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Commedia dell'arte marionette: string jigging puppet. Full mask; white collar; buff shoes; black belt (same as 11.1 save for belt color and material),,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P11.02,Box: 20,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"7""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,ceramic,original_format,Italy,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",ownership,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,Harlequin (Fictitious character),fast,http://id.worldcat.org/fast/1430474,,,,,,,,,,,,,,,,,,,Arlecchino Marionette,dramaticmuseum_ara,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1555,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery2,,,,,,,,rbml_realia_p11.02,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arlecchino Marionette,dramaticmuseum_ara_000,dramaticmuseum_ara,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,Commedia dell'arte marionette: string jigging puppet. Full mask; white collar; buff shoes; red belt (same as 11.2 save for belt color). This set possibly France rather than Italy.,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P11.01,Box: 20,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"7""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,ceramic,original_format,Italy,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews and George C.D. Odell in Paris, 1925, and Naples, 1926",ownership,Marionettes,fast,http://id.worldcat.org/fast/1010062,Commedia dell'arte,fast,http://id.worldcat.org/fast/869248,Harlequin (Fictitious character),fast,http://id.worldcat.org/fast/1430474,,,,,,,,,,,,,,,,,,,Arlecchino Marionette,dramaticmuseum_arb,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1554,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_italy/gallery1,,,,,,,,rbml_realia_p11.01,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arlecchino Marionette,dramaticmuseum_arb_000,dramaticmuseum_arb,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,"Carved wood with arms jointed with string. Head, trunk and legs of one piece, not articulated.  From the Gold Coast.",,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P50.02,Box: 46,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"26.5""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,"wood, string",original_format,Ghana,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,Rod puppets,fast,http://id.worldcat.org/fast/1099519,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,African Rod Puppet,dramaticmuseum_arp,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1491,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_ghana/gallery,,,,,,,,rbml_realia_p50.02,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,African Rod Puppet,dramaticmuseum_arp_000,dramaticmuseum_arp,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,D number: P71,Box: 28,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"4"" x 3.5"" x 4.5""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,wood,original_format,unknown,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,Figurines,fast,http://id.worldcat.org/fast/924112,Diorama,fast,http://id.worldcat.org/fast/894097,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Asian Diorama,dramaticmuseum_asd,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1725,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_unknown/gallery3,,,,,,,,rbml_realia_p71,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Diorama,dramaticmuseum_asd_000,dramaticmuseum_asd,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P84,Box: 32,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"3"" (14.5"")",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,wood,original_format,Indonesia,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,Rod puppets,fast,http://id.worldcat.org/fast/1099519,,,,Wayang plays,fast,http://id.worldcat.org/fast/1172955,,,,,,,,,,,,,,,,,,,Arm Of Missing Wayang Golek Rod Puppet,dramaticmuseum_awg,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1527,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_indonesia/gallery2,,,,,,,,rbml_realia_p84,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arm,dramaticmuseum_awg_001,dramaticmuseum_awg,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,"Made by Russian emigres living in Iran during WWII; purchased by Nathan Halper, who was stationed in Iran during WWII.",,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P89.03,Box: 34,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"9""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,cloth,original_format,Russia,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Gift of Marjorie Windust Halper, 1989.",ownership,Dolls,fast,http://id.worldcat.org/fast/896460,,,,Beggars,fast,http://id.worldcat.org/fast/829865,,,,,,,,,,,,,,,,,,,Beggar Doll Made By Russian Emigres Living In Iran During WWII.,dramaticmuseum_bda,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_2573,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_russia/gallery,,,,,,,,rbml_realia_p89.03.jpg,filename,rbml_realia_p89.03.tif,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beggar Doll Made By Russian Emigres Living In Iran During WWII.,dramaticmuseum_bda_000,dramaticmuseum_bda,asset,dramatic_museum
