_digital_object_type.string_key,title-1:title_sort_portion,_identifiers-1,_parent_digital_objects-1.identifier,_project.string_key,omeka_identifier-1:omeka_identifier_value,clio_identifier-1:clio_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_term.authority,name-3:name_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,publisher-1:publisher_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_temporal-1:subject_temporal_term.value,subject_temporal-1:subject_temporal_term.authority,subject_temporal-1:subject_temporal_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,genre-2:genre_term.value,genre-2:genre_term.authority,genre-2:genre_term.uri,abstract-1:abstract_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,location-1:location_shelf_location-1:location_shelf_location_free_text,place_of_origin-1:place_of_origin_value,place_authority_identifier,collection-1:collection_term.value,collection-1:collection_term.uri,note-1:note_value,note-1:note_type,digital_origin-1:digital_origin_value,note-2:note_value,note-2:note_type,type_of_resource-1:type_of_resource_value,extent-1:extent_value,object_in_context_url-1:object_in_context_url_value,relatedItem_Project,projectURL
item,Famous Tragedy of the Rich Ievv of Malta,earlymodernfutures_aoo,,early_modern_futures,,7317564,"Marlowe, Christopher, 1564-1593",personal,naf,http://id.loc.gov/authorities/names/n78088956,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,"Heywood, Thomas, approximately 1574-1641",personal,naf,http://id.loc.gov/authorities/names/n79117155,Editor,marcrelator,http://id.loc.gov/vocabulary/relators/edt,"Beale, John, -1643",personal,naf,http://id.loc.gov/authorities/names/nr2002003395,Printer,marcrelator,http://id.loc.gov/vocabulary/relators/prt,1633,,,1633,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Printed by I. B. for Nicholas Vavasour,Jews,fast,http://id.worldcat.org/fast/983135,,,,,,,,,,,,,,,,,,,,Drama,fast,http://id.worldcat.org/fast/1423879,Early works,fast,http://id.worldcat.org/fast/1411636,Text of the Jew of Malta with solely a performance past and textual future; would want to scan Heywood's prologue.,books,aat,http://vocab.getty.edu/aat/300028051,,,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,PR2666 .A1 1633g,London (England),http://id.loc.gov/authorities/names/n79005665,,,,,reformatted digital,,,still image,Physical Dimensions: 19 cm.,,Early Modern Futures,http://www.columbia.edu/cgi-bin/cul/resolve?clio11376130
asset,  Title page,earlymodernfutures_aoo_001,earlymodernfutures_aoo,early_modern_futures,omeka_9185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1500490006.jpg,filename,,,https://exhibitions.cul.columbia.edu/exhibits/show/futures/jew,,
asset,  A3 recto,earlymodernfutures_aoo_005,earlymodernfutures_aoo,early_modern_futures,omeka_9186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1500490007.jpg,filename,,,https://exhibitions.cul.columbia.edu/exhibits/show/futures/jew,,
asset,  A3 verso,earlymodernfutures_aoo_006,earlymodernfutures_aoo,early_modern_futures,omeka_9187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1500490008.jpg,filename,,,https://exhibitions.cul.columbia.edu/exhibits/show/futures/jew,,
asset,  A4 verso,earlymodernfutures_aoo_007,earlymodernfutures_aoo,early_modern_futures,omeka_9189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1500490010.jpg,filename,,,https://exhibitions.cul.columbia.edu/exhibits/show/futures/jew,,
asset,  A4 recto,earlymodernfutures_aoo_008,earlymodernfutures_aoo,early_modern_futures,omeka_9188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1500490009.jpg,filename,,,https://exhibitions.cul.columbia.edu/exhibits/show/futures/jew,,
item,Proposals of certain expedients for the preventing of a civil war,earlymodernfutures_bhx,,early_modern_futures,,,"Milton, John, 1608-1674",personal,naf,http://id.loc.gov/authorities/names/n78095532,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,,,,,,,,,,,,,,,1659,,,1659,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Representative government and representation,fast,http://id.worldcat.org/fast/1094941,,,,,,,,,,,,,,,,,,,,,,,,,,,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,,,,,,,reformatted digital,,,still image,,,Early Modern Futures,http://www.columbia.edu/cgi-bin/cul/resolve?clio11376130
asset,  [10r-11r] or pages [19-21],earlymodernfutures_bhx_019,earlymodernfutures_bhx,early_modern_futures,omeka_9215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1500490030a.jpg,filename,,,https://exhibitions.cul.columbia.edu/exhibits/show/futures/proposals,,
asset,  [10r-11r] or pages [19-21],earlymodernfutures_bhx_020,earlymodernfutures_bhx,early_modern_futures,omeka_9216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1500490030b.jpg,filename,,,https://exhibitions.cul.columbia.edu/exhibits/show/futures/proposals,,
asset,  [10r-11r] or pages [19-21],earlymodernfutures_bhx_021,earlymodernfutures_bhx,early_modern_futures,omeka_9217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1500490030c.jpg,filename,,,https://exhibitions.cul.columbia.edu/exhibits/show/futures/proposals,,
item,Poems,earlymodernfutures_evz,,early_modern_futures,,5568635,"Philips, Katherine, 1632-1664",personal,naf,http://id.loc.gov/authorities/names/n83206561,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,,,,,,,,,,,,,,,1669,,,1669,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Printed by J.M. for H. Herringman,Friendship,fast,http://id.worldcat.org/fast/935174,,,,,,,,,,,,,,,,,,,,Poetry,fast,http://id.worldcat.org/fast/1423828,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,B823P53 L 1669,London (England),http://id.loc.gov/authorities/names/n79005665,,,Authorship; legacy,,reformatted digital,,,still image,Physical Dimensions: 29 cm.,,Early Modern Futures,http://www.columbia.edu/cgi-bin/cul/resolve?clio11376130
asset,  Frontispiece,earlymodernfutures_evz_003,earlymodernfutures_evz,early_modern_futures,omeka_9208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1500490023.jpg,filename,,,https://exhibitions.cul.columbia.edu/exhibits/show/futures/legacies,,
asset,  Title page,earlymodernfutures_evz_001,earlymodernfutures_evz,early_modern_futures,omeka_9209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1500490024.jpg,filename,,,https://exhibitions.cul.columbia.edu/exhibits/show/futures/legacies,,
asset,  A[1] recto,earlymodernfutures_evz_002,earlymodernfutures_evz,early_modern_futures,omeka_9210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1500490025.jpg,filename,,,https://exhibitions.cul.columbia.edu/exhibits/show/futures/legacies,,
