note-1:note_value,note-1:note_type,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,_project.string_key,title-1:title_non_sort_portion,title-1:title_sort_portion,extent-1:extent_value,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,form-1:form_term.value,form-1:form_term.value2,form-1:form_term.uri,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,note-2:note_value,note-2:note_type,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,location-1:location_term.value,location-1:location_term.uri,location-1:location_shelf_location-1:location_shelf_location_free_text,publisher-1:publisher_value,digital_origin-1:digital_origin_value,abstract-1:abstract_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,date_created-1:date_created_end_value,date_created-1:date_created_type,place_of_origin-1:place_of_origin_value,clio_identifier-1:clio_identifier_value,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,genre-2:genre_term.value,genre-2:genre_term.authority,genre-2:genre_term.uri,name-1:name_term.value,name-1:name_term.uri,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.authority,name-1:name_role-2:name_role_term.value,name-1:name_role-2:name_role_term.uri,name-1:name_role-2:name_role_term.authority,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.authority,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.uri,subject_topic-3:subject_topic_term.authority,name-2:name_term.value,name-2:name_term.uri,name-2:name_term.authority,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.authority,name-3:name_term.value,name-3:name_term.uri,name-3:name_term.authority,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.authority,name-4:name_term.value,name-4:name_term.uri,name-4:name_term.authority,name-4:name_term.name_type,name-4:name_role-1:name_role_term.value,name-4:name_role-1:name_role_term.uri,name-4:name_role-1:name_role_term.authority,_publish_targets-1.string_key,_publish
,,item,granarybooks_xjj_000,,,The,Animal is in the World like Water in Water,40 cm.,,,books,aat,http://vocab.getty.edu/aat/300028051,text,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,Book Arts Collection,http://id.library.columbia.edu/term/67352f9a-3ebe-40ff-a87c-717b2b82bd5d,,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,BOOKART Z232.G76 2010 Sc42,Granary Books,reformatted digital,,,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,2010,2010,TRUE,,,New York,7632029,artists' books (books),aat,http://vocab.getty.edu/aat/300123016,,,,"Scalapino, Leslie",https://id.loc.gov/authorities/names/n77005937,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,,,,,,"Smith, Kiki, 1954-",http://id.loc.gov/authorities/names/n87103853,naf,personal,Illustrator,http://id.loc.gov/vocabulary/relators/ill,marcrelator,Granary Books (Firm),http://id.loc.gov/authorities/names/no89000033,naf,corporate,Publisher,http://id.loc.gov/vocabulary/relators/pbl,marcrelator,,,,,,,,,
http://ldpd.cul.columbia.edu/granary_140250/1402500025.jpg,filename,asset,granarybooks_xjj_001,granarybooks_xjj_000,,,"Spread that begins ""a day is only light ivory by only rosy black""",,9098,https://exhibitions.library.columbia.edu/exhibits/show/granary/collabs/animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/granary_140250/1402500024.jpg,filename,asset,granarybooks_xjj_002,granarybooks_xjj_000,,,"Spread that begins, ""Capacity of speaking”",,9097,https://exhibitions.library.columbia.edu/exhibits/show/granary/collabs/animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/granary_140250/1402500023.jpg,filename,asset,granarybooks_xjj_003,granarybooks_xjj_000,,,"Title page and page that begins, ""but the girl,"" and page that begins ""a man's reordering""",,9096,https://exhibitions.library.columbia.edu/exhibits/show/granary/collabs/animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,item,granarybooks_oik_000,,,The,Beatles,8 x 11 cm.,,,books,aat,http://vocab.getty.edu/aat/300028051,text,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,Book Arts Collection,http://id.library.columbia.edu/term/67352f9a-3ebe-40ff-a87c-717b2b82bd5d,,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,BOOKART NC139.Sa7 2000 Sa7,Granary Books,reformatted digital,,,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,2000,2000,TRUE,,,New York,2812360,artists' books (books),aat,http://vocab.getty.edu/aat/300123016,,,,"Saroyan, Aram",https://id.loc.gov/authorities/names/n50015592,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,Beatles,http://id.loc.gov/authorities/names/n79018119,naf,corporate,,,,,,,,,,Granary Books (Firm),http://id.loc.gov/authorities/names/no89000033,naf,corporate,Publisher,http://id.loc.gov/vocabulary/relators/pbl,marcrelator,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/granary_140250/1402500068.jpg,filename,asset,granarybooks_oik_001,granarybooks_oik_000,,,Back cover,,9141,https://exhibitions.library.columbia.edu/exhibits/show/granary/repro/beatles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/granary_140250/1402500062.jpg,filename,asset,granarybooks_oik_002,granarybooks_oik_000,,,Front cover,,9135,https://exhibitions.library.columbia.edu/exhibits/show/granary/repro/beatles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/granary_140250/1402500063.jpg,filename,asset,granarybooks_oik_003,granarybooks_oik_000,,,"Spread one: ""John Lennon""",,9136,https://exhibitions.library.columbia.edu/exhibits/show/granary/repro/beatles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/granary_140250/1402500064.jpg,filename,asset,granarybooks_oik_004,granarybooks_oik_000,,,"Spread two: ""Paul McCartney""",,9137,https://exhibitions.library.columbia.edu/exhibits/show/granary/repro/beatles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/granary_140250/1402500065.jpg,filename,asset,granarybooks_oik_005,granarybooks_oik_000,,,"Spread three: ""George Harrison""",,9138,https://exhibitions.library.columbia.edu/exhibits/show/granary/repro/beatles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/granary_140250/1402500066.jpg,filename,asset,granarybooks_oik_006,granarybooks_oik_000,,,"Spread four: ""Ringo Starr""",,9139,https://exhibitions.library.columbia.edu/exhibits/show/granary/repro/beatles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/granary_140250/1402500067.jpg,filename,asset,granarybooks_oik_007,granarybooks_oik_000,,,Spread five: Colophon,,9140,https://exhibitions.library.columbia.edu/exhibits/show/granary/repro/beatles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,item,granarybooks_ysl_000,,,The,Burning Babe and other Poems,31 cm.,,,books,aat,http://vocab.getty.edu/aat/300028051,text,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,Book Arts Collection,http://id.library.columbia.edu/term/67352f9a-3ebe-40ff-a87c-717b2b82bd5d,,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,BOOKART Z232.G76 2005 R74,Granary Books,reformatted digital,,,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,2005,2005,TRUE,,,New York,8703148,artists' books (books),aat,http://vocab.getty.edu/aat/300123016,poetry,aat,http://vocab.getty.edu/aat/300055931,"Rothenberg, Jerome, 1931-",https://id.loc.gov/authorities/names/n79062757,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,,,,,,"Bee, Susan",http://id.loc.gov/authorities/names/no91006839,naf,personal,Illustrator,http://id.loc.gov/vocabulary/relators/ill,marcrelator,Granary Books (Firm),http://id.loc.gov/authorities/names/no89000033,naf,corporate,Publisher,http://id.loc.gov/vocabulary/relators/pbl,marcrelator,,,,,,,,,
http://ldpd.cul.columbia.edu/granary_140250/1402500039.jpg,filename,asset,granarybooks_ysl_001,granarybooks_ysl_000,,,Cover,,9112,https://exhibitions.library.columbia.edu/exhibits/show/granary/collabs/babe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,https://rightsstatements.org/page/InC/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
