identifier_omeka,keyDate_start,form,digitalOrigin,physicalLocation,place,languageofCataloging,extent,shelfLocator,note,relatedItem_collection,dateQualifier,name_primary,name 2,dateCreated,title,language,publisher,identifier_clio,abstract,note_filename,typeOfResource,relatedItem_Project
omeka_identifier-1:omeka_identifier_value,date_created-1:date_created_start_value,form-1:form_term.value,digital_origin-1:digital_origin_value,	location-1:location_term.value,"	

place_of_origin-1:place_of_origin_value",language_of_cataloging-1:language_of_cataloging_term.value,extent-1:extent_value,"	

location-1:location_shelf_location-1:location_shelf_location_free_text",note-1:note_value,	collection-1:collection_term.value,date_created-1:date_created_type,name-1:name_term.value,name-2:name_term.value,	date_created_textual-1:date_created_textual_value,title-1:title_sort_portion,	language-1:language_term.value,	publisher-1:publisher_value,	clio_identifier-1:clio_identifier_value,	abstract-1:abstract_value,note-3:note_value,type_of_resource-1:type_of_resource_value,
9146,1998,books,reformatted digital,"Rare Book & Manuscript Library, Columbia University",New York,eng,23 cm.,BOOKART Z232.G76 1998 C57,,,,"Clay, Steven, 1951-",,1998,Secret Location on the Lower East Side. Page 55 pulled out,eng,Granary Books,CLIO_2144559,,http://ldpd.cul.columbia.edu/granary_140250/1402500073.jpg,Still Image,Granary Books
9145,1998,books,reformatted digital,"Rare Book & Manuscript Library, Columbia University",New York,eng,23 cm.,BOOKART Z232.G76 1998 C57,,,,"Clay, Steven, 1951-",,1998,Secret Location on the Lower East Side. Cover,eng,Granary Books,CLIO_2144559,,http://ldpd.cul.columbia.edu/granary_140250/1402500072.jpg,Still Image,Granary Books
9144,1993,books,reformatted digital,"Rare Book & Manuscript Library, Columbia University",New York,eng,33 cm.,BOOKART Z232 .H425 1993 B58,,,,"Blake, William, 1757-1827",,1993,"Marriage of Heaven and Hell: a reading and study. Spread: ""The giants who formed this world""",eng,Granary Books,CLIO_1481348,,http://ldpd.cul.columbia.edu/granary_140250/1402500071.jpg,Still Image,Granary Books
9143,1993,books,reformatted digital,"Rare Book & Manuscript Library, Columbia University",New York,eng,33 cm.,BOOKART Z232 .H425 1993 B58,,,,"Blake, William, 1757-1827",,1993,Marriage of Heaven and Hell: a reading and study. Title page,eng,Granary Books,CLIO_1481348,,http://ldpd.cul.columbia.edu/granary_140250/1402500070.jpg,Still Image,Granary Books
9142,1993,books,reformatted digital,"Rare Book & Manuscript Library, Columbia University",New York,eng,33 cm.,BOOKART Z232 .H425 1993 B58,,,,"Blake, William, 1757-1827",,1993,Marriage of Heaven and Hell: a reading and study. Cover,eng,Granary Books,CLIO_1481348,,http://ldpd.cul.columbia.edu/granary_140250/1402500069.jpg,Still Image,Granary Books
9141,2000,books,reformatted digital,"Rare Book & Manuscript Library, Columbia University",New York,eng,8 x 11 cm.,BOOKART NC139.Sa7 2000 Sa7,,,,"Saroyan, Aram",,2000,Beatles. Back cover,eng,Granary Books,CLIO_2812360,,http://ldpd.cul.columbia.edu/granary_140250/1402500068.jpg,Still Image,Granary Books
9140,2000,books,reformatted digital,"Rare Book & Manuscript Library, Columbia University",New York,eng,8 x 11 cm.,BOOKART NC139.Sa7 2000 Sa7,,,,"Saroyan, Aram",,2000,Beatles. Spread five: Colophon,eng,Granary Books,CLIO_2812360,,http://ldpd.cul.columbia.edu/granary_140250/1402500067.jpg,Still Image,Granary Books
9139,2000,books,reformatted digital,"Rare Book & Manuscript Library, Columbia University",New York,eng,8 x 11 cm.,BOOKART NC139.Sa7 2000 Sa7,,,,"Saroyan, Aram",,2000,"Beatles. Spread four: ""Ringo Starr""",eng,Granary Books,CLIO_2812360,,http://ldpd.cul.columbia.edu/granary_140250/1402500066.jpg,Still Image,Granary Books
9138,2000,books,reformatted digital,"Rare Book & Manuscript Library, Columbia University",New York,eng,8 x 11 cm.,BOOKART NC139.Sa7 2000 Sa7,,,,"Saroyan, Aram",,2000,"Beatles. Spread three: ""George Harrison""",eng,Granary Books,CLIO_2812360,,http://ldpd.cul.columbia.edu/granary_140250/1402500065.jpg,Still Image,Granary Books
