identifier_omeka,dateCreated,title,relatedItem_Project,name_primary,identifier_clio,abstract,sublocation,digitalOrigin,physicalLocation,relatedItem_collection,note_filename,form_originalFormat,typeOfResource
omeka_identifier-1:omeka_identifier_value,	date_created_textual-1:date_created_textual_value,title-1:title_sort_portion,,name-1:name_term.value,	clio_identifier-1:clio_identifier_value,	abstract-1:abstract_value,"	

location-1:location_sublocation",digital_origin-1:digital_origin_value,	location-1:location_term.value,	collection-1:collection_term.value,note-3:note_value,note-6:note_value,type_of_resource-1:type_of_resource_value
9315,undated,"[Ceiling, with wall molding]","Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00047,1 drawing : watercolor and graphite on paper ; 39.7 x 56.4 cm. (15 5/8 x 22 1/4 in.) ,Department of Drawings & Archives,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00047.jpg,Original Format: architectural drawings,Still Image
9314,undated,"[Design of birds, vines, and bird's nest] : [ornament drawing]","Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00046,1 drawing : ink on paper ; 25.5 x 21.7 cm. (10 1/8 x 8 1/2 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00046.jpg,Original Format: architectural drawing,Still Image
9313,undated,"[Wall decoration, possibly design for wallpaper]","Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00045,1 drawing : gouache on paper ; 27.7 x 30.2 cm. (10 7/8 x 11 7/8 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00045.jpg,Original Format: architectural drawing,Still Image
9312,undated,[Design for three-arched wall behind altar(?)],"Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00044,1 drawing : watercolor with graphite on paper ; 41.0 x 52.5 cm. (16 1/8 x 20 5/8 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00044.jpg,Original Format: architectural drawing,Still Image
9311,undated,[Three-panelled wall designs],"Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00043,1 drawing : watercolor and graphite on paper ; 30.5 x 53.0 cm. (12 x 20 7/8 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00043.jpg,Original Format: architectural drawing,Still Image
9310,undated,[Ceiling design with corner medallions],"Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00042,1 drawing : watercolor and graphite on paper ; ca. 53.5 x 41.0 cm. (21 1/8 x 16 1/4 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00042.jpg,Original Format: architectural drawing,Still Image
9309,undated,[Ceiling design],"Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00041,1 drawing : watercolor and graphite on paper ; 26.5 x 50.3 cm. (10 3/8 x 19 3/4 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00041.jpg,Original Format: architectural drawing,Still Image
9308,undated,[Two-panel ceiling design],"Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00040,1 drawing : watercolor and graphite on paper ; 20.1 x 46.5 cm. (7 7/8 x 18 3/8 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00040.jpg,Original Format: architectural drawing,Still Image
9307,undated,"[Ceiling design, with medallions]","Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00039,1 drawing : watercolor and graphite on paper ; ca. 19.8 x 30.7 cm. (ca. 7 3/4 x 12 1/8 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00039.jpg,Original Format: architectural drawing,Still Image
9306,undated,[Ceiling design],"Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00038,1 drawing : watercolor and graphite on paper ; 28.2 x 38.0 cm. (11 1/8 x 15 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00038.jpg,Original Format: architectural drawing,Still Image
9305,undated,[Ceiling design] ,"Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00037,1 drawing : watercolor and graphite on paper ; 29.0 x 33.5 cm. (11 3/8 x 13 1/4 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00037.jpg,Original Format: architectural drawing,Still Image
9304,undated,"[Ceiling, with four oval medallions in corners]","Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00036,1 drawing : watercolor with ink on paper ; 23.7 x 37.4 cm. (9 3/8 x 14 3/4 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00036.jpg,Original Format: architectural drawing,Still Image
9303,undated,[Oblong ceiling with side panel],"Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00035,1 drawing : watercolor with graphite on paper ; 20.5 x 47.0 cm. (8 1/8 x 18 1/2 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00035.jpg,Original Format: architectural drawing,Still Image
9302,undated,[Three-panelled ceiling and wall],"Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00034,1 drawing : watercolor and graphite on paper ; 39.7 x 52.0 cm. (15 5/8 x 20 1/2 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00034.jpg,Original Format: architectural drawing,Still Image
9301,undated,[Three-panelled decorated wall with one-half ceiling design],"Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00033,1 drawing : watercolor with ink on paper ; 50.8 x 37.7 cm. (20 x 14 7/8 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00033.jpg,Original Format: architectural drawing,Still Image
9300,undated,"[Ceiling design, and wall with two hanging portraits] ","Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00032.,1 drawing : watercolor and graphite on paper ; 34.3 x 27.2 cm. (13 1/2 x 10 3/4 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00032.jpg,Original Format: architectural drawing,Still Image
9299,undated,"[Ceiling design, with molding and top of wall showing wallpaper design]","Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00031,1 drawing : watercolor with graphite ; 31.0 x 44.7 cm. (12 1/4 x 17 5/8 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00031.jpg,Original Format: architectural drawing,Still Image
9298,undated,"[Ceiling, with panelled wall]","Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00030,1 drawing : watercolor and graphite on paper ; 46.5 x 36.7 cm. (18 1/4 x 14 1/2 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00030.jpg,Original Format: architectural drawing,Still Image
9297,undated,"[Ceiling, with panelled wall]","Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00029,1 drawing : watercolor and graphite on paper ; 44.0 x 31.0 cm. (17 3/8 x 12 1/4 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00029.jpg,Original Format: architectural drawing,Still Image
9296,undated,"[Ceiling, with three panelled wall]","Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00028,1 drawing : watercolor and graphite on paper ; 54.0 x ca. 39.6 cm. (21 1/4 x ca. 15 5/8 in.),Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00028.jpg,Original Format: architectural drawing,Still Image
9295,undated,"[Design of ceiling, with wall]","Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00027,1 drawing : watercolor and graphite on paper ; 30.7 x 48.7 cm. (12 1/8 x 19 1/4 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00027.jpg,Original Format: architectural drawing,Still Image
9294,undated,"[Ceiling design, with wall]","Henry Youngling architectural drawings, circa 1855-1873","Youngling, Henry",NYDA.1000.005.00026,1 drawing : watercolor and graphite on paper ; 45.7 x 29.8 cm. (18 x 11 3/4 in.) ,Department of Archives & Drawings,reformatted digital,"Avery Architectural & Fine Arts Library, Columbia University",,NYDA.1000.005.00026.jpg,Original Format: architectural drawing,Still Image
