item_-_itemId_-_record,item_-_DublinCore_-_Creator_1,item_-_DublinCore_-_Creator_1_-_Authority,item_-_DublinCore_-_Creator_1_-_Authority_-_Identifier,name1Type,item_-_DublinCore_-_Creator_2,item_-_DublinCore_-_Creator_2_-_Authority,item_-_DublinCore_-_Creator_2_-_Authority_-_Identifier,name2Type,initArticle,item_-_DublinCore_-_Title_-_Work,item_-_DublinCore_-_Title_-_Work_-_Identifier,item_-_DublinCore_-_Title_-_Part,item_-_ItemType,item_-_MODS_-_FormGenre,item_-_MODS_-_FormGenre_-_authority,item_-_MODS_-_PhysicalDescription,item_-_DublinCore_-_Description,physicalNote,item_-_DublinCore_-_Language 1,item_-_DublinCore_-_Language 2,item_-_DublinCore_-_Language 3,item_-_DublinCore_-_Language 4,item_in_context,internetMediaType,item_-_MODS_-_PlaceofOrigin,item_-_MODS_-_PlaceofOrigin_-_Authority_-_Identifier,item_-_DublinCore_-_Publisher,item_-_MODS_-_PublicationDate,item_-_MODS_-_KeyDate_-_Single_Start,item_-_MODS_-_KeyDate_-_End,item_-_MODS_-_TypeofDate,item_-_MODS_-_Collection,item_-_MODS_-_ShelfLocation,Subject_-_Topic,Subject_-_Topic_-_Authority,Subject_-_Topic_-_Authority_-_Identifier,Subject_-_Geographic,Subject_-_Geographic_-_Authority,Subject_-_Geographic_-_Authority_-_Identifier,item_-_MODS_-_RepositoryName_-_code,item_-_MODS_-_Subrepository,item_-_DublinCore_-_Rights,item_-_OmekaCollection,project_URL,item_-_MODS_-_LanguageofCataloging,recordContentSource,recordOrigin
ldpd_treasures_137_001,"Briggs, Emilie Grace",naf,http://id.loc.gov/authorities/names/no00060511,personal,,,,,The,Deaconess in the Ancient and Medieval Church: A Study in the History of Christian Institutions,jewels_dii_001,"Part 1, page 1",still image,manuscripts,lcsh,,"Written in partial fulfillment of the Ph.D., Union Theological Seminary",Autograph manuscript,eng,,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/137.html,image/tiff,,,,,1913,1925,,Emily Grace Briggs Papers,,Religion,lcsh,http://id.loc.gov/authorities/subjects/sh85112549,,,,NyNyCBL,,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_137,"Briggs, Emilie Grace",naf,http://id.loc.gov/authorities/names/no00060511,personal,,,,,The,Deaconess in the Ancient and Medieval Church: A Study in the History of Christian Institutions,jewels_dii,"Part 1, page 1",still image,manuscripts,lcsh,,"Written in partial fulfillment of the Ph.D., Union Theological Seminary",Autograph manuscript,eng,,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/137.html,image/tiff,,,,,1913,1925,,Emily Grace Briggs Papers,,Religion,lcsh,http://id.loc.gov/authorities/subjects/sh85112549,,,,NyNyCBL,,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_138_000,"Bonhoeffer, Dietrich, 1906-1945",naf,http://id.loc.gov/authorities/names/n78092900,personal,,,,,,Application to Union Seminary,jewels_aus_000,Recto,still image,manuscripts,lcsh,,,"Printed document, completed by the author and signed in ink",eng,,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/138.html,image/tiff,Berlin (Germany),http://id.loc.gov/authorities/names/n79034972,,"February 12, 1930",1930-02-12,,,Dietrich Bonhoeffer primary sources,,Religion,lcsh,http://id.loc.gov/authorities/subjects/sh85112549,,,,NyNyCBL,,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_138,"Bonhoeffer, Dietrich, 1906-1945",naf,http://id.loc.gov/authorities/names/n78092900,personal,,,,,,Application to Union Seminary,jewels_aus,Recto,still image,manuscripts,lcsh,,,"Printed document, completed by the author and signed in ink",eng,,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/138.html,image/tiff,Berlin (Germany),http://id.loc.gov/authorities/names/n79034972,,"February 12, 1930",1930-02-12,,,Dietrich Bonhoeffer primary sources,,Religion,lcsh,http://id.loc.gov/authorities/subjects/sh85112549,,,,NyNyCBL,,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_142_082,"da Carpi, Jacopo Berengario , 1460?-1530?",naf,http://id.loc.gov/authorities/names/n85801180,personal,,,,,,Commentaria cum amplissimis additionibus super anatomia Mundini,jewels_cca_082,Page 82,still image,books,aat,,,,lat,,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/142.html,image/tiff,Bologna (Italy),http://id.loc.gov/authorities/names/n79021394,Hieronymus de Benedictis,,1521,,,,,Medical sciences,lcsh,http://id.loc.gov/authorities/subjects/sh85083022,,,,NNC-M,,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_142,"da Carpi, Jacopo Berengario , 1460?-1530?",naf,http://id.loc.gov/authorities/names/n85801180,personal,,,,,,Commentaria cum amplissimis additionibus super anatomia Mundini,jewels_cca,Page 82,still image,books,aat,,,,lat,,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/142.html,image/tiff,Bologna (Italy),http://id.loc.gov/authorities/names/n79021394,Hieronymus de Benedictis,,1521,,,,,Medical sciences,lcsh,http://id.loc.gov/authorities/subjects/sh85083022,,,,NNC-M,,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_143_001,"Gersdorff, Hans von, -1529",naf,http://id.loc.gov/authorities/names/n85801879,personal,,,,,,Feldtbuch der Wundartzney,jewels_fdd_001,Unnumbered page,still image,books,aat,,,,ger,,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/143.html,image/tiff,Strasbourg (France),http://id.loc.gov/authorities/names/n79077528,Johannes Schott,,1528,,,,,Medical sciences,lcsh,http://id.loc.gov/authorities/subjects/sh85083022,,,,NNC-M,,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_143,"Gersdorff, Hans von, -1529",naf,http://id.loc.gov/authorities/names/n85801879,personal,,,,,,Feldtbuch der Wundartzney,jewels_fdd,Unnumbered page,still image,books,aat,,,,ger,,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/143.html,image/tiff,Strasbourg (France),http://id.loc.gov/authorities/names/n79077528,Johannes Schott,,1528,,,,,Medical sciences,lcsh,http://id.loc.gov/authorities/subjects/sh85083022,,,,NNC-M,,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_144_001,"Vesalius, Andreas, 1514-1564",naf,http://id.loc.gov/authorities/names/n81035178,personal,,,,,,De humani corporis fabrica libri septem,jewels_dhh_001,Title page,still image,books,aat,,,,lat,,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/144.html,image/tiff,Basel (Switzerland),http://id.loc.gov/authorities/names/n79062979,Joannis Oporini,,1543,,,,,Medical sciences,lcsh,http://id.loc.gov/authorities/subjects/sh85083022,,,,NNC-M,,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_144,"Vesalius, Andreas, 1514-1564",naf,http://id.loc.gov/authorities/names/n81035178,personal,,,,,,De humani corporis fabrica libri septem,jewels_dhh,Title page,still image,books,aat,,,,lat,,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/144.html,image/tiff,Basel (Switzerland),http://id.loc.gov/authorities/names/n79062979,Joannis Oporini,,1543,,,,,Medical sciences,lcsh,http://id.loc.gov/authorities/subjects/sh85083022,,,,NNC-M,,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
