mods_identifier,name1,name1authority,name1authorityURI,name1Type,name2,name2authority,name2authorityURI,name2Type,initArticle,title,titleIdentifier,titlePart,location_url_primary_display_object_in_context,typeOfResource,form,form_source,extent,internetMediaType,originInfo_Place,originInfo_Publisher,originInfo_dateIssued_text,keyDate_start,keyDate_single,date_end,date_qualifier,collection,subject,subject_topic_authority,physicalLocation,physicalLocation_authority,sublocation,access_condition,project,project_url,languageOfCataloging,recordContentSource,recordOrigin
ldpd_treasures_137,"Briggs, Emilie Grace",naf,http://id.loc.gov/authorities/names/no00060511,personal,,,,,The,Deaconess in the Ancient and Medieval Church: A Study in the History of Christian Institutions,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/137.html,still image,manuscripts,gmgpc ,"Autograph manuscript, written in partial fulfillment of the Ph.D., Union Theological Seminary",image/tiff,,,,1913,,1925,,Emily Grace Briggs Papers,Theology &amp; Religion,local,Burke Library at Union Theological Seminary,NyNyCBL,Archives,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_138,"Bonhoeffer, Dietrich, 1906-1945",naf,http://id.loc.gov/authorities/names/n78092900,personal,,,,,,Application to Union Seminary,aus_000,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/138.html,still image,manuscripts,gmgpc ,"Printed document, completed by the author and signed in ink",image/tiff,Berlin,,"February 12, 1930",,1.9300212E7,,,Dietrich Bonhoeffer Manuscript Collection,Theology &amp; Religion,local,Burke Library at Union Theological Seminary,NyNyCBL,Archives,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_142,"da Carpi, Jacopo Berengario , 1460?-1530?",naf,http://id.loc.gov/authorities/names/n85801180,personal,,,,,,Commentaria cum amplissimis additionibus super anatomia Mundini,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/142.html,still image,books,gmgpc ,,image/tiff,Bologna,Hieronymus de Benedictis,,,1521,,,,Health Sciences,local,"Augustus C. Long Health Sciences Library, Columbia University",NNC-M,Archives &amp; Special Collections,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_143,"Gersdorff, Hans von, -1529",naf,http://id.loc.gov/authorities/names/n85801879,personal,,,,,,Feldtbuch der Wundartzney,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/143.html,still image,books,gmgpc ,,image/tiff,Strasbourg,Johannes Schott,,,1528,,,,Health Sciences,local,"Augustus C. Long Health Sciences Library, Columbia University",NNC-M,Archives &amp; Special Collections,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_144,"Vesalius, Andreas, 1514-1564",naf,http://id.loc.gov/authorities/names/n81035178,personal,,,,,,De humani corporis fabrica libri septem,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/144.html,still image,books,gmgpc ,,image/tiff,Basel,Joannis Oporini,,,1543,,,,Health Sciences,local,"Augustus C. Long Health Sciences Library, Columbia University",NNC-M,Archives &amp; Special Collections,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_145,"Della Croce, Giovanni Andrea, 1514-1575",naf,http://id.loc.gov/authorities/names/no2010176757,personal,,,,,,Chirurgiae libri septem,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/145.html,still image,books,gmgpc ,,image/tiff,Venice,Giordano Ziletto,,,1573,,,Jerome P. Webster Library of Plastic Surgery,Health Sciences,local,"Augustus C. Long Health Sciences Library, Columbia University",NNC-M,Archives &amp; Special Collections,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_146,"Tagliacozzi, Gaspare, 1545-1599",naf,http://id.loc.gov/authorities/names/n85800389,personal,,,,,,De curtorum chirurgia per insitionem,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/146.html,still image,books,gmgpc ,,image/tiff,Venice: ,Gaspare Bindoni the Younger,,,1597,,,Jerome P. Webster Library of Plastic Surgery,Health Sciences,local,"Augustus C. Long Health Sciences Library, Columbia University",NNC-M,Archives &amp; Special Collections,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_147,"Harvey, William, 1578-1657",naf,http://id.loc.gov/authorities/names/n79021742,personal,,,,,,"De motu cordis &amp; sanguinis in animalibus, anatomica exercitatio",,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/147.html,still image,books,gmgpc ,,image/tiff,Leiden,ex officina Ioannis Maire,,,1639,,,,Health Sciences,local,"Augustus C. Long Health Sciences Library, Columbia University",NNC-M,Archives &amp; Special Collections,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_148,"Hooke, Robert, 1635-1703",naf,http://id.loc.gov/authorities/names/n50028929,personal,,,,,,"Micrographia: or, Some Physiological Descriptions of Minute Bodies made by Magnifying Glasses",,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/148.html,still image,books,gmgpc ,,image/tiff,London,Jo. Martyn and Ja. Allestry,,,1665,,,,Health Sciences,local,"Augustus C. Long Health Sciences Library, Columbia University",NNC-M,Archives &amp; Special Collections,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
ldpd_treasures_150,"Hunter, John, 1728-1793",naf,http://id.loc.gov/authorities/names/n81014558,personal,,,,,The,Natural History of the Human Teeth,,,http://www.columbia.edu/cu/lweb/eresources/exhibitions/treasures/html/150.html,still image,books,gmgpc ,,image/tiff,London,J. Johnson,,,1771,,,,Health Sciences,local,"Augustus C. Long Health Sciences Library, Columbia University",NNC-M,Archives &amp; Special Collections,No known restrictions.,Jewels in her crown: treasures of Columbia University Libraries special collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio4887511,eng,NNC,"Metadata derived from original exhibition information, edited to conform to  the DLF Implementation Guidelines for Shareable MODS Records, Version 1.1."
