use_and_reproduction-1:use_and_reproduction_value,_pid,partName,projectURL,_identifiers-1,relatedItem_project,_project.string_key,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,note-3:note_type,form-2:form_term.uri,form-2:form_term.value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,date_created-1:date_created_end_value,digital_origin-1:digital_origin_value,date_created-1:date_created_start_value,type_of_resource-1:type_of_resource_value,date_created_textual-1:date_created_textual_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,note-2:note_type,note-2:note_value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,genre-1:genre_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,collection-1:collection_term.uri,collection-1:collection_term.value,date_created-1:date_created_type,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-1:note_type,note-1:note_value,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,clio_identifier-1:clio_identifier_value
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Creating a National Government, , , ,12468,,,,,,,,,,,,,,,,filename,jj_headers5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Diplomacy Banner, , , ,12466,,,,,,,,,,,,,,,,filename,jj_headers4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Intro Page Banner, , , ,12465,,,,,,,,,,,,,,,,filename,jj_headers9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Chief Justice of the U.S. Supreme Court Banner, , , ,12464,,,,,,,,,,,,,,,,filename,jj_headers7.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Slavery & Abolition Banner, , , ,12463,,,,,,,,,,,,,,,,filename,jj_headers6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Governor of New York Banner, , , ,12462,,,,,,,,,,,,,,,,filename,jj_headers8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Governor Jay's March Video, , , ,12461,,,,,,,,,,,,,,,,filename,IMG_0064 (4).mov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Home & Family Banner, , , ,12460,,,,,,,,,,,,,,,,filename,jj_headers3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,King's College Banner, , , ,12459,,,,,,,,,,,,,,,,filename,jj_headers.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,American Revolution Banner, , , ,12458,,,,,,,,,,,,,,,,filename,jj_headers2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
