_project.string_key,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,Master assets filenames,_import_file.import_type,_import_file.import_path,Access (Streaming) assets filenames,_import_file.access_copy_import_path,abstract-1:abstract_value,clio_identifier-1:clio_identifier_value,collection-1:collection_term.value,collection-1:collection_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created-1:date_created_key_date,edition-1:edition_value,digital_origin-1:digital_origin_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,genre-2:genre_term.value,genre-2:genre_term.authority,genre-2:genre_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,location-1:location_term.value,location-1:location_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-2:location_shelf_location_free_text,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.uri,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-2:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-2:name_term.value,name-2:name_term.authority,name-2:name_term.uri,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-3:name_term.value,name-3:name_term.authority,name-3:name_term.uri,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,note-1:note_value,object_in_context_url-1:object_in_context_url_value,omeka_identifier-1:omeka_identifier_value,place_of_origin-1:place_of_origin_value,publisher-1:publisher_value,restriction_on_access-1:restriction_on_access_value,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,subject_geographic-3:subject_geographic_term.value,subject_geographic-3:subject_geographic_term.authority,subject_geographic-3:subject_geographic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.name_type,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-2:subject_name_term.name_type,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_name-3:subject_name_term.name_type,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.uri,subject_name-4:subject_name_term.name_type,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_topic-4:subject_topic_term.value,subject_topic-4:subject_topic_term.authority,subject_topic-4:subject_topic_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion,type_of_resource-1:type_of_resource_value,use_and_reproduction-1:use_and_reproduction_term.value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri
jay_exhibit,item,RBML_Jay_0001,,,,,,,"The young men enrolling at King's College had to pass a vigorous examination in order to gain admittance. This set of laws copied out by Jay mentions that incoming students were required to read and translate ""the first three of Tully's Orations,"" ""the six first Books of Virgil's AEneids"" from Latin into English, and ""the ten first Chapters of St. John's Gospel"" from English into Latin.",,John Jay Papers,http://id.library.columbia.edu/term/c445b04b-64c2-41f2-91bd-98df64b8d5d0,1760 August 29,1760-08-29,,,TRUE,,reformatted digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,Rules,fast,http://id.worldcat.org/fast/1423857,,,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,series,1,Series II: Cataloged Manuscripts and Documents,56,,,"King's College (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n84136056,corporate,TRUE,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,,,,"Jay, John, 1745-1829",naf,http://id.loc.gov/authorities/names/n79088877,personal,Transcriber,marcrelator,http://id.loc.gov/vocabulary/relators/trc,,,,,,,,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,United States,naf,http://id.loc.gov/authorities/names/n78095330,,,,"King's College (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n84136056,corporate,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,corporate,,,,,,,,,,,,Universities and colleges,fast,http://id.worldcat.org/fast/1161597,College discipline,fast,http://id.worldcat.org/fast/867766,College students--Conduct of life,fast,http://id.worldcat.org/fast/867990,,,,,Laws of King's College,text,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/
jay_exhibit,asset,RBML_Jay_0001_001,RBML_Jay_0001,RBML_Jay_0001.tif,external,/digital/ingest/RBML/digitized/RBML_Jay_Omeka/rbml_omeka_jay_v9/RBML_Jay_0001.tif,RBML_Jay_0001.jpg,/digital/working/master/omeka_ingest_copies/rbml_omeka_jay/RBML_Jay_0001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/john_jay/king-s-college-1,omeka_12322,,,Public Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Front,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/
jay_exhibit,item,RBML_Jay_0005,,,,,,,"Sometimes attributed to John Jay. Signed: Abraham Ten Broeck, President. Dated: Fish Kill, Dec. 23, 1776. Brinley no. 4185.",1598188,Rare Book & Manuscript Library General Rare Book Collection,http://id.library.columbia.edu/term/00b71fe3-4538-4880-9eb8-520cb76c52ce,1776 December 23,1776-12-23,,,TRUE,,reformatted digital,books,aat,http://vocab.getty.edu/aat/300028051,Essays,fast,http://id.worldcat.org/fast/1919922,,,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,,,,,JK128. N4 1777g,,"Jay, John, 1745-1829",naf,http://id.loc.gov/authorities/names/n79088877,personal,TRUE,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,,,,New York (State). Convention of the Representatives (1776-1777),naf,http://id.loc.gov/authorities/names/n87837971,corporate,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,"Ten Broeck, Abraham, 1734-1810",naf,http://id.loc.gov/authorities/names/n2001081563,personal,Signer,marcrelator,http://id.loc.gov/vocabulary/relators/sgn,,,,Fishkill (N.Y.),Green and Spooner,,New York (State),naf,http://id.loc.gov/authorities/names/n80126293,United States,naf,http://id.loc.gov/authorities/names/n78095330,Great Britain,naf,http://id.loc.gov/authorities/names/n79023147,United States. Continental Army,naf,http://id.loc.gov/authorities/names/n79045178,corporate,"Howe, Richard Howe, Earl, 1726-1799",naf,http://id.loc.gov/authorities/names/n50029802,personal,"Howe, William Howe, Viscount, 1729-1814",naf,http://id.loc.gov/authorities/names/n50029814,personal,"George III, King of Great Britain, 1738-1820",naf,http://id.loc.gov/authorities/names/n79061402,personal,,,,Constitutional history,fast,http://id.worldcat.org/fast/875777,Constitutional conventions,fast,http://id.worldcat.org/fast/875764,Politics and government,fast,http://id.worldcat.org/fast/1919741,,,,An,address of the Convention of the Representatives of the state of New-York to their constituents,text,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/
jay_exhibit,asset,RBML_Jay_0005_001,RBML_Jay_0005,RBML_Jay_0005.tif,external,/digital/ingest/RBML/digitized/RBML_Jay_Omeka/rbml_omeka_jay_v9/RBML_Jay_0005.tif,RBML_Jay_0005.jpg,/digital/working/master/omeka_ingest_copies/rbml_omeka_jay/RBML_Jay_0005.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/john_jay/american-revolution-2,omeka_12328,,,Public Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title page,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/
jay_exhibit,item,RBML_Jay_0007,,,,,,,,5462177,Seligman Books,http://id.library.columbia.edu/term/3fb8085f-ec60-4b0c-aa24-421a6583d4a5,1775,1775,,,TRUE,,reformatted digital,books,aat,http://vocab.getty.edu/aat/300028051,Essays,fast,http://id.worldcat.org/fast/1919922,,,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,,,,,SELIGMAN 1775E Un3 C. 1,,United States. Continental Congress,naf,http://id.loc.gov/authorities/names/n80039712,corporate,TRUE,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,"Dickinson, John, 1732-1808",naf,http://id.loc.gov/rwo/agents/n50027268,personal,Compiler,marcrelator,http://id.loc.gov/vocabulary/relators/com,,,,,,,,The declaration and the petition were drawn up by John Dickinson.,,,London (England),,,Ireland,naf,http://id.loc.gov/authorities/names/n79063445,United States,naf,http://id.loc.gov/authorities/names/n78095330,Great Britain,naf,http://id.loc.gov/authorities/names/n79023147,,,,,,,,,,,,,,,,,,,,American Revolution (United States : 1775-1783),fast,http://id.worldcat.org/fast/1351668,Sovereignty,fast,http://id.worldcat.org/fast/1127379,,,,,,,The,declaration by the representatives of the United Colonies of North America,text,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/
jay_exhibit,asset,RBML_Jay_0007_001,RBML_Jay_0007,RBML_Jay_0007.tif,external,/digital/ingest/RBML/digitized/RBML_Jay_Omeka/rbml_omeka_jay_v9/RBML_Jay_0007.tif,RBML_Jay_0007.jpg,/digital/working/master/omeka_ingest_copies/rbml_omeka_jay/RBML_Jay_0007.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/john_jay/american-revolution-2,omeka_12330,,,Public Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 25,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/
jay_exhibit,item,RBML_Jay_0008,,,,,,,"Journal of the Second Continental Congress, covering the period from May 10 to August 1, 1775.",5522192,Rare Book & Manuscript Library General Rare Book Collection,http://id.library.columbia.edu/term/00b71fe3-4538-4880-9eb8-520cb76c52ce,1775,1775,,,TRUE,,reformatted digital,books,aat,http://vocab.getty.edu/aat/300028051,Conference papers and proceedings,fast,http://id.worldcat.org/fast/1423772,,,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,,,,,B328.731 B,,United States. Continental Congress,naf,http://id.loc.gov/authorities/names/n80039712,corporate,TRUE,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,,,,"Jay, John, 1745-1829",naf,http://id.loc.gov/authorities/names/n79088877,personal,Contributor,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,,,,,,,,,,,Philadelphia (Pa.),William and Thomas Bradford,,United States,naf,http://id.loc.gov/authorities/names/n78095330,Great Britain,naf,http://id.loc.gov/authorities/names/n79023147,,,,"George III, King of Great Britain, 1738-1820",naf,http://id.loc.gov/authorities/names/n79061402,personal,,,,,,,,,,,,,,,,American Revolution (United States : 1775-1783),fast,http://id.worldcat.org/fast/1351668,Founding Fathers of the United States,fast,http://id.worldcat.org/fast/1739942,Sovereignty,fast,http://id.worldcat.org/fast/1127379,Politics and government,fast,http://id.worldcat.org/fast/1919741,,"Journal of the proceedings of the Congress, held at Philadelphia, May 10, 1775",text,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/
jay_exhibit,asset,RBML_Jay_0008_001,RBML_Jay_0008,RBML_Jay_0008.tif,external,/digital/ingest/RBML/digitized/RBML_Jay_Omeka/rbml_omeka_jay_v9/RBML_Jay_0008.tif,RBML_Jay_0008.jpg,/digital/working/master/omeka_ingest_copies/rbml_omeka_jay/RBML_Jay_0008.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/john_jay/american-revolution-2,omeka_12331,,,Public Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/
jay_exhibit,asset,RBML_Jay_0008_002,RBML_Jay_0008,RBML_Jay_0065.tif,external,/digital/ingest/RBML/digitized/RBML_Jay_Omeka/rbml_omeka_jay_v9/RBML_Jay_0065.tif,RBML_Jay_0065.jpg,/digital/working/master/omeka_ingest_copies/rbml_omeka_jay/RBML_Jay_0065.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,omeka_12406,,,Public Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 150-151,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/
jay_exhibit,item,RBML_Jay_0012,,,,,,,,5552076,Rare Book & Manuscript Library General Rare Book Collection,http://id.library.columbia.edu/term/00b71fe3-4538-4880-9eb8-520cb76c52ce,1822,1822,,,TRUE,,reformatted digital,books,aat,http://vocab.getty.edu/aat/300028051,Historical fiction,fast,http://id.worldcat.org/fast/1726640,War stories,fast,http://id.worldcat.org/fast/1726773,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,,,,,B812C78 W 1822,,"Cooper, James Fenimore, 1789-1851",naf,http://id.loc.gov/authorities/names/n79059786,personal,TRUE,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,,,,,,,,,,,,,,,,,,,,,London (England),G. & W.B. Whittaker,,New York (State),naf,http://id.loc.gov/authorities/names/n80126293,United States,naf,http://id.loc.gov/authorities/names/n78095330,,,,"Jay, John, 1745-1829",naf,http://id.loc.gov/authorities/names/n79088877,personal,,,,,,,,,,,,,"Cooper, James Fenimore, 1789-1851. Spy.",naf,http://id.loc.gov/authorities/names/n89666563,American Revolution (United States : 1775-1783),fast,http://id.worldcat.org/fast/1351668,,,,,,,,,,The,spy : a tale of the neutral ground; referring to some particular occurrences during the American war: also pourtraying American scenery and manners,text,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/
