item - itemId,item - public,item - featured,item - MODS - PublicationPlace 1,item - MODS - PublicationPlace 2,item - MODS - PublicationPlace 3,item - MODS - PublicationPlace 4,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,Item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - FormGenre,item - MODS - PublicationDate,item - MODS - Notes,item - MODS - Collection,item - AdditionalItemMetadata - Provenance,item - MODS - PhysicalDescription,item - MODS - ShelfLocation,item - DublinCore - Publisher 1,item - DublinCore - Publisher 2,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Relation,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Identifier,item - DublinCore - Description,item - DublinCore - Language,item - DublinCore - Date,item - DublinCore - Source,item - OriginalFileLoadedIntoOmeka,item - ItemType,item - OmekaCollection,project URL,item in context 1,item in context 2
8541,1,0,,,,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1835,,books,,,,,,,,,Imperial Arming Press. Cover,Imperial Arming Press,Cover,,,,CLIO_6181547,"Illustration from John Hannett's Bibliopegia, 1835.",eng,circa 1835,"Hannett, John, 1803-1893. Bibliopegia; or, The art of bookbinding in all its branches.  London : Richard Groombridge; Oliver and Boyd, Edinburgh; W.F. Wakeman, Dublin; and W. Jackson, New York., 1835.",original filename: ARMPRESS.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/arming_press/illustration,
5029,1,0,New York,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1899,,books,1899,,,From the Library of Hilda Ward,,,T. Y. Crowell & Company,,Barrack Room Ballads and Other Poems. Spine,Barrack Room Ballads and Other Poems,Spine,,"Kipling, Rudyard, 1865-1936",,CLIO_6916733,,eng,1899,,original filename: GBF244.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_17_20,
5028,1,0,New York,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1897,,books,1897,Harper Library,,,,,D. Appleton and Company,,Jason Edwards: an Average Man. Spine,Jason Edwards: an Average Man,Spine,,"Garland, Hamlin, 1860-1940",,CLIO_5559610,,eng,1897,,original filename: GBF243.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_17_20,
5027,1,0,Philadelphia,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1876,,books,1876,,,,,,T. B. Peterson & Brothers,,"Ishmael; or, In the Depths. Spine","Ishmael; or, In the Depths",Spine,,"Southworth, Emma Dorothy Eliza Nevitte, 1819-1899",,CLIO_5567995,,eng,1876,,original filename: GBF242.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_17_20,
5026,1,0,London,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1873,,books,1873,,,Bequest of Mollie Harris Samuels,Three Volumes,,Chapman and Hall,,"Eustace Diamonds. Volumes I - III, spines",Eustace Diamonds,"Volumes I - III, spines",,"Trollope, Anthony, 1815-1882",,CLIO_7468807,,eng,1873,,original filename: GBF241.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_17_20,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/introduction
5025,1,0,Boston,New York,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1872,,books,1872,,,Bancroft Fund,,,Lee and Shepard; New York,"Lee, Shepard and Dillingham",Whaleman's Adventures in the Sandwich Islands and California. Spine,Whaleman's Adventures in the Sandwich Islands and California,Spine,Series: The Ocean Life Series,"Thomes, William Henry, 1824-1895",,CLIO_5573141,,eng,1872,,original filename: GBF240.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,
5024,1,0,Cambridge,London,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1872,,books,1872,,,Gift of William H. W. Sabine,,,"Deighton, Bell, and Co",Bell and Daldy,Fly Leaves. Spine,Fly Leaves,Spine,,"Calverley, Charles Stuart, 1831-1884",,CLIO_748483,Second Edition.,eng,1872,,original filename: GBF239.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,
5022,1,0,Boston,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1869,,books,1869,,,Gift of Frances Henne,,,Lee and Shepard,,Fine Feathers Do Not Make Fine Birds. Spine,Fine Feathers Do Not Make Fine Birds,Spine,Series: The Proverb Series,"Nelly, Kate J.",,CLIO_6150327,,eng,1869,,original filename: GBF237.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,
5023,1,0,Philadelphia,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1870,,books,1870,,,Bancroft Fund,,,"Claxton, Remsen & Haffelfinger",,Sheridan's Troopers on the Borders: a Winter Campaign on the Plains. Spine,Sheridan's Troopers on the Borders: a Winter Campaign on the Plains,Spine,,"Keim, De B. Randolph (De Benneville Randolph), 1841-1914",,CLIO_6132729,,eng,1870,,original filename: GBF238.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,
5020,1,0,New York,,,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1867,,books,1867,,,Gift of Morris H. Saffron,,,James Miller,,"Little Trapper, and Other Stories. Spine","Little Trapper, and Other Stories",Spine,,"Hillyard, W. Heard (William Heard)",,CLIO_5558473,,eng,1867,,original filename: GBF235.600.JPG,still image,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/selected_spines/items_9_16,
