identifier_omeka,subject_topic,dateCreated,title,publisher,abstract,keyDate_start,form,physicalLocation,place,digitalOrigin,languageofCataloging,note_filename,typeOfResource,relatedItem_Project
omeka_identifier-1:omeka_identifier_value,subject_topic-1:subject_topic_term.value,	date_created_textual-1:date_created_textual_value,title-1:title_sort_portion,	publisher-1:publisher_value,	abstract-1:abstract_value,date_created-1:date_created_start_value,form-1:form_term.value,	location-1:location_term.value,"	

place_of_origin-1:place_of_origin_value",digital_origin-1:digital_origin_value,language_of_cataloging-1:language_of_cataloging_term.value,note-3:note_value,type_of_resource-1:type_of_resource_value,
9385,"Women--China--Periodicals|Li, Minghui",1933,"Ling long. Vol. 3, issue 94 (1933), page 632",Hua shang san he gong si chu ban bu,Li Minghui taking photograph.,1933,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1933_issue94_page632.jpeg,Still Image,Ling long Women's Magazine
9383,Women--China--Periodicals,1937,"Ling long. Vol. 7, issue 296 (1937), page 2241",Hua shang san he gong si chu ban bu,Zhang Mali on the front cover. ,1937,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1937_issue296_page2241.jpeg,Still Image,Ling long Women's Magazine
9382,"Women--China--Periodicals|Harlow, Jean, 1911-1937",1937,"Ling long. Vol. 7 (1937), issue 283, page 1280",Hua shang san he gong si chu ban bu,The American movie start Jean Harlow.,1937,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1937_issue238_page1280.jpeg,Still Image,Ling long Women's Magazine
9380,"Women--China--Periodicals|Temple, Shirley, 1928-2014",1936,"Ling long. Vol. 6 (1936), issue 230, page 859",Hua shang san he gong si chu ban bu,Shirley Temple,1936,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1936_issue230_page859.jpeg,Still Image,Ling long Women's Magazine
9372,Women--China--Periodicals,1937,"Ling long. Vol. 7, issue 297 (1937), page 2340",Hua shang san he gong si chu ban bu,Zhang Manli,1937,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1937_issue297_page2340.jpeg,Still Image,Ling long Women's Magazine
9368,"Women--China--Periodicals|Temple, Shirley, 1928-2014",1936,"Ling long. Vol. 6 (1936), issue 237, page 1401",Hua shang san he gong si chu ban bu,Front cover of an issue featuring Shirley Temple.,1936,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1936_issue237_page1401.jpeg,Still Image,Ling long Women's Magazine
9367,"Women--China--Periodicals|Colbert, Claudette",1937,"Ling long. Vol. 7 (1937), issue 288, page 1680",Hua shang san he gong si chu ban bu,The French-born American actress Claudette Colbert. ,1937,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1937_issue288_page1680.jpeg,Still Image,Ling long Women's Magazine
9366,Women--China--Periodicals,1932,"Ling long. Vol. 2, issue 50 (1932), page 2063",Hua shang san he gong si chu ban bu,"Caption: Spring is the best season for dressing up. If an overcoat is too warm for going out to a park, you'd better take a short one along to put on casually over a qipao ",1932,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1932_issue50_page2063.jpeg,Still Image,Ling long Women's Magazine
9365,Women--China--Periodicals|Advertising--Toothpaste ,1932,"Ling long. Vol. 2 (1932), issue 52, page 61",Hua shang san he gong si chu ban bu,Advertisement for the German toothpaste Odol.,1932,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1932_issue52_page61.gif,Still Image,Ling long Women's Magazine
9364,"Women--China--Periodicals|Zhang, Wen",1936,"Ling long. Vol. 6, issue 229 (1936), page 819",Hua shang san he gong si chu ban bu,Miss Zhang Wen behind the camera.,1936,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1936_issue229_page819.jpeg,Still Image,Ling long Women's Magazine
9363,Women--China--Periodicals,1936,"Ling long. Vol. 6 (1936), issue 258, page. 3182",Hua shang san he gong si chu ban bu,A student from Jinling Women's University adjusts the knob on a radio.,1936,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai ,,,1936_issue258_page3182.jpeg,Still Image,Ling long Women's Magazine
9362,"Women--China--Periodicals|Advertising, Magazine|Greyhound racing",1933,"Ling long. Vol. 3 (1933), issue 81, page. 35",Hua shang san he gong si chu ban bu,"Advertisement for the Canidrome, a greyhound race track that opened in Shanghai's French Concession in 1928. The Canidrome was a regular advertiser in Ling long, publishing upcoming events to take place “no matter wind or rain.”",1933,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai ,,,1933_issue81_page35.gif,Still Image,Ling long Women's Magazine
9361,Women--China--Periodicals|Advertising--Cameras ,1931,"Ling long. Vol. 1, issue 37 (1931), page 1437",Hua shang san he gong si chu ban bu,"Advertisement for the Agfa (German) camera shop on Sichuan Road. On the right is the Billy (bili 必利 ) roll film camera, introduced in 1928. The text notes that this “new style” is “inexpensive and good” quality. On the left is the Movex (moweikesi 摩維克斯)  movie camera for use at “home” or “traveling.” The shop also provided 24-hour film developing services.",1931,periodicals,"C.V. Starr East Asian Library, Columbia University",Shanghai,,,1931_issue37_page1437.jpeg,Still Image,Ling long Women's Magazine
