identifier_omeka,title,name_primary,abstract,dateCreated,note_filename,typeOfResource,relatedItem_Project
omeka_identifier-1:omeka_identifier_value,title-1:title_sort_portion,name-1:name_term.value,	abstract-1:abstract_value,	date_created_textual-1:date_created_textual_value,note-3:note_value,type_of_resource-1:type_of_resource_value,
9711,"Fight for 15 march in Greenville, SC at the Republican Debate",Timothy Wotring,"Fight for 15 with Larry Cox, co-director of the Kairos Center, and Timothy Wotring, a Union Theological Seminary student. ",2016-02-13,14.jpg,Still Image,Love in Action
9710,Timothy Wotring at the Fight for 15 March,Timothy Wotring,"Timothy Wotring at the Fight for 15 March in Greenville, SC against the Republican Debate. ",2016-02-13,13.jpg,Still Image,Love in Action
9709,Moral Mondays March in front of the NC State Capitol ,Timothy Wotring,"Moral Mondays March in Raleigh, NC",2016-02-13,7.jpg,Still Image,Love in Action
9708,Moral Mondays March,Timothy Wotring,"Moral Mondays March in Raleigh, NC",2016-02-13,5.jpg,Still Image,Love in Action
9707,Larry Cox and Julio Torres,Timothy Wotring,Larry Cox and Julio Torres hold the Karios banner at the Moral Mondays Protest.,2016-02-13,2.jpg,Still Image,Love in Action
9331,People's Resurrection March,Betty Bolden (photographer),Photograph from the People's Resurrection March led by Daniel Ismael Aguilar (pictured here with megaphone). This was part of the Holy Week of Resistance movement: http://www.holyweekofresistance.net/vision/,2015-04-05,betty_peoplesresurrectionmarch_Easter 2015_1.jpg,Still Image,Love in Action
9329,Call for a Poor People's Campaign for Today Organizing Pamphlet,"Kairos Center, designed by Colleen Wessel-McCoy","Booklet outlining call for and possibility of a new Poor People's Campaign for Today created by the Kairos Center for Religions, Rights and Social Justice together with other community leaders and organizations.",2015-3,PPC Booklet March 2015.pdf,Document,Love in Action
9328,Praying for the end of the eviction of Hurricane Katrina survivors,Jose Vasquez,"The Kairos Center and leaders from Safe Harbor, a housing development built for Katrina survivors, pray together with a delegation from the Poor People’s Campaign from across the US. They were delivering a letter to city hall demanding an end to evictions after rents at Safe Harbor were tripled. Photo by Jose Vasquez.
",2014-11,gulf.jpg,Still Image,Love in Action
9327,Union staff and alumni learn how devastation continues years after the BP oil spill,Jose Vasquez,"Union's Poverty Scholar in Residence Willie Baptist (center right) listens as Vietnam veteran and oysterman Byron Encalade (center) and two fisherman in Point A’La Hache, Louisiana describe how their livelihoods have been devastated by the BP oil spill during a fact finding delegation to the Gulf coast as part of the call for a new Poor People's Campaign. Photo by Jose Vasquez.
",2014-11,Gulf 2.jpg,Still Image,Love in Action
9326,House band at the launch of the Kairos Center,Jose Vasquez,"House band of Union alumni, staff and community leaders in James Chapel at the launch of the Kairos Center for Religions, Rights and Social Justice. Photo by Jose Vasquez.",2013-11,Band.jpg,Still Image,Love in Action
9325,"Rev. Dr. William Barber, II at Kairos Center Launch",Jose Vasquez,"NC NAACP's Rev. Dr. William Barber, II delivers keynote sermon in James Chapel at the launch of the Kairos Center for Religions, Rights and Social Justice. Photo by Jose Vasquez.",20013-11,Barber 2.png,Still Image,Love in Action
9324,"Moral Day of Action in Albany, NY",Kairos Center Staff,"The Kairos Center for Religions, Rights, and Social Justice and Poverty Initiative at Union Theological Seminary traveled with students, alumni, staff and community and religious leaders (including Picture the Homeless) to the Moral Day of Action at the New York State Capitol in conjunction with the Moral Week of Action in the South and Beyond spearheaded by the Forward Together and Moral Mondays Movement and the North Carolina NAACP. ",2014-8-28,Albany.jpg,Still Image,Love in Action
9321,Kairos Center Directors Arrested with Walmart Workers Outside Alice Walton's Mansion,Colleen Wessel-McCoy,Union's Kairos Center Co-directors Larry Cox and Rev. Dr. Liz Theoharis block traffic just before arrest in the OUR-Walmart action for fair wages and hours outside Alice Walton's New York mansion. ,2014-10-16,P1020182crop.jpg,Still Image,Love in Action
9320,Kairos Center participants in the 2014 Climate March,Kairos Center,"Students, staff and children from Union's Kairos Center join the Climate March alongside President Serene Jones. ",2014-9-21,Religions for the Earth March Sept 2014.jpg,Still Image,Love in Action
9319,"Kairos Center's Rev. Dr. Liz Theoharis (2004, 2014) and her son Luke at the 2015 Moral March in Raleigh, NC",Colleen Wessel-McCoy,"Kairos Center Co-director Rev. Dr. Liz Theoharis, course instructor of the 2015 January immersion course traveling to Raleigh, NC to learn from the NC NAACP and the Historic Thousands on Jones Street March. This was the Poverty Initiative's thirteenth immersion course. ",2015-2-14,DSC_0688.JPG,Still Image,Love in Action
9318,"Kairos Center delegation in the 2015 Moral March in Raleigh, NC",Colleen Wessel-McCoy,"Delegation of 60 students, alumni, community and religious leaders traveling with the Kairos Center's January immersion course (CS205) to the Historic Thousands on Jones Street March in Raleigh, NC.  ",2015-2-14,DSC_0729.JPG,Still Image,Love in Action
9317,"Union Children in the Moral March in Raleigh, NC",Colleen Wessel-McCoy,"Children of Union students and alumni take part in the Historic Thousands on Jones Street March in Raleigh, NC, traveling with 60 students and community leaders as part of the delegation from Union's Kairos Center for Religions, Rights and Social Justice and it's Poverty Initiative. ",2015-2-14,DSC_0710.JPG,Still Image,Love in Action
