note-1:note_value,note-1:note_type,_project.string_key,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,title-1:title_non_sort_portion,title-1:title_sort_portion,alternative_title-1:alternative_title_value,extent-1:extent_value,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,form-2:form_term.value,form-2:form_term.uri,form-2:form_term.authority,type_of_resource-1:type_of_resource_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,note-2:note_value,note-3:note_value,note-3:note_type,note-4:note_value,note-5:note_value,note-6:note_value,note-7:note_value,note-8:note_value,note-9:note_value,note-10:note_value,note-11:note_value,note-12:note_value,note-13:note_value,note-14:note_value,note-15:note_value,note-16:note_value,note-17:note_value,internal_note-1:internal_note_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-2:collection_term.value,collection-2:collection_term.uri,location-1:location_term.value,location-1:location_term.uri,location-1:location_sublocation,location-1:location_shelf_location-1.location_shelf_location_free_text,digital_origin-1:digital_origin_value,publisher-1:publisher_value,abstract-1:abstract_value,clio_identifier-1:clio_identifier_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,date_created-1:date_created_end_value,date_created-1:date_created_type,place_of_origin-1:place_of_origin_value,name-1:name_term.value,name-1:name_term.uri,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.authority,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.uri,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.name_type,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.uri,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.name_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.authority,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.uri,subject_topic-3:subject_topic_term.authority,subject_topic-4:subject_topic_term.value,subject_topic-4:subject_topic_term.uri,subject_topic-4:subject_topic_term.authority,subject_topic-5:subject_topic_term.value,subject_topic-5:subject_topic_term.uri,subject_topic-5:subject_topic_term.authority,subject_topic-6:subject_topic_term.value,subject_topic-6:subject_topic_term.uri,subject_topic-6:subject_topic_term.authority,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.authority,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.uri,subject_title-1:subject_title_term.authority,subject_title-2:subject_title_term.value,subject_title-2:subject_title_term.uri,subject_title-2:subject_title_term.authority,name-2:name_term.value,name-2:name_term.uri,name-2:name_term.authority,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.authority,name-3:name_term.value,name-3:name_term.uri,name-3:name_term.authority,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.authority,name-4:name_term.value,name-4:name_term.uri,name-4:name_term.authority,name-4:name_term.name_type,name-4:name_role-1:name_role_term.value,name-4:name_role-1:name_role_term.uri,name-4:name_role-1:name_role_term.authority,name-5:name_term.value,name-5:name_term.uri,name-5:name_term.authority,name-5:name_term.name_type,name-5:name_role-1:name_role_term.value,name-5:name_role-1:name_role_term.uri,name-5:name_role-1:name_role_term.authority,name-6:name_term.value,name-6:name_term.uri,name-6:name_term.authority,name-6:name_term.name_type,name-6:name_role-1:name_role_term.value,name-6:name_role-1:name_role_term.uri,name-6:name_role-1:name_role_term.authority,name-7:name_term.value,name-7:name_term.uri,name-7:name_term.authority,name-7:name_term.name_type,name-7:name_role-1:name_role_term.value,name-7:name_role-1:name_role_term.uri,name-7:name_role-1:name_role_term.authority,_publish_targets-1.string_key,_publish
,,,item,luther_orv_000,,,"[Letter of Indulgence from 12 Cardinals, to the Dominican Nuns of Unterlinde, Colmar]",,1 leaf : vellum ; 581 x 830 mm,,,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,,,,text,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,,,,original filename:1900200015,"This item was part of over 13,000 items purchased in 1838 from Leander van Ess as the core of then-fledgling Union Theological Seminary's library",provenance,Ms. written in Rome in 1519,Richly illuminated,Script: littera documentaria pontificalis,Possibly originally part of Documentary manuscript collection (UTS Ms. 37),,,,,,,,,,,Case number: 3; Item number: 1,"Van Ess Collection (Burke Library, Union Theological Seminary)",http://id.library.columbia.edu/term/b47b4ac1-707f-4021-a5d3-88ff4fc9bac3,"Manuscript Collection (Burke Library, Union Theological Seminary)",http://id.library.columbia.edu/term/5e8aef3b-b553-4265-b1af-fd7ae771733d,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Manuscripts,67,reformatted digital,,"A manuscript collective indulgence, written on vellum in the chancery hand used in Rome, granted to the nuns and giving them permission to display a famed painting of the Virgin Mary. Remission of the temporal consequences for sin could be obtained by visiting and viewing the painting on several feast days, including the Beheading of John the Baptist, St. Catherine, and St. Anne the Mother of Mary, all of whose images are portrayed around the border. This document itself would also have been on display on the feast days to announce the indulgence. This is a somewhat atypical example, and illustrates the variety of forms an indulgence might take. This item, along with several others in this exhibit, is part of the Burke Library’s Leander van Ess Collection, acquired in 1838 as the core library at the founding of Union Theological Seminary and which continues to be celebrated resource for the history of the book.",4586757,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,[14 May 1519],1519-05-14,TRUE,,,[Rome],Catholic Church. Collegium Cardinalium,http://id.loc.gov/authorities/names/n92062604,naf,corporate,TRUE,Correspondent,http://id.loc.gov/vocabulary/relators/crp,marcrelator,"Couvent d'Unterlinden (Colmar, France)",http://id.loc.gov/authorities/names/no2001039749,naf,corporate,,,,,,,,,Indulgences,http://id.worldcat.org/fast/970759,fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ess, Leander van, 1772-1847",http://id.loc.gov/authorities/names/no92013806,naf,personal,Former owner,http://id.loc.gov/vocabulary/relators/fmo,marcrelator,"Couvent d'Unterlinden (Colmar, France)",http://id.loc.gov/authorities/names/no2001039749,naf,corporate,Addressee,http://id.loc.gov/vocabulary/relators/rcp,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200015.jpg,filename,,asset,luther_orv_001,luther_orv_000,,"[Letter of Indulgence from 12 Cardinals, to the Dominican Nuns of Unterlinde, Colmar]",,,11381,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/indulgences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,luther_ezu_000,,Ain,Sermon von der Beraitung zum sterben / Doctor Martini Luthers,Sermon on Preparing to Die,[19] pages ; 20 cm (quarto),,,pamphlets,http://vocab.getty.edu/aat/300220572,aat,,,,text,German,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/ger,,,,original filename:1900200017,,,Title vignette by Hans Schäufelein,"Signature: a⁴⁺², b⁴ [last page blank]","Compare with 03-B1413 (VD 16, L 6483; Benzing, 436; Gatch, D643)",,,,,,,,,,,,Case number: 4; Item number: 2,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Tower,03-B1120,reformatted digital,Silvan Otmar,,4527530,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,[1519],1519,TRUE,,,[Augsburg],"Luther, Martin, 1483-1546",http://id.loc.gov/authorities/names/n79089628,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,,Death,http://id.worldcat.org/fast/888613,fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schäufelein, Hans, approximately 1480-approximately 1539",http://id.loc.gov/authorities/names/n88158853,naf,personal,Illustrator,http://id.loc.gov/vocabulary/relators/ill,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200017.jpg,filename,,asset,luther_ezu_001,luther_ezu_000,,Title page recto,,,11383,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/flug/flug1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,luther_mlf_000,,Ain,Sermon von der betrachtung des hailigen leidens Christi / Doctor Martini Luthers Augustiner zü Wittenberg,Sermon Contemplating the Salvific Suffering of Christ,[12] pages ; 21 cm (quarto),,,pamphlets,http://vocab.getty.edu/aat/300220572,aat,,,,text,German,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/ger,,,,original filename:1900200021,,,"Luther, personally, prepared this sermon for the press during the Lenten season of 1519. The subject is the contemplation of the sufferings of Christ","Signatures: A⁶; [A] unsigned; A1b, A6b blank",Title vignette (Crucifixion with Open Tomb),Imprint from Benzing,"Variant: Wittenberg, rather than Wittemberg--Benzing-Claus","The wood-engraving (on t.p.) has the monogram of H. Schäufelein, according to WA","Compare with 03-B1225 (VD 16, L 6516; Benzing, 319; Gatch, D270) and 03-B1401 (VD 16, L 6512; Benzing, 317; Gatch, D640) and 03-B1411 (VD 16, L 6513; Benzing, 314; Gatch, D641)",,,,,,,,Case number: 4; Item number: 6,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Tower,03-B1146,reformatted digital,Silvan Otmar,,4527559,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,[1519],1519,TRUE,,,[Augsburg],"Luther, Martin, 1483-1546",http://id.loc.gov/authorities/names/n79089628,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,,Passion of Jesus Christ,http://id.worldcat.org/fast/1353950,fast,Bible. Gospels,http://id.worldcat.org/fast/1897618,fast,Passion narratives (Gospels),http://id.worldcat.org/fast/1054430,fast,,,,,,,,,,,,,,,,,,,,,,"Schäufelein, Hans, approximately 1480-approximately 1539",http://id.loc.gov/authorities/names/n88158853,naf,personal,Illustrator,http://id.loc.gov/vocabulary/relators/ill,marcrelator,"Otmar, Silvan, -1540",http://id.loc.gov/authorities/names/nr94032874,naf,personal,Publisher,http://id.loc.gov/vocabulary/relators/pbl,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200021.jpg,filename,,asset,luther_mlf_001,luther_mlf_000,,Title page recto,,,11387,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/flug/flug1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,luther_fuz_000,,,An den Christlichen Adel deutscher Nation : von des Christlichen standes besserung / D. Martinus Luther.,Open Letter to the Christian Nobility of the German Nation Concerning the Reform of Christian Society,[99] pages ; 20 cm (quarto),,,books,http://vocab.getty.edu/aat/300028051,aat,,,,text,German,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/ger,,,,original filename:1900200035,,,,,,,,,,,,,,,,,Case number: 5; Item number: 2,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Union Rare Pamphlets,GT2 1520anb,reformatted digital,Melchior Lotter d.J.,"Luther here argues in German for a full-scale overhaul of the Church, and that the secular powers of emperor and nobility had the authority and the responsibility to act in the face of a corrupted Church, whose members he dismissively referred to as ""Romanists."" He called for the end of major swathes of the medieval Church’s structure, including its elaborate calendar of feasts and saints days, and its vast industry of relics and pilgrimages. Among his demands was the abolition of clerical celibacy, arguing that to prohibit marriage was as futile as to ""forbid eating, drinking, the natural movement of the bowels or growing fat."" Though addressed primarily to non-ecclesiastical elites – whose support and protection were perhaps the main reason he survived through this period – the work uses populist rhetoric against the hierarchy of Church structures and teaching. It was reprinted at least fourteen times within just a few years.  ""Therefore…those who are now called ‘spiritual’ – priests, bishops, or popes – are neither different from other Christians, nor superior to them….""  ""...there is no true, basic difference between laymen and priests, princes and bishops, between religious and secular, except for the sake of office and work, but not for the sake of status….they all of the spiritual estate, all are truly priests, bishops, and popes.""  ""...it may well happen that the pope and his followers are wicked men and not true Christians, not taught of God, not having true understanding. On the other hand, an ordinary man may have true understanding; why then should we not follow him?""",4551076,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,[1520],1520,TRUE,,,[Wittenberg],"Luther, Martin, 1483-1546",http://id.loc.gov/authorities/names/n79089628,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,,Church and state--Catholic Church,http://id.worldcat.org/fast/860512,fast,Church and state,http://id.worldcat.org/fast/860509,fast,History,http://id.worldcat.org/fast/958235,fast,,,,,,,,,,Germany,http://id.loc.gov/authorities/names/n80125931,naf,Holy Roman Empire,http://id.loc.gov/authorities/names/n79060589,naf,,,,,,,"Lotter, Melchior, approximately 1490-",http://id.loc.gov/authorities/names/nr94023000,naf,personal,Publisher,http://id.loc.gov/vocabulary/relators/pbl,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200035.jpg,filename,,asset,luther_fuz_001,luther_fuz_000,,Title page recto,,,11401,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/theology/nobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,luther_kwu_000,,,An den Christlichen Adel deutscher Nation : von des Christlichen standes besserung / D. Martinus Luther.,Open Letter to the Christian Nobility of the German Nation Concerning the Reform of Christian Society,[82] pages ; 20 cm,,,books,http://vocab.getty.edu/aat/300028051,aat,,,,text,German,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/ger,,,,original filename:1900200037,,,At end: Zů Wittenberg. Im Jar. M.D.XX. Durch jn selbs gemeret vnd corrigiert,,,,,,,,,,,,,,Case number: 5; Item number: 4,,,,,"Burke Library at Union Theological Seminary, Columbia University",http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43,Union Rare,GT2 1520anf,reformatted digital,"[Druck von Renatus Beck, Strassburg",,4573077,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,[1520],1520,TRUE,,,Vuittenberg,"Luther, Martin, 1483-1546",http://id.loc.gov/authorities/names/n79089628,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://exhibitions-dev.library.columbia.edu/1900200037.jpg,filename,,asset,luther_kwu_001,luther_kwu_000,,Title page recto,,,11403,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/theology/nobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
