 _pid, partName, projectURL, _identifiers-1, note-3:note_type, note-2:note_type, note-5:note_type, note-1:note_type, note-2:note_value, note-5:note_value, note-1:note_value, relatedItem_project, _project.string_key, name-1:name_term.uri, form-2:form_term.uri, extent-1:extent_value, name-1:name_term.value, genre-1:genre_term.uri, form-2:form_term.value, genre-1:genre_term.value, title-1:title_sort_portion, name-1:name_term.name_type, name-1:name_term.authority, language-1:language_term.uri, genre-1:genre_term.authority, location-1:location_term.uri, location-1:location_term.code, _digital_object_type.string_key, title-1:title_non_sort_portion, language-1:language_term.value, location-1:location_term.value, location-1:location_sublocation, language-1:language_term.authority, location-1:location_term.authority, _parent_digital_objects-1.identifier, name-1:name_role-1.name_role_term.uri, date_created-1:date_created_end_value, digital_origin-1:digital_origin_value, name-1:name_role-1.name_role_term.value, clio_identifier-1:clio_identifier_value, date_created-1:date_created_start_value, place_of_origin-1:place_of_origin_value, omeka_identifier-1:omeka_identifier_value, type_of_resource-1:type_of_resource_value, name-1:name_role-1.name_role_term.authority, date_created_textual-1:date_created_textual_value, use_and_reproduction-1:use_and_reproduction_value, location-1:location_shelf_location-1.location_shelf_location_free_text, location-1:location_shelf_location-1.location_shelf_location_box_number, location-1:location_shelf_location-1.location_shelf_location_folder_number, publisher-1:publisher_value, object_in_context_url-1:object_in_context_url_value, subject_name-1:subject_name_term.uri, subject_topic-1:subject_topic_term.uri, subject_name-1:subject_name_term.value, subject_title-1:subject_title_term.uri, subject_topic-1:subject_topic_term.value, subject_title-1:subject_title_term.value, subject_name-1:subject_name_term.name_type, subject_name-1:subject_name_term.authority, subject_topic-1:subject_topic_term.authority, subject_title-1:subject_title_term.authority, subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value, subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value, subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value, subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value, subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value, subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value, abstract-1:abstract_value, collection-1:collection_term.uri, collection-1:collection_term.value, note-4:note_type, note-4:note_value, date_created-1:date_created_type
 , , , ,original_format,filename,holdings, ,https://exhibitions-dev.library.columbia.edu/1900200050.jpg, ,"original filename:1900200050|Author and Imprint from VD 16|Signatures: A-B⁴|Woodcut on title page|recto, title page",Wild Boar in the Vinyard: Martin Luther at the Birth of the Modern World, , , ,[16] pages (last [2] pages blank) ; 19 cm (quarto),"Peringer, Diepold|Höltzel, Hieronymus, active 1500-1525", ,pamphlets,Still Image,"Eyn Sermon geprediget vom Pawren zů Werdt, bey Nürmberg, am Sontag vor Fassnacht, vo[n] dem freyen willen des Mennschen; Title page recto|A Sermon Preached by the Peasant from Wöhrd-by-Nuremberg, on the Sunday Before Carnival about the Free Will of Man", , , ,fast, , , , ,German,"Burke Library at Union Theological Seminary, Columbia University",Tower,iso639-2,local, , , ,reformatted digital, ,4528346, ,[Nürnberg],11418,Still Image, ,[1524],No Copyright - United States,03-B1883, , ,Hieronymus Höltzel,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/peasants, , , , ,Free will and determinism, , , , , , , , , , , ,"""The peasant from Wöhrd-by-Nuremberg"" was an appellation for the author of this sermon, an itinerant radical preacher at the time of German Peasants’ War. Its theme of the religious value of the layperson indicates how one of Luther’s defining emphases resonated with, and was used to energize, the uprisings that Luther would soon after denounce.",,,,,
 , , , ,original_format,filename,holdings, ,https://exhibitions-dev.library.columbia.edu/1900200049.jpg, ,"original filename:1900200049|Imprint from Benzing|Signatures: A-B⁴ C² D⁴|Title within ornamental woodcut border|recto, title page",Wild Boar in the Vinyard: Martin Luther at the Birth of the Modern World, , , ,[28] pages ; 21 cm (quarto),"Luther, Martin, 1483-1546", ,pamphlets,Still Image,Eyn Sendebrieff von dem harten buchlin widder die bawren / Martinus Luther. Wittemberg. M.D.XXV; Title page recto|An Open Letter on the Harsh Book Against the Peasants, , , ,fast, , , , ,German,"Burke Library at Union Theological Seminary, Columbia University",Tower,iso639-2,local, , , ,reformatted digital, ,4527575, ,[Erfurt],11417,Still Image, ,M.D.XXV. [1525],No Copyright - United States,03-B1163, , ,[Melchior Sachse],https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/peasants, , , , ,Peasants' War (1524-1525)|Germany|Church history, , , , , , , , , , , ,"In this work, published after his controversial Against the Murderous, Thieving Hordes of Peasants and after the peak of the uprisings, Luther does not retract his attacks levelled there, which many of his allies and supporters had decried, though he accuses the landlords of being too extreme in their violent response to the uprisings. ",,,,,
 , , , ,original_format,filename,holdings, ,https://exhibitions-dev.library.columbia.edu/1900200048.jpg, ,"original filename:1900200048|Signatures: A⁴, B², C⁴; [A] unsigned, A1b, C4b blank|Woodcut title page border by the workshop of Lucas Cranach. Cf. Hollstein VI, Cranach workshop, 30; Luther, J. 43|Printer from Benzing|Luther, M. Werke. Kritische gesammtausgabe. v.15, p.205, A|recto, title page",Wild Boar in the Vinyard: Martin Luther at the Birth of the Modern World, , , ,[20] pages ; 18 cm (quarto),"Luther, Martin, 1483-1546|Frederick III, Elector of Saxony, 1463-1525|Cranach, Lucas, 1472-1553", ,pamphlets,Still Image,"Eyn brieff an die Fürsten zu Sachsen von dem auffrurischen geyst / Martinus Luther. ; Wittemberg. 1524; Title page recto|A Letter to the Princes of Saxony, Concerning the Revolutionary Spirit", , , ,fast, , , , ,German,"Burke Library at Union Theological Seminary, Columbia University",Tower,iso639-2,local, , , ,reformatted digital, ,4527557, ,"Wittemberg [i.e., Wittenberg]",11416,Still Image, ,1524,No Copyright - United States,03-B1143, , ,[Lukas Cranach und Christian Doring],https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/peasants, , , , ,"Münzer, Thomas, approximately 1490-1525|Frederick III, Elector of Saxony, 1463-1525|Johann, der Beständige, Elector of Saxony, 1468-1532|Holy Spirit|Reformation|Peasants' War (1524-1525)|Peasant uprisings|Allstedt (Germany)|Wittenberg (Germany)--Imprints (Lucas Cranach; Christian Döring)|Saxony (Germany)|History|Church History", , , , , , , , , , , ,"Thomas Müntzer was among the ""radicals"" initially sympathetic to some of Luther’s teachings, but he and Luther became bitter opponents. Müntzer remained an important figure and his image appeared on the 5 Mark bill of the German Democratic Republic. In this letter, Luther urged the rulers of their region to suppress Müntzer and his popular movement.",,,,,
 , , , ,original_format,filename,holdings, ,https://exhibitions-dev.library.columbia.edu/1900200047.jpg, ,"original filename:1900200047|Imprint from VD 16|Signatures: A⁴|Caption for woodcut on title page: ""Ich bin ein Pawr von menschlicher artt. Gott gibt sein gnad wo es ym behagtt|recto, title page",Wild Boar in the Vinyard: Martin Luther at the Birth of the Modern World, , , ,[8] pages ; 19 cm (quarto),"Peringer, Diepold", ,pamphlets,Still Image,Des Christlichen Pawren getrewen radt : Wie die Christglaubig seel ein gesprech mit dem menschlichen fleysch teglich halten vnd betrachten sol; Title page recto|Faithful Advice of a Christian Peasant: How the Faithful Christian Soul Should Hold and Consider a Daily Dialogue with the Human Flesh , , , ,fast, , , , ,German,"Burke Library at Union Theological Seminary, Columbia University",Tower,iso639-2,local, , , ,reformatted digital, ,4528112, ,[Zwickau],11415,Still Image, ,[1524],No Copyright - United States,03-B1601, , ,Johann Schönsperger,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/peasants, , , , ,Peasants--Religious aspects--Christianity|Lay preaching, , , , , , , , , , , ,"Published in Zwickau, a hotbed of the radical appropriation of his ideas that Luther came to disdain. The caption for the woodcut reads: ""In human terms I am a peasant. God gives his grace where he thinks fit."" Diepold Peringer, author of this item the work adjacent, claimed that he could neither read nor write and learned by the direct inspiration of God. He was in fact an educated former member of a religious order, but appealed to the idealized image of the simple layperson led by the Spirit.",,,,,
 , , , ,original_format,filename,holdings, ,https://exhibitions-dev.library.columbia.edu/1900200046.jpg, ,"original filename:1900200046|Excerpts from Luther's Von den Juden und Ihren Lügen (edition of 1613) and from his Vom Schem Hamphoras (edition of 1617) with reproductions of the original title-pages|""Bearbeitet, eingeleitet und mit erläuternden zusätzen aus dem gesamtgebiet der Judenfrange verschen von E.V. von Rudolf [pseud.]|Editor's name is pseudonym for Rudolf von Elmayer-Vestenbrugg, b. 1881|Includes index|recto, title page",Wild Boar in the Vinyard: Martin Luther at the Birth of the Modern World, , , ,"151 pages : illustrations, port., facsims ; 22 cm","Luther, Martin, 1483-1546|Rudolf, E. V. von|Elmayer-Vestenbrugg, Rudolf von, 1881-|Luther, Martin, 1483-1546. Vom Schem Hamphoras. Selections", ,books,Still Image,"Dr. Martin Luther: Wider die Jüden, vierhundert Jahre deutschen Ringens gegen jüdische Fremdherrschaft, von E.V. von Rudolf [pseud.]; Title page recto|Dr. Martin Luther: Four Hundred Years of German Struggle Against Jewish Alien Domination", , , ,fast, , , , ,German,"Rare Book & Manuscript Library, Columbia University",Butler 6th Fl. East,iso639-2,local, , , ,reformatted digital, ,1818762, ,München,11414,Still Image, ,[1940],No Copyright - United States,DS141 .L775, , ,Deutscher volksverlag,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/judaism, , , , ,"Luther, Martin, 1483-1546|Judaism|Christianity and antisemitism|Judaism (Christian theology)", , , , , , , , , , , ,"On the Jews and Their Lies became a core text for subsequent anti-semitism. Excerpts from this work and from his Of the Unknowable Name and the Generations of Christ were reprinted in the Nazi era and were used at Nazi rallies. One historian has recently argued that his use by the Nazis makes Luther ""the most fateful figure in German history."" ",,,,,
 , , , ,original_format,filename,holdings, ,https://exhibitions-dev.library.columbia.edu/1900200045.jpg, ,"original filename:1900200045|Imprint from title page and colophon which reads: ""Gedruckt zu Wittemberg durch Hans Lufft. 1546.""|Sermons on Matthew VIII, 23-27; Luke II, 22-32; Matthew XIII, 24-30; and Matthew XI, 25-30, with the texts|Edited by Johann Aurifaber|Signatures: A-S⁴|Title within engraved architectural woodcut border; initials throughtout|""Eine Vermanung wider die Iuden"": leaves S1r-S3r|recto, title page",Wild Boar in the Vinyard: Martin Luther at the Birth of the Modern World, , , ,[144] pages ; 20 cm (quarto),"Luther, Martin, 1483-1546|Aurifaber, Johann, 1519-1575", ,books,Still Image,"Vier Predigten des Ehrwirdigen herrn D. Martini Luthers, zu Eisleben vor seinem abschied aus diesem leben gethan; Title page recto|Four Sermons of the Venerable Lord Dr. Martin Luther, in Eisleben Before his Parting from this Life.", , , ,fast, , , , ,German,"Burke Library at Union Theological Seminary, Columbia University",Tower,iso639-2,local, , , ,reformatted digital, ,4527698, ,"Wittemberg [i.e., Wittenberg]",11413,Still Image, ,1546,No Copyright - United States,03-B1245, , ,Hans Lufft,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/judaism, , , , ,"Bible. Matthew, VIII, 23-27|Bible. Matthew, XI, 25-30|Bible. Matthew, XIII, 24-30|Bible. Luke, II, 22-32", , , , , , , , , , , ,"Contains Luther’s ""warning to the Jews"" of harshest persecution if they did not convert to Christianity.",,,,,
 , , , ,original_format,filename,holdings, ,https://exhibitions-dev.library.columbia.edu/1900200044.jpg, ,original filename:1900200044|Name of printer and place of publication from colophon|Signatures: A-Z⁴ a-i⁴|Title within architectural and historiated woodcut border|front board of binding,Wild Boar in the Vinyard: Martin Luther at the Birth of the Modern World, , , ,[256] pages ; 18 cm (quarto),"Luther, Martin, 1483-1546", ,books,Still Image,Von den Jüden vnd jren Lügen / D.M. Luth; Front board of binding|On the Jews and Their Lies, , , ,fast, , , , ,German,"Burke Library at Union Theological Seminary, Columbia University",Union Rare,iso639-2,local, , , ,reformatted digital, ,7160879, ,Gedruckt zu Wittemberg,11412,Still Image, ,1543,No Copyright - United States,GT2 1543vb, , ,Durch Hans Lufft,https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/judaism, , , , ,Judaism|Jews|Antisemitism|Germany|History, , , , , , , , , , , ,,,,,,
 , , , ,original_format,filename,holdings, ,https://exhibitions-dev.library.columbia.edu/1900200043.jpg, ,"original filename:1900200043|The first printing of Luther's early treatise, ""That Jesus Christ was born a Jew"", in which he denies the charges made against him that he did not believe in the Virgin Birth, but rather that Jesus was a naturally born child of Joseph and Mary.  In this tract, Luther confesses that he believes that Jesus was born a Jew of the Virgin Mary.  He also hopes that his teaching will bring more Jews to convert to Christianity.  In his view, the teaching and practice of many who came before him, as well as of his opponents, was the chief cause that most Jews did not convert.  Confronted with what had been traditional teaching before him, he says, to be a true Christian one would almost have had to become a Jew, and any sincerely believing and practicing Jew would as soon have become a pig as a Christian|Signatures: A-C⁴, D², E⁴|Title within wood-engraved architectural border|Initial|recto, title page",Wild Boar in the Vinyard: Martin Luther at the Birth of the Modern World, , , ,[36] pages ; 20 cm (quarto),"Luther, Martin, 1483-1546|Cranach, Lucas, 1472-1553|Döring, Christian, -1533", ,pamphlets,Still Image,Das Ihesus Christus eyn geborner Iude sey / Doctor Martinus Luther. Vuittemberg. M.D.xxiij; Title page recto|That Jesus Christ Was Born a Jew, , , ,fast, , , , ,German,"Burke Library at Union Theological Seminary, Columbia University",Tower,iso639-2,local, , , ,reformatted digital, ,4527556, ,Wittemberg,11411,Still Image, ,MDxxiij [1523],No Copyright - United States,03-B1141, , ,[Lukas Cranach u. Christian Döring],https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/judaism, , , , ,Jesus Christ|Christology|Interfaith relations|Christianity|Judaism, , , , , , , , , , , ,,,,,,
 , , , ,original_format,filename,holdings, ,https://exhibitions-dev.library.columbia.edu/1900200042.jpg, ,"original filename:1900200042|Publisher statement from Benzing|recto, title page",Wild Boar in the Vinyard: Martin Luther at the Birth of the Modern World, , , ,[24] pages ; 22 cm (quarto),"Luther, Martin, 1483-1546|Cranach, Lucas, 1472-1553", ,pamphlets,Still Image,Von der Freyheyt eynisz Christen Menschen / Martinus Luther; Title page recto|On the Freedom of the Christian, , , ,fast, , , , ,German,"Burke Library at Union Theological Seminary, Columbia University",Union Rare Pamphlets,iso639-2,local, , , ,reformatted digital, ,4551080, ,Vuittembergae,11410,Still Image, ,1520,No Copyright - United States,GT2 1520fc, , ,[Johann Rhau-Grunenberg],https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/theology/freedom, , , , ,Liberty--Religious aspects|Justification (Christian theology), , , , , , , , , , , ,,,,,,
 , , , ,original_format,filename,holdings, ,https://exhibitions-dev.library.columbia.edu/1900200041.jpg, ,"original filename:1900200041|Title within woodcut border; manuscript marginalia|recto, title page",Wild Boar in the Vinyard: Martin Luther at the Birth of the Modern World, , , ,31 pages (quarto) ; 21 cm,"Luther, Martin, 1483-1546", ,pamphlets,Still Image,Von der freyheyt eynes Christen menschen / Martinus Luther. Czu Vuittenbergk Im XX iar; Title page recto|On the Freedom of the Christian, , , ,fast, , , , ,German,"Burke Library at Union Theological Seminary, Columbia University",Union Rare,iso639-2,local, , , ,reformatted digital, ,4551079, ,Wittenberg,11409,Still Image, ,1520,No Copyright - United States,GT2 1520fb, , ,[Melchior Lotter d.J.],https://exhibitions.library.columbia.edu/exhibits/show/martin-luther/theology/freedom,,,,,,,,,,,,,,,,,"Arguably Luther’s best-known work, it was reprinted no less that eighteen times in its first few years. It is a searching treatment of key theological and ethical issues such as freedom and grace, and religious quandaries such as: if a person is ""justified"" or ""saved"" by grace apart from any works he or she might do, what is the point of living a moral life? Luther’s language is often paradoxical, as for example in its famous opening line: ""A Christian is the most free lord of all, and subject to none; a Christian is the most dutiful servant of all, and subject to everyone."" and: ""Here is the truly Christian life, here is faith really working by love, when a man applies himself with joy and love to the works of that freest servitude in which he serves others voluntarily and for nothing, himself abundantly satisfied in the fullness and riches of his own faith."" One historian has recently summarized a key message of this work in contemporary, colloquial terms: Luther ""told a sound psychological truth: Relationships of love are not played by rules.""",,,,,
