item - public,item - itemId,item - featured,item - MODS - FormGenre 1,item - MODS - FormGenre 2,item - MODS - FormGenre 3,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - Collection,item - MODS - Subrepository,item - MODS - PlaceofOrigin 1,item - MODS - PlaceofOrigin 2,item - MODS - Notes,item - MODS - PublicationPlace,item - MODS - ShelfLocation,item - MODS - PublicationDate,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Title 2,item - DublinCore - Title 2 - Whole,item - DublinCore - Title 2 - Part,item - DublinCore - Title 2 - Attribute,item - DublinCore - Language 1,item - DublinCore - Language 2,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Creator 3,item - DublinCore - Creator 4,item - DublinCore - Date,item - DublinCore - Description 1,item - DublinCore - Description 2,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Subject 3,item - DublinCore - Subject 4,item - DublinCore - Publisher 1,item - DublinCore - Publisher 2,item - DublinCore - Source,item - DublinCore - Identifier,item - DublinCore - Type,item - DublinCore - Coverage 1,item - DublinCore - Coverage 2,item - DublinCore - Contributor,item - OriginalFileLoadedIntoOmeka 1,item - OriginalFileLoadedIntoOmeka 2,item - OriginalFileLoadedIntoOmeka 3,item - OriginalFileLoadedIntoOmeka 4,item - OriginalFileLoadedIntoOmeka 5,item - OriginalFileLoadedIntoOmeka 6,item - OriginalFileLoadedIntoOmeka 7,item - OriginalFileLoadedIntoOmeka 8,item - OriginalFileLoadedIntoOmeka 9,item - OriginalFileLoadedIntoOmeka 10,item - OriginalFileLoadedIntoOmeka 11,item - OriginalFileLoadedIntoOmeka 12,item - OriginalFileLoadedIntoOmeka 13,item - OriginalFileLoadedIntoOmeka 14,item - AdditionalItemMetadata - Provenance 1,item - AdditionalItemMetadata - Provenance 2,item - AdditionalItemMetadata - Provenance 3,item - AdditionalItemMetadata - Provenance 4,item - OmekaCollection,project URL,item - ItemType,item in context 1,item in context 2,item in context 3
1,4181,0,manuscripts,,,1900,1968,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Boris Sapir papers,Bakhmeteff Archive of Russian and East European History and Culture,,,,,,,Evr. obshchina v Rossii. Page 3,Evr. obshchina v Rossii,Page 3,,,,,rus,,"Aronson, Gregor, 1887-1968",,,,between 1900 and 1968,"Manuscript by Grigorii Aronson (1887-1968), a prominent member of the Russian Social Democratic Labor Party (Mensheviks) and journalist. Emigrated to USA and lived in New York.",,Evreĭskai︠a︡ obshchina v Rossii,,,,,,,,still image,,,,original filename: 1_01_03.jpg,,,,,,,,,,,,,,"Gift of Dr. Sapir's family, 1990",,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/background/background,,
1,4180,0,manuscripts,,,1900,1968,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Boris Sapir papers,Bakhmeteff Archive of Russian and East European History and Culture,,,,,,,Evr. obshchina v Rossii. Page 2,Evr. obshchina v Rossii,Page 2,,,,,rus,,"Aronson, Gregor, 1887-1968",,,,between 1900 and 1968,"Manuscript by Grigorii Aronson (1887-1968), a prominent member of the Russian Social Democratic Labor Party (Mensheviks) and journalist. Emigrated to USA and lived in New York.",,Evreĭskai︠a︡ obshchina v Rossii,,,,,,,,still image,,,,original filename: 1_01_02.jpg,,,,,,,,,,,,,,"Gift of Dr. Sapir's family, 1990",,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/background/background,,
1,4179,0,music,,,1950,1990,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Cholly Atkins Collection,,,,,,,,Al Jolson. Cover,Al Jolson,Cover,,,,,eng,,"Jolson, Al, 1886-1950",,,,Between 1950 and 1990,Vinyl record: The Best of Al Jolson,,"Jolson, Al, 1886-1950",,,,,,,,still image,,,,original filename: 4_17_02.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/entertainers/introduction,,
1,4174,0,printed ephemera,,,1914,1931,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Brander Matthews Dramatic Museum records,,,,Date inferred from Anna Pavlova's tour dates.,New York (N.Y.),,,"Souvenir program of Anna Pavlova's American tour. Cover, penultimate page",Souvenir program of Anna Pavlova's American tour,"Cover, penultimate page",,,,,eng,,"Hurok, Sol, 1888-1974","Pavlova, Anna, 1881-1931",,,Between 1914 and 1931,"Includes poem, ""To Pavlowa"", by U. Corson Miller and originally published in Beauty Magazine. Portrait of Anna Pavlova in ballet costume on front cover.",,"Pavlova, Anna, 1881-1931",,,,A. Elar,,,,still image,,,,original filename: 4_21_01.jpg,original filename: 4_21_02.jpg,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/entertainers/hurok,https://exhibitions.cul.columbia.edu/exhibits/show/demo/structure/layouts/text_top,
1,4173,0,printed ephemera,,,1909-09-06,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,New York (N.Y.),,,,,,Melting Pot program,Melting Pot program,,,,,,eng,,"Comedy Theatre (Organization : New York, N.Y.)",,,,"September 6, 1909","Program for the play The Melting Pot, written by Israel Zangwill and performed at the Comedy Theatre.",,,,,,,,,,still image,,,,original filename: 4_02_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/entertainers/thalia,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/entertainers/introduction,
1,855,0,manuscripts,,,1950,2000,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Mirra Ginsburg papers,Bakhmeteff Archive of Russian and East European History and Culture,New York (N.Y.),,,,,,Jewish Writer and a Yiddish Writer,Jewish Writer and a Yiddish Writer,,,,,,eng,,"Singer, Isaac Bashevis, 1904-1991","Ginsburg, Mirra",,,Between 1950 and 2000,"Isaac Bashevis Singer often signed his journalistic fiction ""Isaac Warshawsky""

Typescript of Mirra Ginsburg's translation of Isaac Singer's essay, with corrections written in red ink.",,,,,,,,,,still image,,,,original filename: 3_15_01.jpg,original filename: 3_15_02.jpg,original filename: 3_15_03.jpg,original filename: 3_15_04.jpg,original filename: 3_15_05.jpg,original filename: 3_15_06.jpg,original filename: 3_15_07.jpg,original filename: 3_15_08.jpg,,,,,,,"Gift of Barbara Frenchi, 2002",,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/writers/ibsinger,,
1,844,0,books,,,1964,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,San Francisco (Calif.),,,"Kaddish, and other poems 1958-1960. Title page with inscription","Kaddish, and other poems 1958-1960",Title page with inscription,,,,,eng,,"Ginsberg, Allen, 1926-1997",,,,1964,,,,,,,City Lights Books,,,CLIO id: 5559787,still image,,,,original filename: 6_15_02.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/ginsberg,,
1,843,0,books,,,1964,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,,,,,San Francisco (Calif.),,,"Kaddish, and other poems 1958-1960. Page 7","Kaddish, and other poems 1958-1960",Page 7,,,,,eng,,"Ginsberg, Allen, 1926-1997",,,,1964,"Poem dedicated to Allen Ginsberg's mother, Naomi Ginsberg.",,,,,,City Lights Books,,,CLIO id: 5559787,still image,,,,original filename: 6_15_01.jpg,,,,,,,,,,,,,,,,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/ginsberg,,
1,842,0,clippings,,,1972-06-02,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Allen Ginsberg papers,,,,,New York (N.Y.),,,Allen Ginsberg Remembers Mama. First page,Allen Ginsberg Remembers Mama,First page,,,,,eng,,"Lester, Elenore, 1919-",,,,"June 2, 1972",,,"Ginsberg, Allen, 1926-1997",,,,,,New York Times,,still image,,,,original filename: 6_14_01.jpg,,,,,,,,,,,,,,"Gift of the Paterson NJ Public Library, 1974","Gift of Stanley Wertheim, 1986","Gift of Aram Boyajian, 1992","Gift of Allen Ginsberg, 1993",Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/ginsberg,,
1,841,0,objects,,,1976,1977,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Bella Abzug papers,,New York (N.Y.),,,,,,New York City NEEDS BELLA ABZUG for Mayor,New York City NEEDS BELLA ABZUG for Mayor,,,,,,eng,,,,,,Between 1976 and 1977,Political button,,"Abzug, Bella S., 1920-1998",,,,,,,,still image,,,,original filename: 6_13_01.jpg,,,,,,,,,,,,,,"Gift of Bella S. Abzug, 1976, 1981",,,,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,still image,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/abzug,https://exhibitions.cul.columbia.edu/exhibits/show/demo/structure/layouts/text_top,
