_pid,_project.string_key,_digital_object_type.string_key,_parent_digital_objects-1.identifier,_identifiers-1,collection-1:collection_term.value,collection-1:collection_term.uri,omeka_identifier-1:omeka_identifier_value,clio_identifier-1:clio_identifier_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,form-3:form_term.value,form-3:form_term.authority,form-3:form_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,title-1:title_sort_portion,title-2:title_sort_portion,title2_type,digital_origin-1:digital_origin_value,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,language_of_cataloging-1:language_of_cataloging_term.value,location-1:location_sublocation,place_of_origin-1:place_of_origin_value,note-1:note_value,note-1:note_type,place_of_origin-2:place_of_origin_value,location-1:location_shelf_location-1:location_shelf_location_box_number,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_term.authority,name-3:name_term.uri,name-4:name_term.value,name-4:name_term.name_type,name-4:name_role-1:name_role_term.value,name-4:name_role-1:name_role_term.authority,name-4:name_role-1:name_role_term.uri,name-4:name_term.authority,name-4:name_term.uri,abstract-1:abstract_value,abstract-2:abstract_value,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,publisher-1:publisher_value,publisher-2:publisher_value,type_of_resource-1:type_of_resource_value,note-2:note_value,note-2:note_type,note-3:note_value,note-3:note_type,note-4:note_value,note-4:note_type,note-5:note_value,note-5:note_type,note-6:note_value,note-6:note_type,note-7:note_value,note-7:note_type,note-8:note_value,note-8:note_type,note-9:note_value,note-9:note_type,note-10:note_value,note-10:note_type,note-11:note_value,note-11:note_type,note-12:note_value,note-12:note_type,note-13:note_value,note-13:note_type,note-14:note_value,note-14:note_type,note-15:note_value,note-15:note_type,note-16:note_value,note-16:note_type,note-17:note_value,note-17:note_type,note-18:note_value,note-18:note_type,note-19:note_value,note-19:note_type,note-20:note_value,note-20:note_type,relatedItem_Project,project URL,object_in_context_url-1:object_in_context_url_value,object_in_context_url-2:object_in_context_url_value,object_in_context_url-3:object_in_context_url_value
,,item,,meltingpot_aje,Brander Matthews Dramatic Museum records,,,,printed ephemera,,,,,,,,,1914,1931,inferred,Between 1914 and 1931,Souvenir program of Anna Pavlova's American tour,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,,,Date inferred from Anna Pavlova's tour dates.,,New York (N.Y.),,English,,,,,,"Hurok, Sol, 1888-1974",,,,,,"Pavlova, Anna, 1881-1931",,,,,,,,,,,,,,,,,,,,,,,"Pavlova, Anna, 1881-1931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A. Elar,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brander Matthews Dramatic Museum, Rare Book & Manuscript Library",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_aje,meltingpot_aje_001,,,omeka_758,,,,,,,,,,,,,,,Cover page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 4_21_01.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,item,,meltingpot_akx,Zosa Szajkowski Collection,,,,printed ephemera,,,,,,,,,1900,1920,inferred,between 1900 and 1920,Vidozva,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,Umanʹ (Ukraine),,,,,Ukrainian,,,,,,Cyril and Methodius Fraternity in Uman,,,,,,,,,,,,,,,,,,,,,,,,,,,"Appeal of the Cyril and Methodius Fraternity in Uman, Ukraine. Large numbers of pogroms were registered in the small Uman, where women and children were killed and wounded. This appeal from the members of the Cyril and Methodius Fraternity calls for common sense and Christian virtues to stop violence against Jews.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_akx,meltingpot_akx_000,,,omeka_475,,,,,,,,,,,,,,,Vidozva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1_09_01.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/background/pogroms,,
,,item,,meltingpot_ano,,,,,books,,,,,,,,,1910,,,1910,Anarchism and Other Essays,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,,,,,New York (N.Y.),,English,,,,,,"Kajiwara, T. (Takuma), 1876-1960",,,,,,"Goldman, Emma, 1869-1940",,,,,,,"Havel, Hippolyte",,,,,,,,,,,,,,"Portrait of Emma Goldman, published on the frontispiece of Anarchism and other essays, by Emma Goldman, with biographic sketch by Hippolyte Havel.",,"Goldman, Emma, 1869-1940",,,,,,,,,,,,,,,,,,,Anarchism,,,,,,,,,,,,,,,Mother Earth Publishing Association,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Arline Heimert from the library of Alan Heimert, 8/28/00",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_ano,meltingpot_ano_099,,,omeka_485,,,,,,,,,,,,,,,Frontispiece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 2_01_01.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/fighters/fighters,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/fighters/emma_goldman,
,,item,,meltingpot_azo,Mirra Ginsburg papers,,,,correspondence,,,,,,,,,1965-10-04,,,"October 4, 1965",Letter from Mirra Ginsburg to Kornei Chukovskii,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,New York (N.Y.),,,,,Russia,,,,,,"Ginsburg, Mirra",,,,,,"Chukovskiĭ, K. I. (Korneĭ Ivanovich), 1882-1969",,,,,,,,,,,,,,,,,,,,,"Mirra Ginsburg in her letter of October 4, 1965, expresses her appreciation for a letter of Kornei Chukovskii, whose opinion she highly respected. Besides the discussion about her translation, Chukovskii in his letter asked Mirra to send him a photo of Isaac Singer, whom he admired. Mirra writes back that the very same morning, when she got his letter, she had breakfast with Singer, and they selected a few photos for him.",,"Singer, Isaac Bashevis, 1904-1991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Barbara Frenchi, 2002",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_azo,meltingpot_azo_001,,,omeka_706,,,,,,,,,,,,,,,Three pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 3_13_01.jpg,filename,original filename: 3_13_03.jpg,filename,original filename: 3_13_02.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/writers/chukovskii_letter,,
,,item,,meltingpot_bgn,Mirra Ginsburg papers,,,,books,,,,,,,,,1960,,inferred,1960,Noonday 3,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,,,,New York (N.Y.),,English,,,,,,"Babelʹ, I. (Isaak), 1894-1940",,,,,,"Adorno, Theodor W., 1903-1969",,,,,,,"Ginsburg, Mirra",,,,,,,"Rosenthal, Raymond",,,,,,,"Noonday number 3, including Sunset, a play by Isaak Babel, and Notes on Surrealism by Theodor W. Adorno. Sunset was translated by Mirra Ginsburg and Raymond Rosenthal. Cover includes extra note with reviews on Sunset printed on it.",Source: Noonday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Farrar, Straus and Giroux",,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Barbara Frenchi, 2002",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_bgn,meltingpot_bgn_001,,,omeka_697,,,,,,,,,,,,,,,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 3_08_01.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/writers/babel,,
