_pid,partName,projectURL,_identifiers-1,note-3:note_type,note-2:note_type,note-1:note_type,note-2:note_value,note-1:note_value,relatedItem_project,_project.string_key,name-1:name_term.uri,form-2:form_term.uri,name-1:name_term.value,genre-1:genre_term.uri,form-2:form_term.value,genre-1:genre_term.value,title-1:title_sort_portion,name-1:name_term.name_type,name-1:name_term.authority,language-1:language_term.uri,genre-1:genre_term.authority,location-1:location_term.uri,location-1:location_term.code,_digital_object_type.string_key,title-1:title_non_sort_portion,language-1:language_term.value,location-1:location_term.value,language-1:language_term.authority,location-1:location_term.authority,_parent_digital_objects-1.identifier,name-1:name_role-1.name_role_term.uri,date_created-1:date_created_end_value,digital_origin-1:digital_origin_value,name-1:name_role-1.name_role_term.value,date_created-1:date_created_start_value,place_of_origin-1:place_of_origin_value,omeka_identifier-1:omeka_identifier_value,type_of_resource-1:type_of_resource_value,name-1:name_role-1.name_role_term.authority,date_created_textual-1:date_created_textual_value,use_and_reproduction-1:use_and_reproduction_value,note-5:note_type,note-5:note_value,clio_identifier-1:clio_identifier_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,object_in_context_url-1:object_in_context_url_value,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0026.jpg,Original filename:omeka_memory_0026,Memory and Material in Early Modern England, , , ,"Adams, Frank, active 1580-1601", ,books,Still Image,"Wryting tables, with a necessarie calender fayres in Englande, the festiuall holydayes, the hie wayes from one towne to another. Opening with writing table on the right", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"England, London",12050,Still Image, ,1583,No Copyright - United States,holdings, ,6766017,PLIMPTON 529.3 1583 W94, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/writingtablets,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0025.jpg,Original filename:omeka_memory_0025,Memory and Material in Early Modern England, , , ,"Adams, Frank, active 1580-1601", ,books,Still Image,"Wryting tables, with a necessarie calender fayres in Englande, the festiuall holydayes, the hie wayes from one towne to another. title page", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"England, London",12049,Still Image, ,1583,No Copyright - United States,holdings, ,6766017,PLIMPTON 529.3 1583 W94, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/writingtablets,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0024.jpg,Original filename:omeka_memory_0024,Memory and Material in Early Modern England, , , ,"Elyot, Thomas, Sir, 1490?-1546", ,books,Still Image,The castel of helth corrected and in some places augmented. p. 59, , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Londini,12048,Still Image, ,1541,No Copyright - United States,holdings, ,9572791,B613 EL96 c.1, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/elyotcastel,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0023.jpg,Original filename:omeka_memory_0023,Memory and Material in Early Modern England, , , ,"Elyot, Thomas, Sir, 1490?-1546", ,books,Still Image,The castel of helth corrected and in some places augmented. title page, , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,Londini,12047,Still Image, ,1541,No Copyright - United States,holdings, ,9572791,B613 EL96 c.1, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/elyotcastel,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0022.jpg,Original filename:omeka_memory_0022,Memory and Material in Early Modern England, , , ,"Spenser, Edmund, 1552?-1599", ,books,Still Image,The faerie queene. page 102, , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12046,Still Image, ,1611,No Copyright - United States,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/spenserfq,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0021.jpg,Original filename:omeka_memory_0021,Memory and Material in Early Modern England, , , ,"Spenser, Edmund, 1552?-1599", ,books,Still Image,The faerie queene. title page, , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,London,12045,Still Image, ,1611,No Copyright - United States,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/spenserfq,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0020_002.jpg,Original filename:omeka_memory_0020_002,Memory and Material in Early Modern England, , , ,"Wheatley, Phillis, 1753-1784", ,books,Still Image,"Poems on various subjects, religious and moral. pages 34-5", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"United States, Pennsylvania, Philadelphia",12044,Still Image, ,1786,No Copyright - United States,holdings, ,367456,PS866 .W5 1786, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/wheatleypoems,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0020_001.jpg,Original filename:omeka_memory_0020_001,Memory and Material in Early Modern England, , , ,"Wheatley, Phillis, 1753-1784", ,books,Still Image,"Poems on various subjects, religious and moral. pages 34-5", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"United States, Pennsylvania, Philadelphia",12043,Still Image, ,1786,No Copyright - United States,holdings, ,367456,PS866 .W5 1786, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/wheatleypoems,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0019_002.jpg,Original filename:omeka_memory_0019_002,Memory and Material in Early Modern England, , , ,"Wheatley, Phillis, 1753-1784", ,books,Still Image,"Poems on various subjects, religious and moral. title page", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"United States, Pennsylvania, Philadelphia",12042,Still Image, ,1786,No Copyright - United States,holdings, ,367456,PS866 .W5 1786, , ,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/wheatleypoems,,,,,,,,,,,,,,,,
 , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/omeka_memory_0019_001.jpg,Original filename:omeka_memory_0019_001,Memory and Material in Early Modern England, , , ,"Wheatley, Phillis, 1753-1784", ,books,Still Image,"Poems on various subjects, religious and moral. title page", , , ,fast, , , , ,English,"Rare Book & Manuscript Library, Columbia University ",iso639-2,local, , , ,reformatted digital, , ,"United States, Pennsylvania, Philadelphia",12041,Still Image, ,1786,No Copyright - United States,holdings, ,367456,PS866 .W5 1786, , ,,,,,,,,,,,,,,,,,
