itemContainer - item - itemId,itemContainer - item - public,itemContainer - item - featured,itemContainer - item - MODS - FormGenre - text,itemContainer - item - MODS - DigitalOrigin - text,itemContainer - item - MODS - RepositoryName - text,itemContainer - item - MODS - LanguageofCataloging - text,itemContainer - item - MODS - KeyDate - text,itemContainer - item - MODS - TypeofDate - text,itemContainer - item - MODS - Notes - text,itemContainer - item - MODS - ShelfLocation - text,itemContainer - item - MODS - Collection - text,itemContainer - item - MODS - PublicationPlace - text,itemContainer - item - MODS - PlaceofOrigin - text,itemContainer - item - MODS - Subrepository - text,itemContainer - item - MODS - PublicationDate - text,itemContainer - item - MODS - PhysicalLocation - text,itemContainer - item - DublinCore - Title - text,itemContainer - item - DublinCore - Date - text,itemContainer - item - DublinCore - Language - text,itemContainer - item - DublinCore - Creator - text,itemContainer - item - DublinCore - Publisher - text,itemContainer - item - DublinCore - Description - text,itemContainer - item - DublinCore - Subject - text,itemContainer - item - DublinCore - Source - text,itemContainer - item - DublinCore - Rights - text,itemContainer - item - OriginalFileLoadedIntoOmeka - text,itemContainer - item - ItemType - text,itemContainer - item - OmekaCollection,itemContainer - item - ItemInContext,itemContainer - item - AdditionalItemMetadata - RightsHolder - text
7254,1,0,photographs,rd,nnc-rb,eng,1996-10-19 ,ex,,,,,New York,,,,Jack Beeson delivering Music Centennial Luncheon address,"October 19, 1996",eng,"Winter, Damon",,,"Beeson, Jack, 1921-2010",,,Jack Beeson Centennial Lunch.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/the-centennial-celebrations/from-the-chair-of-the-centenni,
7250,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1930 1952,approximate,,"Box 9, Beveridge, Lowell Pierson",,,,University Archives Historical Photographs,,,Lowell Pierson Beveridge,between 1930 and 1952?,eng,,,"Lowell P. Beveridge, a Department of Music faculty member from 1930 to 1952 and University Organist, served as the departmental representative to the library, and became a central figure in promoting and strengthening the library's collections and improving its facilities.","Beveridge, Lowell P.",,,"Beveridge, Lowell Pierson.jpg",Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music-librarianship/librarians,
7249,1,0,correspondence,reformatted digital,"University Archives, Columbia University",eng,1951 1990,inferred,,,,,,"University Archives, Printed Catalog of Music Centennial",,,Notes on Ampex 400 Tape Recorder,After 1951,eng,"Ussachevsky, Vladimir, 1911-1990",,,,,,Ussachevsky Tape Recorder.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/electronic-and-computer-music/vladimir-ussachevsky,
7248,1,0,books,reformatted digital,nnc-rb,eng,1912 ,ex,,,Edward A. MacDowell Papers,Boston,,,,,"Critical and Historical Essays: Lectures Delivered at Columbia University, Table of Contents",1912,eng,"MacDowell, Edward, 1860-1908",A.P. Schmidt,,,,,MacDowell Table of Contents.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/undergraduate-curriculum/macdowell-era,
7247,1,0,paintings,rd,"Art Properties, Columbia University",eng,1979 ,ex,,,,,,,,,Jack Beeson,1979,eng,"Neel, Alice, 1900-1984",,Oil painting,,,,Jack_Beeson_99_3.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/chairpersons/chairpersons,
7246,1,0,illustrations,rd,none,eng,1996 ,ex,,,,,,,,,"Calculating Tonal Tension, diagram",1996,eng,"Lerdahl, Fred, 1943-",,,,"Music Perception 13/3, Spring 1996",,http___pao.chadwyck.bmp,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music-theory/music-theory-today,
7245,1,0,ephemera,rd,nnc-rb,eng,1937 ,ap,,Box21,Douglas Moore papers,,,,,,Humanities MB1 RMB1,ca. 1937,eng,"Moore, Douglas, 1893-1969",,Typescript with manuscript notes,,,,Moore Box 21 Humanities MB1.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/undergraduate-curriculum/music-humanities,
7244,1,0,photographs,rd,nnc-rb,eng,1959 ,ex,,,,,New York,,,,Ussachevsky and Delegation of Russian Composers,1959,eng,,,,"Ussachevsky, Vladimir, 1911-1990",,,Soviet Musicians visit Columbia 001.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/electronic-and-computer-music/electronic-music-center,
7243,1,0,photographs,rd,nnc-rb,eng,1959 ,ex,,,,,,,,,"RCA Mark II Sound Synthesizer, Prentis Hall",1959,eng,,,,Synthesizer (Musical instrument),,,RCA Synthesizer.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/electronic-and-computer-music/electronic-music-center,
7242,1,0,clippings,reformatted digital,"University Archives, Columbia University",eng,1938-11-05 ,,,"Historical Biographical Files
Box 136, Folder 4
Herzog",,,,,,,Professor George Herzog,1938 November 5,,"Mitchell, Joseph",,"Newspaper clipping, ""Primitive Music of Aborigines Is Preserved for Posterity,"" World-Telegram","Herzog, George, 1901-1983","World-Telegram, November 5, 1938",,Herzog newspaper clipping.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ethnomusicology/center-for-ethnomusicology,
7241,1,0,photographs,rd,none,eng,1914 1921,in,"Image was downloaded from Wikimedia Commons. Original photograph is in the Bain Collection, Library of Congress Prints and Photographs Division.",,,,Dresden,,,,Fritz Reiner,between 1914 and 1921,eng,"Erfurth, Hugo, 1874-1948",,,"Reiner, Fritz, 1888-1963",,,Fritz_Reiner_Bain.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/fritz-reiner-center/fritz-reiner,
7240,1,0,photographs,rd,nnc-rb,eng,1996-10-19 ,ex,,,,,New York,,,,"Music Centennial Concert: ""Music at Columbia Today""",1996 October 19,eng,"Winter, Damon",,,,,,Music Centennial Piano Quartet.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/the-centennial-celebrations/centennial-festivities,
7239,1,0,photographs,rd,nnc-rb,eng,1996-10-19 ,ex,,,,,New York,,,,"Music Centennial Symposium: ""Music After 2000""",1996 October 19,eng,"Winter, Damon",,,,,,Music Centennial Panel Discussion.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/the-centennial-celebrations/centennial-festivities,
7238,1,0,photographs,rd,nnc-rb,eng,1996-10-19 ,ex,,,,,New York,,,,Music Centennial Orchestra Concert,1996 October 19,eng,"Winter, Damon",,,,,,Music Centennial Orchestra Concert.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/the-centennial-celebrations/centennial-festivities,
7237,1,0,photographs,rd,nnc-rb,eng,1997-09-25 ,ex,,,,,New York,,,,Michael and Zena Wiener at the Opening of the Gabe M. Wiener Music & Arts Library,"September 25, 1997",eng,"Pineiro, Joe",,,Gabe M. Wiener Music & Arts Library,,,Wiener Library Opening.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music-library-milestones/music---arts-library,
7034,1,0,printed ephemera,rd,nnc-rb,eng,1955-09-26 ,ex,,,,New York,,,,,"Concert in Honor of Bela Bartok, Page 7",1955,eng,Columbia University. Trustees,,"Program of a concert performed at McMillin Academic Theater, September 26, 1955","Bartók, Béla, 1881-1945",,,Bartok Memorial page 8.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ditson-fund/bela-bartok-memorial,
7033,1,0,printed ephemera,rd,nnc-rb,eng,1955-09-26 ,ex,,,,New York,,,,,"Concert in Honor of Bela Bartok, Page 6",1955,eng,Columbia University. Trustees,,"Program of a concert performed at McMillin Academic Theater, September 26, 1955","Bartók, Béla, 1881-1945",,,Bartok Memorial page 7.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ditson-fund/bela-bartok-memorial,
7032,1,0,printed ephemera,rd,nnc-rb,eng,1955-09-26 ,ex,,,,New York,,,,,"Concert in Honor of Bela Bartok, Page 3",1955,eng,Columbia University. Trustees,,"Program of a concert performed at McMillin Academic Theater, September 26, 1955","Bartók, Béla, 1881-1945",,,Bartok Memorial page 4.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ditson-fund/bela-bartok-memorial,
7031,1,0,printed ephemera,rd,nnc-rb,eng,1955-09-26 ,ex,,,,New York,,,,,"Concert in Honor of Bela Bartok, Page 2",1955,eng,Columbia University. Trustees,,"Program of a concert performed at McMillin Academic Theater, September 26, 1955","Bartók, Béla, 1881-1945",,,Bartok Memorial page 3.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ditson-fund/bela-bartok-memorial,
7029,1,0,printed ephemera,rd,nnc-rb,eng,1955-09-26 ,ex,,,,New York,,,,,"Concert in Honor of Bela Bartok, Cover",1955 September 26,eng,Columbia University. Trustees,,"Program of a concert performed at McMillin Academic Theater, September 26, 1955","Bartók, Béla, 1881-1945",,,Bartok Memorial page 1.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ditson-fund/bela-bartok-memorial,
7028,1,0,pamphlets,reformatted digital,"University Archives, Columbia University",eng,1896 ,,,"Historical Biographical Files
Box 190, Folder 1
Ludlow",,New York,,,,,"Agreement Between Elizabeth Mary Ludlow and The Trustees of Columbia College, page 6",1896,eng,Trustees of Columbia College,,page 6,,,,Ludlow Gift page 6.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/beginnings/ludlow-gift,
7027,1,0,pamphlets,reformatted digital,"University Archives, Columbia University",eng,1896 ,,,"Historical Biographical Files
Box 190, Folder 1
Ludlow",,New York,,,,,"Agreement Between Elizabeth Mary Ludlow and The Trustees of Columbia College, page 5",1896,eng,Trustees of Columbia College,,page 5,,,,Ludlow Gift page 5.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/beginnings/ludlow-gift,
7026,1,0,pamphlets,reformatted digital,"University Archives, Columbia University",eng,1896 ,,,"Historical Biographical Files
Box 190, Folder 1
Ludlow",,New York,,,,,"Agreement Between Elizabeth Mary Ludlow and The Trustees of Columbia College, page 4",1896,eng,Trustees of Columbia College,,page 4,,,,Ludlow Gift page 4.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/beginnings/ludlow-gift,
7025,1,0,pamphlets,reformatted digital,"University Archives, Columbia University",eng,1896 ,,,"Historical Biographical Files
Box 190, Folder 1
Ludlow",,New York,,,,,"Agreement Between Elizabeth Mary Ludlow and The Trustees of Columbia College, page 3",1896,eng,Trustees of Columbia College,,page 3,,,,Ludlow Gift page 3.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/beginnings/ludlow-gift,
7024,1,0,pamphlets,reformatted digital,"University Archives, Columbia University",eng,1896 ,,,"Historical Biographical Files
Box 190, Folder 1
Ludlow",,New York,,,,,"Agreement Between Elizabeth Mary Ludlow and The Trustees of Columbia College, page 2",1896,eng,Trustees of Columbia College,,page 2,,,,Ludlow Gift page 2.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/beginnings/ludlow-gift,
7023,1,0,pamphlets,reformatted digital,"University Archives, Columbia University",eng,1896 ,,,"Historical Biographical Files
Box 190, Folder 1
Ludlow",,New York,,,,,"Agreement Between Elizabeth Mary Ludlow and The Trustees of Columbia College, page 1",1896,eng,Trustees of Columbia College,,page 1,,,,Ludlow Gift page 1.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/beginnings/ludlow-gift,
7022,1,0,pamphlets,reformatted digital,"University Archives, Columbia University",eng,1896 ,,,"Historical Biographical Files
Box 190, Folder 1
Ludlow",,New York,,,,,"Agreement Between Elizabeth Mary Ludlow and The Trustees of Columbia College, cover",1896,eng,Trustees of Columbia College,,Cover,,,,Ludlow Gift cover.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/beginnings/ludlow-gift,
7021,1,0,photographs,reformatted digital,"University Archives, Columbia University",eng,1938 ,approximate,,"Historical Biographical Files
Box 201, Folder 14
Edward Alexander MacDowell",,,,,,,Edward Alexander MacDowell,1938,eng,"Paeff, Bashka",,Photograph of bronze relief portrait,"MacDowell, Edward, 1860-1908",,,MacDowell Bas Relief.jpg,Still Image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/chairpersons/chairpersons,
