_digital_object_type.string_key,_parent_digital_objects-1.identifier,_project.string_key,collection-1:collection_term.value,collection-1:collection_term.uri,omeka_identifier-1:omeka_identifier_value,clio_identifier-1:clio_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_term.authority,name-3:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,location-1:location_term.value,location-1:location_sublocation,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,object_in_context_url-1:object_in_context_url_value,object_in_context_url-2:object_in_context_url_value,note-1:note_value,note-1:note_type,note-2:note_value,note-2:note_type,note-3:note_value,note-3:note_type,digital_origin-1:digital_origin_value,language-1:language_term.authority,language-1:language_term.uri,language-1:language_term.value,language_of_cataloging-1:language_of_cataloging_term.value,language_of_cataloging-1:language_of_cataloging_term.authority,language_of_cataloging-1:language_of_cataloging_term.uri,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,note-6:note_value,note-6:note_type,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,relatedItem_Project,projectURL,place_of_origin-1:place_of_origin_value,place_authority_identifier,publisher-1:publisher_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.uri,subject_name-5:subject_name_term.value,subject_name-5:subject_name_term.name_type,subject_name-5:subject_name_term.authority,subject_name-5:subject_name_term.uri,subject_name-6:subject_name_term.value,subject_name-6:subject_name_term.name_type,subject_name-6:subject_name_term.authority,subject_name-6:subject_name_term.uri,subject_name-7:subject_name_term.value,subject_name-7:subject_name_term.name_type,subject_name-7:subject_name_term.authority,subject_name-7:subject_name_term.uri,subject_name-8:subject_name_term.value,subject_name-8:subject_name_term.name_type,subject_name-8:subject_name_term.authority,subject_name-8:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion,_identifiers-1
item,,music_at_columbia,Office of Public Affairs Photograph Collection,http://id.library.columbia.edu/term/29a3db7f-e4d3-451a-a3c0-ff2e4c3c0fa4,,,,,,,,,,,,,,,,,,,,,,,,1959,,,1959,,NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,Columbia University. Archives,"Office of Public Affairs Photograph Collection, Series I: Photographs",,Box 31,"Folder 4, Electronic Music",,,,,,,,,reformatted digital,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,photographs,aat,http://vocab.getty.edu/aat/300046300,,,,,,,,,still image,,Music at Columbia: The First 100 Years,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664,,,,Synthesizer (Musical instrument),fast,http://id.worldcat.org/fast/1141189,,,,"Babbitt, Milton, 1916-2011",personal,naf,http://id.loc.gov/authorities/names/n81144515,"Ussachevsky, Vladimir, 1911-1990",personal,naf,http://id.loc.gov/authorities/names/n82155109,Columbia-Princeton Electronic Music Center,corporate,naf,http://id.loc.gov/authorities/names/n81035506,"Mauzey, Peter",personal,,,,,,,,,,,,,,,,,,,,,,,,,,"Milton Babbitt, Peter Mauzey, and Vladimir Ussachevsky with the RCA Mark II Synthesizer",musicatcolumbia_aek
asset,musicatcolumbia_aek,music_at_columbia,,,omeka_6848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/electronic-and-computer-music/electronic-music-center,,"RCA Synthesizer, Cage, Mauzey, Ussachevsky.jpg",filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Milton Babbitt, Peter Mauzey, and Vladimir Ussachevsky with the RCA Mark II Synthesizer",musicatcolumbia_aek_000
item,,music_at_columbia,,,,,,,,,,,,,,,,,,,,,,,,,,1959,,,1959,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,Columbia University. Rare Book and Manuscript Library,,,,,,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,photographs,aat,http://vocab.getty.edu/aat/300046300,,,,,,,,,still image,,Music at Columbia: The First 100 Years,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,,,,,,,,"Ussachevsky, Vladimir, 1911-1990",personal,naf,http://id.loc.gov/authorities/names/n82155109,Low Memorial Library,corporate,naf,http://id.loc.gov/authorities/names/no97070280,Columbia University,corporate,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ussachevsky and Delegation of Russian Composers,musicatcolumbia_apa
asset,musicatcolumbia_apa,music_at_columbia,,,omeka_7244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/electronic-and-computer-music/electronic-music-center,,Soviet Musicians visit Columbia 001.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ussachevsky and Delegation of Russian Composers,musicatcolumbia_apa_000
item,,music_at_columbia,Historical Subject Files,http://id.library.columbia.edu/term/0fa21d61-a576-4574-9433-6e907a8a1e69,,,Columbia University. Columbia Theater Associates,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Creator,,,Columbia University. Department of Music,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Creator,naf,http://id.loc.gov/authorities/names/n85082374,,,,,,,,1941-05-05,,inferred,"May 5, 1941",Program for production of W.H. Auden's and Benjamin Britten's 'Paul Bunyan'. Creation date inferred from date of production.,NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,Columbia University. Archives,Historical Subject Files,,,,,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,,,,,,text,,Music at Columbia: The First 100 Years,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,Columbia University,,,,,,,"Auden, W. H. (Wystan Hugh), 1907-1973",personal,naf,http://id.loc.gov/authorities/names/n79054316,"Britten, Benjamin, 1913-1976",personal,naf,http://id.loc.gov/authorities/names/n79105791,,,,,,,,,,,,,,,,,,,,,,,,,"Paul Bunyan (Britten, Benjamin)",fast,http://id.worldcat.org/fast/1789489,,,,,"Columbia Theater Associates, 'Paul Bunyan' Program",musicatcolumbia_ars
asset,musicatcolumbia_ars,music_at_columbia,,,omeka_6341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110118026.tif,filename,110118026.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pages 1-2,musicatcolumbia_ars_001
item,,music_at_columbia,Historical Biographical Files,http://id.library.columbia.edu/term/17769d71-54a1-4af3-a946-b0609e07c09a,,,New York Herald Tribune (Firm),corporate,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/no2009064156,,,,,,,,,,,,,,,1938-04-28,,,"April 28, 1938",,NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,Columbia University. Archives,Historical Biographical Files,,Box 201,Folder 14,,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,clippings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm002169,,,,,,,,,text,still image,Music at Columbia: The First 100 Years,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,New York Herald Tribune,,,,,,,"MacDowell, Edward, 1860-1908",personal,naf,http://id.loc.gov/authorities/names/n50053369,"MacDowell, Marian, 1857-1956",personal,naf,http://id.loc.gov/authorities/names/n86012080,"Butler, Nicholas Murray, 1862-1947",personal,naf,http://id.loc.gov/authorities/names/n50032600,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Exhibit Opens in Honor of Edward MacDowell"", Newspaper Clipping from the New York Herald Tribune, April 28, 1938.",musicatcolumbia_asy
asset,musicatcolumbia_asy,music_at_columbia,,,omeka_6322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/macdowell-era/commemorative-exhibit,,110118007.tif,filename,110118007.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Exhibit Opens in Honor of Edward MacDowell"", Newspaper Clipping from the New York Herald Tribune, April 28, 1938.",musicatcolumbia_asy_000
item,,music_at_columbia,Historical Biographical Files,http://id.library.columbia.edu/term/17769d71-54a1-4af3-a946-b0609e07c09a,,,Columbia University. Trustees,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/n85088346,"Ludlow, Elizabeth Mary",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,,,,,,,1896-04-06,,,"April 6, 1896","Brochure detailing the gift to Columbia College by Mrs. Elizabeth Mary Ludlow of her late son's estate, thus establishing the Department of Music.",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,Columbia University. Archives,Historical Biographical Files,,Box 190,"Folder 1, Ludlow",,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,pamphlets,aat,http://vocab.getty.edu/aat/300220572,,,,,,,,,text,,Music at Columbia: The First 100 Years,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,,Endowments,fast,http://id.worldcat.org/fast/909854,,,,Columbia University. Department of Music,corporate,naf,http://id.loc.gov/authorities/names/n85082374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agreement Between Elizabeth Mary Ludlow and the Trustees Of Columbia College,musicatcolumbia_atv
asset,musicatcolumbia_atv,music_at_columbia,,,omeka_7027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/beginnings/ludlow-gift,,Ludlow Gift page 5.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,musicatcolumbia_atv_005
