_project.string_key,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,title-1:title_non_sort_portion,title-1:title_sort_portion,alternative_title-1:alternative_title_value,note-1:note_value,note-1:note_type,clio_identifier-1:clio_identifier_value,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,type_of_resource-1:type_of_resource_value,genre-1:genre_term.value,genre-1:genre_term.uri,genre-1:genre_term.authority,language-1:language_term.value,language-1:language_term.uri,language-1:language_term.authority,extent-1:extent_value,note-2:note_value,note-2:note_type,note-3:note_value,note-3:note_type,location-1:location_term.value,location-1:location_term.uri,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,place_of_origin-1:place_of_origin_value,publisher-1:publisher_value,digital_origin-1:digital_origin_value,abstract-1:abstract_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_uri,use_and_reproduction-1:use_and_reproduction_authority,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,date_created-1:date_created_end_value,date_created-1:date_created_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.authority,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.uri,subject_topic-3:subject_topic_term.authority,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.uri,subject_title-1:subject_title_term.authority,subject_name-1:subject_name_term.name_value,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_name-2:subject_name_term.name_value,subject_name-2:subject_name_term.uri,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.name_type,subject_name-3:subject_name_term.name_value,subject_name-3:subject_name_term.uri,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.name_type,subject_name-4:subject_name_term.name_value,subject_name-4:subject_name_term.uri,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.name_type,name-1:name_term.value,name-1:name_term.uri,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.authority,name-1:name_role-2.name_role_term.value,name-1:name_role-2.name_role_term.uri,name-1:name_role-2.name_role_term.authority,name-2:name_term.value,name-2:name_term.uri,name-2:name_term.authority,name-2:name_term.name_type,name-2:name_role-1.name_role_term.value,name-2:name_role-1.name_role_term.uri,name-2:name_role-1.name_role_term.authority,name-2:name_role-2.name_role_term.value,name-2:name_role-2.name_role_term.uri,name-2:name_role-2.name_role_term.authority,name-3:name_term.value,name-3:name_term.uri,name-3:name_term.authority,name-3:name_term.name_type,name-3:name_role-1.name_role_term.value,name-3:name_role-1.name_role_term.uri,name-3:name_role-1.name_role_term.authority,name-4:name_term.value,name-4:name_term.uri,name-4:name_term.authority,name-4:name_term.name_type,name-4:name_role-1.name_role_term.value,name-4:name_role-1.name_role_term.uri,name-4:name_role-1.name_role_term.authority,_publish_targets-1.string_key,_publish
naked_lunch,item,naklun_ltb_000,,,Dream Machine,,,,,,,objects,http://vocab.getty.edu/aat/300311889,aat,three dimensional object,,,,,,,,Date based on the earliest and latest dates of the  William Seward Burroughs Papers collection.,date note,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,William S. Burroughs papers,http://id.library.columbia.edu/term/ab0b881b-a848-47f3-8c0c-81d6458a8f85,series,1,III: Photographs and Realia,,,,,,reformatted digital,"The Dream Machine, a device designed by Burroughs and Brion Gysin and constructed by Ian Sommerville, was designed to help stimulate brain activity and bring about a hallucinatory state.",,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,1960s,1960,TRUE,1969,approximate,Hallucinations and illusions,http://id.worldcat.org/fast/950645,fast,Stroboscopes,http://id.worldcat.org/fast/1135535,fast,,,,,,,,,,,,,,,,,,,,,,,"Burroughs, William S., 1914-1997",http://id.loc.gov/authorities/names/n79026862,naf,personal,TRUE,Designer,http://id.loc.gov/vocabulary/relators/dsr,marcrelator,Artist,http://id.loc.gov/vocabulary/relators/art,marcrelator,"Gysin, Brion",http://id.loc.gov.authorities/names/n79026860,naf,personal,Designer,http://id.loc.gov/vocabulary/relators/dsr,marcrelator,,,,"Sommerville, Ian",http://id.loc.gov/authorities/names/n82018038,naf,personal,Sculptor,http://id.loc.gov/vocabulary/relators/scl,marcrelator,,,,,,,,,
naked_lunch,asset,naklun_ltb_001,naklun_ltb_000,,Dream Machine,,dream-machine.jpg,filename,,9569,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/dreammachine/burroughs-the-dream-machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naked_lunch,item,naklun_oba_000,,,Festin Nu,Naked Lunch,,,7793016,,,books,http://vocab.getty.edu/aat/300028051,aat,text,,,,French,http://id.loc.gov/vocabulary/iso639-2/fre,iso639-2b,,Rare Book copy: No. 1197,,"Rare Book copy: Accompanied by typescript letter from the publisher indicating that the work should not be publicly displayed and above all, should not fall into the hands of minors, due to its shocking content; shelved in separate portfolio.",,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,,,,,,PS3552.U75 N314 1964g,,,"Paris, France",Gallimard,reformatted digital,"Naked Lunch, translated into French by Eric Kahane",,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,1964,1964,TRUE,,,Beat literature,http://id.worldcat.org/fast/2002327,fast,,,,,,,"Naked lunch (Burroughs, William S.)",http://id.worldcat.org/fast/1361723,fast,,,,,,,,,,,,,,,,,"Burroughs, William S., 1914-1997",http://id.loc.gov/authorities/names/n79026862,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,"Kahane, Eric",http://id.loc.gov.authorities/names/n85811786,naf,personal,Translator,http://id.loc.gov/vocabulary/relators/trl,marcrelator,,,,,,,,,,,,,,,,,,,
naked_lunch,asset,naklun_oba_001,naklun_oba_000,,Front cover,,festin_nu_cover.jpg,filename,,5049,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlbook/nlbooks1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naked_lunch,item,naklun_ayr_000,,,Festin Nu,Naked Lunch,,,7793016,,,correspondence,http://vocab.getty.edu/aat/300026877,aat,text,,,,French,http://id.loc.gov/vocabulary/iso639-2/fre,iso639-2b,,Accompaniment to Rare Book copy: No. 1197,,"Typescript letter from the publisher indicating that the work should not be publicly displayed and above all, should not fall into the hands of minors, due to its shocking content; shelved in separate portfolio from accompanying book",,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,,,,,,PS3552.U75 N314 1964g,,,"Paris, France",Gallimard,reformatted digital,Letter from the French publishers Les Editions Gallimard to booksellers concerning Le Festin Nu,,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,Février 1964,1964-02,TRUE,,,Censorship,http://id.worldcat.org/fast/850568,fast,Prohibited books,http://id.worldcat.org/fast/1078755,fast,Beat literature,http://id.worldcat.org/fast/2002327,fast,"Naked lunch (Burroughs, William S.)",http://id.worldcat.org/fast/1361723,fast,,,,,,,,,,,,,,,,,Gallimard (Firm),http://id.loc.gov/authorities/names/n81051687,naf,corporate,TRUE,Publisher,http://id.loc.gov/vocabulary/relators/pbl,marcrelator,Correspondent,http://id.loc.gov/vocabulary/relators/crp,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,
naked_lunch,asset,naklun_ayr_001,naklun_ayr_000,,Accompanying letter,,festin_nu_warning.jpg,filename,,5048,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlbook/nlbooks1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naked_lunch,item,naklun_hep_000,,,Naked Lunch 50th Anniversary Edition,,,,7819294,,,books,http://vocab.getty.edu/aat/300028051,aat,text,,,,French,http://id.loc.gov/vocabulary/iso639-2/fre,iso639-2b,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,,,,,,PS3552.U75 N3 2009g,,,,Grove Press,reformatted digital,,,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,"November 1, 2009",2009-11-01,TRUE,,,Drug addicts,http://id.worldcat.org/fast/1430242,fast,Alienation (Social psychology),http://id.worldcat.org/fast/805268,fast,Beat literature,http://id.worldcat.org/fast/2002327,fast,"Naked lunch (Burroughs, William S.)",http://id.worldcat.org/fast/1361723,fast,,,,,,,,,,,,,,,,,"Burroughs, William S., 1914-1997",http://id.loc.gov/authorities/names/n79026862,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naked_lunch,asset,naklun_hep_001,naklun_hep_000,,Cover and slipcase,,100029003c.jpg,filename,,2578,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlbook/nlbooks2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naked_lunch,item,naklun_sxh_000,,,Letter from William S. Burroughs to Peter Matson,,,,,,,correspondence,http://vocab.getty.edu/aat/300026877,aat,text,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,iso639-2b,,Original Format: Typed letter,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Harold Matson Company Inc. records,http://id.library.columbia.edu/term/c342c54e-b319-4842-afec-674f862bece3,,,,,,,,,reformatted digital,"Typed letter signed, William S. Burroughs to Peter Matson. Burroughs states preference that title of new edition of ""Junkie"" be ""Junk"" or ""Junky.""",,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,25 August 1976,1976-08-25,TRUE,,,Titles of books,http://id.worldcat.org/fast/1151639,fast,Beat literature,http://id.worldcat.org/fast/2002327,fast,,,,"Junkie (Burroughs, William S.)",http://id.worldcat.org/fast/1395207,fast,,,,,,,,,,,,,,,,,"Burroughs, William S., 1914-1997",http://id.loc.gov/authorities/names/n79026862,naf,personal,TRUE,Correspondent,http://id.loc.gov/vocabulary/relators/crp,marcrelator,,,,"Matson, Peter",,,personal,Addressee,http://id.loc.gov/vocabulary/relators/rcp,marcrelator,,,,,,,,,,,,,,,,,,,
naked_lunch,asset,naklun_sxh_001,naklun_sxh_000,,Letter from William S. Burroughs to Peter Matson,,100029002.jpg,filename,,2577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
