_pid,partName,projectURL,_identifiers-1,note-2:note_type,note-2:note_value,_project.string_key,relatedItem_project,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,date_created_textual-1:date_created_textual_value,note-3:note_type,form-2:form_term.uri,form-2:form_term.value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,date_created-1:date_created_type,location-1:location_term.authority,date_created-1:date_created_end_value,date_created-1:date_created_start_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,digital_origin-1:digital_origin_value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,abstract-1:abstract_value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,place_of_origin-1:place_of_origin_value,date_created_textual-2:date_created_textual_value,publisher-1:publisher_value,collection-1:collection_term.uri,collection-1:collection_term.value,place_of_origin-2:place_of_origin_value,subject_name-1:subject_name_term.uri,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-1:note_type,note-1:note_value,note-6:note_type,note-6:note_value,note-5:note_type,note-5:note_value,clio_identifier-1:clio_identifier_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,note-7:note_type,note-3:note_value,note-7:note_value
 , , , ,filename,dream-machine.jpg, ,"""Naked Lunch"": the First Fifty Years",Dream Machine, , , ,9569,1960s,original_format, ,objects, , ,"Rare Book & Manuscript Library, Columbia University",approximate,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/dreammachine/burroughs-the-dream-machine,,,,, ,"Burroughs, William S., 1914-1997 |Gysin, Brion|Sommerville, Ian", , , , , ,"The Dream Machine, a device designed by Burroughs and Brion Gysin and constructed by Ian Sommerville, was designed to help stimulate brain activity and bring about a hallucinatory state. ",,,,,, , William Seward Burroughs Papers,,,,,,,,,,,,,,,,,, ,Date based on the earliest and latest dates of the  William Seward Burroughs Papers collection.,,,,,,,,,,,
 , , , ,filename,festin_nu_cover.jpg, ,"""Naked Lunch"": the First Fifty Years","Festin Nu, front cover", , , ,5049,1964,original_format, ,books, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Document,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlbook/nlbooks1, ,French,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997|Kahane, Eric H.", , , , , ,"Naked Lunch, translated into French by Eric Kahane",,,Paris,1964,Gallimard,,,,,,,,,,,,,,,,,,,, ,"Rare Book copy: No. 1197.|Rare Book copy: Accompanied by typescript letter from the publisher indicating that the work should not be publicly displayed and above all, should not fall into the hands of minors, due to its shocking content; shelved in separate portfolio.",,,holdings, ,CLIO id: 7793016,PS3552.U75 N314 1964g, , ,original,,Naked Lunch
 , , , ,filename,festin_nu_warning.jpg, ,"""Naked Lunch"": the First Fifty Years","Festin Nu, accompanying letter", , , ,5048,Février 1964,original_format, ,correspondence, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Document,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlbook/nlbooks1, ,French,iso639-2,reformatted digital, ,Gallimard (Firm), , , , , ,Letter from the French publishers Les Editions Gallimard to booksellers concerning Le Festin Nu,,,Paris,Février 1964,Gallimard,,,Paris,,,,,,,,,,,,,,,,, ,"Accompaniment to Rare Book copy: No. 1197.|Typescript letter from the publisher indicating that the work should not be publicly displayed and above all, should not fall into the hands of minors, due to its shocking content; shelved in separate portfolio from accompanying book",,,holdings, ,CLIO id: 7793016,PS3552.U75 N314 1964g, , ,,,
 , , , ,filename,100029003c.jpg, ,"""Naked Lunch"": the First Fifty Years",Naked Lunch 50th Anniversary Edition, , , ,2578,"November 1, 2009",original_format,,,,,,,,,,Still Image,,,,,, ,"William S. Burroughs, 1914-1997", , , , , ,Cover and slipcase, , ,,,Grove Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,100029002.jpg, ,"""Naked Lunch"": the First Fifty Years",Letter from William S. Burroughs to Peter Matson., , , ,2577,25 August 1976,original_format,,,,,,,,,,Still Image,,,,,, ,"William S. Burroughs, 1914-1997", , , , , ,"Typed letter signed, William S. Burroughs to Peter Matson.   Burroughs states preference that title of new edition of ""Junkie"" be ""Junk"" or ""Junky.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original,Original Format: Typed letter,Harold Matson Records.
 , , , ,filename,100029001.jpg, ,"""Naked Lunch"": the First Fifty Years","Junky: the Definitive Text of ""Junk"", front cover", , , ,2576,circa 2003,original_format, ,books, , ,"Rare Book and Manuscript Library, Columbia University",approximate,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/junky/junkie, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,"Cover of <em>Junky: The Definitive Text of ""Junk"".&nbsp; </em>Advanced uncorrected proof.", , ,New York,2003,Penguin Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,meeting_international_conference.mp3, ,"""Naked Lunch"": the First Fifty Years","William Burroughs Reads from ""Naked Lunch:"" ""Meeting of International Conference of Technological Psychiatry""", , , ,2575,probably 1960 - 1972,original_format, ,sound recordings, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Sound,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlreading/nlreading, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,"William Burroughs reading an excerpt from <em>Naked Lunch</em>: ""Meeting of International Conference of Technological Psychiatry"" (4 min, 28 sec)", , ,,,, ,William Seward Burroughs Papers,,,,,,,,,,,,,,,,,, ,"Dates inferred from the fact that the original audio tape includes an unidentified British radio program, suggesting that the recording was made during the time Burroughs lived in London (c. 1960-1972).",,,,,,,,,,Original Format: Reel-to-reel audio tape|Duration: 00:04:28,
 , , , ,filename,exterminator.mp3, ,"""Naked Lunch"": the First Fifty Years","William Burroughs Reads from ""Naked Lunch:"" ""The Exterminator Does a Good Job""", , , ,2574,probably 1960 - 1972,original_format, ,sound recordings, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Sound,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlreading/nlreading, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,"William Burroughs reading an excerpt from <em>Naked Lunch</em>: ""The Exterminator Does a Good Job"" (5 min, 45 sec)", , ,,,, ,William Seward Burroughs Papers,,,,,,,,,,,,,,,,,, ,"Dates inferred from the fact that the original audio tape includes an unidentified British radio program, suggesting that the recording was made during the time Burroughs lived in London (c. 1960-1972).",,,,,,,,,,Original Format: Reel-to-reel audio tape|Duration: 00:05:45,
 , , , ,filename,090069059.jpg, ,"""Naked Lunch"": the First Fifty Years","Howl, and other poems, Dedication", , , ,1301,1956,, ,books, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlmanuscript/nlmss, ,English,iso639-2,reformatted digital, ,"Ginsberg, Allen, 1926-1997", , , , , ,, , ,San Francisco,1956,City Lights,,,, , , , ,"Kerouac, Jack, 1922-1969|Burroughs, William S., 1914-1997|Cassady, Neal|Carr, Lucien, 1925-2005", , , , , , , , , , , ,,,,,,,,,,,,,
 , , , ,filename,090069057.jpg, ,"""Naked Lunch"": the First Fifty Years","Junky, title page", , , ,1300,"1977|May 12, 1987",, ,books, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/junky/junkie, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997 |Lowe, Steve", , , , , ,"Title page includes an inscription by William Burroughs to Steve Lowe, Lawrence, Kansas, May 12, 1987.", , ,New York,1977,Penguin Books,,,,,,,,,,,,,,,,,,,,,,,,holdings, ,CLIO id: 7201607,PS3552.U75 J86 1977, , ,original,,Junkie
