identifier_omeka,keyDate_start,form,relatedItem_collection,shelfLocator,digitalOrigin,physicalLocation,languageofCataloging,dateQualifier,note,dateCreated,title,identifier_clio,name_primary,name 2,abstract,subject_name,language,note_filename,typeOfResource,relatedItem_Project
omeka_identifier-1:omeka_identifier_value,date_created-1:date_created_start_value,form-1:form_term.value,collection-1:collection_term.value,location-1:location_shelf_location-1:location_shelf_location_free_text,digital_origin-1:digital_origin_value,location-1:location_term.value,"	

language_of_cataloging-1:language_of_cataloging_term.value",date_created-1:date_created_type,note-1:note_value,date_created_textual-1:date_created_textual_value,title-1:title_sort_portion,clio_identifier-1:clio_identifier_value,	name-1:name_term.value,name-2:name_term.value,abstract-1:abstract_value,subject_name-1:subject_name_term.value,language-1:language_term.value,note-3:note_value,type_of_resource-1:type_of_resource_value,
9706,1854 - 1855,photographs,Nathaniel Fish Moore Photographs,Folder 28,reformatted digital,"University Archives, Columbia University",eng,approximate,,1854-1855,"Columbia College, Forty Park Place New York",CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,Columbia College (Columbia University),,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350034.jpg,Still Image,Nathaniel Fish Moore Photographs
9705,1965-06-10,printed ephemera,Nathaniel Fish Moore Photographs,Folder 12,reformatted digital,"University Archives, Columbia University",eng,,,1965 June 10,Pierre Toussaint,CLIO_4080189,,,Illustration with short printed biography.,"Toussaint, Pierre, 1766-1853?",eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350017.jpg,Still Image,Nathaniel Fish Moore Photographs
9704,1945-08-09,correspondence,Nathaniel Fish Moore Photographs,Folder 33,reformatted digital,"University Archives, Columbia University",eng,,,1945 August 9,Letter from Columbiana Curator to Edward P. Chrystie,CLIO_4080189,"Thomas, Milton Halsey, 1903-1977",,Letter about content and origin of photographs,,eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350038.jpg,Still Image,Nathaniel Fish Moore Photographs
9703,1945-08-02,correspondence,Nathaniel Fish Moore Photographs,Folder 33,reformatted digital,"University Archives, Columbia University",eng,,,1945 August 2,Letter from Edward P. Chrystie to Columbiana Curator. Page 2,CLIO_4080189,"Thomas, Milton Halsey, 1903-1977",,Letter about content and origin of photographs,,eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350040.jpg,Still Image,Nathaniel Fish Moore Photographs
9702,1945-08-02,correspondence,Nathaniel Fish Moore Photographs,Folder 33,reformatted digital,"University Archives, Columbia University",eng,,,1945 August 2,Letter from Edward P. Chrystie to Columbiana Curator. Page 1,CLIO_4080189,"Thomas, Milton Halsey, 1903-1977",,Letter about content and origin of photographs,,eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350039.jpg,Still Image,Nathaniel Fish Moore Photographs
9701,1944-10-02,correspondence,Nathaniel Fish Moore Photographs,Folder 12,reformatted digital,"University Archives, Columbia University",eng,,,1944 October 2 (3),Letter from Milton Halsey Thomas  to William Hodges,CLIO_4080189,"Thomas, Milton Halsey, 1903-1977",,Letter of thanks for gift of photograph collection,,eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350016.jpg,Still Image,Nathaniel Fish Moore Photographs
9700,1944-09-22,correspondence,Nathaniel Fish Moore Photographs,Folder 12,reformatted digital,"University Archives, Columbia University",eng,,,1944 September 22,Letter from Stephen McCarthy to William Hodges,CLIO_4080189,"McCarthy, Stephen A. (Stephen Anthony), 1908-1990",,Letter of thanks for gift of photoraph collection,,eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350015.jpg,Still Image,Nathaniel Fish Moore Photographs
9699,1944-08-17,correspondence,Nathaniel Fish Moore Photographs,Folder 12,reformatted digital,"University Archives, Columbia University",eng,,,1944 August 17,Letter from William Hodges to Columbia College Librarian. Typed Copy,CLIO_4080189,"Hodges, William",,"Typed trancription of letter regarding photographs supposedly taken by William Moore, later attributed to Nathaniel Fish Moore.",,eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350014.jpg,Still Image,Nathaniel Fish Moore Photographs
9698,1944-08-17,correspondence,Nathaniel Fish Moore Photographs,Folder 12,reformatted digital,"University Archives, Columbia University",eng,,,1944 August 17,Letter from William Hodges to Columbia College Librarian. Envelope,CLIO_4080189,"Hodges, William",,"Address from package containing photographs supposedly taken by William Moore, later attributed to Nathaniel Fish Moore.",,eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350013.jpg,Still Image,Nathaniel Fish Moore Photographs
9697,1944-08-17,correspondence,Nathaniel Fish Moore Photographs,Folder 12,reformatted digital,"University Archives, Columbia University",eng,,,1944 August 17,Letter from William Hodges to Columbia College Librarian. Page 3,CLIO_4080189,"Hodges, William",,"Letter regarding photographs supposedly taken by William Moore, later attributed to Nathaniel Fish Moore.",,eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350012.jpg,Still Image,Nathaniel Fish Moore Photographs
9696,1944-08-17,correspondence,Nathaniel Fish Moore Photographs,Folder 12,reformatted digital,"University Archives, Columbia University",eng,,,1944 August 17,Letter from William Hodges to Columbia College Librarian. Page 2,CLIO_4080189,"Hodges, William",,"Letter regarding photographs supposedly taken by William Moore, later attributed to Nathaniel Fish Moore.",,eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350011.jpg,Still Image,Nathaniel Fish Moore Photographs
9695,1944-08-17,correspondence,Nathaniel Fish Moore Photographs,Folder 12,reformatted digital,"University Archives, Columbia University",eng,,,1944 August 17,Letter from William Hodges to Columbia College Librarian. Page 1,CLIO_4080189,"Hodges, William",,"Letter regarding photographs supposedly taken by William Moore, later attributed to Nathaniel Fish Moore.",,eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350010.jpg,Still Image,Nathaniel Fish Moore Photographs
9694,1924-01-25,clippings,Nathaniel Fish Moore Photographs,Folder 33,reformatted digital,"University Archives, Columbia University",eng,,,1924 January 25,Clippings from Columbia Alumni News,CLIO_4080189,,,,"Moore, Nathaniel Fish, 1782-1872",eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350041.jpg,Still Image,Nathaniel Fish Moore Photographs
9693,1953,printed ephemera,Nathaniel Fish Moore Photographs,Folder 12,reformatted digital,"University Archives, Columbia University",eng,,,1953,"Pierre Toussaint: A Catholic Gentleman of Old New York,  1766-1853",CLIO_4080189,,,Cover of small brochure about Pierre Toussaint.,"Toussaint, Pierre, 1766-1853?",eng,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350018.jpg,Still Image,Nathaniel Fish Moore Photographs
9692,1860,photographs,Nathaniel Fish Moore Photographs,Folder 4,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1860,Nathaniel Fish Moore,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,Self-photograph; albumen print.,"Moore, Nathaniel Fish, 1782-1872",,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350003.jpg,Still Image,Nathaniel Fish Moore Photographs
9691,1857,photographs,Nathaniel Fish Moore Photographs,Box 2,reformatted digital,"University Archives, Columbia University",eng,,salt print,1857,Park Place Campus,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,Columbia College (Columbia University),,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350054.jpg,Still Image,Nathaniel Fish Moore Photographs
9690,1855,photographs,Nathaniel Fish Moore Photographs,Folder 42,reformatted digital,"University Archives, Columbia University",eng,approximate,albumen print,ca. 1855,House,CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350053.jpg,Still Image,Nathaniel Fish Moore Photographs
9689,1855,photographs,Nathaniel Fish Moore Photographs,Folder 41,reformatted digital,"University Archives, Columbia University",eng,approximate,,ca. 1855,House (Side View),CLIO_4080189,"Moore, Nathaniel Fish, 1782-1872",,,,,http://ldpd.cul.columbia.edu/nathaniel_fish_moore/1501350052.jpg,Still Image,Nathaniel Fish Moore Photographs
