item - public,item - itemId,item - featured,item - MODS - FormGenre,item - MODS - FormGenre - Authority,item - MODS - ShelfLocation,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - RepositoryName - code - Authority,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - TypeofDate,item - MODS - Collection 1,item - MODS - Collection 2,item - MODS - PlaceofOrigin 1,item - MODS - PlaceofOrigin 2,item - MODS - PlaceofOrigin 3,item - MODS - PlaceofOrigin 3 - Authority - Identifier,item - MODS - PlaceofOrigin 4,item - MODS - PlaceofOrigin 4 - Authority - Identifier,item - MODS - LanguageofCataloging,item - MODS - Subrepository,item - DublinCore - Title - Display,item - DublinCore - Title - Work,item - DublinCore - Title - Work - Identifier,item - DublinCore - Title - Part,item - DublinCore - Title 2 - Display,item - DublinCore - Title 2 - Work,item - DublinCore - Title 2 - Attribute,item - DublinCore - Date,item - DublinCore - Identifier,item - DublinCore - Creator,item - DublinCore - Creator - Authority,item - DublinCore - Creatore - Authority - Identifier,item - DublinCore - Language,item - OriginalFileLoadedIntoOmeka,item - OmekaCollection - nonSort,item - OmekaCollection,item - ItemType,project URL,item - itemInContext 1,item - itemInContext 2
1,007253,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1405,,,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Sefer ha-orah. Leaf 109 verso,Sefer ha-orah,sho_099,Leaf 109 verso,ספר האורה,ספר האורה,alternative,1405,,"Gikatilla, Joseph ben Abraham, 1248-",naf,http://id.loc.gov/authorities/names/nr90022474,heb,original filename: 120017166.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/mystics/x893_g363,
1,007252,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1674,1681,,X Manuscripts,Hebrew Manuscripts,Venice,Corfu,Venice (Italy),http://id.loc.gov/authorities/names/n79018142,Kerkyra (Greece),http://id.loc.gov/authorities/names/n80024459,eng,,Universita' Italiana della Sinagoga Corfiota Aborigine contro Universita' della Sinagoga Corfiota Greca. Rear cover,Universita' Italiana della Sinagoga Corfiota Aborigine contro Universita' della Sinagoga Corfiota Greca,uid_003,Rear cover,,,,1674-1681,,,,,lat,original filename: 120017168.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/communities/x893_z8_v3_n6,
1,007236,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1600,1699,approximate,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Nagid u-metsaṿeh: ʻim ḳetsat hagahot ha-Rama.z asher bo nikhlalim kol minhagim shel ha-rav. Unknown leaf verso,Nagid u-metsaṿeh: ʻim ḳetsat hagahot ha-Rama.z asher bo nikhlalim kol minhagim shel ha-rav,num_002,Unknown leaf verso,"נגיד ומצוה עם קצת הגהות הרמ""ז אשר בו נכללים כל מנהגים של הרב","נגיד ומצוה עם קצת הגהות הרמ""ז אשר בו נכללים כל מנהגים של הרב",alternative,17th century,,"Ẓemaḥ, Jacob ben Ḥayyim, active 17th century",naf,http://id.loc.gov/authorities/names/n85210329,heb,original filename: 120017011.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/writers/x893_se5,
1,007235,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1600,1699,approximate,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Nagid u-metsaṿeh: ʻim ḳetsat hagahot ha-Rama.z asher bo nikhlalim kol minhagim shel ha-rav. Unknown leaf recto,Nagid u-metsaṿeh: ʻim ḳetsat hagahot ha-Rama.z asher bo nikhlalim kol minhagim shel ha-rav,num_001,Unknown leaf recto,"נגיד ומצוה עם קצת הגהות הרמ""ז אשר בו נכללים כל מנהגים של הרב","נגיד ומצוה עם קצת הגהות הרמ""ז אשר בו נכללים כל מנהגים של הרב",alternative,17th century,,"Ẓemaḥ, Jacob ben Ḥayyim, active 17th century",naf,http://id.loc.gov/authorities/names/n85210329,heb,original filename: 120017012.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/writers/x893_se5,
,,,manuscripts,lcsh,X893 Se5,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1600,1699,approximate,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Nagid u-metsaṿeh: ʻim ḳetsat hagahot ha-Rama.z asher bo nikhlalim kol minhagim shel ha-rav,Nagid u-metsaṿeh: ʻim ḳetsat hagahot ha-Rama.z asher bo nikhlalim kol minhagim shel ha-rav,num,,"נגיד ומצוה עם קצת הגהות הרמ""ז אשר בו נכללים כל מנהגים של הרב","נגיד ומצוה עם קצת הגהות הרמ""ז אשר בו נכללים כל מנהגים של הרב",alternative,17th century,CLIO_7635555,"Ẓemaḥ, Jacob ben Ḥayyim, active 17th century",naf,http://id.loc.gov/authorities/names/n85210329,heb,,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
1,007234,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1590,,,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,"Beʾer mayim ḥayim: sefer kolel u-meʾasef ḳetsat maʾamare Talmud ṿe-Halakhot ṿe-Agadot, meyusadim ʻal adane ha-Alfa Beta..ʻim perush milim zarot. Leaf 80 verso","Beʾer mayim ḥayim: sefer kolel u-meʾasef ḳetsat maʾamare Talmud ṿe-Halakhot ṿe-Agadot, meyusadim ʻal adane ha-Alfa Beta..ʻim perush milim zarot",bmh_080,Leaf 80 verso,"באר מים חיים ספר כולל ומאסף קצת מאמרי תלמוד והלכות ואגדות, מיוסדים ל אדני האלפא ביתא... עם פרוש מילות זרות","באר מים חיים ספר כולל ומאסף קצת מאמרי תלמוד והלכות ואגדות, מיוסדים ל אדני האלפא ביתא... עם פרוש מילות זרות",alternative,1590,,"Rabba, Eliyahu ben Menaḥem",,,heb,original filename: 120017007.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/writers/x893_r112,
1,007233,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1590,,,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,"Beʾer mayim ḥayim: sefer kolel u-meʾasef ḳetsat maʾamare Talmud ṿe-Halakhot ṿe-Agadot, meyusadim ʻal adane ha-Alfa Beta..ʻim perush milim zarot. Leaves 81 verso - 82 recto","Beʾer mayim ḥayim: sefer kolel u-meʾasef ḳetsat maʾamare Talmud ṿe-Halakhot ṿe-Agadot, meyusadim ʻal adane ha-Alfa Beta..ʻim perush milim zarot",bmh_081,Leaves 81 verso - 82 recto,"באר מים חיים ספר כולל ומאסף קצת מאמרי תלמוד והלכות ואגדות, מיוסדים על אדני האלפא ביתא... עם פרוש מילות זרות","באר מים חיים ספר כולל ומאסף קצת מאמרי תלמוד והלכות ואגדות, מיוסדים על אדני האלפא ביתא... עם פרוש מילות זרות",alternative,1590,,"Rabba, Eliyahu ben Menaḥem",,,heb,original filename: 120017008.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/writers/x893_r112,
1,007232,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1590,,,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,"Beʾer mayim ḥayim: sefer kolel u-meʾasef ḳetsat maʾamare Talmud ṿe-Halakhot ṿe-Agadot, meyusadim ʻal adane ha-Alfa Beta..ʻim perush milim zarot. Title leaf","Beʾer mayim ḥayim: sefer kolel u-meʾasef ḳetsat maʾamare Talmud ṿe-Halakhot ṿe-Agadot, meyusadim ʻal adane ha-Alfa Beta..ʻim perush milim zarot",bmh_000,Title leaf,"באר מים חיים ספר כולל ומאסף קצת מאמרי תלמוד והלכות ואגדות, מיוסדים על אדני האלפא ביתא... עם פרוש מילות זרות","באר מים חיים ספר כולל ומאסף קצת מאמרי תלמוד והלכות ואגדות, מיוסדים על אדני האלפא ביתא... עם פרוש מילות זרות",alternative,1590,,"Rabba, Eliyahu ben Menaḥem",,,heb,original filename: 120017009.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/writers/x893_r112,
1,007231,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1590,,,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,"Beʾer mayim ḥayim: sefer kolel u-meʾasef ḳetsat maʾamare Talmud ṿe-Halakhot ṿe-Agadot, meyusadim ʻal adane ha-Alfa Beta..ʻim perush milim zarot. Leaf 120 recto","Beʾer mayim ḥayim: sefer kolel u-meʾasef ḳetsat maʾamare Talmud ṿe-Halakhot ṿe-Agadot, meyusadim ʻal adane ha-Alfa Beta..ʻim perush milim zarot",bmh_099,Leaf 120 recto,"באר מים חיים ספר כולל ומאסף קצת מאמרי תלמוד והלכות ואגדות, מיוסדים על אדני האלפא ביתא... עם פרוש מילות זרות","באר מים חיים ספר כולל ומאסף קצת מאמרי תלמוד והלכות ואגדות, מיוסדים על אדני האלפא ביתא... עם פרוש מילות זרות",alternative,1590,,"Rabba, Eliyahu ben Menaḥem",,,heb,original filename: 120017010.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/writers/x893_r112,
,,,manuscripts,lcsh,X893 R112,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1590,,,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,"Beʾer mayim ḥayim: sefer kolel u-meʾasef ḳetsat maʾamare Talmud ṿe-Halakhot ṿe-Agadot, meyusadim ʻal adane ha-Alfa Beta..ʻim perush milim zarot","Beʾer mayim ḥayim: sefer kolel u-meʾasef ḳetsat maʾamare Talmud ṿe-Halakhot ṿe-Agadot, meyusadim ʻal adane ha-Alfa Beta..ʻim perush milim zarot",bmh,,"באר מים חיים ספר כולל ומאסף קצת מאמרי תלמוד והלכות ואגדות, מיוסדים על אדני האלפא ביתא... עם פרוש מילות זרות","באר מים חיים ספר כולל ומאסף קצת מאמרי תלמוד והלכות ואגדות, מיוסדים על אדני האלפא ביתא... עם פרוש מילות זרות",alternative,1590,CLIO_7268061,"Rabba, Eliyahu ben Menaḥem",,,heb,,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
1,007230,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1500,1599,approximate,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Amarot ṭehorot: Maʾamar Yonat elem. Leaves 68-69,Amarot ṭehorot: Maʾamar Yonat elem,atm_068,Leaves 68-69,אמרות טהורות  מאמר יונת אלם,אמרות טהורות  מאמר יונת אלם,alternative,16th century,,"Fano, Menahem Azariah da, 1548-1620",naf,http://id.loc.gov/authorities/names/n80009807,heb,original filename: 120017126.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/writers/x893_v836,
,,,manuscripts,lcsh,X893 v836,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1500,1599,approximate,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Amarot ṭehorot: Maʾamar Yonat elem,Amarot ṭehorot: Maʾamar Yonat elem,atm,,אמרות טהורות  מאמר יונת אלם,אמרות טהורות  מאמר יונת אלם,alternative,16th century,CLIO_7460968,"Fano, Menahem Azariah da, 1548-1620",naf,http://id.loc.gov/authorities/names/n80009807,heb,,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
1,007229,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1500,1599,approximate,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Seter Eliyah raba. Leaf 9 recto,Seter Eliyah raba,ser_009,Leaf 9 recto,סתר אליה רבא,סתר אליה רבא,alternative,16th century,,"Rabba, Eliyah ben Menaḥem",,,heb,original filename: 120017005.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/writers/x893_r11,
1,007228,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1500,1599,approximate,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Seter Eliyah raba. Leaf 142 recto,Seter Eliyah raba,ser_099,Leaf 142 recto,סתר אליה רבא,סתר אליה רבא,alternative,16th century,,"Rabba, Eliyah ben Menaḥem",,,heb,original filename: 120017006.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/writers/x893_r11,
,,,manuscripts,lcsh,X893 R11,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1500,1599,approximate,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Seter Eliyah raba,Seter Eliyah raba,ser,,סתר אליה רבא,סתר אליה רבא,alternative,16th century,CLIO_7268000,"Rabba, Eliyah ben Menaḥem",,,heb,,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
1,007227,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1843,,,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Proposizioni relative al corso esegetico. First leaf,Proposizioni relative al corso esegetico,pra_001,First leaf,,,,1843,,"Luzzatto, Samuel David, 1800-1865",naf,http://id.loc.gov/authorities/names/n79117176,ita,original filename: 120017158.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
,,,manuscripts,lcsh,X893 L9763,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1843,,,X Manuscripts,Hebrew Manuscripts,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,eng,,Proposizioni relative al corso esegetico,Proposizioni relative al corso esegetico,pra,,,,,1843,CLIO_8137654,"Luzzatto, Samuel David, 1800-1865",naf,http://id.loc.gov/authorities/names/n79117176,ita,,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
1,007226,0,manuscripts,lcsh,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1400,1499,approximate,X Manuscripts,Hebrew Manuscripts,,,,,,,eng,,Biur emtsaʻi ʻal sifre ha-higayon shel Arisṭo. Leaves 6 verso - 7 recto,Biur emtsaʻi ʻal sifre ha-higayon shel Arisṭo,bea_006,Leaves 6 verso - 7 recto,באור אמצעי על ספרי ההגיון של אריסטו,באור אמצעי על ספרי ההגיון של אריסטו,alternative,15th century,,"Averroës, 1126-1198",naf,http://id.loc.gov/authorities/names/n81027798,heb,original filename: 120017117.jpg,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,still image,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
,,,manuscripts,lcsh,X893 Se34,,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,1400,1499,approximate,X Manuscripts,Hebrew Manuscripts,,,,,,,eng,,Biur emtsaʻi ʻal sifre ha-higayon shel Arisṭo,Biur emtsaʻi ʻal sifre ha-higayon shel Arisṭo,bea,,באור אמצעי על ספרי ההגיון של אריסטו,באור אמצעי על ספרי ההגיון של אריסטו,alternative,15th century,CLIO_7330065,"Averroës, 1126-1198",naf,http://id.loc.gov/authorities/names/n81027798,heb,,The,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
