identifier_title,identifier_omeka,identifier_clio,note_filename,title,partName,title2,title2_type,name_primary,name_primary_authority,name_primary_authority_identifier,dateCreated,dateQualifier,keyDate_start,keyDate_end,item - ItemType,place,place_authority_identifier,place_2,place_2_authority_identifier,language,language_authority,language_authority_identifier,form,form_authority,form_authority_identifier,physicalLocation_text,physicalLocation,physicalLocation_authority,physicalLocation_authority_identifier,sublocation,shelfLocator,digitalOrigin,relatedItem_collection,relatedItem_collection_2,relatedItem_Project,languageOfCataloging,projectURL,location_url_ObjectInContext,location_url_ObjectInContext_2
peoplebooks_abs,,CLIO_7633508,,Alef bet shel Rabi ʻAḳiva,,אלף בית של רבי עקיבא,alternative,"David ben Judah, he-Ḥasid, approximately 1240-approximately 1320",naf,http://id.loc.gov/authorities/names/n81077061,17th century,approximate,1600,1699,,,,,,heb,iso639-2,http://id.loc.gov/vocabulary/languages/heb,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,X893 K13,,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
peoplebooks_abs_001,omeka_007139,,original filename: 120017053.jpg,Alef bet shel Rabi ʻAḳiva,First leaf,אלף בית של רבי עקיבא,alternative,"David ben Judah, he-Ḥasid, approximately 1240-approximately 1320",naf,http://id.loc.gov/authorities/names/n81077061,17th century,approximate,1600,1699,still image,,,,,heb,iso639-2,http://id.loc.gov/vocabulary/languages/heb,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,,reformatted digital,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/communities/x893_k13,
peoplebooks_ahg,,CLIO_7519015,,Ani ha-gever dibarti el libi be-khol ʻet ki en ka-el,,אני הגבר דברתי אל לבי בכל עת כי אין כאל,alternative,,,,15th century,approximate,1400,1499,,,,,,heb,iso639-2,http://id.loc.gov/vocabulary/languages/heb,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,X893 C73,,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
peoplebooks_ahg_005,omeka_007217,,original filename: X893.15_C73_005b.jpg,Ani ha-gever dibarti el libi be-khol ʻet ki en ka-el,Leaf 5 verso,אני הגבר דברתי אל לבי בכל עת כי אין כאל,alternative,,,,15th century,approximate,1400,1499,still image,,,,,heb,iso639-2,http://id.loc.gov/vocabulary/languages/heb,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,,reformatted digital,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
peoplebooks_amu,,CLIO_7402395,,Amulets (for the newborn baby),,קמיע,alternative,,,,1851,,1851,,,Greece,http://id.loc.gov/authorities/names/n80046090,,,heb,iso639-2,http://id.loc.gov/vocabulary/languages/heb,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,X893 K514.4,,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/lifecycle/x893_k14_4,
peoplebooks_amu_000,omeka_007117,CLIO_7402395,original filename: 120017154.jpg,Amulets (for the newborn baby),,קמיע,alternative,,,,1851,,1851,,still image,Greece,http://id.loc.gov/authorities/names/n80046090,,,heb,iso639-2,http://id.loc.gov/vocabulary/languages/heb,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,X893 K514.4,reformatted digital,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/lifecycle/x893_k14_4,
peoplebooks_ari,,CLIO_7141327,,Asis Rimonim,,עסיס רמונים   קיצור ספר פרדס רמונים למשה קורדובירו,alternative,"Gallico, Samuel, active 16th century-17th century",naf,http://id.loc.gov/authorities/names/nb2008014478,1579,,1579,,,Italy,http://id.loc.gov/authorities/names/n79021783,,,heb,iso639-2,http://id.loc.gov/vocabulary/languages/heb,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,X893 C81,,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
peoplebooks_ari_021,omeka_007195,,original filename: 120017003.jpg,Asis Rimonim,Leaf 21 recto,עסיס רמונים   קיצור ספר פרדס רמונים למשה קורדובירו,alternative,"Gallico, Samuel, active 16th century-17th century",naf,http://id.loc.gov/authorities/names/nb2008014478,1579,,1579,,still image,Italy,http://id.loc.gov/authorities/names/n79021783,,,heb,iso639-2,http://id.loc.gov/vocabulary/languages/heb,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,,reformatted digital,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/mystics/x893_c81,
peoplebooks_ari_031,omeka_007196,,original filename: 120017002.jpg,Asis Rimonim,Leaves 31 verso - 32 recto,עסיס רמונים   קיצור ספר פרדס רמונים למשה קורדובירו,alternative,"Gallico, Samuel, active 16th century-17th century",naf,http://id.loc.gov/authorities/names/nb2008014478,1579,,1579,,still image,Italy,http://id.loc.gov/authorities/names/n79021783,,,heb,iso639-2,http://id.loc.gov/vocabulary/languages/heb,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,,reformatted digital,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/mystics/x893_c81,
peoplebooks_ari_033,omeka_007197,,original filename: 120017001.jpg,Asis Rimonim,Leaf before 33,עסיס רמונים   קיצור ספר פרדס רמונים למשה קורדובירו,alternative,"Gallico, Samuel, active 16th century-17th century",naf,http://id.loc.gov/authorities/names/nb2008014478,1579,,1579,,still image,Italy,http://id.loc.gov/authorities/names/n79021783,,,heb,iso639-2,http://id.loc.gov/vocabulary/languages/heb,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,,reformatted digital,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/mystics/x893_c81,
peoplebooks_ari_099,omeka_007194,,original filename: 120017004.jpg,Asis Rimonim,Leaf 111 recto,עסיס רמונים   קיצור ספר פרדס רמונים למשה קורדובירו,alternative,"Gallico, Samuel, active 16th century-17th century",naf,http://id.loc.gov/authorities/names/nb2008014478,1579,,1579,,still image,Italy,http://id.loc.gov/authorities/names/n79021783,,,heb,iso639-2,http://id.loc.gov/vocabulary/languages/heb,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,,reformatted digital,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/mystics/x893_c81,
peoplebooks_aso,,CLIO_7094832,,Album: signatures of some of those who came to examine the model of the Temple of Solomon,,,,"Mill, David, 1692-1756",naf,http://id.loc.gov/authorities/names/no2008028545,1748-1757,,1748,1757,,Utrecht (Netherlands),http://id.loc.gov/authorities/names/n79022996,,,ger,iso639-2,http://id.loc.gov/vocabulary/languages/ger,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,X893 AL1,,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
peoplebooks_aso_030,omeka_007040,,original filename: X893_AL1_034.jpg,Album: signatures of some of those who came to examine the model of the Temple of Solomon,Page 30 verso,,,"Mill, David, 1692-1756",naf,http://id.loc.gov/authorities/names/no2008028545,1748-1757,,1748,1757,still image,Utrecht (Netherlands),http://id.loc.gov/authorities/names/n79022996,,,ger,iso639-2,http://id.loc.gov/vocabulary/languages/ger,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,,reformatted digital,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/scholars/x893_al1,
peoplebooks_aso_089,omeka_007039,,original filename: X893_AL1_095.jpg,Album: signatures of some of those who came to examine the model of the Temple of Solomon,Pages 89-90,,,"Mill, David, 1692-1756",naf,http://id.loc.gov/authorities/names/no2008028545,1748-1757,,1748,1757,still image,Utrecht (Netherlands),http://id.loc.gov/authorities/names/n79022996,,,ger,iso639-2,http://id.loc.gov/vocabulary/languages/ger,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,,reformatted digital,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/scholars/x893_al1,
peoplebooks_ath,,CLIO_7745680,,ʻArbaʻah ṭurim: hilkhot shabat,,ארבעה טורים   הלכות שבת,alternative,"Jacob ben Asher, approximately 1269-approximately 1340",naf,http://id.loc.gov/authorities/names/n82247752,14th century,approximate,1300,1399,,,,,,heb,iso639-2,http://id.loc.gov/vocabulary/languages/heb,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,X893 J152 (green box),,X Manuscripts,Hebrew Manuscripts,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,eng,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,,
