_identifiers-1,_parent_digital_objects-1.identifier,_project.string_key,_digital_object_type.string_key,omeka_identifier-1:omeka_identifier_value,clio_identifier-1:clio_identifier_value,note-3:note_value,note-3:note_type,title-1:title_sort_portion,title-2:title_sort_portion,title2_type,abstract-1:abstract_value,object_in_context_url-1:object_in_context_url_value,object_in_context_url-2:object_in_context_url_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_term.authority,name_primary_authority_identifier,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_term.authority,name-2:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,place_of_origin-1:place_of_origin_value,place_authority_identifier,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,language-3:language_term.value,language-3:language_term.authority,language-3:language_term.uri,language-4:language_term.value,language-4:language_term.authority,language-4:language_term.uri,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-3:form_term.uri,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,location-1:location_sublocation,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,digital_origin-1:digital_origin_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-2:collection_term.value,collection-2:collection_term.uri,relatedItem_Project,	projectURL,language_of_cataloging-1:language_of_cataloging_term.value,language_of_cataloging-1:language_of_cataloging_term.authority,language_of_cataloging-1:language_of_cataloging_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri
peoplebooks_abs,,people_books,item,,7633508,,,Alef bet shel Rabi ʻAḳiva,אלף בית של רבי עקיבא,alternative,Manuscript in Hebrew on paper.,,,"David ben Judah, he-Ḥasid, approximately 1240-approximately 1320",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/n81077061,,,,,,,,1600,1699,approximate,17th century,text,,Thessalonikē (Greece),http://id.loc.gov/authorities/names/n80056641,Hebrew,iso639-2,http://id.loc.gov/vocabulary/languages/heb,,,,,,,,,,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,"Rare Book and Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,X893 K13,,reformatted digital,X Manuscripts,http://id.library.columbia.edu/term/17de684a-44c0-435c-9ace-d4be17b4e1d2,Hebrew Manuscripts (Columbia University Libraries),http://id.library.columbia.edu/term/5dbda953-4e4e-4021-a107-7042fddd0668,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Fires,fast,http://id.worldcat.org/fast/925697,,,,,,,,,,,Thessalonikē (Greece),naf,http://id.loc.gov/authorities/names/n80056641
peoplebooks_abs_001,peoplebooks_abs,people_books,asset,omeka_7139,,120017053.jpg,filename,First leaf,,,,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/communities/x893_k13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peoplebooks_ahg,,people_books,item,,7519015,,,Ani ha-gever dibarti el libi be-khol ʻet ki en ka-el,אני הגבר דברתי אל לבי בכל עת כי אין כאל,alternative,,,,,,,,,,,,,,,,,,1400,1499,approximate,15th century,text,,,,Hebrew,iso639-2,http://id.loc.gov/vocabulary/languages/heb,,,,,,,,,,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,"Rare Book and Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,X893 C73,,reformatted digital,X Manuscripts,http://id.library.columbia.edu/term/17de684a-44c0-435c-9ace-d4be17b4e1d2,Hebrew Manuscripts (Columbia University Libraries),http://id.library.columbia.edu/term/5dbda953-4e4e-4021-a107-7042fddd0668,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Judaism,fast,http://id.worldcat.org/fast/984280,,,,,,,,,,,,,
peoplebooks_ahg_005,peoplebooks_ahg,people_books,asset,omeka_7217,,X893.15_C73_005b.jpg,filename,Leaf 5 verso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peoplebooks_amu,,people_books,item,,7402395,,,Amulets (for the newborn baby),קמיע,alternative,Manuscript in Hebrew on paper.,,,,,,,,,,,,,,,,,1851,,,1851,text,,Greece,http://id.loc.gov/authorities/names/n80046090,Hebrew,iso639-2,http://id.loc.gov/vocabulary/languages/heb,,,,,,,,,,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,"Rare Book and Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,X893 K514.4,,reformatted digital,X Manuscripts,http://id.library.columbia.edu/term/17de684a-44c0-435c-9ace-d4be17b4e1d2,Hebrew Manuscripts (Columbia University Libraries),http://id.library.columbia.edu/term/5dbda953-4e4e-4021-a107-7042fddd0668,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Circumcision,fast,http://id.worldcat.org/fast/861628,Jewish magic,fast,http://id.worldcat.org/fast/1730508,,,,,,,,,,
peoplebooks_amu_000,peoplebooks_amu,people_books,asset,omeka_7117,,120017154.jpg,filename,Amulets (for the newborn baby),קמיע,alternative,,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/lifecycle/x893_k14_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peoplebooks_ari,,people_books,item,,7141327,,,Asis Rimonim,עסיס רמונים   קיצור ספר פרדס רמונים למשה קורדובירו,alternative,Manuscript in Hebrew on paper.,,,"Gallico, Samuel, active 16th century-17th century",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/nb2008014478,,,,,,,,1579,,,1579,text,,Italy,http://id.loc.gov/authorities/names/n79021783,Hebrew,iso639-2,http://id.loc.gov/vocabulary/languages/heb,,,,,,,,,,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,"Rare Book and Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,,X893 C81,,reformatted digital,X Manuscripts,http://id.library.columbia.edu/term/17de684a-44c0-435c-9ace-d4be17b4e1d2,Hebrew Manuscripts (Columbia University Libraries),http://id.library.columbia.edu/term/5dbda953-4e4e-4021-a107-7042fddd0668,People in the Books: Hebraica and Judaica Manuscripts from Columbia University Libraries,http://www.columbia.edu/cgi-bin/cul/resolve?clio9680681,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Cabala,fast,http://id.worldcat.org/fast/843481,,,,,,,,"Pardes rimonim (Cordovero, Moses ben Jacob)",fast,http://id.worldcat.org/fast/1380599,,,
peoplebooks_ari_021,peoplebooks_ari,people_books,asset,omeka_7195,,120017003.jpg,filename,Leaf 21 recto,,,,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/mystics/x893_c81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peoplebooks_ari_031,peoplebooks_ari,people_books,asset,omeka_7196,,120017002.jpg,filename,Leaves 31 verso - 32 recto,,,,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/mystics/x893_c81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peoplebooks_ari_033,peoplebooks_ari,people_books,asset,omeka_7197,,120017001.jpg,filename,Leaf before 33,,,,http://exhibitions.cul.columbia.edu/exhibits/show/hebrew_mss/mystics/x893_c81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
