item - public,item - itemId,item - featured,item - MODS - FormGenre 1,item - MODS - FormGenre 2,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging ,item - MODS - ShelfLocation,item - MODS - Collection,item - MODS - PlaceofOrigin 1,item - MODS - PlaceofOrigin 2,item - MODS - Notes,item - MODS - PublicationPlace,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Title 2,item - DublinCore - Title 2 - Whole,item - DublinCore - Title 2 - Part,item - DublinCore - Title 2 - Attribute,item - DublinCore - Date,item - DublinCore - Language,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Subject 3,item - DublinCore - Subject 4,item - DublinCore - Subject 5,item - DublinCore - Subject 6,item - DublinCore - Subject 7,item - DublinCore - Subject 8,item - DublinCore - Subject 9,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Creator 3,item - DublinCore - Creator 4,item - DublinCore - Creator 5,item - DublinCore - Creator 6,item - DublinCore - Creator 7,item - DublinCore - Creator 8,item - DublinCore - Creator 9,item - DublinCore - Creator 10,item - DublinCore - Creator 11,item - DublinCore - Creator 12,item - DublinCore - Creator 13,item - DublinCore - Creator 14,item - DublinCore - Description,item - DublinCore - Coverage,item - DublinCore - Publisher,item - DublinCore - Source,item - OriginalFileLoadedIntoOmeka 1,item - OriginalFileLoadedIntoOmeka 2,item - OriginalFileLoadedIntoOmeka 3,item - OriginalFileLoadedIntoOmeka 4,item - OriginalFileLoadedIntoOmeka 5,item - OriginalFileLoadedIntoOmeka 6,item - OriginalFileLoadedIntoOmeka 7,item - OriginalFileLoadedIntoOmeka 8,item - OriginalFileLoadedIntoOmeka 9,item - OriginalFileLoadedIntoOmeka 10,item - AdditionalItemMetadata - Provenance,item - AdditionalItemMetadata - SpatialCoverage,item - AdditionalItemMetadata - TemporalCoverage,item - ItemType,item - OmekaCollection,project URL,item in context 1,item in context 2,item in context 3
1,1310,0,printed ephemera,,1911,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 132?,Frances Perkins Papers,New York (N.Y.),,Date inferred from date of Triangle Shirtwaist Fire.,,Triangle Fire Photograph Caption. Number 7,Triangle Fire Photograph Caption,Number 7,,,,,1911,eng,"Triangle Shirtwaist Company--Fire, 1911",,,,,,,,,,,,,,,,,,,,,,,Photos Triangle Fire,,,,original filename: Triangle6.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,1309,0,photographs,,1911,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 132?,Frances Perkins Papers,New York,,Date inferred from date of Triangle Shirtwaist Fire.,,Triangle Fire. Number 6,Triangle Fire,Number 6,,,,,1911,eng,"Triangle Shirtwaist Company--Fire, 1911",,,,,,,,,,,,,,,,,,,,,,,Photos Triangle Fire,,,,original filename: Triangle5.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,1308,0,printed ephemera,,1911,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 132?,Frances Perkins Papers,New York,,,,Triangle Fire Photograph Caption. Number 5,Triangle Fire Photograph Caption,Number 5,,,,,1911,eng,"Triangle Shirtwaist Company--Fire, 1911",,,,,,,,,,,,,,,,,,,,,,,Photos Triangle Fire,,,,original filename: Triangle4.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,1307,0,photographs,,1911,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 132?,Frances Perkins Papers,New York,,Date inferred from date of Triangle Shirtwaist Fire.,,Triangle Fire. Number 4,Triangle Fire,Number 4,,,,,1911,eng,"Triangle Shirtwaist Company--Fire, 1911",,,,,,,,,,,,,,,,,,,,,,,Photos Triangle Fire,,,,original filename: Triangle3.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,1306,0,photographs,,1911,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 132?,Frances Perkins Papers,New York,,Date inferred from date of Triangle Shirtwaist Fire.,,Triangle Fire. Number 3,Triangle Fire,Number 3,,,,,1911,eng,"Triangle Shirtwaist Company--Fire, 1911",,,,,,,,,,,,,,,,,,,,,,,Photos Triangle Fire,,,,original filename: Triangle2.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,1305,0,photographs,,1911,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 132?,Frances Perkins Papers,New York,,Date inferred from date of Triangle Shirtwaist Fire.,,Triangle Fire. Number 2,Triangle Fire,Number 2,,,,,1911,eng,"Triangle Shirtwaist Company--Fire, 1911",,,,,,,,,,,,,,,,,,,,,,,Photos Triangle Fire,,,,original filename: Triangle1.jpg,,,,,,,,,,,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,,,
1,447,0,printed ephemera,,1961-01-20,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 107,Frances Perkins Papers,Washington (D.C.),,,,Invitation to the Inauguration of President Kennedy sent to Frances Perkins,Invitation to the Inauguration of President Kennedy sent to Frances Perkins,,,,,,"January 20, 1961",eng,United States. President (1961-1963 : Kennedy),,,,,,,,,"Perkins, Frances, 1880-1965","Foley, Edward H., 1905-1982",,,,,,,,,,,,,,,,,original filename: perkins_090074225.jpg,,,,,,,,,,"Gift of Susanna Perkins Coggeshall, 1970",,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/later-years/later-years,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/later-years/cornell,
1,446,0,manuscripts,,1963-05-20,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 133,Frances Perkins Papers,Washington (D.C.),,,,Frances Perkins Washington speech on exits in public buildings. First page,Frances Perkins Washington speech on exits in public buildings,First page,,,,,circa 20 May 1963,eng,,,,,,,,,,"Perkins, Frances, 1880-1965",,,,,,,,,,,,,,,,,,original filename: perkins_090074224.jpg,,,,,,,,,,"Gift of Susanna Perkins Coggeshall, 1970",,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/later-years/later-years,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/later-years/cornell,
1,445,0,manuscripts,,1936-04,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 107,Frances Perkins Papers,South Hadley (Mass.),,,,Statement by Mount Holyoke President Mary Wooley on Secretary of Labor Frances Perkins' ancestry and marriage,Statement by Mount Holyoke President Mary Wooley on Secretary of Labor Frances Perkins' ancestry and marriage,,,,,,April 1936,eng,"Perkins, Frances, 1880-1965",,,,,,,,,"Woolley, Mary Emma, 1863-1947",,,,,,,,,,,,,,"Mount Holyoke President Mary Wooley presented this statement, probably to the House Judiciary Committee, writing: “As a believer in fair play I respectfully request that your committee investigate … who is responsible for the widespread distribution of these false and evidently maliciously intended statements, which for some unknown reason have been directed at an able, honorable and patriotic public official who has made an exceptional record as an administrator and is generally recognized as the most capable Secretary of Labor in the history of that department.”",,,,original filename: perkins_090074222.jpg,original filename: 090074223.jpg,,,,,,,,,"Gift of Susanna Perkins Coggeshall, 1973",,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration,,
1,444,0,pamphlets,,1939-01-24,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,Box 122,Frances Perkins Papers,,,,"Washington, District of Columbia","House Resolution 67: Resolution for the impeachment of Frances Perkins, Secretary of Labor. Page 56","House Resolution 67: Resolution for the impeachment of Frances Perkins, Secretary of Labor",Page 56,,,,,"January 24, 1939",eng,"Perkins, Frances, 1880-1965",,,,,,,,,"Thomas, J. Parnell (John Parnell), 1895-1970",United States. Congress (76th : 1939-1941),,,,,,,,,,,,,"The formal charge for the impeachment of Frances Perkins, along with two other Labor Department employees, was made by Mr. Thomas of New Jersey, on grounds that they “have failed, neglected, and refused to enforce the … immigration laws of the United States; and have conspired together to violate the immigration laws of the United States; and have defrauded the United States by coddling and protecting from deportation certain aliens illegally within the United States in violation of the statues in such cases made and provided.” First and foremost in the charge is the case of Harry Bridges, here accused of being a member of the Communist Party with intent to overthrow the Government of the United States. This pamphlet contains Perkins’s marginal notes and underlining throughout.",,Government Printing Office,,original filename: perkins_090074221.jpg,,,,,,,,,,Gift of Frances Perkins,,,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/impeachment,,
