identifier_omeka,identifier_title,note_filename,location_url_ObjectInContext,location_url_ObjectInContext_2,location_url_ObjectInContext_3,title,namePart,title2,title2_type,dateCreated,form,form_authority,form_authority_identifier,form_2,form_2_authority,form_2_authority_identifier,keyDate_start,keyDate_end,dateQualifier,digitalOrigin,physicalLocation_text,physicalLocation,physicalLocation_authority,physicalLocation_authority_identifier,languageOfCataloging,shelfLocator,relatedItem_collection,place,place_authority_identifier,note,language,language_authority,language_authority_identifier,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_name_type,subject_name_2,subject_name_2_authority,subject_name_2_authority_identifier,subject_name_2_type,subject_name_3,subject_name_3_authority,subject_name_3_authority_identifier,subject_name_3_type,subject_name_4,subject_name_4_authority,subject_name_4_authority_identifier,subject_name_4_type,subject_name_5,subject_name_5_authority,subject_name_5_authority_identifier,subject_name_5_type,subject_name_6,subject_name_6_authority,subject_name_6_authority_identifier,subject_name_6_type,subject_name_7,subject_name_7_authority,subject_name_7_authority_identifier,subject_name_7_type,subject_name_8,subject_name_8_authority,subject_name_8_authority_identifier,subject_name_8_type,subject_name_9,subject_name_9_authority,subject_name_9_authority_identifier,subject_name_9_type,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,name_primary,name_primary_authority,name_primary_authority_identifier,name_primary_Relator,name_primary_Relator_authority,name_primary_Relator_type,name_primary_Relator_authority_identifier,name_primary_type,name,name_authority,name_authority_identifier,nameRelator,nameRelator_authority,nameRelator_type,nameRelator_authority_identifier,name_type,name_02,name_02_authority,name_02_authority_identifier,name_02_Relator,name_02_Relator_authority,name_02_Relator_type,name_02_Relator_authority_identifier,name_02_type,name_03,name_03_authority,name_03_authority_identifier,name_03_Relator,name_03_Relator_authority,name_03_Relator_type,name_03_Relator_authority_identifier,name_03_type,name_04,name_04_authority,name_04_authority_identifier,name_04_Relator,name_04_Relator_authority,name_04_Relator_type,name_04_Relator_authority_identifier,name_04_typle,name_05,name_05_authority,name_05_authority_identifier,name_05_Relator,name_05_Relator_authority,name_05_Relator_type,name_05_Relator_authority_identifier,name_05_type,name_06,name_06_authority,name_06_authority_identifier,name_06_Relator,name_06_Relator_authority,name_06_Relator_type,name_06_Relator_authority_identifier,name_06_type,name_07,name_07_authority,name_07_authority_identifier,name_07_Relator,name_07_Relator_authority,name_07_Relator_type,name_07_Relator_authority_identifier,name_07_type,name_08,name_08_authority,name_08_authority_identifier,name_08_Relator,name_08_Relator_authority,name_08_Relator_type,name_08_Relator_authority_identifier,name_08_type,name_09,name_09_authority,name_09_authority_identifier,name_09_Relator,name_09_Relator_authority,name_09_Relator_type,name_09_Relator_authority_identifier,name_09_type,name_10,name_10_authority,name_10_authority_identifier,name_10_Relator,name_10_Relator_authority,name_10_Relator_type,name_10_Relator_authority_identifier,name_10_type,name_11,name_11_authority,name_11_authority_identifier,name_11_Relator,name_11_Relator_authority,name_11_Relator_type,name_11_Relator_authority_identifier,name_11_type,name_12,name_12_authority,name_12_authority_identifier,name_12_Relator,name_12_Relator_authority,name_12_Relator_type,name_12_Relator_authority_identifier,name_12_type,name_13,name_13_authority,name_13_authority_identifier,name_13_Relator,name_13_Relator_authority,name_13_Relator_type,name_13_Relator_authority_identifier,name_13_type,abstract,publisher,relatedItem,relatedItem_authority,relatedItem_identifier,relatedItem_type,note_ownership,typeOfResource,relatedItem_Project,projectURL
omeka_447,perkins_kff_000,original filename: perkins_090074225.jpg,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/later-years/later-years,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/later-years/cornell,,Invitation to the Inauguration of President Kennedy sent to Frances Perkins,,,,"January 20, 1961",printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,1961-01-20,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,eng,Box 107,Frances Perkins Papers,Washington (D.C.),http://id.loc.gov/authorities/names/n79018774,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,United States. President (1961-1963 : Kennedy),naf,http://id.loc.gov/authorities/names/n79055296,corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,cre,marcrelator,code,http://id.loc.gov/vocabulary/relators/cre,personal,"Foley, Edward H., 1905-1982",naf,http://id.loc.gov/authorities/names/n90646495,ctb,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,code,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Susanna Perkins Coggeshall, 1970",still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136
omeka_446,perkins_yao_001,original filename: perkins_090074224.jpg,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/later-years/later-years,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/later-years/cornell,,Frances Perkins Washington speech on exits in public buildings,First page,,,circa 20 May 1963,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,1963-05-20,,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,eng,Box 133,Frances Perkins Papers,Washington (D.C.),http://id.loc.gov/authorities/names/n79018774,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,cre,marcrelator,code,http://id.loc.gov/vocabulary/relators/cre,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Susanna Perkins Coggeshall, 1970",still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136
omeka_445,perkins_uaq_001,original filename: perkins_090074222.jpg,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration,,,Statement by Mount Holyoke President Mary Wooley on Secretary of Labor Frances Perkins' ancestry and marriage,,,,April 1936,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,1936-04,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,eng,Box 107,Frances Perkins Papers,South Hadley (Mass.),http://id.loc.gov/authorities/names/n91031628,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woolley, Mary Emma, 1863-1947",naf,http://id.loc.gov/authorities/names/n89111706,aut,marcrelator,code,http://id.loc.gov/vocabulary/relators/aut,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mount Holyoke President Mary Wooley presented this statement, probably to the House Judiciary Committee, writing: “As a believer in fair play I respectfully request that your committee investigate … who is responsible for the widespread distribution of these false and evidently maliciously intended statements, which for some unknown reason have been directed at an able, honorable and patriotic public official who has made an exceptional record as an administrator and is generally recognized as the most capable Secretary of Labor in the history of that department.”",,,,,,"Gift of Susanna Perkins Coggeshall, 1973",still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136
omeka_445,perkins_uaq_002,original filename: 090074223.jpg,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration,,,Statement by Mount Holyoke President Mary Wooley on Secretary of Labor Frances Perkins' ancestry and marriage,,,,April 1936,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,1936-04,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,eng,Box 107,Frances Perkins Papers,South Hadley (Mass.),http://id.loc.gov/authorities/names/n91031628,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woolley, Mary Emma, 1863-1947",naf,http://id.loc.gov/authorities/names/n89111706,aut,marcrelator,code,http://id.loc.gov/vocabulary/relators/aut,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mount Holyoke President Mary Wooley presented this statement, probably to the House Judiciary Committee, writing: “As a believer in fair play I respectfully request that your committee investigate … who is responsible for the widespread distribution of these false and evidently maliciously intended statements, which for some unknown reason have been directed at an able, honorable and patriotic public official who has made an exceptional record as an administrator and is generally recognized as the most capable Secretary of Labor in the history of that department.”",,,,,,"Gift of Susanna Perkins Coggeshall, 1973",still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136
omeka_444,perkins_wmu_056,original filename: perkins_090074221.jpg,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/impeachment,,,"House Resolution 67: Resolution for the impeachment of Frances Perkins, Secretary of Labor",Page 56,,,"January 24, 1939",pamphlets,aat,http://vocab.getty.edu/aat/300220572,,,,1939-01-24,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,eng,Box 122,Frances Perkins Papers,Washington (D.C.),http://id.loc.gov/authorities/names/n79018774,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thomas, J. Parnell (John Parnell), 1895-1970",naf,http://id.loc.gov/authorities/names/n2004118617,aut,marcrelator,code,http://id.loc.gov/vocabulary/relators/aut,personal,United States. Congress (76th : 1939-1941),naf,http://id.loc.gov/authorities/names/no93015646,ctb,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,code,corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The formal charge for the impeachment of Frances Perkins, along with two other Labor Department employees, was made by Mr. Thomas of New Jersey, on grounds that they “have failed, neglected, and refused to enforce the … immigration laws of the United States; and have conspired together to violate the immigration laws of the United States; and have defrauded the United States by coddling and protecting from deportation certain aliens illegally within the United States in violation of the statues in such cases made and provided.” First and foremost in the charge is the case of Harry Bridges, here accused of being a member of the Communist Party with intent to overthrow the Government of the United States. This pamphlet contains Perkins’s marginal notes and underlining throughout.",Government Printing Office,,,,,Gift of Frances Perkins,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136
omeka_443,perkins_vhg_001,original filename: perkins_090074218.jpg,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration-and-impeachment,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/impeachment,,"Statement before the House Judiciary Committee in reply to House Resolution 67, Impeachment of Frances Perkins",Pages 1-3,,,"February 8, 1939",manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,1939-02-08,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,eng,"Speeches and Articles Feb. 8, 1939",Frances Perkins Papers,Washington (D.C.),http://id.loc.gov/authorities/names/n79018774,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,United States. Congress (76th : 1939-1941),naf,http://id.loc.gov/authorities/names/no93015646,corporate,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,cre,marcrelator,code,http://id.loc.gov/vocabulary/relators/cre,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This eight-page typescript appears to be the copy that Perkins used in her hearing before the House Judiciary Committee. In conclusion, she stated: “It is because I share the confidence of other Americans in the capacity of our institutions to protect me against injustice that I have satisfaction in the consideration of these charges, and my denial of them … This faith exists and must be confirmed daily by those of us who hold high office so that liberty may not perish from the land.”",,,,,,Gift of Frances Perkins,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136
omeka_443,perkins_vhg_002,original filename: 090074219.jpg,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration-and-impeachment,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/impeachment,,"Statement before the House Judiciary Committee in reply to House Resolution 67, Impeachment of Frances Perkins",Pages 1-3,,,"February 8, 1939",manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,1939-02-08,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,eng,"Speeches and Articles Feb. 8, 1939",Frances Perkins Papers,Washington (D.C.),http://id.loc.gov/authorities/names/n79018774,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,United States. Congress (76th : 1939-1941),naf,http://id.loc.gov/authorities/names/no93015646,corporate,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,cre,marcrelator,code,http://id.loc.gov/vocabulary/relators/cre,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This eight-page typescript appears to be the copy that Perkins used in her hearing before the House Judiciary Committee. In conclusion, she stated: “It is because I share the confidence of other Americans in the capacity of our institutions to protect me against injustice that I have satisfaction in the consideration of these charges, and my denial of them … This faith exists and must be confirmed daily by those of us who hold high office so that liberty may not perish from the land.”",,,,,,Gift of Frances Perkins,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136
omeka_443,perkins_vhg_003,original filename: 090074220.jpg,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/immigration-and-impeachment,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/impeachment,,"Statement before the House Judiciary Committee in reply to House Resolution 67, Impeachment of Frances Perkins",Pages 1-3,,,"February 8, 1939",manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,1939-02-08,,inferred,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,eng,"Speeches and Articles Feb. 8, 1939",Frances Perkins Papers,Washington (D.C.),http://id.loc.gov/authorities/names/n79018774,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,United States. Congress (76th : 1939-1941),naf,http://id.loc.gov/authorities/names/no93015646,corporate,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,cre,marcrelator,code,http://id.loc.gov/vocabulary/relators/cre,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This eight-page typescript appears to be the copy that Perkins used in her hearing before the House Judiciary Committee. In conclusion, she stated: “It is because I share the confidence of other Americans in the capacity of our institutions to protect me against injustice that I have satisfaction in the consideration of these charges, and my denial of them … This faith exists and must be confirmed daily by those of us who hold high office so that liberty may not perish from the land.”",,,,,,Gift of Frances Perkins,still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136
omeka_442,perkins_tbg_001,original filename: perkins_090074216.jpg,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/impeachment,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/impeachment,,"Dismissal of Impeachment Proceedings Against Frances Perkins, Secretary of Labor",Cover and envelope,,,"April 3, 1939",pamphlets,aat,http://vocab.getty.edu/aat/300220572,,,,1939-04-03,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,eng,Box 122,Frances Perkins Papers,Washington (D.C.),http://id.loc.gov/authorities/names/n79018774,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Martin, John Andrew, 1868-1939",,,cre,marcrelator,code,http://id.loc.gov/vocabulary/relators/cre,personal,United States. Congress (76th : 1939-1941),naf,http://id.loc.gov/authorities/names/no93015646,ctb,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,code,corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Printing Office,,,,,"Gift of Susanna Perkins Coggeshall, 1970",still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136
omeka_442,perkins_tbg_001,original filename: perkins_090074216.jpg,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/impeachment,https://exhibitions.cul.columbia.edu/exhibits/show/perkins/immigration---impeachment/impeachment,,"Dismissal of Impeachment Proceedings Against Frances Perkins, Secretary of Labor",Cover and envelope,,,"April 3, 1939",pamphlets,aat,http://vocab.getty.edu/aat/300220572,,,,1939-04-03,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,eng,Box 122,Frances Perkins Papers,Washington (D.C.),http://id.loc.gov/authorities/names/n79018774,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Perkins, Frances, 1880-1965",naf,http://id.loc.gov/authorities/names/n50012858,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Martin, John Andrew, 1868-1939",,,cre,marcrelator,code,http://id.loc.gov/vocabulary/relators/cre,personal,United States. Congress (76th : 1939-1941),naf,http://id.loc.gov/authorities/names/no93015646,ctb,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,code,corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Printing Office,,,,,"Gift of Susanna Perkins Coggeshall, 1970",still image,Frances Perkins: The Woman Behind the New Deal,http://www.columbia.edu/cgi-bin/cul/resolve?lweb0136
