_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,omeka_identifier-1:omeka_identifier_value,note-1:note_type,note-1:note_value,note-2:note_type,note-2:note_value,location-1:location_term.value,location-1:location_term.uri,location-1:location_shelf_location-1.location_shelf_location_free_text,clio_identifier-1:clio_identifier_value,collection-1:collection_term.value,collection-1:collection_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created-1:date_created_key_date,place_of_origin-1:place_of_origin_value,language-1:language_term.value,language-1:language_term.uri,language-1:language_term.authority,language-2:language_term.value,language-2:language_term.uri,language-2:language_term.authority,extent-1:extent_value,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,genre-1:genre_term.value,genre-1:genre_term.uri,genre-1:genre_term.authority,title-1:title_non_sort_portion,title-1:title_sort_portion 1,alternative_title-1:alternative_title_value,alternative_title-2:alternative_title_value,abstract-1:abstract_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.uri,name-1:name_term.authority,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.authority,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.uri,name-2:name_term.authority,name-2:name_role-2.name_role_term.value,name-2:name_role-2.name_role_term.uri,name-2:name_role-2.name_role_term.authority,name-3:name_term.value,name-3:name_term.name_type,name-3:name_term.uri,name-3:name_term.authority,name-3:name_role-3.name_role_term.value,name-3:name_role-3.name_role_term.uri,name-3:name_role-3.name_role_term.authority,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.uri,subject_title-1:subject_title_term.authority,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.authority,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,digital_origin-1:digital_origin_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,restriction_on_access-1:restriction_on_access_value,_project.string_key
RBML_PersianBinding_0033, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,X892.8 P43,,,,ca. 1820-1835 (text) and after ca. 1850 (binding),1820,1851,approximate,TRUE,Iran,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,205 x 165 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Manshaʾ inshāʾ al-kalām,On the Origin of the Essay,,,Tājlī Begom Khānom?,personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000033_01,RBML_PersianBinding_0033,asset,11451,original filename,RBML_PersianBinding_0033.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0033.jpg,,,,,,,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0032, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,X892.8 B472,14734517,, ,13 Rabiʿ II 1231 / 13 March 1816,1816-03-13, ,,TRUE,Iran,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,207 x 140 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Anvār-i Suhaylī,Lights of Canopus,انوار سهيلى,,"Kāshifī, Ḥusayn Vāʻiẓ, -1504 or 1505",personal,http://id.loc.gov/authorities/names/n85026579,naf,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,"Iṣfahānī, Ṣādiq ibn Muḥammad Jaʻfar, active 1816",personal,,,Scribe,http://id.loc.gov/vocabulary/relators/scr,marcrelator,"Cochran, Alexander Smith, 1874-1929",personal,https://id.loc.gov/authorities/names/n84151661,naf,Former Owner,http://id.loc.gov/vocabulary/relators/fmo,marcrelator,,,,,Fables of Bidpai,http://id.worldcat.org/fast/1356793,fast,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,"Fables, Persian",http://id.worldcat.org/fast/919468,fast,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000032_01,RBML_PersianBinding_0032,asset,11450,original filename,RBML_PersianBinding_0032.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0032.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0031, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,X892.8 An8,14734460,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,Late 18th or 19th century,1750,1900,approximate,TRUE,Iran,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,205 x 126 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Dīvān,Collected Poems,ديوان,,"Hātif, Sayyid Aḥmad, -1783 or 1784",personal,http://id.loc.gov/authorities/names/n95109525,naf,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,Persian poetry,http://id.worldcat.org/fast/1058542,fast,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000031_01,RBML_PersianBinding_0031,asset,11449,original filename,RBML_PersianBinding_0031.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0031.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0030, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 350,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,1291 / 1874,1874, ,,TRUE,"Tehran?, Iran",Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,71 x 43 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,Partial Qurʾān,القرآن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000030_01,RBML_PersianBinding_0030,asset,11448,original filename,RBML_PersianBinding_0030.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0030.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0029, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 347,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,1129 / 1716 (text) and 1272 / 1856 (binding),1716,1856,,TRUE,Iran,Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,120 x 75 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,al-Qurʾān,القرآن,,,Karīm Lutf-ʿAlī,personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000029_01,RBML_PersianBinding_0029,asset,11447,original filename,RBML_PersianBinding_0029.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0029.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Inside front doublure (with signature),,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
