_pid,partName,projectURL,_identifiers-1,note-5:note_type,note-3:note_type,note-1:note_type,note-2:note_type,note-2:note_value,note-5:note_value,note-1:note_value,_project.string_key,relatedItem_project,form-2:form_term.uri,extent-1:extent_value,genre-1:genre_term.uri,form-2:form_term.value,genre-1:genre_term.value,title-1:title_sort_portion,language-1:language_term.uri,location-1:location_term.uri,genre-1:genre_term.authority,location-1:location_term.code,_digital_object_type.string_key,language-1:language_term.value,title-1:title_non_sort_portion,location-1:location_term.value,language-1:language_term.authority,location-1:location_term.authority,_parent_digital_objects-1.identifier,date_created-1:date_created_end_value,date_created-1:date_created_start_value,place_of_origin-1:place_of_origin_value,type_of_resource-1:type_of_resource_value,omeka_identifier-1:omeka_identifier_value,date_created_textual-1:date_created_textual_value,use_and_reproduction-1:use_and_reproduction_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,collection-1:collection_term.uri,collection-1:collection_term.value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.name_type,date_created-1:date_created_type,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,abstract-1:abstract_value,clio_identifier-1:clio_identifier_value
 , , , ,holdings,original_format, ,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0033.jpg, ,original filename: RBML_PersianBinding_0033.tif|Public Access, ,School of Wisdom: Persian Bookbinding, ,205 x 165, ,manuscripts,Still Image,Manshaʾ inshāʾ al-kalām. Cover|On the Origin of the Essay. Cover, , ,fast, , ,Persian, ,"Rare Book & Manuscript Library, Columbia University",iso639-2,local, , , ,Iran,Still Image,11451,ca. 1820-1835 (text) and after ca. 1850 (binding),No Copyright - United States,X892.8 P43, , ,,, ,Tājlī Begom Khānom?, , ,approximate, , , ,,
 , , , ,holdings,original_format, ,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0032.jpg, ,original filename: RBML_PersianBinding_0032.tif|Public Access, ,School of Wisdom: Persian Bookbinding, ,207 x 140, ,manuscripts,Still Image,Anvār-i Suhaylī. Cover|Lights of Canopus. Cover|انوار سهيلى, , ,fast, , ,Persian, ,"Rare Book & Manuscript Library, Columbia University",iso639-2,local, , , ,Iran,Still Image,11450,13 Rabiʿ II 1231 / 13 March 1816,No Copyright - United States,X892.8 B472, , , ,Cochran Manuscripts, ,"Kāshifī, Ḥusayn Vāʻiẓ, -1504 or 1505|Sādiq b. Muḥammad Jaʿfar al-Iṣfahānī", , ,, , , ,,
 , , , ,holdings,original_format, ,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0031.jpg, ,original filename: RBML_PersianBinding_0031.tif|Public Access, ,School of Wisdom: Persian Bookbinding, ,205 x 126, ,manuscripts,Still Image,Dīvān. Cover|Collected Poems. Cover|ديوان, , ,fast, , ,Persian, ,"Rare Book & Manuscript Library, Columbia University",iso639-2,local, , , ,Iran,Still Image,11449,Late 18th or 19th century,No Copyright - United States,X892.8 An8, , , ,Smith Oriental Manuscripts, ,"Hātif, Sayyid Aḥmad, -1783 or 1784", , ,approximate, , , ,,
 , , , ,holdings,original_format, ,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0030.jpg, ,original filename: RBML_PersianBinding_0030.tif|Public Access, ,School of Wisdom: Persian Bookbinding, ,71 x 43, ,manuscripts,Still Image,Partial Qurʾān. Cover|القرآن, , ,fast, , ,Arabic, ,"Rare Book & Manuscript Library, Columbia University",iso639-2,local, , , ,"Tehran?, Iran",Still Image,11448,1291 / 1874,No Copyright - United States,Ms Or 350, , , ,Smith Oriental Manuscripts,,,,,,,,,,
 , , , ,holdings,original_format, ,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0029.jpg, ,original filename: RBML_PersianBinding_0029.tif|Public Access, ,School of Wisdom: Persian Bookbinding, ,120 x 75, ,manuscripts,Still Image,al-Qurʾān. Inside front doublure (with signature)|القرآن, , ,fast, , ,Arabic, ,"Rare Book & Manuscript Library, Columbia University",iso639-2,local, , , ,Iran,Still Image,11447,1129 / 1716 (text) and 1272 / 1856 (binding),No Copyright - United States,Ms Or 347, , , ,Smith Oriental Manuscripts, ,Karīm Lutf-ʿAlī, , ,, , , ,,
 , , , ,holdings,original_format, ,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0028.jpg, ,original filename: RBML_PersianBinding_0028.tif|Public Access, ,School of Wisdom: Persian Bookbinding, ,120 x 75, ,manuscripts,Still Image,al-Qurʾān. Cover|القرآن, , ,fast, , ,Arabic, ,"Rare Book & Manuscript Library, Columbia University",iso639-2,local, , , ,Iran,Still Image,11446,1129 / 1716 (text) and 1272 / 1856 (binding),No Copyright - United States,Ms Or 347, , , ,Smith Oriental Manuscripts, ,Karīm Lutf-ʿAlī, , ,, , , ,"It is unclear if this binder should be associated with Lutf-ʿAlī Khān, a prolific painter active in Shiraz between ca. 1850-65. Both artists had an eye for botanical detail, although the present binding uses a simpler ground […]",
 , , , ,holdings,original_format, ,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0027.jpg, ,original filename: RBML_PersianBinding_0027.tif|Public Access, ,School of Wisdom: Persian Bookbinding, ,260 x 160, ,manuscripts,Still Image,al-Qurʾān. Cover|القرآن, , ,fast, , ,Arabic, ,"Rare Book & Manuscript Library, Columbia University",iso639-2,local, , , ,Iraq? (text) and Iran (binding),Still Image,11445,14th century (text) and 17th or 18th century (binding),No Copyright - United States,Ms Or 316, , , ,Smith Oriental Manuscripts,,,,,approximate,,,,,
 , , , ,holdings,original_format, ,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0026.jpg, ,original filename: RBML_PersianBinding_0026.tif|Public Access, ,School of Wisdom: Persian Bookbinding, ,330 x 220, ,manuscripts,Still Image,al-Qurʾān. Inside front doublure|القرآن, , ,fast, , ,Arabic, ,"Rare Book & Manuscript Library, Columbia University",iso639-2,local, , , ,Iran,Still Image,11444,circa 1575-1625,No Copyright - United States,Ms Or 312 - FOLIO, , , ,Smith Oriental Manuscripts, ,Taqī al-Dīn Muḥammad bin Muṭahhar al-Tūsī, , ,approximate, , , ,,
 , , , ,holdings,original_format, ,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0025.jpg, ,original filename: RBML_PersianBinding_0025.tif|Public Access, ,School of Wisdom: Persian Bookbinding, ,330 x 220, ,manuscripts,Still Image,al-Qurʾān. Cover|القرآن, , ,fast, , ,Arabic, ,"Rare Book & Manuscript Library, Columbia University",iso639-2,local, , , ,Iran,Still Image,11443,circa 1575-1625,No Copyright - United States,Ms Or 312 - FOLIO, , , ,Smith Oriental Manuscripts, ,Taqī al-Dīn Muḥammad bin Muṭahhar al-Tūsī, , ,approximate, , , ,,
 , , , ,holdings,original_format, ,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0024.jpg, ,original filename: RBML_PersianBinding_0024.tif|Public Access, ,School of Wisdom: Persian Bookbinding, ,45 x 45, ,manuscripts,Still Image,Qurʾān with Amulet Case. Cover|القرآن, , ,fast, , ,Arabic, ,"Rare Book & Manuscript Library, Columbia University",iso639-2,local, , , ,Iran,Still Image,11442,Late 18th or 19th century,No Copyright - United States,Ms Or 308, , , ,Smith Oriental Manuscripts,,,,,approximate,,,,,
