note-1:note_value,note-1:note_type,_project.string_key,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,title-1:title_sort_portion,alternative_title-1:alternative_title_value,extent-1:extent_value,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,type_of_resource-1:type_of_resource_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,note-2:note_value,note-2:note_type,note-3:note_value,note-4:note_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,location-1:location_term.value,location-1:location_term.uri,digital_origin-1:digital_origin_value,publisher-1:publisher_value,clio_identifier-1:clio_identifier_value,abstract-1:abstract_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_term.value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,date_created-1:date_created_end_value,date_created-1:date_created_type,place_of_origin-1:place_of_origin_value,place_of_origin-2:place_of_origin_value,name-1:name_term.value,name-1:name_term.uri,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.authority,name-2:name_term.value,name-2:name_term.uri,name-2:name_term.authority,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.authority,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.authority,subject_geographic-1:subject_geographic_term.value,_publish_targets-1.string_key,_publish
,,plimpton,item,plimpton_acu_000,,Sententiarum Libri IV,Sententiae,1 page,28,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-3,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,text,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,Gift of George Arthur Plimpton,provenance,,,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton MS 061,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,Second quarter of 13th century,1225,TRUE,1249,,France,,"Peter Lombard, Bishop of Paris, approximately 1100-1160",http://id.loc.gov/authorities/names/n50047672,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,,,,,,,,,,,
plmptn_010_001.jpg,filename,plimpton,asset,plimpton_acu_001,plimpton_acu_000,Page 1 recto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_acv_000,,"Letter to George Arthur Plimpton, December 16, 1935",,1 page,20,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-4,correspondence,http://vocab.getty.edu/aat/300026877,aat,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,,,Plimpton Family Papers,http://id.library.columbia.edu/term/52d332f4-f804-4b5f-8d2f-e94d152e2c05,,,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,"December 16, 1935",1935-12-16,TRUE,,,New York,,"Lamont, Thomas W. (Thomas William), 1870-1948",http://id.loc.gov/authorities/names/n89125998,naf,personal,TRUE,Correspondent,http://id.loc.gov/vocabulary/relators/crp,marcrelator,"Plimpton, George A. (George Arthur), 1855-1936",http://id.loc.gov/authorities/names/n90711393,naf,personal,Addressee,http://id.loc.gov/vocabulary/relators/rcp,marcrelator,Phillips Exeter Academy,http://id.loc.gov/authorities/names/n79122151,naf,corporate,,,,,,,,,,,
plmptn_149_001.jpg,filename,plimpton,asset,plimpton_acv_001,plimpton_acv_000,"Letter to George Arthur Plimpton, December 16, 1935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_age_000,,Summa Arismetice,,pages [137]-138,79,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-5,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,text,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,Gift of George Arthur Plimpton,provenance,,,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton MS 211,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,circa 1522,1520,TRUE,1525,approximate,Italy,,Stefano Di Battista Degli Stefani Of Mercatello,,,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,Business mathematics,http://id.worldcat.org/fast/842780,fast,,,,,,,,
plmptn_043_001.jpg,filename,plimpton,asset,plimpton_age_001,plimpton_age_000,Page 137 verso - page 138 recto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_agh_000,,Course of Elementary Reading in Science and Literature,,pages 6-7,74,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-4,books,http://vocab.getty.edu/aat/300028051,aat,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,Interleaved with author's ms. notes of revisions.,,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton 808.8 1857 M,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,Oliver & Boyd,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,1857,1857,TRUE,,,Edinburgh (Scotland),,"M'Culloch, J. M. (James Melville), 1801-1883",http://id.loc.gov/authorities/names/nb98022268,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,Science,http://id.worldcat.org/fast/1108176,fast,,,,,,,,
plmptn_059_001.jpg,filename,plimpton,asset,plimpton_agh_001,plimpton_agh_000,Page 6-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_ale_000,,Sententiarum Libri IV,,page II,146,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-3,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,text,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,Gift of George Arthur Plimpton,provenance,,,Incunabula,http://id.library.columbia.edu/term/cd159e65-2e5d-4f89-8b38-a5696a90678f,,,,,,,Goff P480,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,Vindelinus de Spira,1638076,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,"March 10, 1477",1477-03-10,TRUE,,,Venice (Italy),,"Peter Lombard, Bishop of Paris, approximately 1100-1160",http://id.loc.gov/authorities/names/n50047672,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,Theology,http://id.worldcat.org/fast/1149559,fast,,,,,,,,
plmptn_044_001.jpg,filename,plimpton,asset,plimpton_ale_001,plimpton_ale_000,Page II recto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
