relatedItem_collection,name,nameType,nameRelator,name_authority,name_authority_identifier,name 2,nameType 2,nameRelator 2,name_authority 2,name_authority_identifier 2,name 3,nameType 3,nameRelator 3,name_authority 3,name_authority_identifier 3,keyDate -_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,item - public,identifier_clio,identifier_omeka,typeOfResource 1,typeOfResource 2,typeOfResource 3,language,location_url_ObjectInContext,Source,citation,physicalLocation,physicalLocation_authority,shelfLocator,shelfLocator 2,sublocation,note,note 2,note_filename,note_filename 2,note_filename 3,note_filename 4,note_filename 5,note_filename 6,note_filename 7,note_filename 8,note_filename 9,note_filename 10,note_filename 11,note_filename 12,digitalOrigin,extent,extent 2,form,form_authority,form 2,form_authority 2,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,note_relatedItem,subject_topic,subject_topic_authority,subject_topic_authority_identifer,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,title_nonsort,title1,identifier_title,partName,title2,title2_type
,"Williamson, Charles C. (Charles Clarence), 1877-1965",,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1933-05-08 ,,ex,"May 8, 1933",,0,1,,6135,Still Image,,,eng,,,,nnc-rb,,,,,Original filename: WilliamsonLetter.jpg,,WilliamsonLetter.jpg,,,,,,,,,,,,rd,1 page,,manuscripts,,,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,"Gift of George Arthur Plimpton
",,eng,,,,,,,,,,,,,,,,,,,,,"Letter to George Arthur Plimpton, May 8, 1933",,,,
,"Lily, William, 1468?-1522",,,,,,,,,,,,,,,1638 ,,ex,1638,,0,1,,82,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-3,,,nnc-rb,,Plimpton 470 1638 L62 (STC 15630.1),,,original filename: plmptn_048_001,,plmptn_048_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,Cambridge,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Printed by Thomas Buck and RoGerman Daniel,eng,,Latin language--Grammar,,,,,,,,,,,,,,,,,,,Short Introduction of Grammar Generally to be used: Compiled and set forth for the bringing up of all those that intend to attain to the knowledge of the Latine tongue,,,,
Plimpton ,"Dean, Henry, 1788-1849",,,,,,,,,,,,,,,1808 ,,ex,1808,,0,1,CLIO id: 1834578,106,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-3,,,nnc-rb,,Plimpton A091 1808 D345,,,original filename: plmptn_072_001,,plmptn_072_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,New-York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,"Published for the Author, and sold by Hopkins & Bayard",eng,,Penmanship,,,,,,,,,,,,,,,,,,,"Dean’s Recently Improved Analytical Guide, to the Art of Penmanship",,,,
Plimpton ,"Ellis, Alexander John, 1814-1890",,,,,,,,,,,,,,,1846 ,,ex,1846,,0,1,,107,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-4,,,nnc-rb,,Plimpton 808.8 1846,,,original filename: plmptn_061_001,,plmptn_061_001.jpg,,,,,,,,,,,,rd,cover,1 image,books,,,,Lundun,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Izac Pitman,eng,,Phonetics,,,,,,,,,,,,,,,,,,,"Fonotipic instructur, or, Furst rediu buc for adults hw hav nevur ben tot tw red",,,Furst rediu buc for adults hw hav nevur ben tot tw red,
Plimpton ,"Neudörffer, Johann, 1497-1563",,,,,,,,,,,,,,,,,ex,,,0,1,,108,,,,ger,,,,nnc-rb,,MS 209,,,original filename: plmptn_086_001,,plmptn_086_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,,,eng,,Mathematics,,,,,,,,,,,,,,,,,,,Rechenbüchlein ,,,,
Plimpton Historical Papers,"Maria Carolina, Queen, consort of Ferdinand I, King of the Two Sicilies, 1752-1814",,,,,,,,,,,,,,,1761-09-02 ,,ex,"September 2, 1761",,0,1,,109,,,,fre,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-3,,,nnc-rb,,,,,"original filename: plmptn_157_001
",,plmptn_157_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,Vienna,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Penmanship,,,,,,,,,,,,,,,,,,,Writing exercise,,,Je fais chaque jour…,
Incunabula ,"Pellos, Francesco",,,,,,,,,,,,,,,1492-09-28 ,,ex,"September 28, 1492",,0,1,CLIO id: 1638085,110,,,,ita,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-5,,,nnc-rb,,Incunabula Goff P-260 (Plimpton 511 1492),,,original filename: plmptn_034_001,,plmptn_034_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,Turin,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Nicolaus de Benedictis and Jacobinus Suigus,eng,,Mathematics,,,,,,,,,,,,,,,,,,,Compendio de lo Abaco ,,,,
,"Beau-Chesne, Jehan de",,,,,"Baildon, John",,,,,,,,,,1570 ,,ex,1570,,0,1,CLIO id: 6182997,111,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-1,,,nnc-rb,,Plimpton 092 1570 B38 (STC 6446),,,original filename: plmptn_063_001,,plmptn_063_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Imprinted by Thomas Vautrouillier,eng,,Penmanship,,,,,,,,,,,,,,,,,,,"Booke Containing Divers Sortes of Hands, as well the English as French Secretarie with the Italian, Roman, Chancelry & Court Hands",,,,
Plimpton ,"Gould, Nathaniel D. (Nathaniel Duren), 1781-1864",,,,,,,,,,,,,,,1822 ,,ex,1822,,0,1,CLIO id: 1828250,112,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-4,,,nnc-rb,,Plimpton A091 1822 G73,,,original filename: plmptn_074_001,,plmptn_074_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,Boston,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Annin & Smith,eng,,Penmanship,,,,,,,,,,,,,,,,,,,"Penmanship, or, The Beauties of Writing Exemplified in a Variety of Specimens, Practical and Ornamental ",,,,
Plimpton ,"Moore, Frances M.",,,,,,,,,,,,,,,1926 ,,ex,1926,,0,1,CLIO id: 1808875,113,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-5,,,nnc-rb,,Plimpton A090.1 1926 M78,,,original filename: plmptn_078_001,,plmptn_078_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,"Boston, New York",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Ginn & Company,eng,,Penmanship,,,,,,,,,,,,,,,,,,,Handwriting for the broad-edge pen : a teachers' manual,,,,
Plimpton,G. D. ,,,,,,,,,,,,,,,1656 ,,ex,1656,,0,1,CLIO id: 6183006,114,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-2,,,nnc-rb,,Plimpton 092 1656 D11,,,original filename: plmptn_067_001,,plmptn_067_001.jpg,,,,,,,,,,,,rd,1 pages,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Printed for J. Stafford,eng,,Penmanship,,,,,,,,,,,,,,,,,,,Directions for Writing. Set Forth for the Benefit of Poore Schollers,,,,
Plimpton,,,,,,,,,,,,,,,,1525 1575,,ap,Mid 16th century,,0,1,,115,,,,ita,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/mathematics/page-3,,,nnc-rb,,Plimpton MS 219,,,original filename: plmptn_088_001,,plmptn_088_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,"Florence, Italy",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Mathematics,,,,,,,,,,,,,,,,,,,Trattato d’Aritmetica Mercantile ,,,,
