identifier_omeka,item - public,item - featured,keyDate_start,form,dateQualifier,digitalOrigin,physicalLocation,place,languageOfCataloging,title,name_primary,abstract,publisher,language,note_filename,form_originalFormat,relatedItem_Project
4780,1,0,1679,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,The Mariners Magazine,"Sturmy, Samuel, 1633",A dialling scale. ,"Anne Godbid for William Fisher, Edward Thomas, Robert Boulter, Thomas Passinger, Ralph Smith, and Richard Northcot. ",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027047,Still Image,"Political Ecologies in the Renaissance
"
4779,1,0,1679,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,The Mariners Magazine,"Sturmy, Samuel, 1633",A mathematical ruler. The ruler is inserted at the beginning of the first book. ,"Anne Godbid for William Fisher, Edward Thomas, Robert Boulter, Thomas Passinger, Ralph Smith, and Richard Northcot. ",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027046,Still Image,"Political Ecologies in the Renaissance
"
4778,1,0,1679,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,A Compendium of Fortification reprinted in Samuel Sturmy's The Mariners Magazine,"Staynred, Philip, 1635-1648",A cross-section of a fort. ,"Anne Godbid for William Fisher, Edward Thomas, Robert Boulter, Thomas Passinger, Ralph Smith, and Richard Northcot. ",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027045,Still Image,"Political Ecologies in the Renaissance
"
4777,1,0,1679,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,A Compendium of Fortification reprinted in Samuel Sturmy's The Mariners Magazine,"Staynred, Philip, 1635-1648","""A Scale of Fortification,"" a mathematical ruler used in the construction of forts. ","Anne Godbid for William Fisher, Edward Thomas, Robert Boulter, Thomas Passinger, Ralph Smith, and Richard Northcot. ",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027044,Still Image,"Political Ecologies in the Renaissance
"
4776,1,0,1621,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",Frankfurt,English,Narratio in Johannes Kepler's Mysterium Cosmographicum,"Rheticus, Georg Joachim, 1514-1574",An illustration depicting the heliocentric universe. ,Godfrey Tampach and Erasmus Kempfer,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027043,Still Image,"Political Ecologies in the Renaissance
"
4775,1,0,1694,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,"A Prognostication for Ever, Made by Erra Pater, a Jew, born in Jewry, Doctor in Astronomy and Physick: Very Profitable to keep the Body in health. And also Ptolomeus saith the same. Together with the Fairs and High-Ways, and several new Additions","Pater, Erra",The Cover of the 1694 A Prognostication for euer,"Thomas Basset, Richard Chiswel, Samuel Smith, Benjamin Walford, and George Conyers",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027042,Still Image,"Political Ecologies in the Renaissance
"
4774,1,0,1694,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,A Prognostication for Ever,"Pater, Erra",Formulae for bills and obligations.,"Thomas Basset, Richard Chiswel, Samuel Smith, Benjamin Walford, and George Conyers",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027041,Still Image,"Political Ecologies in the Renaissance
"
4773,1,0,1694,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,"A Prognostication for Ever, Made by Erra Pater, a Jew, born in Jewry, Doctor in Astronomy and Physick: Very Profitable to keep the Body in health. And also Ptolomeus saith the same. Together with the Fairs and High-Ways, and several new Additions","Pater, Erra",A catalogue of the highway distances between cities in England.,"Thomas Basset, Richard Chiswel, Samuel Smith, Benjamin Walford, and George Conyers",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027040,Still Image,"Political Ecologies in the Renaissance
"
4772,1,0,1694,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,"A Prognostication for Ever, Made by Erra Pater, a Jew, born in Jewry, Doctor in Astronomy and Physick: Very Profitable to keep the Body in health. And also Ptolomeus saith the same. Together with the Fairs and High-Ways, and several new Additions","Pater, Erra",A catalogue of the fairs in England and Wales. ,"Thomas Basset, Richard Chiswel, Samuel Smith, Benjamin Walford, and George Conyers",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027039,Still Image,"Political Ecologies in the Renaissance
"
4771,1,0,1694,books,exact,Reformatted Digital,"Rare Book and Manuscript Library, Columbia University",London,English,"A Prognostication for Ever, Made by Erra Pater, a Jew, born in Jewry, Doctor in Astronomy and Physick: Very Profitable to keep the Body in health. And also Ptolomeus saith the same. Together with the Fairs and High-Ways, and several new Additions","Pater, Erra","A table designed to help the reader calculate 6% interest on any sum of money from 1 shilling to 1 pound, from a day to a year.","Thomas Basset, Richard Chiswel, Samuel Smith, Benjamin Walford, and George Conyers",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=politic_eco_110027038,Still Image,"Political Ecologies in the Renaissance
"
