relatedItem_collection,relatedItem_collection 2,name,nameType,nameRelator,name_authority,name_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,dateCreated 2,abstract,item - public,item - featured,identifier_clio,identifier_omeka,typeOfResource 1,typeOfResource 2,typeOfResource 3,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,physicalLocation 2,shelfLocator,shelfLocator 2,sublocation,note_filename,note_filename 2,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,Source 1,Source 2,Coverage,accessCondition,accessCondition 2,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_title,subject_title_authority,subject_title_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,title_nonsort,title1,partName,identifier_title,title2_nonsort,title2,title2_type
,World Papers,"W. Kurtz, New York",,,,,1889,,ex,1889,1889,,1,0,,6681,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family,nnc-rb,,"World Papers, Box 10",,,,Pulitzer Youngest Children 006.jpg,,rd,,Photograph,,,Photograph,"New York, New York",,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,,,,,,,,,,,,,,,,,,,,,,,,,,"Photograph of Edith Louise and Joseph Pulitzer, Jr.",,,,,
,,"Seitz, Don C.",,,,,,,ex,1924,1924,,1,0,,6601,Still Image,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-biographies/pulitzer-biographies,nnc-rb,,,,,,Seitz Biography.jpg,,rd,,,,,,New York,,,Joseph Pulitzer and The World,,,New York: Simon & Schuster,eng,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Pulitzer His Life & Letters,,,,,
,Pulitzer,"Barrett, James W.",,,,,,,ex,1931,1931,,1,0,,6600,Still Image,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-end-of-the-world/end-and-demolition,nnc-rb,,,,Box 60,World Papers,End_of_the_World1.jpg,,rd,,,,,,New York,,,Joseph Pulitzer and The World,,,New York: Harper & Brothers,eng,,,,,,,,,,,,,,,,,,,,,,,,,,The End of The World,,,,,
,,,,,,,,,ex,1873,1873,Photograph of Joseph and Albert Pulitzer,1,0,,6499,Still Image,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family,pvt-coll,,,,,,joseph & albert1.jpg,,rd,Photograph of Joseph and Albert Pulitzer,,,,,New York,,,Joseph Pulitzer and The World,,,,eng,St. Louis Post-Dispatch,,,St. Louis Post-Dispatch,St. Louis Post-Dispatch,,,,,,,,,,,,,,,,,,,,,Joseph and Albert Pulitzer,,,,,
,,"Morris, James McGrath",,,,,,,ex,,,,1,0,,6498,Still Image,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-biographies/pulitzer-biographies,nnc-rb,,,,,,Pulitzer Morris DJ.jpg,,rd,,,,,,New York,,,Joseph Pulitzer and The World,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,,"Pulitzer, A Life in Politics, Print, and Power",,,,,
,,"Sargent, John Singer",,,,,,,ex,"June, 1905","June, 1905",,1,0,,6497,Still Image,Original Format: Oil painting,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/pulitzer-family/family-portraits,pvt-coll,,,,,,Sargent Portrait.jpg,,rd,Portrait of Joseph Pulitzer,,,,Still Image,,,,Joseph Pulitzer and The World,,"Photography: Jean Paul Torno
Private Collection",Photography: Jean Paul Torno,eng,"Private, permission granted for use ONLY in this Pulitzer Omeka exhibition. Contact Jenny Lee for more information.",,,Private,Private Collection,,,,,,,,,,,,,,,,,,,,,Portrait of Joseph Pulitzer,,,,,
,,,,,,,,,ex,1955,,"Photograph of World Building interior showing stained glass window ""Liberty Lighting the World""",1,0,,6496,Still Image,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-end-of-the-world/end-and-demolition,pvt-coll,,,,,,World bldg inside1.jpg,,rd,"Photograph of World Building interior showing stained glass window ""Liberty Lighting the World""",,,,,,,,Joseph Pulitzer and The World,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,,World Building interior,,,,,
,,,,,,,,,ex,1912,1912,"Photograph of the Dedication of the Columbia School of Journalism, Nicholas Murray Butler and bust of Joseph Pulitzer by August Rodin",1,0,,6495,Still Image,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/philanthropy/school-of-journalism,nnc-ua,,University Archives,,,,Rodin Bust and officials1.jpg,,rd,"Photograph of the Dedication of the Columbia School of Journalism, Nicholas Murray Butler and bust of Joseph Pulitzer by August Rodin",,,,Still Image,,,,Joseph Pulitzer and The World,,,,eng,University Archives,,,,,,,,,,,,,,,,,,,,,,,,,Dedication of the Columbia School of Journalism,,,,,
,,,,,,,,,ex,1955,1955,"Photograph of the Opening of the Cornerstone Box, World Building",1,0,,6494,Still Image,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-end-of-the-world/end-and-demolition,pvt-coll,,"Library of Congress, New York World-Telegram & Sun Collection",,,,Cornerstone box opening2.jpg,,rd,"Photograph of the Opening of the Cornerstone Box, World Building",,,,Still Image,,,,Joseph Pulitzer and The World,,"Library of Congress, New York World-Telegram & Sun Collection",,eng,,,,"Library of Congress, New York World-Telegram & Sun Collection","Library of Congress, New York World-Telegram & Sun Collection",,,,,,,,,,,,,,,,,,,,,Opening of the Cornerstone Box,,,,,
,,"Heinigke & Bowen, New York",,,,,,,ex,1889,,"Stained glass window created for World Building, ""Liberty Lighting the World""",1,0,,6493,Still Image,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/world-building-window,pvt-coll,,"World Room, Journalism School",,,,World Room stained glass window3.jpg,,rd,,,,,Still image,,,,Joseph Pulitzer and The World,,Eileen Barroso,,eng,Eileen Barroso,,,Eileen Barroso,Eileen Barroso,,,,,,,,,,,,,,,,,,,,,World Room Window Journalism,,,,,
,,,,,,,,,,"January, 1910",,,1,0,,3015,Still Image,Original Format: Printed pamphlet,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/politics/panama-canal-libel-case,,,,Box 12,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018090,,,,,,,,,,,Joseph Pulitzer and The World,,Gift of Mrs. Ann Satterthwaite,,,Speer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1910-01,,"Circuit Court of the United States, Southern District of New York, United States of America v. Press Publishing Company, Indictment for Publishing a Libel",,,,,
,,,,,,,,,,"January, 1910",,,1,0,,3014,Still Image,Original Format: Drawing,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/politics/panama-canal-libel-case,,,,,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018089,,,,,,,,,,,Joseph Pulitzer and The World,,Gift of Mrs. Ann Satterthwaite,,,Speer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1910-01,,"Pen and ink drawing, inscribed to Speer",,,,,
,,,,,,,,,,"1911, November 2",,,1,0,,3013,Still Image,"Original Format: Typed letter, signed",,,,,,,Box 56,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018088,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1911-11-02,,"Typescript, carbon, letter to Editors, New York World",,,,,
,,,,,,,,,,"1911, November 2",,,1,0,,3012,Still Image,"Original Format: Typed letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-end-of-the-world/death-of-joseph-pulitzer,,,,Box 56,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018087,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1911-11-02,,"Typed letter, signed, to Mr. Thwaites, enclosing letter to Editors",,,,,
,,,,,,,,,,"November 6, 1886",,,1,0,,3011,Still Image,Original Format: Magazine Tearsheet,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-statue-of-liberty/statue-of-liberty,,,,,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018086,,,,,,,,,,,Joseph Pulitzer and The World,,,,,"Columbia University, Rare Book & Manuscript Library",,New York,,,,,,,,,,,,,,,,,,,,,1886-11-06,,Harpers Weekly illustration Dedication of Statue of Liberty,,,,,
