item - itemId,item - public,item - featured,item - MODS - Notes 1,item - MODS - Notes 2,item - MODS - Notes 3,item - MODS - Notes 4,item - DublinCore - Date,item_-_MODS_-_KeyDate_-_Single_Start,item_-_MODS_-_KeyDate_-_End,item - MODS - TypeofDate,item - MODS - PublicationDate,item - MODS - FormGenre,item_-_MODS_-_FormGenre_-_authority,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - LanguageofCataloging,item - MODS - Collection,item - MODS - ShelfLocation,item - MODS - PhysicalDescription 1,item - MODS - PhysicalDescription 2,item - DublinCore - Language 1,item - DublinCore - Language 2,item_-_MODS_-_PlaceofOrigin,item_-_MODS_-_PlaceofOrigin_-_Authority_-_Identifier,item_-_MODS_-_PlaceofOrigin_1,item_-_MODS_-_PlaceofOrigin_1_-_Authority_-_Identifier,item_-_MODS_-_PlaceofOrigin_2,item_-_MODS_-_PlaceofOrigin_2_-_Authority_-_Identifier,item - MODS - PublicationPlace,item - AdditionalItemMetadata - SpatialCoverage,item_-_AdditionalItemMetadata_-_SpatialCoverage_-_Authority_-_Identifier,item_-_AdditionalItemMetadata_-_SpatialCoverage_1,item_-_AdditionalItemMetadata_-_SpatialCoverage_1_-_Authority_-_Identifier,Subject_-_Topic,Subject_-_Topic_-_Authority,Subject_-_Topic_-_Authority_-_Identifier,Subject_1_-_Topic,Subject_1_-_Topic_-_Authority,Subject_1_-_Topic_-_Authority_-_Identifier,Subject_-_Name,Subject_-_Name_-_Authority,Subject_-_Name_-_Authority_-_Identifier,Subject_-_Geographic,Subject_-_Geographic_-_Authority,Subject_-_Geographic_-_Authority_-_Identifier,item - DublinCore - Title - Work,item_-_DublinCore_-_Title_-_Work_-_Identifier,item - DublinCore - Title - Part,item_-_DublinCore_-_Creator_1,item_-_DublinCore_-_Creator_1_-_Authority,item_-_DublinCore_-_Creator_1_-_Authority_-_Identifier,item - DublinCore - Creator 2,item - DublinCore - Creator 3,item - DublinCore - Contributor 1,item_-_DublinCore_-_Contributor_1_-_Authority,item_-_DublinCore_-_Contributor_1_-_Authority_-_Identifier,item - DublinCore - Contributor 2,item_-_DublinCore_-_Contributor_2_-_Authority,item_-_DublinCore_-_Contributor_2_-_Authority_-_Identifier,item - DublinCore - Contributor 3,item_-_DublinCore_-_Contributor_3_-_Authority,item_-_DublinCore_-_Contributor_3_-_Authority_-_Identifier,item - DublinCore - Description 1,item - DublinCore - Description 2,item - DublinCore - Identifier,item - DublinCore - Publisher 1,item - DublinCore - Publisher 2,item - OriginalFileLoadedIntoOmeka 1,item - OriginalFileLoadedIntoOmeka 2,item - OriginalFileLoadedIntoOmeka 3,item - OriginalFileLoadedIntoOmeka 4,item - OriginalFileLoadedIntoOmeka 5,item - OriginalFileLoadedIntoOmeka 6,item - OriginalFileLoadedIntoOmeka 7,item - OriginalFileLoadedIntoOmeka 8,item - AdditionalItemMetadata - Provenance,item - AdditionalItemMetadata - Citation,item - ItemType,item - ItemType - text,item_-_MODS_-_PhysicalDescription,item_in_context,item_-_OmekaCollection_-_nonSort,item - OmekaCollection
006170,1,0,"References: The firman's French translation has been published in: A. Hamilton and F. Richard, André du Ryer and Oriental Studies in Seventeenth-Century France, London, 2004, p. 132;
H. Busse et al., ""Farmān,” in: Encylopaedia of Islam, 2nd ed., 2, 1965, pp. 803-896;
B. Fragner, “Farmān,” in: Encyclopaedia Iranica 9/3, 1999, pp. 282-295
A. H. Groot, ”Murād IV,” in: Encylopaedia of Islam, 2nd ed., 7, 1993, pp. 597-599;
Gladys Frantz-Murphy, ""Identity and Security in the Mediterranean World ca. AD 640- ca. AD 1517,"" in: Proceedings of the Twenty-Fifth International Congress of Papyrology, Ann Arbor 2007, Ann Arbor, Mich. 2010, pp. 253-264",,,,1649,1649,,,1649,books,aat,reformatted digital,NyNyCBL,eng,McAlpin Collection of British History and Theology,1649 M21,,,eng,ota,Istanbul (Turkey),http://id.loc.gov/authorities/names/n79034985,,,,,London,Ottoman Empire,,France,http://id.loc.gov/authorities/names/n79006404,France--Foreign relations--Turkey,lcsh,http://id.loc.gov/authorities/subjects/sh2008115089,,,,"Du Ryer, André, approximately 1580-approximately 1660",naf,http://id.loc.gov/authorities/names/n86080587,,,,Alcoran Of Mahomet,ama_001,Preface: a translation of the command of the grand Seignior concerning Mr. Malezair,"Murad IV, Sultan of the Turks, 1612-1640",naf,http://id.loc.gov/authorities/names/n85355791,,,"Du Ryer, André, approximately 1580-approximately 1660",naf,http://id.loc.gov/authorities/names/n86080587,"Ross, Alexander, 1591-1654",naf,http://id.loc.gov/authorities/names/n84184693,,,,"Safe conduct for André du Ryer, translator at the French mission in Istanbul and ambassador extraordinary of the Ottoman sultan Murad IV (r. 1623-1640), dated 30 Dhū al-Ḥijja 1041 / 17 July 1632",,CLIO id: 4541917,s.n.,,a1b3d593be692a78d7a7703755995a05.jpg,92ca7fe9a2d1078c452496cb832cd436.jpg,,,,,,,,,Still Image,Original Format: book,Physical Dimensions: 20 x 15 cm,https://exhibitions.cul.columbia.edu/exhibits/show/quran/circulation/firman,The,Quran in East and West: Manuscripts and Printed Books
,,,"References: The firman's French translation has been published in: A. Hamilton and F. Richard, André du Ryer and Oriental Studies in Seventeenth-Century France, London, 2004, p. 132;
H. Busse et al., ""Farmān,” in: Encylopaedia of Islam, 2nd ed., 2, 1965, pp. 803-896;
B. Fragner, “Farmān,” in: Encyclopaedia Iranica 9/3, 1999, pp. 282-295
A. H. Groot, ”Murād IV,” in: Encylopaedia of Islam, 2nd ed., 7, 1993, pp. 597-599;
Gladys Frantz-Murphy, ""Identity and Security in the Mediterranean World ca. AD 640- ca. AD 1517,"" in: Proceedings of the Twenty-Fifth International Congress of Papyrology, Ann Arbor 2007, Ann Arbor, Mich. 2010, pp. 253-264",,,,1649,1649,,,1649,books,aat,reformatted digital,NyNyCBL,eng,McAlpin Collection of British History and Theology,1649 M21,,,eng,ota,Istanbul (Turkey),http://id.loc.gov/authorities/names/n79034985,,,,,London,Ottoman Empire,,,http://id.loc.gov/authorities/names/n79006404,France--Foreign relations--Turkey,lcsh,http://id.loc.gov/authorities/subjects/sh2008115089,,,,"Du Ryer, André, approximately 1580-approximately 1660",naf,http://id.loc.gov/authorities/names/n86080587,,,,Alcoran Of Mahomet,ama,,"Murad IV, Sultan of the Turks, 1612-1640",naf,http://id.loc.gov/authorities/names/n85355791,,,"Du Ryer, André, approximately 1580-approximately 1660",naf,http://id.loc.gov/authorities/names/n86080587,"Ross, Alexander, 1591-1654",naf,http://id.loc.gov/authorities/names/n84184693,,,,"Safe conduct for André du Ryer, translator at the French mission in Istanbul and ambassador extraordinary of the Ottoman sultan Murad IV (r. 1623-1640), dated 30 Dhū al-Ḥijja 1041 / 17 July 1632",,CLIO id: 4541917,s.n.,,,,,,,,,,,,Still Image,Original Format: book,Physical Dimensions: 20 x 15 cm,,The,Quran in East and West: Manuscripts and Printed Books
006169,1,0,"The note is dated 9 June 1868, and was written by Tillman C. Howbridge, an American missionary, in Istanbul. Howbridge recorded that he had received this Quran manuscript from his Turkish teacher Arif Bey, when he was living in Erzurum, in eastern Anatolia while Howbridge's Turkish teacher could not give him an approximate date for the manuscript, a Turkish acquaintance told him in Istanbul that the manuscript was about 300 years old",,,,"manuscript note - 9 June 1868, manuscript - between 1600 and 1800",1868-06-09,,,,manuscripts,lcsh,reformatted digital,NyNyCBL,eng,Arabic manuscripts collection,Burke Arabic MS 3,piece of paper pasted into the cover of Burke Arabic MS 3,,eng,,Constantinople,http://id.loc.gov/authorities/names/n82089311,,,,,,Arab provinces of the Ottoman Empire,,,,Qurʼan--Publication and distribution,lcsh,http://id.loc.gov/authorities/subjects/sh85072980,,,,,,,,,,Qur'an,qur_001,"Cover, inside front cover note","Howbridge, Tillman C.",,,,,,,,,,,,,,Contains information on Qur'an circulation: Information about the previous owner and the approximate age of Qur'an manuscript.,,CLIO id: 4488501,,,6f0e316f57c9ebacb62860fe8322135f.jpg,,,,,,,,"In the bottom right corner, there is a second note, dated 20 May 1883 and stating that Howbridge's nephew - his name is illegible - sold the Quran manuscript to the library of Union Theological Seminary",unpublished,Still Image,Original Format: book with envelope binding,Physical Dimensions: 27 x 18 cm (board),https://exhibitions.cul.columbia.edu/exhibits/show/quran/circulation/gift,The,Quran in East and West: Manuscripts and Printed Books
,,,"The note is dated 9 June 1868, and was written by Tillman C. Howbridge, an American missionary, in Istanbul. Howbridge recorded that he had received this Quran manuscript from his Turkish teacher Arif Bey, when he was living in Erzurum, in eastern Anatolia while Howbridge's Turkish teacher could not give him an approximate date for the manuscript, a Turkish acquaintance told him in Istanbul that the manuscript was about 300 years old",,,,"manuscript note - 9 June 1868, manuscript - between 1600 and 1800",1868-06-09,,,,manuscripts,lcsh,reformatted digital,NyNyCBL,eng,Arabic manuscripts collection,Burke Arabic MS 3,piece of paper pasted into the cover of Burke Arabic MS 3,,eng,,Constantinople,http://id.loc.gov/authorities/names/n82089311,,,,,,Arab provinces of the Ottoman Empire,,,,Qurʼan--Publication and distribution,lcsh,http://id.loc.gov/authorities/subjects/sh85072980,,,,,,,,,,Qur'an,qur,,"Howbridge, Tillman C.",,,,,,,,,,,,,,Contains information on Qur'an circulation: Information about the previous owner and the approximate age of Qur'an manuscript.,,CLIO id: 4488501,,,,,,,,,,,"In the bottom right corner, there is a second note, dated 20 May 1883 and stating that Howbridge's nephew - his name is illegible - sold the Quran manuscript to the library of Union Theological Seminary",unpublished,Still Image,Original Format: book with envelope binding,Physical Dimensions: 27 x 18 cm (board),,The,Quran in East and West: Manuscripts and Printed Books
006168,1,0,,,,,undated (between 1850 and 1899),1850,1899,inferred,,books,aat,reformatted digital,NyNyCBL,eng,Burke [UTS] Union Rare,OT40 1800+,,,ara,,Iran,http://id.loc.gov/authorities/names/n79039880,,,,,,,,,,Islam--Sacred books,lcsh,http://id.loc.gov/authorities/subjects/sh2007007128,,,,,,,,,,Qur'an,qux_000,Cover,,,,,,,,,,,,,,,Blind-tooled leather binding with flap,,CLIO id: 4584023,,,bdce187eff9ced097aae381857e088fa.jpg,,,,,,,,Presented to the library of Union Theological Seminary by the children of Henry Preserved Smith (1847-1927). The UTS library stamp is dated 20 February 1935.,unpublished,Still Image,Original Format: printed book with envelope binding,Physical Dimensions: 19 x 12 cm (board),https://exhibitions.cul.columbia.edu/exhibits/show/quran/qurans/bindings,The,Quran in East and West: Manuscripts and Printed Books
006167,1,0,,,,,undated (between 1850 and 1899),1850,1899,inferred,,books,aat,reformatted digital,NyNyCBL,eng,Burke [UTS] Union Rare,OT40 1800+,,,ara,,Iran,http://id.loc.gov/authorities/names/n79039880,,,,,,,,,,Islam--Sacred books,lcsh,http://id.loc.gov/authorities/subjects/sh2007007128,,,,,,,,,,Qur'an,qux_001,Cover and flap,,,,,,,,,,,,,,,Blind-tooled leather binding with flap,,CLIO id: 4584023,s.n.,,4503df0909828b99c232765cf55ccbda.jpg,,,,,,,,Presented to the library of Union Theological Seminary by the children of Henry Preserved Smith (1847-1927). The UTS library stamp is dated 20 February 1935.,,Still Image,Original Format: printed book with envelope binding,Physical Dimensions: 19 x 35 cm (complete binding),https://exhibitions.cul.columbia.edu/exhibits/show/quran/qurans/bindings,The,Quran in East and West: Manuscripts and Printed Books
006166,1,0,,,,,1849 to 1850 (1266 HIJRA),1849,1850,,,manuscripts,lcsh,reformatted digital,NyNyCBL,eng,Arabic manuscripts collection,Burke Arabic MS 5,,,ara,,Ottoman Empire,http://id.loc.gov/authorities/names/n80070818,,,,,,Ottoman Empire,,,,Islam--Sacred books,lcsh,http://id.loc.gov/authorities/subjects/sh2007007128,,,,,,,,,,Quran,quu_001,Front cover,,,,,,Muṣṭafā Ṣifat al-Qunawī,,,,,,,,,Blind-tooled and gilt-painted leather binding with flap,,CLIO id: 4488501,,,a40d645c900ebcd702a20e4bc3e4c4d4.jpg,,,,,,,,,"M. Krek, ""Islamic Manuscripts in North American Libraries: Part 5 - Union Theological Seminary Library,"" MELA Notes, no. 36 (Fall 1985), p. 4 s.v. 2",Still Image,Original Format: book with envelope binding,Physical Dimensions: 18 x 12 cm (board),https://exhibitions.cul.columbia.edu/exhibits/show/quran/qurans/bindings,The,Quran in East and West: Manuscripts and Printed Books
006165,1,0,,,,,1849-1850 (1266 HIJRA),1849,1850,,,manuscripts,lcsh,reformatted digital,NyNyCBL,eng,Arabic manuscripts collection,Burke Arabic MS 5,,,ara,,Ottoman Empire,http://id.loc.gov/authorities/names/n80070818,,,,,,Ottoman Empire,,,,Islam--Sacred books,lcsh,http://id.loc.gov/authorities/subjects/sh2007007128,,,,,,,,,,Quran,quu_000,Cover and flap,,,,,,Muṣṭafā Ṣifat al-Qunawī,,,,,,,,,Blind-tooled and gilt-painted leather binding with flap,,CLIO id: 4488501,,,1861cdcdbea06181cc448e6901118463.jpg,,,,,,,,,"M. Krek, ""Islamic Manuscripts in North American Libraries: Part 5 - Union Theological Seminary Library,"" MELA Notes, no. 36 (Fall 1985), p. 4 s.v. 2",Still Image,Original Format: book with envelope binding,Physical Dimensions: 18 x 35 cm (complete binding),https://exhibitions.cul.columbia.edu/exhibits/show/quran/qurans/bindings,The,Quran in East and West: Manuscripts and Printed Books
006164,1,0,,,,,undated (between 1600 and 1800),1600,1800,inferred,,manuscripts,lcsh,reformatted digital,NyNyCBL,eng,Arabic manuscripts collection,Burke Arabic MS 3,,,ara,,Anatolia or Syria,,,,,,,Arab provinces of the Ottoman Empire,,,,Islam--Sacred books,lcsh,http://id.loc.gov/authorities/subjects/sh2007007128,,,,,,,,,,Quran,qun_001,Front cover,,,,,,,,,,,,,,,Blind-tooled leather binding with flap,,CLIO id: 4488501,,,bfbc5c5a2b67eaa6d824ce48e4b5da50.jpg,,,,,,,,Purchased in May 1883 from the nephew of the American missionary Tillman C. Howbridge for the library of Union Theological Seminary,"M. Krek, ""Islamic Manuscripts in North American Libraries: Part 5 - Union Theological Seminary Library,"" MELA Notes, no. 36 (Fall 1985), p. 5 s.v. 4",Still Image,Original Format: book with envelope binding,Physical Dimensions: 27 x 18 cm (board),https://exhibitions.cul.columbia.edu/exhibits/show/quran/qurans/bindings,The,Quran in East and West: Manuscripts and Printed Books
006163,1,0,The label on the fore-edge section of the flap bears the rhyming title: “kalām Allāh al-qadīm wa’l-kitāb al-ʿaẓīm” (lit. an old copy of the word of God and the glorious book) its position reflects that in the Islamic lands books were shelved lying flat with their fore edge outward for preservation reasons it was impossible to photograph the complete binding.,,,,undated (between 1600 and 1800),1600,1800,inferred,,manuscripts,lcsh,reformatted digital,NyNyCBL,eng,Arabic manuscripts collection,Burke Arabic MS 3,,,ara,,Anatolia or Syria,,,,,,,Arab provinces of the Ottoman Empire,,,,Islam--Sacred books,lcsh,http://id.loc.gov/authorities/subjects/sh2007007128,,,,,,,,,,Quran,qun_000,Back cover and flap,,,,,,,,,,,,,,,Blind-tooled leather binding with flap,,CLIO id: 4488501,,,473000a8947f5556618445ae399fad4c.jpg,,,,,,,,Purchased in May 1883 from the nephew of the American missionary Tillman C. Howbridge for the library of Union Theological Seminary,"M. Krek, ""Islamic Manuscripts in North American Libraries: Part 5 - Union Theological Seminary Library,"" MELA Notes, no. 36 (Fall 1985), p. 5 s.v. 4",Still Image,Original Format: book with envelope binding,Physical Dimensions: 27 x 18 cm (board) and 27 x 56 (complete binding),https://exhibitions.cul.columbia.edu/exhibits/show/quran/qurans/bindings,The,Quran in East and West: Manuscripts and Printed Books
