identifier_omeka,identifier_title,title,partName,relatedItem_collection,name_primary,name_primary_authority,name_primary_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,typeOfResource,language,language_authority,language_authority_identifier,physicalLocation,physicalLocation_authority,physicalLocation_authority_identifier,shelfLocator,note_filename,note_filename_2,digitalOrigin,form,form_authority,form_authority_identifier,place,place_authority_identifier,publisher,languageOfCataloging,identifier_clio,location_url_ObjectInContext
omeka_6833,readingofbooks_neo_188,Morall Fabletalke,Pages 188-189,The Reading of Books and the Reading of Literature ,"Golding, Arthur, 1536-1606",naf,http://id.loc.gov/authorities/names/n50034544,1575 ,1599,approximate,circa 1575-1599,"A Latin poem,  followed by a table. ",still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Western MS 16,http://ldpd.lampdev.columbia.edu/o/DS-6234.jpg,original filename: 6234.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/morallfabletalke
omeka_6832,readingofbooks_neo_140,Morall Fabletalke,Pages 140-141,The Reading of Books and the Reading of Literature ,"Golding, Arthur, 1536-1606",naf,http://id.loc.gov/authorities/names/n50034544,1575 ,1599,approximate,circa 1575-1599,Added tales and morals in the back of A Morall Fabletalke. The hand in which these tales are written is different from that in which the translation of Aesop is done. ,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Western MS 16,http://ldpd.lampdev.columbia.edu/o/DS-6233.jpg,original filename: 6233.tif ,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/morallfabletalke
omeka_6831,readingofbooks_neo_002,Morall Fabletalke,Page 1,The Reading of Books and the Reading of Literature ,"Golding, Arthur, 1536-1606",naf,http://id.loc.gov/authorities/names/n50034544,1575 ,1599,approximate,circa 1575-1599,An opening in A Morall Fabletalke. The first fable and its moral are set off by rubricated text and an owner has made an annotation in the margin.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Western MS 16,http://ldpd.lampdev.columbia.edu/o/DS-6231.jpg,original filename: 6231.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/morallfabletalke
omeka_6830,readingofbooks_neo_001,Morall Fabletalke,Folio iv r (title page),The Reading of Books and the Reading of Literature ,"Golding, Arthur, 1536-1606",naf,http://id.loc.gov/authorities/names/n50034544,1575 ,1599,approximate,circa 1575-1599,Title page of A Morall Fabletalke,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Western MS 16,http://ldpd.lampdev.columbia.edu/o/DS-6230.jpg,original filename: 6230.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/morallfabletalke
omeka_6829,readingofbooks_moe_017b,Sixteenth-century Commonplace Book,Folio 17v,The Reading of Books and the Reading of Literature ,,,,1500 ,1599,approximate,circa 1500-1599,1554 Signature of William Somer,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 276,http://ldpd.lampdev.columbia.edu/o/DS-7367.jpg,original filename: 7367.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/sixteenthcenturycommonplaceboo
omeka_6828,readingofbooks_moe_007a,Sixteenth-century Commonplace Book,Folio 7r,The Reading of Books and the Reading of Literature ,,,,1500 ,1599,approximate,circa 1500-1599,Text detailing the spiritual dangers of fornication in two hands.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 276,http://ldpd.lampdev.columbia.edu/o/DS-7293.jpg,original filename: 7293.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/sixteenthcenturycommonplaceboo
omeka_6827,readingofbooks_moe_005a,Sixteenth-century Commonplace Book,Folio 5r,The Reading of Books and the Reading of Literature ,,,,1500 ,1599,approximate,circa 1500-1599,The end of a 32-line poem. ,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 276,http://ldpd.lampdev.columbia.edu/o/DS-7191.jpg,original filename: 7191.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/sixteenthcenturycommonplaceboo
omeka_6826,readingofbooks_moe_004a,Sixteenth-century Commonplace Book,Folio 4r,The Reading of Books and the Reading of Literature ,,,,1500 ,1599,approximate,circa 1500-1599,"Lines from the poem on the previous page, as well as other alphabets.",still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 276,http://ldpd.lampdev.columbia.edu/o/DS-7190.jpg,original filename: 7190.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/sixteenthcenturycommonplaceboo
omeka_6825,readingofbooks_moe_003b,Sixteenth-century Commonplace Book,Folio 3v,The Reading of Books and the Reading of Literature ,,,,1500 ,1599,approximate,circa 1500-1599,"The beginning of a 32-line poem, prefaced by a practice alphabet. ",still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 276,http://ldpd.lampdev.columbia.edu/o/DS-7359.jpg,original filename: 7359.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,
omeka_6824,readingofbooks_moe_003a,Sixteenth-century Commonplace Book,Folio 3r,The Reading of Books and the Reading of Literature ,,,,1500 ,1599,approximate,circa 1500-1599,A copy of a 1554 letter from William Sommers to Agnes Bowyer.,still image,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Plimpton MS 276,http://ldpd.lampdev.columbia.edu/o/DS-7189.jpg,original filename: 7189.tif,Reformatted Digital,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,England,http://id.loc.gov/authorities/names/n82068148,,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/compiling/earlymoderncompiling
