_project.string_key,note-1:note_value,note-1:note_type,note-2:note_value,note-2:note_type,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,title-1:title_sort_portion,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,clio_identifier-1:clio_identifier_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,type_of_resource-1:type_of_resource_value,language-1:language_term.value,language-1:language_term.uri,language-1:language_term.authority,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,location-1:location_term.value,location-1:location_term.uri,digital_origin-1:digital_origin_value,genre-1:genre_term.value,genre-1:genre_term.uri,genre-1:genre_term.authority,abstract-1:abstract_value,_restrictions.restricted_size_image,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.uri,use_and_reproduction-1:use_and_reproduction_term.authority,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,date_created-1:date_created_end_value,date_created-1:date_created_type,name-1:name_term.value,name-1:name_term.uri,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.authority,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.uri,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.name_type,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.uri,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.name_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.authority,name-2:name_term.value,name-2:name_term.uri,name-2:name_term.authority,name-2:name_term.name_type,name-2:name_role-1.name_role_term.value,name-2:name_role-1.name_role_term.uri,name-2:name_role-1.name_role_term.authority,_publish_targets-1.string_key,_publish
,,,,,item,roar_ium_000,,New Baker Field at Columbia University,,,,printed ephemera,http://vocab.getty.edu/aat/300264821,aat,text,English,http://id.loc.gov/vocabulary/languages/eng,iso639-2b,Buildings and Grounds Collection,http://id.library.columbia.edu/term/9b8b6a59-a249-49b9-b30c-05b05cc72640,series,1,IV: Other Real Estate,,,,,20,4,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,reformatted digital,,,,,,,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements,1980s,1980,TRUE,1989,inferred,,,,,,,,,Columbia University. Baker Athletics Complex,,,corporate,,,,,,,,,Football stadiums,http://id.worldcat.org/fast/931443,fast,,,,,,,,,,,,
,https://exhibitions-dev.library.columbia.edu/RBML_lions_0003.jpg,filename,Original filename: RBML_lions_0003.tif,filename,asset,roar_ium_001,roar_ium_000,Cover,11924,https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/places/wien-stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,item,roar_urh_000,,1961 Columbia Football Team Sitting in Baker Field Stands,,,,photographs,http://vocab.getty.edu/aat/300046300,aat,still image,,,,Historical Subject Files,http://id.library.columbia.edu/term/0fa21d61-a576-4574-9433-6e907a8a1e69,,,,,,,,147,2,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,reformatted digital,,,,,,,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements,1961,1961,TRUE,,,,,,,,,,,Columbia University. Baker Athletics Complex,,,corporate,Columbia Lions football,http://www.wikidata.org/entity/Q5149756,wikidata,corporate,,,,,Football,http://id.worldcat.org/fast/931362,fast,College athletes,http://id.worldcat.org/fast/867688,fast,,,,,,,,,
,https://exhibitions-dev.library.columbia.edu/4517_Football_Team_1961.jpg,filename,Original filename: 4517_Football_Team_1961.tif,filename,asset,roar_urh_001,roar_urh_000,1961 Columbia Football Team Sitting in Baker Field Stands,11953,https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/glory-days/ivy-league-1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,item,roar_kuc_000,,Aerial View of Baker Field,,,,photographs,http://vocab.getty.edu/aat/300046300,aat,still image,,,,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,series,1,VII: Buildings and Grounds,subseries,2,VII.1: General,,31,,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,reformatted digital,Aerial photographs,http://id.loc.gov/authorities/genreForms/gf2011026032,lcgft,,,,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements,1970s,1970,TRUE,1979,inferred,,,,,,,,,Columbia University. Baker Athletics Complex,,,corporate,,,,,,,,,Football stadiums,http://id.worldcat.org/fast/931443,fast,,,,,,,,,,,,
,https://exhibitions-dev.library.columbia.edu/RBML_lions_0012.jpg,filename,Original filename: RBML_lions_0012.tif,filename,asset,roar_kuc_001,roar_kuc_000,Aerial View of Baker Field,11933,https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/places/baker-field,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,item,roar_fcm_000,,Al Barabas,,,,negatives,http://id.loc.gov/vocabulary/graphicMaterials/tgm007029,gmgpc,still image,,,,Intercollegiate Athletics and Physical Education negatives,http://id.library.columbia.edu/term/77ff44e9-de00-4a6b-96cc-da6f0384b9a6,series,1,I: Individuals,,,,,1,,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,reformatted digital,,,,,,,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements,1933,1933,TRUE,,,,,,,,,,,"Barabas, Alfred",http://id.loc.gov/authorities/names/n92086173,naf,personal,,,,,,,,,College athletes,http://id.worldcat.org/fast/867688,fast,,,,,,,,,,,,
,https://exhibitions-dev.library.columbia.edu/4510_Barabas__Al.jpg,filename,Original filename: 4510_Barabas__Al.tif,filename,asset,roar_fcm_001,roar_fcm_000,Al Barabas,11986,https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/people/1920/barabas,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,item,roar_nfa_000,,Bill Campbell and Tom Penders,,,,photographs,http://vocab.getty.edu/aat/300046300,aat,still image,,,,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,series,1,IV: Athletics,,,,,146,3,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,reformatted digital,,,,,,,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements,1974,1974,TRUE,,,,,,,,,,,"Campbell, Bill, 1940-2016",http://id.loc.gov/authorities/names/no2018152423,naf,personal,"Penders, Tom",http://id.loc.gov/authorities/names/n99279413,naf,personal,,,,,Football coaches,http://id.worldcat.org/fast/931411,fast,,,,,,,,,,,,
,https://exhibitions-dev.library.columbia.edu/4518_Campbell_and_Penders.jpg,filename,Original filename: 4518_Campbell_and_Penders.tif,filename,asset,roar_nfa_001,roar_nfa_000,Bill Campbell and Tom Penders,11960,https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/recent-days/campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,rightsstatements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
