use_and_reproduction-1:use_and_reproduction_value,_pid,partName,projectURL,_identifiers-1,note-3:note_type,note-2:note_type,note-1:note_type,note-2:note_value,note-1:note_value,relatedItem_project,_project.string_key,form-2:form_term.uri,genre-1:genre_term.uri,form-2:form_term.value,genre-1:genre_term.value,title-1:title_sort_portion,language-1:language_term.uri,genre-1:genre_term.authority,_digital_object_type.string_key,title-1:title_non_sort_portion,language-1:language_term.value,language-1:language_term.authority,_parent_digital_objects-1.identifier,date_created-1:date_created_end_value,digital_origin-1:digital_origin_value,date_created-1:date_created_start_value,omeka_identifier-1:omeka_identifier_value,type_of_resource-1:type_of_resource_value,date_created_textual-1:date_created_textual_value,object_in_context_url-1:object_in_context_url_value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,collection-1:collection_term.uri,collection-1:collection_term.value,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,date_created-1:date_created_type,clio_identifier-1:clio_identifier_value,note-4:note_type,note-4:note_value,abstract-1:abstract_value
Permission to reproduce this image must be obtained from Columbia Athletics. Please contact the University Archives for contact information., , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/20160916ColumbiaFootball_0042.jpg,Original filename: 20160916ColumbiaFootball_0042.jpg,"Roar, Lion, Roar: A Celebration of Columbia Football", , , ,photographs,Still Image,South Field Walk-through Practice, ,fast, , ,English,iso639-2, , ,reformatted digital, ,12015,Still Image,2016,https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/recent-days/bagnoli,,,,,,,,,,,,,,,,,,,,,,,
In Copyright, , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/UA_miracleonmorningside_clip.mp4,Original filename: UA_miracleonmorningside_clip.mp4|Digitized film created with the generous support of the Columbia University Club Foundation,"Roar, Lion, Roar: A Celebration of Columbia Football", , , ,moving images,Moving Image,Miracle on Morningside, ,fast, , ,English,iso639-2, , ,reformatted digital, ,12014,Moving Image,"October 25, 1947",https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/glory-days/miracle, , ,"University Archives, Columbia University",local, ,Intercollegiate Athletics and Physical Education Records,,,,,,,,,,,,,,,,,
In Copyright, , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/UA_rosebowl_clip.mp4,Original filename: UA_rosebowl_clip.mp4,"Roar, Lion, Roar: A Celebration of Columbia Football", , , ,moving images,Moving Image,Rose Bowl Newsreel Footage, ,fast, , ,English,iso639-2, , ,reformatted digital, ,12013,Moving Image,1934,https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/glory-days/rose-bowl, , ,"University Archives, Columbia University",local, ,Intercollegiate Athletics and Physical Education Records,,,,,, ,"Githens, W. French|Pathe News", , , , , ,,,,,
In Copyright, , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/RBML_lions_0043.jpg,Original filename: RBML_lions_0043.tif,"Roar, Lion, Roar: A Celebration of Columbia Football", , , ,administrative records,Still Image,List of Contestants of Performers and Substitutes for Varsity Football Game vs. Wesleyan, ,fast, , ,English,iso639-2, , ,reformatted digital, ,12012,Still Image,"October 14, 1922",, , ,"University Archives, Columbia University",local, ,Intercollegiate Athletics and Physical Education Records,holdings, ,Box 11, , ,,,,,,,,,,,,
No Copyright - United States, , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/RBML_lions_0013.jpg,Original filename: RBML_lions_0013.tif,"Roar, Lion, Roar: A Celebration of Columbia Football", , , ,photographs,Still Image,Class of 1887 Freshman Football Team, ,fast, , ,English,iso639-2, , ,reformatted digital, ,12011,Still Image,1883,https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/early-days, , ,"University Archives, Columbia University",local, ,Historical Photograph Collection,holdings, ,OS Box 13, , ,,,,,,,,,,,,
In Copyright, , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/football_poster_omeka.jpg,Original filename: football_poster_omeka.jpg,"Roar, Lion, Roar: A Celebration of Columbia Football", , , ,posters,Still Image,Exhibition Poster, ,fast, , ,English,iso639-2, , ,reformatted digital, ,12010,Still Image,2019,, , ,"University Archives, Columbia University",local,,,,,,,,,,,,,,,,,,,
In Copyright, , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/4610_Cover_of_1962_football_program_against_Yale.jpg,Original filename: 4610_Cover_of_1962_football_program_against_Yale.tif,"Roar, Lion, Roar: A Celebration of Columbia Football", , , ,printed ephemera,Still Image,Football Game Program, ,fast, , ,English,iso639-2, , ,reformatted digital, ,12009,Still Image,"October 13, 1962",https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/people/1960, , ,"University Archives, Columbia University",local, ,Historical Subject Files,holdings, ,Box 95, , ,,,,,,,,,,,,
In Copyright, , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/4608__Cover_of_1957_football_program_against_Brown.jpg,Original filename: 4608__Cover_of_1957_football_program_against_Brown.tif,"Roar, Lion, Roar: A Celebration of Columbia Football", , , ,printed ephemera,Still Image,Football Game Program, ,fast, , ,English,iso639-2, , ,reformatted digital, ,12008,Still Image,"September 28, 1957",https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/people/coaches, , ,"University Archives, Columbia University",local, ,Historical Subject Files,holdings, ,Box 95, , ,,,,,,,,,,,,
In Copyright, , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/4601_Cover_of_1963_football_program_against_Penn.jpg,Original filename: 4601_Cover_of_1963_football_program_against_Penn.tif,"Roar, Lion, Roar: A Celebration of Columbia Football", , , ,printed ephemera,Still Image,Football Game Program, ,fast, , ,English,iso639-2, , ,reformatted digital, ,12007,Still Image,"November 16, 1963",https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/artwork, , ,"University Archives, Columbia University",local, ,Historical Subject Files,holdings, ,"Box 95, folder 5", , ,,,,,,,,,,,,
In Copyright, , , , ,original_format,filename, ,https://exhibitions-dev.library.columbia.edu/4598_Cover_of_the_1956_Homecoming_football_program_against_Yale.jpg,Original filename: 4598_Cover_of_the_1956_Homecoming_football_program_against_Yale.tif,"Roar, Lion, Roar: A Celebration of Columbia Football", , , ,printed ephemera,Still Image,Football Game Program, ,fast, , ,English,iso639-2, , ,reformatted digital, ,12006,Still Image,"October 13, 1956",https://exhibitions.library.columbia.edu/exhibits/show/roar-lion-roar/people/coaches, , ,"University Archives, Columbia University",local, ,Historical Subject Files,holdings, ,"Box 95, folder 1", , ,,,,,,,,,,,,
