note-1:note_value,note-1:note_type,_restrictions.restricted_size_image,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,title-1:title_sort_portion,alternative_title-1:alternative_title_value,extent-1:extent_value,_pid,note-2:note_value,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,note-3:note_value,note-3:note_type,collection-1:collection_term.value,collection-1:collection_term.uri,location-1:location_term.value,location-1:location_term.uri,location-1:location_sublocation,place_of_origin-1:place_of_origin_value,publisher-1:publisher_value,digital_origin-1:digital_origin_value,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,abstract-1:abstract_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,date_created-1:date_created_end_value,date_created-1:date_created_type,name-1:name_term.value,name-1:name_term.uri,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.authority,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,name-2:name_term.value,name-2:name_term.uri,name-2:name_term.authority,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.authority,_publish_targets-1.string_key,_publish,_project.string_key
,,,item,russimp_sci_000,,First Scene of the Ballet the Daughter of the Mikado,1-e di︠e︡ĭstvīe baleta Docḣ Mikado,lithograph,ldpd:113976,,,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,text,,Russian,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/rus,,,,"Purchase, 1957",ownership,Soiuz Pazhei Records,http://id.library.columbia.edu/term/23912814-08c7-48f5-a133-e60a8a80d990,"Rare Book and Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Bakhmeteff Archive of Russian and East European History and Culture,St. Petersburg,,reformatted digital,Theater programs,fast,http://id.worldcat.org/fast/1919978,Theater program for a performance during the centennial celebrations,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,"December 14, 1902",1902-12-14,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/russiancorp/4o003.jpg,filename,,asset,russimp_sci_001,russimp_sci_000,Unnumbered page,,,ldpd:128,Original filename: 4o003.tif,7922,https://exhibitions.library.columbia.edu/exhibits/show/pages/celebrations/images_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,russimp_qrp_000,,Aleksandr von Pistolkors,,black and white photograph,ldpd:113988,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,,,still image,,,,,,,,"Purchase, 1957",ownership,Soiuz Pazhei Records,http://id.library.columbia.edu/term/23912814-08c7-48f5-a133-e60a8a80d990,"Rare Book and Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Bakhmeteff Archive of Russian and East European History and Culture,St. Petersburg,,reformatted digital,,,,Aleksandr von Pistolkors. Class of 1905,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,1905,1905,TRUE,,,,,,,,,,,"Pistohlkors, Alexander Erikovich",,,personal,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/russiancorp/2q001.jpg,filename,,asset,russimp_qrp_001,russimp_qrp_000,Aleksandr von Pistolkors,,,ldpd:428,Original filename: 2q001.tif,7879,https://exhibitions.library.columbia.edu/exhibits/show/pages/school/images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,russimp_opv_000,,Aleksandr von Pistolkors' Curriculum Vitae,,,ldpd:113865,,,,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,text,,Russian,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/rus,,,,"Purchase, 1957",ownership,Soiuz Pazhei Records,http://id.library.columbia.edu/term/23912814-08c7-48f5-a133-e60a8a80d990,"Rare Book and Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Bakhmeteff Archive of Russian and East European History and Culture,,,reformatted digital,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,1914,1914,TRUE,,inferred,"Pistohlkors, Alexander Erikovich",,,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/russiancorp/2u001.jpg,filename,,asset,russimp_opv_001,russimp_opv_000,Aleksandr von Pistolkors' Curriculum Vitae,,,ldpd:408,Original filename: 2u001.tif,7883,https://exhibitions.library.columbia.edu/exhibits/show/pages/school/images_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,russimp_syc_000,,Aleksandr von Pistolkors' Order of Enrollment,,paper,ldpd:113958,,,,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,text,,Russian,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/rus,,,,"Purchase, 1957",ownership,Soiuz Pazhei Records,http://id.library.columbia.edu/term/23912814-08c7-48f5-a133-e60a8a80d990,"Rare Book and Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Bakhmeteff Archive of Russian and East European History and Culture,St. Petersburg,,reformatted digital,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,"May 24, 1890",1890-05-24,TRUE,,,"Pistohlkors, Alexander Erikovich",,,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,,,Pazheskīĭ Ego Imperatorskago Velichestva korpus (Russia),http://id.loc.gov/authorities/names/n82277616,naf,corporate,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,
http://ldpd.cul.columbia.edu/russiancorp/2p001.jpg,filename,,asset,russimp_syc_001,russimp_syc_000,Aleksandr von Pistolkors' Order of Enrollment,,,ldpd:433,Original filename: 2p001.tif,7878,https://exhibitions.library.columbia.edu/exhibits/show/pages/school/images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,russimp_wwu_000,,Aleksandra Fiodorovna' s Parasol,,,ldpd:113962,,,,objects,aat,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,,,,three dimensional object,,,,,,,,"Purchase, 1965",ownership,Ol'ga Ivanovna Subbotina Papers,http://id.library.columbia.edu/term/7eff6ab2-f4f7-416e-bf9d-2f2f584d7342,"Rare Book and Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Bakhmeteff Archive of Russian and East European History and Culture,St. Petersburg,,reformatted digital,,,,"Photograph of Parasol belonged to Aleksandra Fiodorovna (1872-1918), the last Russian Tsarina",,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,circa 1910,1910,TRUE,,approximate,,,,,,,,,"Alexandra, Empress, consort of Nicholas II, Emperor of Russia, 1872-1918",http://id.loc.gov/authorities/names/n79065458,naf,personal,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/russiancorp/3r001.jpg,filename,,asset,russimp_wwu_001,russimp_wwu_000,Aleksandra Fiodorovna' s Parasol,,,ldpd:243,Original filename: 3r001.tif,7905,https://exhibitions.library.columbia.edu/exhibits/show/pages/imperial_life/images_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,russimp_lio_000,,Artillery Department of the Imperial Corps of Pages,,black and white photograph,ldpd:113984,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,,,still image,,,,,,,,"Purchase, 1957",ownership,Soiuz Pazhei Records,http://id.library.columbia.edu/term/23912814-08c7-48f5-a133-e60a8a80d990,"Rare Book and Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Bakhmeteff Archive of Russian and East European History and Culture,St. Petersburg,,reformatted digital,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,1881,1881,TRUE,,,,,,,,,,,Pazheskīĭ Ego Imperatorskago Velichestva korpus (Russia),http://id.loc.gov/authorities/names/n82277616,naf,corporate,,,,,,,,,,,,,,,,,,,
http://ldpd.cul.columbia.edu/russiancorp/1j001.jpg,filename,,asset,russimp_lio_001,russimp_lio_000,Artillery Department of the Imperial Corps of Pages,,,ldpd:518,Original filename: 1j001.tif,7861,https://exhibitions.library.columbia.edu/exhibits/show/pages/history/images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,item,russimp_glm_000,,Bal Costumé: Program,,,ldpd:113934,,,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,text,,French,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/fre,,,,"Purchase, 1957",ownership,Soiuz Pazhei Records,http://id.library.columbia.edu/term/23912814-08c7-48f5-a133-e60a8a80d990,"Rare Book and Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Bakhmeteff Archive of Russian and East European History and Culture,St. Petersburg,,reformatted digital,,,,Program of a Costume Ball,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,"February 9, 1844",1844-02-09,TRUE,,,,,,,,,,,,,,,,,,,,,Masquerades,http://id.worldcat.org/fast/1011181,fast,,,,,,,,,,
http://ldpd.cul.columbia.edu/russiancorp/2w001.jpg,filename,,asset,russimp_glm_001,russimp_glm_000,Unnumbered page,,,ldpd:398,Original filename: 2w001.tif,7884,https://exhibitions.library.columbia.edu/exhibits/show/pages/school/images_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
