_project.string_key,note-1:note_value,note-1:note_type,_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,omeka_identifier-1:omeka_identifier_value,omeka_identifier-2:omeka_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role2:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-1:name_role-3:name_role_term.value,name-1:name_role-3:name_role_term.authority,name-1:name_role-3:name_role_term.uri,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-2:name_role_term.value,name-2:name_role-2:name_role_term.authority,name-2:name_role-2:name_role_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_term.authority,name-3:name_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_role-2:name_role_term.value,name-3:name_role-2:name_role_term.authority,name-3:name_role-2:name_role_term.uri,name-4:name_term.value,name-4:name_term.name_type,name-4:name_term.authority,name-4:name_term.uri,name-4:name_role-1:name_role_term.value,name-4:name_role-1:name_role_term.authority,name-4:name_role-1:name_role_term.uri,name-4:name_role-2:name_role_term.value,name-4:name_role-2:name_role_term.authority,name-4:name_role-2:name_role_term.uri,name-5:name_term.value,name-5:name_term.name_type,name-5:name_term.authority,name-5:name_term.uri,name-5:name_role-1:name_role_term.value,name-5:name_role-1:name_role_term.authority,name-5:name_role-1:name_role_term.uri,name-6:name_term.value,name-6:name_term.name_type,name-6:name_term.authority,name-6:name_term.uri,name-6:name_role-1:name_role_term.value,name-6:name_role-1:name_role_term.authority,name-6:name_role-1:name_role_term.uri,name-6:name_role-2:name_role_term.value,name-6:name_role-2:name_role_term.authority,name-6:name_role-2:name_role_term.uri,name-7:name_term.value,name-7:name_term.name_type,name-7:name_term.authority,name-7:name_term.uri,name-7:name_role-1:name_role_term.value,name-7:name_role-1:name_role_term.authority,name-7:name_role-1:name_role_term.uri,date_created-1:date_created_start_value,date_created_textual-1:date_created_textual_value,date_created-1:date_created_key_date,note-2:note_value,note-2:note_type,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,collection-1:collection_term.value,collection-1:collection_term.uri,place_of_origin-1:place_of_origin_value,publisher-1:publisher_value,location-1:location_term.value,location-1:location_term.uri,digital_origin-1:digital_origin_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,form-3:form_term.value,form-3:form_term.authority,form-3:form_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_topic-4:subject_topic_term.value,subject_topic-4:subject_topic_term.authority,subject_topic-4:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,subject_geographic-3:subject_geographic_term.value,subject_geographic-3:subject_geographic_term.authority,subject_geographic-3:subject_geographic_term.uri,subject_temporal-1:subject_temporal_term.value,subject_temporal-1:subject_temporal_term.authority,subject_temporal-1:subject_temporal_term.uri,subject_temporal-2:subject_temporal_term.value,subject_temporal-2:subject_temporal_term.authority,subject_temporal-2:subject_temporal_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,restriction_on_access-1:restriction_on_access_value,title-1:title_non_sort_portion,title-1:title_sort_portion,alternative_title-1:alternative_title_value,object_in_context_url-1:object_in_context_url_value,_restrictions.restricted_size_image,use_and_reproduction-1:use_and_reproduction_term.value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,abstract-1:abstract_value,note-5:note_value,note-6:note_value,note-7:note_value,note-8:note_value,note-9:note_value,note-10:note_value,note-11:note_value,note-12:note_value,note-13:note_value,note-3:note_type,note-3:note_value,note-4:note_type,note-4:note_value
,,,stokes_acl,,item,,,"Proctor, William James",personal,,,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,,,,,TRUE,"Renwick, James (Captain)",personal,,,Surveyor,marcrelator,http://id.loc.gov/vocabulary/relators/srv,,,,"Stokes, I. N. Phelps (Isaac Newton Phelps), 1867-1944",personal,naf,http://id.loc.gov/authorities/names/no95050141,Compiler,marcrelator,http://id.loc.gov/vocabulary/relators/com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918,1918,TRUE,"Date of volume 3 of The iconography of Manhattan Island, 1498-1909.",date note,cartographic,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Iconography of Manhattan Island, 1498-1909 (Stokes, I. N. Phelps)",http://id.library.columbia.edu/term/ae5d3b5a-5328-4fd2-aefa-5e367fd3470c,New York (N.Y.),Robert H. Dodd (Firm),"Butler Library, Columbia University",http://id.library.columbia.edu/term/4fbd48a4-130b-4a5c-9949-0e8dc864af94,reformatted digital,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,maps,aat,http://vocab.getty.edu/aat/300028094,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Manhattan (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80118393,"Harlem (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n79063979,Nineteenth century,fast,http://id.worldcat.org/fast/1037841,,,,,,,,A,"Military Topographical Map of Haerlem Heights and Plain, with Vignette View",,,FALSE,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,"Plate 82A from volume 3 of 'The iconography of Manhattan Island, 1498-1909' compiled by I.N. Phelps Stokes. Six volume set originally published: New York : Robert H. Dodd, 1915-1928","Reproduction of an original watercolor drawing on paper, dated November 1814, by William James Proctor from a survey by Captain James Renwick, from the collections of the City of New York, New York Historical Society.","View in context of Stokes, I. N. Phelps  The iconography of Manhattan Island, 1498-1909 New York : Robert H. Dodd, 1915-1928.Electronic reproduction. v. 1-4. New York, N.Y. : Columbia University Libraries, 2008. http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000105.html?toggle=image&menu=maximize&top=200px&left=70px",,,,,,,,,,,
,ldpd_5800727_003_00000105.jpg,Original filename,stokes_acl_000,stokes_acl,asset,omeka_3587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,A,"Military Topographical Map of Haerlem Heights and Plain, with Vignette View",,https://exhibitions.cul.columbia.edu/exhibits/show/stokes/volume-3/chapter-5-the-war-of-1812-1,FALSE,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,
,,,stokes_afl,,item,,,"Burgis, William, active 1722-1736",personal,naf,http://id.loc.gov/authorities/names/n87821171,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,Attributed name,marcrelator,http://id.loc.gov/vocabulary/relators/att,,,,,"Stokes, I. N. Phelps (Isaac Newton Phelps), 1867-1944",personal,naf,http://id.loc.gov/authorities/names/no95050141,Compiler,marcrelator,http://id.loc.gov/vocabulary/relators/com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915,1915,TRUE,"Date of volume 1 of The iconography of Manhattan Island, 1498-1909.",date note,still image,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Iconography of Manhattan Island, 1498-1909 (Stokes, I. N. Phelps)",http://id.library.columbia.edu/term/ae5d3b5a-5328-4fd2-aefa-5e367fd3470c,New York (N.Y.),Robert H. Dodd (Firm),"Butler Library, Columbia University",http://id.library.columbia.edu/term/4fbd48a4-130b-4a5c-9949-0e8dc864af94,reformatted digital,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,prints,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm008237,,,,Church buildings,fast,http://id.worldcat.org/fast/860599,,,,,,,,,,,,,,,,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,Eighteenth century,fast,http://id.worldcat.org/fast/904058,,,,,,,,,"New Dutch Church, Known as the Middle Dutch Church After the Construction of the North Dutch Church in 1767-1769",Rip Van Dam Church,,FALSE,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,"Caption: ""To the Honourable Rip van Dam Esq President of His Majesty's Council for the Province of new York this view of the New Dutch Church is most humbly dedicated by your Honours most obedient servant William Burgis""","Plate 28 from volume 1 of 'The iconography of Manhattan Island, 1498-1909' compiled by I.N. Phelps Stokes. Six volume set originally published: New York : Robert H. Dodd, 1915-1928","Reproduction of original engraving on copper, circa 1731-1732, by William Burgis, engraver unknown, from the collection of William Loring Andrews, Esq.","View in context of Stokes, I. N. Phelps  The iconography of Manhattan Island, 1498-1909 New York : Robert H. Dodd, 1915-1928.Electronic reproduction. v. 1-4. New York, N.Y. : Columbia University Libraries, 2008. http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_001/pages/ldpd_5800727_001_00000336.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=",,,,,,,ownership of original,"William Loring Andrews, Esq.",,
,ldpd_5800727_001_00000345.jpg,Original filename,stokes_afl_000,stokes_afl,asset,omeka_1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,,"New Dutch Church, Known as the Middle Dutch Church After the Construction of the North Dutch Church in 1767-1769",,https://exhibitions.cul.columbia.edu/exhibits/show/stokes/vol_1/ch2_3,FALSE,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,
,,,stokes_afw,,item,,,G.W. Bromley & Co.,corporate,naf,http://id.loc.gov/authorities/names/n50081706,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,,,,,,TRUE,"Welcke, Robert A.",personal,naf,http://id.loc.gov/authorities/names/n50002439,Lithographer,marcrelator,http://id.loc.gov/vocabulary/relators/ltg,,,,"Stokes, I. N. Phelps (Isaac Newton Phelps), 1867-1944",personal,naf,http://id.loc.gov/authorities/names/no95050141,Compiler,marcrelator,http://id.loc.gov/vocabulary/relators/com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1916,TRUE,"Date of volume 2 of The iconography of Manhattan Island, 1498-1909.",date note,cartographic,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Iconography of Manhattan Island, 1498-1909 (Stokes, I. N. Phelps)",http://id.library.columbia.edu/term/ae5d3b5a-5328-4fd2-aefa-5e367fd3470c,New York (N.Y.),Robert H. Dodd (Firm),"Butler Library, Columbia University",http://id.library.columbia.edu/term/4fbd48a4-130b-4a5c-9949-0e8dc864af94,reformatted digital,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,maps,aat,http://vocab.getty.edu/aat/300028094,,,,Grids (Cartography),fast,http://id.worldcat.org/fast/947877,Streets,fast,http://id.worldcat.org/fast/1134794,,,,,,,,,,,,,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Manhattan (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80118393,,,,Twentieth century,fast,http://id.worldcat.org/fast/1159810,,,,,,,,,"Outline and Index, Map of New York City, Borough of Manhattan: Plate 3",Map of Manhattan Island in 1908,,FALSE,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,"Original map dated 1908. Showing Streets, Buildings, Dimensions, Elevation Above High Water, etc.","C. Plate 96-3 from volume 2 of 'The iconography of Manhattan Island, 1498-1909' compiled by I.N. Phelps Stokes. Six volume set originally published: New York : Robert H. Dodd, 1915-1928","View in context of Stokes, I. N. Phelps  The iconography of Manhattan Island, 1498-1909 New York : Robert H. Dodd, 1915-1928.Electronic reproduction. v. 1-4. New York, N.Y. : Columbia University Libraries, 2008. http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_002/pages/ldpd_5800727_002_00000791.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=",,,,,,,,,,,
,ldpd_5800727_002_00000791.jpg,Original filename,stokes_afw_000,stokes_afw,asset,omeka_3532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,,"Outline and Index, Map of New York City, Borough of Manhattan: Plate 3",,https://exhibitions.cul.columbia.edu/exhibits/show/stokes/vol_2/s6,FALSE,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,
,,,stokes_agm,,item,,,G.W. Bromley & Co.,corporate,naf,http://id.loc.gov/authorities/names/n50081706,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,,,,,,TRUE,"Welcke, Robert A.",personal,naf,http://id.loc.gov/authorities/names/n50002439,Lithographer,marcrelator,http://id.loc.gov/vocabulary/relators/ltg,,,,"Stokes, I. N. Phelps (Isaac Newton Phelps), 1867-1944",personal,naf,http://id.loc.gov/authorities/names/no95050141,Compiler,marcrelator,http://id.loc.gov/vocabulary/relators/com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1916,TRUE,"Date of volume 2 of The iconography of Manhattan Island, 1498-1909.",date note,cartographic,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Iconography of Manhattan Island, 1498-1909 (Stokes, I. N. Phelps)",http://id.library.columbia.edu/term/ae5d3b5a-5328-4fd2-aefa-5e367fd3470c,New York (N.Y.),Robert H. Dodd (Firm),"Butler Library, Columbia University",http://id.library.columbia.edu/term/4fbd48a4-130b-4a5c-9949-0e8dc864af94,reformatted digital,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,maps,aat,http://vocab.getty.edu/aat/300028094,,,,Grids (Cartography),fast,http://id.worldcat.org/fast/947877,,,,,,,,,,,,,,,,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Manhattan (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80118393,,,,Twentieth century,fast,http://id.worldcat.org/fast/1159810,,,,,,,,,"Outline and Index, Map of New York City, Borough of Manhattan: Index",Map of Manhattan Island in 1908,,FALSE,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,"Original map dated 1908. Showing Streets, Buildings, Dimensions, Elevation Above High Water, etc.","C. Plate 96-index from volume 2 of 'The iconography of Manhattan Island, 1498-1909' compiled by I.N. Phelps Stokes. Six volume set originally published: New York : Robert H. Dodd, 1915-1928","View in context of Stokes, I. N. Phelps  The iconography of Manhattan Island, 1498-1909 New York : Robert H. Dodd, 1915-1928.Electronic reproduction. v. 1-4. New York, N.Y. : Columbia University Libraries, 2008. http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_002/pages/ldpd_5800727_002_00000788.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=",,,,,,,,,,,
,ldpd_5800727_002_00000788.jpg,Original filename,stokes_agm_000,stokes_agm,asset,omeka_3529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,,"Outline and Index, Map of New York City, Borough of Manhattan: Index",,https://exhibitions.cul.columbia.edu/exhibits/show/stokes/vol_2/s6,FALSE,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,
,,,stokes_ahb,,item,,,"Robinson, Henry R., -1850",personal,naf,http://id.loc.gov/authorities/names/nr96045211,Lithographer,marcrelator,http://id.loc.gov/vocabulary/relators/ltg,,,,,,,TRUE,"Stokes, I. N. Phelps (Isaac Newton Phelps), 1867-1944",personal,naf,http://id.loc.gov/authorities/names/no95050141,Compiler,marcrelator,http://id.loc.gov/vocabulary/relators/com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915,1915,TRUE,"Date of volume 1 of The iconography of Manhattan Island, 1498-1909.",date note,still image,,,,,,,,"Iconography of Manhattan Island, 1498-1909 (Stokes, I. N. Phelps)",http://id.library.columbia.edu/term/ae5d3b5a-5328-4fd2-aefa-5e367fd3470c,New York (N.Y.),Robert H. Dodd (Firm),"Butler Library, Columbia University",http://id.library.columbia.edu/term/4fbd48a4-130b-4a5c-9949-0e8dc864af94,reformatted digital,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,prints,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm008237,,,,Streets,fast,http://id.worldcat.org/fast/1134794,Municipal buildings,fast,http://id.worldcat.org/fast/1029207,,,,,,,,,,,,,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,Eighteenth century,fast,http://id.worldcat.org/fast/904058,,,,,,,,A,View Of The Federal Hall Of The City Of New York. Broad Street and Federal Hall,,,FALSE,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,"Reproduction of original watercolor sketch on paper, dated 1797 according to the lithographic reproductions of H.R. Robinson and C. Currier, from the collection of I. N. Phelps Stokes.","Plate 67 from volume 1 of 'The iconography of Manhattan Island, 1498-1909' compiled by I.N. Phelps Stokes. Six volume set originally published: New York : Robert H. Dodd, 1915-1928","After: George Holland, American, 1776–1820","View in context of Stokes, I. N. Phelps  The iconography of Manhattan Island, 1498-1909 New York : Robert H. Dodd, 1915-1928.Electronic reproduction. v. 1-4. New York, N.Y. : Columbia University Libraries, 2008. http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_001/pages/ldpd_5800727_001_00000634.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=",,,,,,,ownership of original,I.N. Phelps Stokes,,
,ldpd_5800727_001_00000655.jpg,Original filename,stokes_ahb_000,stokes_ahb,asset,omeka_1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,A,View Of The Federal Hall Of The City Of New York. Broad Street and Federal Hall,,https://exhibitions.cul.columbia.edu/exhibits/show/stokes/vol_1/ch4_2,FALSE,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,
