identifier_omeka,physicalLocation,form,keyDate_start,digitalOrigin,languageOfCataloging,relatedItem_collection,shelfLocator,note,place,dateQualifier,title,dateCreated,language,name_primary,subject_topic,relatedItem_note,abstract,publisher,accessCondition,form 2,note_filename,relatedItem_Project,typeOfResource,relatedItem_title
omeka_identifier-1:omeka_identifier_value,location-1:location_term.value,form-1:form_term.value,	date_created-1:date_created_start_value,	digital_origin-1:digital_origin_value,"	

language_of_cataloging-1:language_of_cataloging_term.value",	collection-1:collection_term.value,location-1:location_shelf_location-1:location_shelf_location_free_text,note-1:note_value,place_of_origin-1:place_of_origin_value,	date_created-1:date_created_type,	title-1:title_sort_portion,date_created_textual-1:date_created_textual_value,	language-1:language_term.value,name-1:name_term.value,subject_topic-1:subject_topic_term.value,note-7:note_value,	abstract-1:abstract_value,	publisher-1:publisher_value,	use_and_reproduction-1:use_and_reproduction_value,form-2:form_term.value,"note-4:note_value
",,type_of_resource-1:type_of_resource_value,"note-8:note_value
"
9155,"Rare Book & Manuscript Library, Columbia University",transcripts,,born digital,eng,,,,,,Record of Fugitives. Transcription,,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,"Transcription of book 1, book 2, and addenda (additional scattered notes) in PDF format.",,,,Record_of_Fugitives_transcription.pdf,Sydney Howard Gay’s Record of Fugitive Slaves,Document,
9154,"Rare Book & Manuscript Library, Columbia University",manuscripts,,reformatted digital,eng,,,,,,Record of Fugitives. Facsimile,,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,"Facsimile of book 1, book 2, and the addenda (additional scattered notes) in PDF format.",,,,Record_of_Fugitives_facsimile.pdf,Sydney Howard Gay’s Record of Fugitive Slaves,,
9153,"Rare Book & Manuscript Library, Columbia University",periodicals,1838,reformatted digital,eng,,,At head of title: Vol. 1. No. 4,New York and Boston,,What has the North to do with Slavery? ,1838,,,Slavery--United States,"The American anti-slavery almanac, for 1839.","Illustration is a detail from the front cover of The American anti-slavery almanac, for 1839.",New York & Boston : Published for the American Anti-slavery Society; New York : S.W. Benedict; Boston : I. Knapp,,,1500050005 -- edited.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,,
9152,"Rare Book & Manuscript Library, Columbia University",periodicals,1836,reformatted digital,eng,,,At head of title: Vol. 1. No. 2,Boston,,Sketch from God’s description of the “Consequences of Emancipation.” Isa. 58. ,1836,,,Slavery--United States,"The American anti-slavery almanac, for 1837","Illustration is a detail from the front cover of The American anti-slavery almanac, for 1837.",Boston: N. Southard & D.K. Hitchcock.  ,,,1500050002 edited.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,,
9151,"Rare Book & Manuscript Library, Columbia University",periodicals,1836,reformatted digital,eng,,,At head of title: Vol. 1. No. 2,Boston ,,Children’s Department. ,1836,eng,,Slavery--United States,"The American anti-slavery almanac, for 1837","Illustration is a detail form p. 41 of The American anti-slavery almanac, for 1837",Boston: N. Southard & D.K. Hitchcock. ,,,1500050004.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,,
9150,"Rare Book & Manuscript Library, Columbia University",periodicals,1838,reformatted digital,eng,,,At head of title: Vol. 1. No. 4,New York and Boston,,Printing Press Demolished at Slavery's Bidding. ,1838,eng,,Slavery--United States,"The American anti-slavery almanac, for 1839.","Illustration is a detail from page 11 of The American anti-slavery almanac, for 1839",New York & Boston : Published for the American Anti-slavery Society; New York : S.W. Benedict; Boston : I. Knapp,,,1500050008.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,,
9148,Massachusetts Historical Society,photographs,1850 -1888,,,,,,,inferred,Sydney Howard Gay portrait photograph,Photograph dates between 1850-1888 based on the earliest date of the collection and Gay's death date.,,,"Gay, Sydney Howard, 1814-1888",,Photograph from Massachusetts Historical Society Portraits of American Abolitionists 1850-1890 collection,,From the Collection of the Massachusetts Historical Society.,,P1-7b_sgay_work.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,,"Portraits of American Abolitionists, Photo. Coll. 81, Massachusetts Historical Society Photo Archives"
8999,"Rare Book & Manuscript Library, Columbia University",periodicals,1838,reformatted digital,eng,,,At head of title: Vol. 1. No. 4,New York and Boston,,Nation’s Act,1838,eng,,Slavery--United States,"The American anti-slavery almanac, for 1839","Illustration is a detail from page 7 of The American anti-slavery almanac, for 1839",New York & Boston : Published for the American Anti-slavery Society; New York : S.W. Benedict; Boston : I. Knapp,,,1500050006.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,,
8998,"Rare Book & Manuscript Library, Columbia University",periodicals,1838,reformatted digital,eng,,,At head of title: Vol. 1. No. 4,New York and Boston,,Colored Scholars Excluded from Schools. ,1838,eng,,Slavery--United States,"The American anti-slavery almanac, for 1839.","Illustration is a detail from page 13 of The American anti-slavery almanac, for 1839",New York & Boston : Published for the American Anti-slavery Society; New York : S.W. Benedict; Boston : I. Knapp,,,1500050009.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,,
8997,"Rare Book & Manuscript Library, Columbia University",periodicals,1838,reformatted digital,eng,,,At head of title: Vol. 1. No. 4,New York and Boston,,Peep at Slavery,1838,eng,,Slavery--United States,"The American anti-slavery almanac, for 1839.","Illustration and text are details from page 31 of The American anti-slavery almanac, for 1839",New York & Boston : Published for the American Anti-slavery Society; New York : S.W. Benedict; Boston : I. Knapp,,,1500050010.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,,
8992,"Rare Book & Manuscript Library, Columbia University",periodicals,1839,,,,,,,,"Northern Freeman Enslaved by Northern Hands. The American Anti-Slavery Almanac, vol. 1, no. 4 (1839), page. 19. ",1839,,,Fugitive slaves--United States,,Illustration is a detail from page 19 ,American Anti-Slavery Almanac,,reformatted digital,FreemanOmeka04.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,,
,,,,,,,,,,,,,,,,,Title is from image caption.,,,,,,,
